context: eye catch response:	H!
context: eye catch\H! response:	O?!
context: eye catch\H!\O?! response:	I do fall in love!
context: eye catch\H!\O?!\I do fall in love! response:	I just realised it for the first time
context: eye catch\H!\O?!\I do fall in love!\I just realised it for the first time response:	That I had fallen in love
context: eye catch\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love response:	Twenty-four hours a day thinking of you, you and nothing more than you!
context: eye catch\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you! response:	It's something I wasn't consciously aware of
context: eye catch\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of response:	Somehow ( somehow) I'm feeling different from the usual
context: H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual response:	With you ( the two of us) and our dull chatter
context: O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter response:	Don't tell me ( mutual love?) Nope, it's a one-sided crush
context: I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush response:	This is bad! Our gazes met!
context: I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met! response:	What, what? Why is my heart pounding like this?
context: That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this? response:	Did a short circuit just make a mess out of my mind?
context: Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind? response:	This is my first time... feeling like this...
context: It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this... response:	I wonder if I have a fever
context: Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever response:	Suddenly and precipitately, love has arrived.
context: With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived. response:	Instantly igniting my face into a bright red
context: Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red response:	T-That's stupid?! My hands are shaking
context: This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking response:	Is this really what they call love?
context: What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love? response:	I-I did it! A conversation filled with stutters
context: Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters response:	This awkward silence... *mumble mumble*
context: This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble* response:	Your... ( Your...) I want to know your feelings.
context: I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings. response:	O-One-sided love
context: Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love response:	First love! The usual way to school
context: Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school response:	The shining light. I do fall in love!
context: T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love! response:	I feel I could fly towards the sky
context: Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky response:	O-One-sided love
context: I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love response:	10
context: This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10 response:	H H!
context: Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H! response:	Woke up in the morning, brushed my teeth
context: O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth response:	In the blink of an eye, it's 10pm
context: First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm response:	Today, we laughed a whole lot
context: The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot response:	We had a great time
context: I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time response:	At times, with my friends, acting like fools, being noisy
context: O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy response:	Fluttering, our eyes met.
context: 10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met. response:	It's a coincidence, right?
context: H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right? response:	I wouldn't call this my first love
context: Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love response:	It's not my character.
context: In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character. response:	Say, will we be able to meet again tomorrow?
context: Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow? response:	As my eyelids close
context: We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close response:	I see you sparkling all over the place
context: At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place response:	Today was fun, too, wasn't it?
context: Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it? response:	I'm in love
context: It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love response:	So happy, so happy
context: I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy response:	It is my pleasure to meet you, my new-found love.
context: It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love. response:	Surely, we'll meet again tomorrow
context: Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow response:	Have a good night
context: As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night response:	We'll meet immediately in our dreams
context: I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams response:	So have a good night
context: Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night response:	TL note: Ume is an Asian fruit, otherwise known as the Japanese apricot or Chinese plum.
context: I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\TL note: Ume is an Asian fruit, otherwise known as the Japanese apricot or Chinese plum. response:	TL note: Umeboshi is pickled ume that's often added to onigiri (Japanese rice balls).
context: So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\TL note: Ume is an Asian fruit, otherwise known as the Japanese apricot or Chinese plum.\TL note: Umeboshi is pickled ume that's often added to onigiri (Japanese rice balls). response:	Principal's Office
context: It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\TL note: Ume is an Asian fruit, otherwise known as the Japanese apricot or Chinese plum.\TL note: Umeboshi is pickled ume that's often added to onigiri (Japanese rice balls).\Principal's Office response:	Nichijou 14
context: Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\TL note: Ume is an Asian fruit, otherwise known as the Japanese apricot or Chinese plum.\TL note: Umeboshi is pickled ume that's often added to onigiri (Japanese rice balls).\Principal's Office\Nichijou 14 response:	Student Guidance
context: Have a good night\We'll meet immediately in our dreams\So have a good night\TL note: Ume is an Asian fruit, otherwise known as the Japanese apricot or Chinese plum.\TL note: Umeboshi is pickled ume that's often added to onigiri (Japanese rice balls).\Principal's Office\Nichijou 14\Student Guidance response:	Go Soccer Club 1
context: We'll meet immediately in our dreams\So have a good night\TL note: Ume is an Asian fruit, otherwise known as the Japanese apricot or Chinese plum.\TL note: Umeboshi is pickled ume that's often added to onigiri (Japanese rice balls).\Principal's Office\Nichijou 14\Student Guidance\Go Soccer Club 1 response:	Please take another 1000 steps forward
context: So have a good night\TL note: Ume is an Asian fruit, otherwise known as the Japanese apricot or Chinese plum.\TL note: Umeboshi is pickled ume that's often added to onigiri (Japanese rice balls).\Principal's Office\Nichijou 14\Student Guidance\Go Soccer Club 1\Please take another 1000 steps forward response:	Nichijou 15
context: TL note: Ume is an Asian fruit, otherwise known as the Japanese apricot or Chinese plum.\TL note: Umeboshi is pickled ume that's often added to onigiri (Japanese rice balls).\Principal's Office\Nichijou 14\Student Guidance\Go Soccer Club 1\Please take another 1000 steps forward\Nichijou 15 response:	Nichijou 16
context: TL note: Umeboshi is pickled ume that's often added to onigiri (Japanese rice balls).\Principal's Office\Nichijou 14\Student Guidance\Go Soccer Club 1\Please take another 1000 steps forward\Nichijou 15\Nichijou 16 response:	Midterm Test
context: Principal's Office\Nichijou 14\Student Guidance\Go Soccer Club 1\Please take another 1000 steps forward\Nichijou 15\Nichijou 16\Midterm Test response:	Health English
context: Nichijou 14\Student Guidance\Go Soccer Club 1\Please take another 1000 steps forward\Nichijou 15\Nichijou 16\Midterm Test\Health English response:	TL note: This is a reference to the painting The Creation of Adam, by Michelangelo, on the ceiling of the Sistine Chapel.
context: Student Guidance\Go Soccer Club 1\Please take another 1000 steps forward\Nichijou 15\Nichijou 16\Midterm Test\Health English\TL note: This is a reference to the painting The Creation of Adam, by Michelangelo, on the ceiling of the Sistine Chapel. response:	Word Of The Day
context: Go Soccer Club 1\Please take another 1000 steps forward\Nichijou 15\Nichijou 16\Midterm Test\Health English\TL note: This is a reference to the painting The Creation of Adam, by Michelangelo, on the ceiling of the Sistine Chapel.\Word Of The Day response:	Go Soccer Club 2
context: Please take another 1000 steps forward\Nichijou 15\Nichijou 16\Midterm Test\Health English\TL note: This is a reference to the painting The Creation of Adam, by Michelangelo, on the ceiling of the Sistine Chapel.\Word Of The Day\Go Soccer Club 2 response:	A Parrot
context: Nichijou 15\Nichijou 16\Midterm Test\Health English\TL note: This is a reference to the painting The Creation of Adam, by Michelangelo, on the ceiling of the Sistine Chapel.\Word Of The Day\Go Soccer Club 2\A Parrot response:	Nichijou 17
context: Nichijou 16\Midterm Test\Health English\TL note: This is a reference to the painting The Creation of Adam, by Michelangelo, on the ceiling of the Sistine Chapel.\Word Of The Day\Go Soccer Club 2\A Parrot\Nichijou 17 response:	Nakanojou
context: Midterm Test\Health English\TL note: This is a reference to the painting The Creation of Adam, by Michelangelo, on the ceiling of the Sistine Chapel.\Word Of The Day\Go Soccer Club 2\A Parrot\Nichijou 17\Nakanojou response:	Nichijou 18
context: Health English\TL note: This is a reference to the painting The Creation of Adam, by Michelangelo, on the ceiling of the Sistine Chapel.\Word Of The Day\Go Soccer Club 2\A Parrot\Nichijou 17\Nakanojou\Nichijou 18 response:	Narration: Obara Noriko
context: TL note: This is a reference to the painting The Creation of Adam, by Michelangelo, on the ceiling of the Sistine Chapel.\Word Of The Day\Go Soccer Club 2\A Parrot\Nichijou 17\Nakanojou\Nichijou 18\Narration: Obara Noriko response:	The discipline at this school has been lacking lately.
context: Word Of The Day\Go Soccer Club 2\A Parrot\Nichijou 17\Nakanojou\Nichijou 18\Narration: Obara Noriko\The discipline at this school has been lacking lately. response:	I'd like you to be a little more strict on keeping students to the school rules, Sakurai-sensei.
context: Go Soccer Club 2\A Parrot\Nichijou 17\Nakanojou\Nichijou 18\Narration: Obara Noriko\The discipline at this school has been lacking lately.\I'd like you to be a little more strict on keeping students to the school rules, Sakurai-sensei. response:	Yes!
context: A Parrot\Nichijou 17\Nakanojou\Nichijou 18\Narration: Obara Noriko\The discipline at this school has been lacking lately.\I'd like you to be a little more strict on keeping students to the school rules, Sakurai-sensei.\Yes! response:	I-I'll do my best!
context: Nichijou 17\Nakanojou\Nichijou 18\Narration: Obara Noriko\The discipline at this school has been lacking lately.\I'd like you to be a little more strict on keeping students to the school rules, Sakurai-sensei.\Yes!\I-I'll do my best! response:	That's right, I became a student guidance counsellor in order to change myself!
context: Nakanojou\Nichijou 18\Narration: Obara Noriko\The discipline at this school has been lacking lately.\I'd like you to be a little more strict on keeping students to the school rules, Sakurai-sensei.\Yes!\I-I'll do my best!\That's right, I became a student guidance counsellor in order to change myself! response:	I'll have to make sure that they stick to the rules.
context: Nichijou 18\Narration: Obara Noriko\The discipline at this school has been lacking lately.\I'd like you to be a little more strict on keeping students to the school rules, Sakurai-sensei.\Yes!\I-I'll do my best!\That's right, I became a student guidance counsellor in order to change myself!\I'll have to make sure that they stick to the rules. response:	What's this?
context: Narration: Obara Noriko\The discipline at this school has been lacking lately.\I'd like you to be a little more strict on keeping students to the school rules, Sakurai-sensei.\Yes!\I-I'll do my best!\That's right, I became a student guidance counsellor in order to change myself!\I'll have to make sure that they stick to the rules.\What's this? response:	What's this, all of a sudden?!
context: The discipline at this school has been lacking lately.\I'd like you to be a little more strict on keeping students to the school rules, Sakurai-sensei.\Yes!\I-I'll do my best!\That's right, I became a student guidance counsellor in order to change myself!\I'll have to make sure that they stick to the rules.\What's this?\What's this, all of a sudden?! response:	But it's not good, since it's only allowed during lunchtime.
context: I'd like you to be a little more strict on keeping students to the school rules, Sakurai-sensei.\Yes!\I-I'll do my best!\That's right, I became a student guidance counsellor in order to change myself!\I'll have to make sure that they stick to the rules.\What's this?\What's this, all of a sudden?!\But it's not good, since it's only allowed during lunchtime. response:	E-Excuse me!
context: Yes!\I-I'll do my best!\That's right, I became a student guidance counsellor in order to change myself!\I'll have to make sure that they stick to the rules.\What's this?\What's this, all of a sudden?!\But it's not good, since it's only allowed during lunchtime.\E-Excuse me! response:	What seems to be the problem, Miss?
context: I-I'll do my best!\That's right, I became a student guidance counsellor in order to change myself!\I'll have to make sure that they stick to the rules.\What's this?\What's this, all of a sudden?!\But it's not good, since it's only allowed during lunchtime.\E-Excuse me!\What seems to be the problem, Miss? response:	Sorry, um... I don't think it's good manners to eat while walking...
context: That's right, I became a student guidance counsellor in order to change myself!\I'll have to make sure that they stick to the rules.\What's this?\What's this, all of a sudden?!\But it's not good, since it's only allowed during lunchtime.\E-Excuse me!\What seems to be the problem, Miss?\Sorry, um... I don't think it's good manners to eat while walking... response:	How rude of me.
context: I'll have to make sure that they stick to the rules.\What's this?\What's this, all of a sudden?!\But it's not good, since it's only allowed during lunchtime.\E-Excuse me!\What seems to be the problem, Miss?\Sorry, um... I don't think it's good manners to eat while walking...\How rude of me. response:	My stomach wouldn't stop growling,
context: What's this?\What's this, all of a sudden?!\But it's not good, since it's only allowed during lunchtime.\E-Excuse me!\What seems to be the problem, Miss?\Sorry, um... I don't think it's good manners to eat while walking...\How rude of me.\My stomach wouldn't stop growling, response:	most likely because I didn't eat breakfast.
context: What's this, all of a sudden?!\But it's not good, since it's only allowed during lunchtime.\E-Excuse me!\What seems to be the problem, Miss?\Sorry, um... I don't think it's good manners to eat while walking...\How rude of me.\My stomach wouldn't stop growling,\most likely because I didn't eat breakfast. response:	I'll take it off now, sorry about that.
context: But it's not good, since it's only allowed during lunchtime.\E-Excuse me!\What seems to be the problem, Miss?\Sorry, um... I don't think it's good manners to eat while walking...\How rude of me.\My stomach wouldn't stop growling,\most likely because I didn't eat breakfast.\I'll take it off now, sorry about that. response:	S-Sorry.
context: E-Excuse me!\What seems to be the problem, Miss?\Sorry, um... I don't think it's good manners to eat while walking...\How rude of me.\My stomach wouldn't stop growling,\most likely because I didn't eat breakfast.\I'll take it off now, sorry about that.\S-Sorry. response:	It's okay!
context: What seems to be the problem, Miss?\Sorry, um... I don't think it's good manners to eat while walking...\How rude of me.\My stomach wouldn't stop growling,\most likely because I didn't eat breakfast.\I'll take it off now, sorry about that.\S-Sorry.\It's okay! response:	As long as you understand, it's...
context: Sorry, um... I don't think it's good manners to eat while walking...\How rude of me.\My stomach wouldn't stop growling,\most likely because I didn't eat breakfast.\I'll take it off now, sorry about that.\S-Sorry.\It's okay!\As long as you understand, it's... response:	I'm glad that he understands it when I tell him.
context: How rude of me.\My stomach wouldn't stop growling,\most likely because I didn't eat breakfast.\I'll take it off now, sorry about that.\S-Sorry.\It's okay!\As long as you understand, it's...\I'm glad that he understands it when I tell him. response:	Tell them...
context: My stomach wouldn't stop growling,\most likely because I didn't eat breakfast.\I'll take it off now, sorry about that.\S-Sorry.\It's okay!\As long as you understand, it's...\I'm glad that he understands it when I tell him.\Tell them... response:	What do you mean, delicious?!
context: most likely because I didn't eat breakfast.\I'll take it off now, sorry about that.\S-Sorry.\It's okay!\As long as you understand, it's...\I'm glad that he understands it when I tell him.\Tell them...\What do you mean, delicious?! response:	Suddenly shouting in the middle of the hallway?!
context: I'll take it off now, sorry about that.\S-Sorry.\It's okay!\As long as you understand, it's...\I'm glad that he understands it when I tell him.\Tell them...\What do you mean, delicious?!\Suddenly shouting in the middle of the hallway?! response:	You should think about your surroundings for a bit!
