context: These days you love me no more response:	nor am I still treasured by you
context: These days you love me no more\nor am I still treasured by you response:	Now I am all alone
context: These days you love me no more\nor am I still treasured by you\Now I am all alone response:	What did you tell me when we parted?
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted? response:	The words hung in midair and never reached me
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me response:	I know my dreams and wishes are illusory
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory response:	and yet I cannot give up on them
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them response:	You said, Don't let go, hold onto my hand
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand response:	and, We will always be together
context: nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together response:	Your hands as I held them were warm
context: Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm response:	and tender
context: What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender response:	/ broke up line 96 to 98, long pause
context: The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\/ broke up line 96 to 98, long pause response:	/ split lines 127 - 129, kf
context: I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\/ broke up line 96 to 98, long pause\/ split lines 127 - 129, kf response:	/ SPLIT: 134-135
context: and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\/ broke up line 96 to 98, long pause\/ split lines 127 - 129, kf\/ SPLIT: 134-135 response:	/ SPLIT: 142-143
context: You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\/ broke up line 96 to 98, long pause\/ split lines 127 - 129, kf\/ SPLIT: 134-135\/ SPLIT: 142-143 response:	= Eye catch =
context: and, We will always be together\Your hands as I held them were warm\and tender\/ broke up line 96 to 98, long pause\/ split lines 127 - 129, kf\/ SPLIT: 134-135\/ SPLIT: 142-143\= Eye catch = response:	/ SPLIT: 245-246
context: Your hands as I held them were warm\and tender\/ broke up line 96 to 98, long pause\/ split lines 127 - 129, kf\/ SPLIT: 134-135\/ SPLIT: 142-143\= Eye catch =\/ SPLIT: 245-246 response:	You said, Don't let go, hold onto my hand
context: and tender\/ broke up line 96 to 98, long pause\/ split lines 127 - 129, kf\/ SPLIT: 134-135\/ SPLIT: 142-143\= Eye catch =\/ SPLIT: 245-246\You said, Don't let go, hold onto my hand response:	and, We will always be together
context: / broke up line 96 to 98, long pause\/ split lines 127 - 129, kf\/ SPLIT: 134-135\/ SPLIT: 142-143\= Eye catch =\/ SPLIT: 245-246\You said, Don't let go, hold onto my hand\and, We will always be together response:	Your hands as I held them were warm
context: / split lines 127 - 129, kf\/ SPLIT: 134-135\/ SPLIT: 142-143\= Eye catch =\/ SPLIT: 245-246\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm response:	and tender
context: / SPLIT: 134-135\/ SPLIT: 142-143\= Eye catch =\/ SPLIT: 245-246\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender response:	I'm yours
context: / SPLIT: 142-143\= Eye catch =\/ SPLIT: 245-246\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\I'm yours response:	I'm yours
context: = Eye catch =\/ SPLIT: 245-246\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\I'm yours\I'm yours response:	I'm yours
context: / SPLIT: 245-246\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\I'm yours\I'm yours\I'm yours response:	and tries to hurt you with cruel words,
context: You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words, response:	even if the world does not try to believe you
context: and, We will always be together\Your hands as I held them were warm\and tender\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you response:	and places a crown of thorns upon your head,
context: Your hands as I held them were warm\and tender\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head, response:	I can take your side, and yours alone
context: and tender\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone response:	I know your pain and loneliness
context: I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness response:	So everything that makes me whole
context: I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole response:	I'll give that to you now
context: I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now response:	Guys, we've got trouble!
