context: Fairy Tail 146 Trans response:	After the new Oracion Seis appeared before Natsu and the others,
context: Fairy Tail 146 Trans\After the new Oracion Seis appeared before Natsu and the others, response:	they were at their wit's end, as the Infinity Clock was stolen from them
context: Fairy Tail 146 Trans\After the new Oracion Seis appeared before Natsu and the others,\they were at their wit's end, as the Infinity Clock was stolen from them response:	and their mission to recover it ended in failure.
context: Fairy Tail 146 Trans\After the new Oracion Seis appeared before Natsu and the others,\they were at their wit's end, as the Infinity Clock was stolen from them\and their mission to recover it ended in failure. response:	All of the Celestial Spirit Wizards' biological links were broken
context: Fairy Tail 146 Trans\After the new Oracion Seis appeared before Natsu and the others,\they were at their wit's end, as the Infinity Clock was stolen from them\and their mission to recover it ended in failure.\All of the Celestial Spirit Wizards' biological links were broken response:	and the Infinity Clock's true nature was revealed.
context: Fairy Tail 146 Trans\After the new Oracion Seis appeared before Natsu and the others,\they were at their wit's end, as the Infinity Clock was stolen from them\and their mission to recover it ended in failure.\All of the Celestial Spirit Wizards' biological links were broken\and the Infinity Clock's true nature was revealed. response:	Then, time itself began to fall into chaos...
context: Fairy Tail 146 Trans\After the new Oracion Seis appeared before Natsu and the others,\they were at their wit's end, as the Infinity Clock was stolen from them\and their mission to recover it ended in failure.\All of the Celestial Spirit Wizards' biological links were broken\and the Infinity Clock's true nature was revealed.\Then, time itself began to fall into chaos... response:	You say the person who broke out the imprisoned new Oracion Seis was Cardinal Rapowant?!
context: Fairy Tail 146 Trans\After the new Oracion Seis appeared before Natsu and the others,\they were at their wit's end, as the Infinity Clock was stolen from them\and their mission to recover it ended in failure.\All of the Celestial Spirit Wizards' biological links were broken\and the Infinity Clock's true nature was revealed.\Then, time itself began to fall into chaos...\You say the person who broke out the imprisoned new Oracion Seis was Cardinal Rapowant?! response:	Yes, sir. I believe it's indisputable.
context: After the new Oracion Seis appeared before Natsu and the others,\they were at their wit's end, as the Infinity Clock was stolen from them\and their mission to recover it ended in failure.\All of the Celestial Spirit Wizards' biological links were broken\and the Infinity Clock's true nature was revealed.\Then, time itself began to fall into chaos...\You say the person who broke out the imprisoned new Oracion Seis was Cardinal Rapowant?!\Yes, sir. I believe it's indisputable. response:	Please let me investigate.
context: they were at their wit's end, as the Infinity Clock was stolen from them\and their mission to recover it ended in failure.\All of the Celestial Spirit Wizards' biological links were broken\and the Infinity Clock's true nature was revealed.\Then, time itself began to fall into chaos...\You say the person who broke out the imprisoned new Oracion Seis was Cardinal Rapowant?!\Yes, sir. I believe it's indisputable.\Please let me investigate. response:	No. The time isn't right yet.
context: and their mission to recover it ended in failure.\All of the Celestial Spirit Wizards' biological links were broken\and the Infinity Clock's true nature was revealed.\Then, time itself began to fall into chaos...\You say the person who broke out the imprisoned new Oracion Seis was Cardinal Rapowant?!\Yes, sir. I believe it's indisputable.\Please let me investigate.\No. The time isn't right yet. response:	Chairman, why not?
