context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, keep the room nice and bright,\and sit back from the screen,'kay? response:	This is Magnolia's East Forest.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, keep the room nice and bright,\and sit back from the screen,'kay?\This is Magnolia's East Forest. response:	It is said to be a mysterious forest that holds magical powers.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, keep the room nice and bright,\and sit back from the screen,'kay?\This is Magnolia's East Forest.\It is said to be a mysterious forest that holds magical powers. response:	Why do I have to go fishing with you when I'm busy writing my novel?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, keep the room nice and bright,\and sit back from the screen,'kay?\This is Magnolia's East Forest.\It is said to be a mysterious forest that holds magical powers.\Why do I have to go fishing with you when I'm busy writing my novel? response:	Well you were getting in a funk'cause you couldn't think of any good ideas, right?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, keep the room nice and bright,\and sit back from the screen,'kay?\This is Magnolia's East Forest.\It is said to be a mysterious forest that holds magical powers.\Why do I have to go fishing with you when I'm busy writing my novel?\Well you were getting in a funk'cause you couldn't think of any good ideas, right? response:	Aye. When that happens you should go out for a change of pace.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, keep the room nice and bright,\and sit back from the screen,'kay?\This is Magnolia's East Forest.\It is said to be a mysterious forest that holds magical powers.\Why do I have to go fishing with you when I'm busy writing my novel?\Well you were getting in a funk'cause you couldn't think of any good ideas, right?\Aye. When that happens you should go out for a change of pace. response:	But why fishing?
context: When you're watchin' Fairy Tail, keep the room nice and bright,\and sit back from the screen,'kay?\This is Magnolia's East Forest.\It is said to be a mysterious forest that holds magical powers.\Why do I have to go fishing with you when I'm busy writing my novel?\Well you were getting in a funk'cause you couldn't think of any good ideas, right?\Aye. When that happens you should go out for a change of pace.\But why fishing? response:	Because fish are my bread and butter.
context: and sit back from the screen,'kay?\This is Magnolia's East Forest.\It is said to be a mysterious forest that holds magical powers.\Why do I have to go fishing with you when I'm busy writing my novel?\Well you were getting in a funk'cause you couldn't think of any good ideas, right?\Aye. When that happens you should go out for a change of pace.\But why fishing?\Because fish are my bread and butter. response:	And your point?
context: This is Magnolia's East Forest.\It is said to be a mysterious forest that holds magical powers.\Why do I have to go fishing with you when I'm busy writing my novel?\Well you were getting in a funk'cause you couldn't think of any good ideas, right?\Aye. When that happens you should go out for a change of pace.\But why fishing?\Because fish are my bread and butter.\And your point? response:	Why should I have to fish up your favorite food?
context: It is said to be a mysterious forest that holds magical powers.\Why do I have to go fishing with you when I'm busy writing my novel?\Well you were getting in a funk'cause you couldn't think of any good ideas, right?\Aye. When that happens you should go out for a change of pace.\But why fishing?\Because fish are my bread and butter.\And your point?\Why should I have to fish up your favorite food? response:	I hooked one!
