context: Half-demon Inuyasha... response:	born half demon and half human.
context: Half-demon Inuyasha...\born half demon and half human. response:	Unable to come to terms with this circumstance...
context: Half-demon Inuyasha...\born half demon and half human.\Unable to come to terms with this circumstance... response:	he tries to possess the Sacred Jewel...
context: Half-demon Inuyasha...\born half demon and half human.\Unable to come to terms with this circumstance...\he tries to possess the Sacred Jewel... response:	in order to become a full-fledged demon.
context: Half-demon Inuyasha...\born half demon and half human.\Unable to come to terms with this circumstance...\he tries to possess the Sacred Jewel...\in order to become a full-fledged demon. response:	Despising such a younger brother...
context: Half-demon Inuyasha...\born half demon and half human.\Unable to come to terms with this circumstance...\he tries to possess the Sacred Jewel...\in order to become a full-fledged demon.\Despising such a younger brother... response:	the cold-hearted Sesshomaru concocts an evil plan.
context: Half-demon Inuyasha...\born half demon and half human.\Unable to come to terms with this circumstance...\he tries to possess the Sacred Jewel...\in order to become a full-fledged demon.\Despising such a younger brother...\the cold-hearted Sesshomaru concocts an evil plan. response:	In a cart appears Inuyasha's human mother...
context: Half-demon Inuyasha...\born half demon and half human.\Unable to come to terms with this circumstance...\he tries to possess the Sacred Jewel...\in order to become a full-fledged demon.\Despising such a younger brother...\the cold-hearted Sesshomaru concocts an evil plan.\In a cart appears Inuyasha's human mother... response:	who is supposed to be dead.
context: born half demon and half human.\Unable to come to terms with this circumstance...\he tries to possess the Sacred Jewel...\in order to become a full-fledged demon.\Despising such a younger brother...\the cold-hearted Sesshomaru concocts an evil plan.\In a cart appears Inuyasha's human mother...\who is supposed to be dead. response:	Seeing his mother bound in chains...
context: Unable to come to terms with this circumstance...\he tries to possess the Sacred Jewel...\in order to become a full-fledged demon.\Despising such a younger brother...\the cold-hearted Sesshomaru concocts an evil plan.\In a cart appears Inuyasha's human mother...\who is supposed to be dead.\Seeing his mother bound in chains... response:	Inuyasha's feelings of anger reach the boiling point.
context: he tries to possess the Sacred Jewel...\in order to become a full-fledged demon.\Despising such a younger brother...\the cold-hearted Sesshomaru concocts an evil plan.\In a cart appears Inuyasha's human mother...\who is supposed to be dead.\Seeing his mother bound in chains...\Inuyasha's feelings of anger reach the boiling point. response:	Impossible!
context: in order to become a full-fledged demon.\Despising such a younger brother...\the cold-hearted Sesshomaru concocts an evil plan.\In a cart appears Inuyasha's human mother...\who is supposed to be dead.\Seeing his mother bound in chains...\Inuyasha's feelings of anger reach the boiling point.\Impossible! response:	My mother died a long time ago!
context: Despising such a younger brother...\the cold-hearted Sesshomaru concocts an evil plan.\In a cart appears Inuyasha's human mother...\who is supposed to be dead.\Seeing his mother bound in chains...\Inuyasha's feelings of anger reach the boiling point.\Impossible!\My mother died a long time ago! response:	As if I'd fall for such a trick!
context: the cold-hearted Sesshomaru concocts an evil plan.\In a cart appears Inuyasha's human mother...\who is supposed to be dead.\Seeing his mother bound in chains...\Inuyasha's feelings of anger reach the boiling point.\Impossible!\My mother died a long time ago!\As if I'd fall for such a trick! response:	Trick, huh?
context: In a cart appears Inuyasha's human mother...\who is supposed to be dead.\Seeing his mother bound in chains...\Inuyasha's feelings of anger reach the boiling point.\Impossible!\My mother died a long time ago!\As if I'd fall for such a trick!\Trick, huh? response:	Do you not understand?
context: who is supposed to be dead.\Seeing his mother bound in chains...\Inuyasha's feelings of anger reach the boiling point.\Impossible!\My mother died a long time ago!\As if I'd fall for such a trick!\Trick, huh?\Do you not understand? response:	Bringing dead spirits from the netherworld...
context: Seeing his mother bound in chains...\Inuyasha's feelings of anger reach the boiling point.\Impossible!\My mother died a long time ago!\As if I'd fall for such a trick!\Trick, huh?\Do you not understand?\Bringing dead spirits from the netherworld... response:	is a simple task for someone as great as Lord Sesshomaru.
context: Inuyasha's feelings of anger reach the boiling point.\Impossible!\My mother died a long time ago!\As if I'd fall for such a trick!\Trick, huh?\Do you not understand?\Bringing dead spirits from the netherworld...\is a simple task for someone as great as Lord Sesshomaru. response:	He was even so kind as to give her flesh!
context: Impossible!\My mother died a long time ago!\As if I'd fall for such a trick!\Trick, huh?\Do you not understand?\Bringing dead spirits from the netherworld...\is a simple task for someone as great as Lord Sesshomaru.\He was even so kind as to give her flesh! response:	Her own son won't believe that it's her.
context: My mother died a long time ago!\As if I'd fall for such a trick!\Trick, huh?\Do you not understand?\Bringing dead spirits from the netherworld...\is a simple task for someone as great as Lord Sesshomaru.\He was even so kind as to give her flesh!\Her own son won't believe that it's her. response:	How mortifying it must be for your mother!
