context: Episode 9 Moon response:	To: Yukinari Subject: Hinode-hama today Good weather all day. In front of the gelato store.
context: Episode 9 Moon\To: Yukinari Subject: Hinode-hama today Good weather all day. In front of the gelato store. response:	What am I writing this for?
context: Episode 9 Moon\To: Yukinari Subject: Hinode-hama today Good weather all day. In front of the gelato store.\What am I writing this for? response:	Why? Just why?
context: Episode 9 Moon\To: Yukinari Subject: Hinode-hama today Good weather all day. In front of the gelato store.\What am I writing this for?\Why? Just why? response:	Message from Sacchan
context: Episode 9 Moon\To: Yukinari Subject: Hinode-hama today Good weather all day. In front of the gelato store.\What am I writing this for?\Why? Just why?\Message from Sacchan response:	For tomorrow?
context: Episode 9 Moon\To: Yukinari Subject: Hinode-hama today Good weather all day. In front of the gelato store.\What am I writing this for?\Why? Just why?\Message from Sacchan\For tomorrow? response:	From: Sacchan Subject: For tomorrow Ten Nights of Dreams.
context: Episode 9 Moon\To: Yukinari Subject: Hinode-hama today Good weather all day. In front of the gelato store.\What am I writing this for?\Why? Just why?\Message from Sacchan\For tomorrow?\From: Sacchan Subject: For tomorrow Ten Nights of Dreams. response:	Ten Nights of Dreams.
context: Episode 9 Moon\To: Yukinari Subject: Hinode-hama today Good weather all day. In front of the gelato store.\What am I writing this for?\Why? Just why?\Message from Sacchan\For tomorrow?\From: Sacchan Subject: For tomorrow Ten Nights of Dreams.\Ten Nights of Dreams. response:	What's that?
context: To: Yukinari Subject: Hinode-hama today Good weather all day. In front of the gelato store.\What am I writing this for?\Why? Just why?\Message from Sacchan\For tomorrow?\From: Sacchan Subject: For tomorrow Ten Nights of Dreams.\Ten Nights of Dreams.\What's that? response:	May I help you?
context: What am I writing this for?\Why? Just why?\Message from Sacchan\For tomorrow?\From: Sacchan Subject: For tomorrow Ten Nights of Dreams.\Ten Nights of Dreams.\What's that?\May I help you? response:	Not really.
context: Why? Just why?\Message from Sacchan\For tomorrow?\From: Sacchan Subject: For tomorrow Ten Nights of Dreams.\Ten Nights of Dreams.\What's that?\May I help you?\Not really. response:	Nee-chan...
context: Message from Sacchan\For tomorrow?\From: Sacchan Subject: For tomorrow Ten Nights of Dreams.\Ten Nights of Dreams.\What's that?\May I help you?\Not really.\Nee-chan... response:	Fine, fine.
context: For tomorrow?\From: Sacchan Subject: For tomorrow Ten Nights of Dreams.\Ten Nights of Dreams.\What's that?\May I help you?\Not really.\Nee-chan...\Fine, fine. response:	It's the name of a novel, isn't it? By Soseki Natsume.
context: From: Sacchan Subject: For tomorrow Ten Nights of Dreams.\Ten Nights of Dreams.\What's that?\May I help you?\Not really.\Nee-chan...\Fine, fine.\It's the name of a novel, isn't it? By Soseki Natsume. response:	Oh, really?
context: Ten Nights of Dreams.\What's that?\May I help you?\Not really.\Nee-chan...\Fine, fine.\It's the name of a novel, isn't it? By Soseki Natsume.\Oh, really? response:	It's on the shelf at the store.
context: What's that?\May I help you?\Not really.\Nee-chan...\Fine, fine.\It's the name of a novel, isn't it? By Soseki Natsume.\Oh, really?\It's on the shelf at the store. response:	Oh, yeah?
context: May I help you?\Not really.\Nee-chan...\Fine, fine.\It's the name of a novel, isn't it? By Soseki Natsume.\Oh, really?\It's on the shelf at the store.\Oh, yeah? response:	It's an exam question.
context: Not really.\Nee-chan...\Fine, fine.\It's the name of a novel, isn't it? By Soseki Natsume.\Oh, really?\It's on the shelf at the store.\Oh, yeah?\It's an exam question. response:	I see.
context: Nee-chan...\Fine, fine.\It's the name of a novel, isn't it? By Soseki Natsume.\Oh, really?\It's on the shelf at the store.\Oh, yeah?\It's an exam question.\I see. response:	Issen Ichibyou Monogatari
context: Fine, fine.\It's the name of a novel, isn't it? By Soseki Natsume.\Oh, really?\It's on the shelf at the store.\Oh, yeah?\It's an exam question.\I see.\Issen Ichibyou Monogatari response:	Did you tell your boyfriend
context: It's the name of a novel, isn't it? By Soseki Natsume.\Oh, really?\It's on the shelf at the store.\Oh, yeah?\It's an exam question.\I see.\Issen Ichibyou Monogatari\Did you tell your boyfriend response:	that you're coming home?
context: Oh, really?\It's on the shelf at the store.\Oh, yeah?\It's an exam question.\I see.\Issen Ichibyou Monogatari\Did you tell your boyfriend\that you're coming home? response:	I did.
context: It's on the shelf at the store.\Oh, yeah?\It's an exam question.\I see.\Issen Ichibyou Monogatari\Did you tell your boyfriend\that you're coming home?\I did. response:	Soseki Natsume Ten Nights of Dreams
context: Oh, yeah?\It's an exam question.\I see.\Issen Ichibyou Monogatari\Did you tell your boyfriend\that you're coming home?\I did.\Soseki Natsume Ten Nights of Dreams response:	Inbox Yanagi Hinode-hama today
context: It's an exam question.\I see.\Issen Ichibyou Monogatari\Did you tell your boyfriend\that you're coming home?\I did.\Soseki Natsume Ten Nights of Dreams\Inbox Yanagi Hinode-hama today response:	What did Touko see
context: I see.\Issen Ichibyou Monogatari\Did you tell your boyfriend\that you're coming home?\I did.\Soseki Natsume Ten Nights of Dreams\Inbox Yanagi Hinode-hama today\What did Touko see response:	about me?
context: Issen Ichibyou Monogatari\Did you tell your boyfriend\that you're coming home?\I did.\Soseki Natsume Ten Nights of Dreams\Inbox Yanagi Hinode-hama today\What did Touko see\about me? response:	I can't hear the fragment.
context: Did you tell your boyfriend\that you're coming home?\I did.\Soseki Natsume Ten Nights of Dreams\Inbox Yanagi Hinode-hama today\What did Touko see\about me?\I can't hear the fragment. response:	Navel?
context: that you're coming home?\I did.\Soseki Natsume Ten Nights of Dreams\Inbox Yanagi Hinode-hama today\What did Touko see\about me?\I can't hear the fragment.\Navel? response:	Why?
context: I did.\Soseki Natsume Ten Nights of Dreams\Inbox Yanagi Hinode-hama today\What did Touko see\about me?\I can't hear the fragment.\Navel?\Why? response:	Hina-chan?
context: Soseki Natsume Ten Nights of Dreams\Inbox Yanagi Hinode-hama today\What did Touko see\about me?\I can't hear the fragment.\Navel?\Why?\Hina-chan? response:	Sorry to interrupt your running.
context: Inbox Yanagi Hinode-hama today\What did Touko see\about me?\I can't hear the fragment.\Navel?\Why?\Hina-chan?\Sorry to interrupt your running. response:	Oh, right.
context: What did Touko see\about me?\I can't hear the fragment.\Navel?\Why?\Hina-chan?\Sorry to interrupt your running.\Oh, right. response:	Right, we promised to go shopping together.
context: about me?\I can't hear the fragment.\Navel?\Why?\Hina-chan?\Sorry to interrupt your running.\Oh, right.\Right, we promised to go shopping together. response:	Come over tomorrow if you have time.
context: I can't hear the fragment.\Navel?\Why?\Hina-chan?\Sorry to interrupt your running.\Oh, right.\Right, we promised to go shopping together.\Come over tomorrow if you have time. response:	Thanks.
context: Navel?\Why?\Hina-chan?\Sorry to interrupt your running.\Oh, right.\Right, we promised to go shopping together.\Come over tomorrow if you have time.\Thanks. response:	Don't tell Onee-chan yet.
context: Why?\Hina-chan?\Sorry to interrupt your running.\Oh, right.\Right, we promised to go shopping together.\Come over tomorrow if you have time.\Thanks.\Don't tell Onee-chan yet. response:	Trust me. I get it.
context: Hina-chan?\Sorry to interrupt your running.\Oh, right.\Right, we promised to go shopping together.\Come over tomorrow if you have time.\Thanks.\Don't tell Onee-chan yet.\Trust me. I get it. response:	See you tomorrow.
context: Sorry to interrupt your running.\Oh, right.\Right, we promised to go shopping together.\Come over tomorrow if you have time.\Thanks.\Don't tell Onee-chan yet.\Trust me. I get it.\See you tomorrow. response:	Has something happened recently, Onee-chan?
context: Oh, right.\Right, we promised to go shopping together.\Come over tomorrow if you have time.\Thanks.\Don't tell Onee-chan yet.\Trust me. I get it.\See you tomorrow.\Has something happened recently, Onee-chan? response:	Say, Kakeru, what are you going to do after you graduate?
context: Right, we promised to go shopping together.\Come over tomorrow if you have time.\Thanks.\Don't tell Onee-chan yet.\Trust me. I get it.\See you tomorrow.\Has something happened recently, Onee-chan?\Say, Kakeru, what are you going to do after you graduate? response:	I wonder.
context: Come over tomorrow if you have time.\Thanks.\Don't tell Onee-chan yet.\Trust me. I get it.\See you tomorrow.\Has something happened recently, Onee-chan?\Say, Kakeru, what are you going to do after you graduate?\I wonder. response:	You sure haven't changed.
context: Thanks.\Don't tell Onee-chan yet.\Trust me. I get it.\See you tomorrow.\Has something happened recently, Onee-chan?\Say, Kakeru, what are you going to do after you graduate?\I wonder.\You sure haven't changed. response:	I think you should start thinking about your future.
context: Don't tell Onee-chan yet.\Trust me. I get it.\See you tomorrow.\Has something happened recently, Onee-chan?\Say, Kakeru, what are you going to do after you graduate?\I wonder.\You sure haven't changed.\I think you should start thinking about your future. response:	That's true.
context: Trust me. I get it.\See you tomorrow.\Has something happened recently, Onee-chan?\Say, Kakeru, what are you going to do after you graduate?\I wonder.\You sure haven't changed.\I think you should start thinking about your future.\That's true. response:	You should find a stable job.
context: See you tomorrow.\Has something happened recently, Onee-chan?\Say, Kakeru, what are you going to do after you graduate?\I wonder.\You sure haven't changed.\I think you should start thinking about your future.\That's true.\You should find a stable job. response:	Not that I'm in a position to talk.
context: Has something happened recently, Onee-chan?\Say, Kakeru, what are you going to do after you graduate?\I wonder.\You sure haven't changed.\I think you should start thinking about your future.\That's true.\You should find a stable job.\Not that I'm in a position to talk. response:	Your father and I both knew what we wanted
context: Say, Kakeru, what are you going to do after you graduate?\I wonder.\You sure haven't changed.\I think you should start thinking about your future.\That's true.\You should find a stable job.\Not that I'm in a position to talk.\Your father and I both knew what we wanted response:	to be ever since we were little kids.
context: I wonder.\You sure haven't changed.\I think you should start thinking about your future.\That's true.\You should find a stable job.\Not that I'm in a position to talk.\Your father and I both knew what we wanted\to be ever since we were little kids. response:	That wasn't the case for you though, was it?
context: You sure haven't changed.\I think you should start thinking about your future.\That's true.\You should find a stable job.\Not that I'm in a position to talk.\Your father and I both knew what we wanted\to be ever since we were little kids.\That wasn't the case for you though, was it? response:	Because Mom wouldn't stay put, huh?
context: I think you should start thinking about your future.\That's true.\You should find a stable job.\Not that I'm in a position to talk.\Your father and I both knew what we wanted\to be ever since we were little kids.\That wasn't the case for you though, was it?\Because Mom wouldn't stay put, huh? response:	You're going overseas next, aren't you?
context: That's true.\You should find a stable job.\Not that I'm in a position to talk.\Your father and I both knew what we wanted\to be ever since we were little kids.\That wasn't the case for you though, was it?\Because Mom wouldn't stay put, huh?\You're going overseas next, aren't you? response:	It looks like I'll be gone for a while this time.
context: You should find a stable job.\Not that I'm in a position to talk.\Your father and I both knew what we wanted\to be ever since we were little kids.\That wasn't the case for you though, was it?\Because Mom wouldn't stay put, huh?\You're going overseas next, aren't you?\It looks like I'll be gone for a while this time. response:	I see.
context: Not that I'm in a position to talk.\Your father and I both knew what we wanted\to be ever since we were little kids.\That wasn't the case for you though, was it?\Because Mom wouldn't stay put, huh?\You're going overseas next, aren't you?\It looks like I'll be gone for a while this time.\I see. response:	I'm going back, now.
context: Your father and I both knew what we wanted\to be ever since we were little kids.\That wasn't the case for you though, was it?\Because Mom wouldn't stay put, huh?\You're going overseas next, aren't you?\It looks like I'll be gone for a while this time.\I see.\I'm going back, now. response:	That boy said he liked it here,
context: to be ever since we were little kids.\That wasn't the case for you though, was it?\Because Mom wouldn't stay put, huh?\You're going overseas next, aren't you?\It looks like I'll be gone for a while this time.\I see.\I'm going back, now.\That boy said he liked it here, response:	so I thought he found something he wanted to do.
context: That wasn't the case for you though, was it?\Because Mom wouldn't stay put, huh?\You're going overseas next, aren't you?\It looks like I'll be gone for a while this time.\I see.\I'm going back, now.\That boy said he liked it here,\so I thought he found something he wanted to do. response:	His girlfriend, I'm sure.
