context: Hina-chan! response:	I wanted to ask you a little favor.
context: Hina-chan!\I wanted to ask you a little favor. response:	You see, the wind yesterday knocked down our scarecrow and broke it.
context: Hina-chan!\I wanted to ask you a little favor.\You see, the wind yesterday knocked down our scarecrow and broke it. response:	And, you know, animals have always liked you, right?
context: Hina-chan!\I wanted to ask you a little favor.\You see, the wind yesterday knocked down our scarecrow and broke it.\And, you know, animals have always liked you, right? response:	I know it sounds funny to ask you to take a scarecrow's place,
context: Hina-chan!\I wanted to ask you a little favor.\You see, the wind yesterday knocked down our scarecrow and broke it.\And, you know, animals have always liked you, right?\I know it sounds funny to ask you to take a scarecrow's place, response:	but if you'd stick around near the field
context: Hina-chan!\I wanted to ask you a little favor.\You see, the wind yesterday knocked down our scarecrow and broke it.\And, you know, animals have always liked you, right?\I know it sounds funny to ask you to take a scarecrow's place,\but if you'd stick around near the field response:	and attract the animals to you, it'd be a great help.
context: Hina-chan!\I wanted to ask you a little favor.\You see, the wind yesterday knocked down our scarecrow and broke it.\And, you know, animals have always liked you, right?\I know it sounds funny to ask you to take a scarecrow's place,\but if you'd stick around near the field\and attract the animals to you, it'd be a great help. response:	It's this way...
context: Hina-chan!\I wanted to ask you a little favor.\You see, the wind yesterday knocked down our scarecrow and broke it.\And, you know, animals have always liked you, right?\I know it sounds funny to ask you to take a scarecrow's place,\but if you'd stick around near the field\and attract the animals to you, it'd be a great help.\It's this way... response:	Oh, my!
context: I wanted to ask you a little favor.\You see, the wind yesterday knocked down our scarecrow and broke it.\And, you know, animals have always liked you, right?\I know it sounds funny to ask you to take a scarecrow's place,\but if you'd stick around near the field\and attract the animals to you, it'd be a great help.\It's this way...\Oh, my! response:	I guess I startled you when I just showed up and started talking to you.
context: You see, the wind yesterday knocked down our scarecrow and broke it.\And, you know, animals have always liked you, right?\I know it sounds funny to ask you to take a scarecrow's place,\but if you'd stick around near the field\and attract the animals to you, it'd be a great help.\It's this way...\Oh, my!\I guess I startled you when I just showed up and started talking to you. response:	There you go.
context: And, you know, animals have always liked you, right?\I know it sounds funny to ask you to take a scarecrow's place,\but if you'd stick around near the field\and attract the animals to you, it'd be a great help.\It's this way...\Oh, my!\I guess I startled you when I just showed up and started talking to you.\There you go. response:	All you have to do is stay right here.
context: I know it sounds funny to ask you to take a scarecrow's place,\but if you'd stick around near the field\and attract the animals to you, it'd be a great help.\It's this way...\Oh, my!\I guess I startled you when I just showed up and started talking to you.\There you go.\All you have to do is stay right here. response:	Thank you so much.
context: but if you'd stick around near the field\and attract the animals to you, it'd be a great help.\It's this way...\Oh, my!\I guess I startled you when I just showed up and started talking to you.\There you go.\All you have to do is stay right here.\Thank you so much. response:	Take a scarecrow's place?
context: and attract the animals to you, it'd be a great help.\It's this way...\Oh, my!\I guess I startled you when I just showed up and started talking to you.\There you go.\All you have to do is stay right here.\Thank you so much.\Take a scarecrow's place? response:	Oh, Hina-chan's taking the scarecrow's place?
context: It's this way...\Oh, my!\I guess I startled you when I just showed up and started talking to you.\There you go.\All you have to do is stay right here.\Thank you so much.\Take a scarecrow's place?\Oh, Hina-chan's taking the scarecrow's place? response:	Yep.
context: Oh, my!\I guess I startled you when I just showed up and started talking to you.\There you go.\All you have to do is stay right here.\Thank you so much.\Take a scarecrow's place?\Oh, Hina-chan's taking the scarecrow's place?\Yep. response:	All the animals go straight to her. It's a big help!
context: I guess I startled you when I just showed up and started talking to you.\There you go.\All you have to do is stay right here.\Thank you so much.\Take a scarecrow's place?\Oh, Hina-chan's taking the scarecrow's place?\Yep.\All the animals go straight to her. It's a big help! response:	She's much more reliable than any real scarecrow.
context: There you go.\All you have to do is stay right here.\Thank you so much.\Take a scarecrow's place?\Oh, Hina-chan's taking the scarecrow's place?\Yep.\All the animals go straight to her. It's a big help!\She's much more reliable than any real scarecrow. response:	She sure is.
context: All you have to do is stay right here.\Thank you so much.\Take a scarecrow's place?\Oh, Hina-chan's taking the scarecrow's place?\Yep.\All the animals go straight to her. It's a big help!\She's much more reliable than any real scarecrow.\She sure is. response:	Hina-chan, thank you for being our scarecrow today.
context: Thank you so much.\Take a scarecrow's place?\Oh, Hina-chan's taking the scarecrow's place?\Yep.\All the animals go straight to her. It's a big help!\She's much more reliable than any real scarecrow.\She sure is.\Hina-chan, thank you for being our scarecrow today. response:	Thanks a bunch.
context: Take a scarecrow's place?\Oh, Hina-chan's taking the scarecrow's place?\Yep.\All the animals go straight to her. It's a big help!\She's much more reliable than any real scarecrow.\She sure is.\Hina-chan, thank you for being our scarecrow today.\Thanks a bunch. response:	You're such a sweet girl.
context: Oh, Hina-chan's taking the scarecrow's place?\Yep.\All the animals go straight to her. It's a big help!\She's much more reliable than any real scarecrow.\She sure is.\Hina-chan, thank you for being our scarecrow today.\Thanks a bunch.\You're such a sweet girl. response:	I wish we had a scarecrow as cute as you in our fields.
context: Yep.\All the animals go straight to her. It's a big help!\She's much more reliable than any real scarecrow.\She sure is.\Hina-chan, thank you for being our scarecrow today.\Thanks a bunch.\You're such a sweet girl.\I wish we had a scarecrow as cute as you in our fields. response:	It's not often we see such a quiet girl, is it?
context: All the animals go straight to her. It's a big help!\She's much more reliable than any real scarecrow.\She sure is.\Hina-chan, thank you for being our scarecrow today.\Thanks a bunch.\You're such a sweet girl.\I wish we had a scarecrow as cute as you in our fields.\It's not often we see such a quiet girl, is it? response:	She never says a word. Just like a doll!
context: She's much more reliable than any real scarecrow.\She sure is.\Hina-chan, thank you for being our scarecrow today.\Thanks a bunch.\You're such a sweet girl.\I wish we had a scarecrow as cute as you in our fields.\It's not often we see such a quiet girl, is it?\She never says a word. Just like a doll! response:	She really is just like a scarecrow.
context: She sure is.\Hina-chan, thank you for being our scarecrow today.\Thanks a bunch.\You're such a sweet girl.\I wish we had a scarecrow as cute as you in our fields.\It's not often we see such a quiet girl, is it?\She never says a word. Just like a doll!\She really is just like a scarecrow. response:	She has the spirit of a pro!
context: Hina-chan, thank you for being our scarecrow today.\Thanks a bunch.\You're such a sweet girl.\I wish we had a scarecrow as cute as you in our fields.\It's not often we see such a quiet girl, is it?\She never says a word. Just like a doll!\She really is just like a scarecrow.\She has the spirit of a pro! response:	This is just the way I've always been...
context: Thanks a bunch.\You're such a sweet girl.\I wish we had a scarecrow as cute as you in our fields.\It's not often we see such a quiet girl, is it?\She never says a word. Just like a doll!\She really is just like a scarecrow.\She has the spirit of a pro!\This is just the way I've always been... response:	Standing in the field every day is exhausting.
context: You're such a sweet girl.\I wish we had a scarecrow as cute as you in our fields.\It's not often we see such a quiet girl, is it?\She never says a word. Just like a doll!\She really is just like a scarecrow.\She has the spirit of a pro!\This is just the way I've always been...\Standing in the field every day is exhausting. response:	There's nothing to do out here...
context: I wish we had a scarecrow as cute as you in our fields.\It's not often we see such a quiet girl, is it?\She never says a word. Just like a doll!\She really is just like a scarecrow.\She has the spirit of a pro!\This is just the way I've always been...\Standing in the field every day is exhausting.\There's nothing to do out here... response:	But I can't just tell them I'm quitting now...
context: It's not often we see such a quiet girl, is it?\She never says a word. Just like a doll!\She really is just like a scarecrow.\She has the spirit of a pro!\This is just the way I've always been...\Standing in the field every day is exhausting.\There's nothing to do out here...\But I can't just tell them I'm quitting now... response:	Thanks for always helping out.
context: She never says a word. Just like a doll!\She really is just like a scarecrow.\She has the spirit of a pro!\This is just the way I've always been...\Standing in the field every day is exhausting.\There's nothing to do out here...\But I can't just tell them I'm quitting now...\Thanks for always helping out. response:	Thanks to you, the animals don't come close anymore,
context: She really is just like a scarecrow.\She has the spirit of a pro!\This is just the way I've always been...\Standing in the field every day is exhausting.\There's nothing to do out here...\But I can't just tell them I'm quitting now...\Thanks for always helping out.\Thanks to you, the animals don't come close anymore, response:	so we can concentrate on working in the fields without worrying.
context: She has the spirit of a pro!\This is just the way I've always been...\Standing in the field every day is exhausting.\There's nothing to do out here...\But I can't just tell them I'm quitting now...\Thanks for always helping out.\Thanks to you, the animals don't come close anymore,\so we can concentrate on working in the fields without worrying. response:	Take these to eat with your family.
context: This is just the way I've always been...\Standing in the field every day is exhausting.\There's nothing to do out here...\But I can't just tell them I'm quitting now...\Thanks for always helping out.\Thanks to you, the animals don't come close anymore,\so we can concentrate on working in the fields without worrying.\Take these to eat with your family. response:	Th-Th-Than...
context: Standing in the field every day is exhausting.\There's nothing to do out here...\But I can't just tell them I'm quitting now...\Thanks for always helping out.\Thanks to you, the animals don't come close anymore,\so we can concentrate on working in the fields without worrying.\Take these to eat with your family.\Th-Th-Than... response:	Than?
context: There's nothing to do out here...\But I can't just tell them I'm quitting now...\Thanks for always helping out.\Thanks to you, the animals don't come close anymore,\so we can concentrate on working in the fields without worrying.\Take these to eat with your family.\Th-Th-Than...\Than? response:	Than...
context: But I can't just tell them I'm quitting now...\Thanks for always helping out.\Thanks to you, the animals don't come close anymore,\so we can concentrate on working in the fields without worrying.\Take these to eat with your family.\Th-Th-Than...\Than?\Than... response:	Mom, I'm home.
context: Thanks for always helping out.\Thanks to you, the animals don't come close anymore,\so we can concentrate on working in the fields without worrying.\Take these to eat with your family.\Th-Th-Than...\Than?\Than...\Mom, I'm home. response:	You were out late again, huh?
