context: Those are pretty. response:	Are you going to visit your cousin again?
context: Those are pretty.\Are you going to visit your cousin again? response:	You sure have excellent timing.
context: Those are pretty.\Are you going to visit your cousin again?\You sure have excellent timing. response:	Was it your usual deduction skills,
context: Those are pretty.\Are you going to visit your cousin again?\You sure have excellent timing.\Was it your usual deduction skills, response:	or did your yokai friends tell you I was here?
context: Those are pretty.\Are you going to visit your cousin again?\You sure have excellent timing.\Was it your usual deduction skills,\or did your yokai friends tell you I was here? response:	I have an appointment for my eye and leg, as well.
context: Those are pretty.\Are you going to visit your cousin again?\You sure have excellent timing.\Was it your usual deduction skills,\or did your yokai friends tell you I was here?\I have an appointment for my eye and leg, as well. response:	It was pure coincidence.
context: Those are pretty.\Are you going to visit your cousin again?\You sure have excellent timing.\Was it your usual deduction skills,\or did your yokai friends tell you I was here?\I have an appointment for my eye and leg, as well.\It was pure coincidence. response:	Ever since that ordeal the other day,
context: Those are pretty.\Are you going to visit your cousin again?\You sure have excellent timing.\Was it your usual deduction skills,\or did your yokai friends tell you I was here?\I have an appointment for my eye and leg, as well.\It was pure coincidence.\Ever since that ordeal the other day, response:	the ayakashi won't stop talking about you.
context: Are you going to visit your cousin again?\You sure have excellent timing.\Was it your usual deduction skills,\or did your yokai friends tell you I was here?\I have an appointment for my eye and leg, as well.\It was pure coincidence.\Ever since that ordeal the other day,\the ayakashi won't stop talking about you. response:	He must be an unrivaled yokai.
context: You sure have excellent timing.\Was it your usual deduction skills,\or did your yokai friends tell you I was here?\I have an appointment for my eye and leg, as well.\It was pure coincidence.\Ever since that ordeal the other day,\the ayakashi won't stop talking about you.\He must be an unrivaled yokai. response:	My lady!
context: Was it your usual deduction skills,\or did your yokai friends tell you I was here?\I have an appointment for my eye and leg, as well.\It was pure coincidence.\Ever since that ordeal the other day,\the ayakashi won't stop talking about you.\He must be an unrivaled yokai.\My lady! response:	I bet he's gonna cook us up and eat us!
context: or did your yokai friends tell you I was here?\I have an appointment for my eye and leg, as well.\It was pure coincidence.\Ever since that ordeal the other day,\the ayakashi won't stop talking about you.\He must be an unrivaled yokai.\My lady!\I bet he's gonna cook us up and eat us! response:	My lady, help!
context: I have an appointment for my eye and leg, as well.\It was pure coincidence.\Ever since that ordeal the other day,\the ayakashi won't stop talking about you.\He must be an unrivaled yokai.\My lady!\I bet he's gonna cook us up and eat us!\My lady, help! response:	I helped you guys out, and that's the thanks I get?
context: It was pure coincidence.\Ever since that ordeal the other day,\the ayakashi won't stop talking about you.\He must be an unrivaled yokai.\My lady!\I bet he's gonna cook us up and eat us!\My lady, help!\I helped you guys out, and that's the thanks I get? response:	Well, it's your power that scares them.
context: Ever since that ordeal the other day,\the ayakashi won't stop talking about you.\He must be an unrivaled yokai.\My lady!\I bet he's gonna cook us up and eat us!\My lady, help!\I helped you guys out, and that's the thanks I get?\Well, it's your power that scares them. response:	So your left arm is really okay?
context: the ayakashi won't stop talking about you.\He must be an unrivaled yokai.\My lady!\I bet he's gonna cook us up and eat us!\My lady, help!\I helped you guys out, and that's the thanks I get?\Well, it's your power that scares them.\So your left arm is really okay? response:	What? You're actually worried about me?
context: He must be an unrivaled yokai.\My lady!\I bet he's gonna cook us up and eat us!\My lady, help!\I helped you guys out, and that's the thanks I get?\Well, it's your power that scares them.\So your left arm is really okay?\What? You're actually worried about me? response:	I'm the one who involved you in all this.
context: My lady!\I bet he's gonna cook us up and eat us!\My lady, help!\I helped you guys out, and that's the thanks I get?\Well, it's your power that scares them.\So your left arm is really okay?\What? You're actually worried about me?\I'm the one who involved you in all this. response:	See? It's fine.
