context: Episode 6 Umaru's Birthday response:	Umaru, it's midnight. Time for bed.
context: Episode 6 Umaru's Birthday\Umaru, it's midnight. Time for bed. response:	What? But I'm not tired at all.
context: Episode 6 Umaru's Birthday\Umaru, it's midnight. Time for bed.\What? But I'm not tired at all. response:	You have to go to sleep at a set time to maintain a rhythm.
context: Episode 6 Umaru's Birthday\Umaru, it's midnight. Time for bed.\What? But I'm not tired at all.\You have to go to sleep at a set time to maintain a rhythm. response:	Well, goodnight.
context: Episode 6 Umaru's Birthday\Umaru, it's midnight. Time for bed.\What? But I'm not tired at all.\You have to go to sleep at a set time to maintain a rhythm.\Well, goodnight. response:	Goodnight.
context: Episode 6 Umaru's Birthday\Umaru, it's midnight. Time for bed.\What? But I'm not tired at all.\You have to go to sleep at a set time to maintain a rhythm.\Well, goodnight.\Goodnight. response:	So he fell asleep.
context: Episode 6 Umaru's Birthday\Umaru, it's midnight. Time for bed.\What? But I'm not tired at all.\You have to go to sleep at a set time to maintain a rhythm.\Well, goodnight.\Goodnight.\So he fell asleep. response:	There's no way I can get to sleep yet since I took a nap after school.
context: Episode 6 Umaru's Birthday\Umaru, it's midnight. Time for bed.\What? But I'm not tired at all.\You have to go to sleep at a set time to maintain a rhythm.\Well, goodnight.\Goodnight.\So he fell asleep.\There's no way I can get to sleep yet since I took a nap after school. response:	I wish Onii-chan would consider my rhythm a little more.
context: Umaru, it's midnight. Time for bed.\What? But I'm not tired at all.\You have to go to sleep at a set time to maintain a rhythm.\Well, goodnight.\Goodnight.\So he fell asleep.\There's no way I can get to sleep yet since I took a nap after school.\I wish Onii-chan would consider my rhythm a little more. response:	Well, whatever.
context: What? But I'm not tired at all.\You have to go to sleep at a set time to maintain a rhythm.\Well, goodnight.\Goodnight.\So he fell asleep.\There's no way I can get to sleep yet since I took a nap after school.\I wish Onii-chan would consider my rhythm a little more.\Well, whatever. response:	Now I can enjoy some late-night relaxing time.
context: You have to go to sleep at a set time to maintain a rhythm.\Well, goodnight.\Goodnight.\So he fell asleep.\There's no way I can get to sleep yet since I took a nap after school.\I wish Onii-chan would consider my rhythm a little more.\Well, whatever.\Now I can enjoy some late-night relaxing time. response:	Huh?
