context: That's Theo Cornaro? response:	He's much younger than I thought!
context: That's Theo Cornaro?\He's much younger than I thought! response:	To launch an attack on Ladvan Torius' castle,
context: That's Theo Cornaro?\He's much younger than I thought!\To launch an attack on Ladvan Torius' castle, response:	we'll first need to successfully capture that town.
context: That's Theo Cornaro?\He's much younger than I thought!\To launch an attack on Ladvan Torius' castle,\we'll first need to successfully capture that town. response:	If a battle ensues, both sides are sure to see heavy casualties.
context: That's Theo Cornaro?\He's much younger than I thought!\To launch an attack on Ladvan Torius' castle,\we'll first need to successfully capture that town.\If a battle ensues, both sides are sure to see heavy casualties. response:	That youth is the one who defeated the Waldlind knights?
context: That's Theo Cornaro?\He's much younger than I thought!\To launch an attack on Ladvan Torius' castle,\we'll first need to successfully capture that town.\If a battle ensues, both sides are sure to see heavy casualties.\That youth is the one who defeated the Waldlind knights? response:	What will become of our town?
context: That's Theo Cornaro?\He's much younger than I thought!\To launch an attack on Ladvan Torius' castle,\we'll first need to successfully capture that town.\If a battle ensues, both sides are sure to see heavy casualties.\That youth is the one who defeated the Waldlind knights?\What will become of our town? response:	It would be better to avoid a battle, huh?
context: That's Theo Cornaro?\He's much younger than I thought!\To launch an attack on Ladvan Torius' castle,\we'll first need to successfully capture that town.\If a battle ensues, both sides are sure to see heavy casualties.\That youth is the one who defeated the Waldlind knights?\What will become of our town?\It would be better to avoid a battle, huh? response:	But their leader, Lord Ladvan, is a man of conscience.
context: He's much younger than I thought!\To launch an attack on Ladvan Torius' castle,\we'll first need to successfully capture that town.\If a battle ensues, both sides are sure to see heavy casualties.\That youth is the one who defeated the Waldlind knights?\What will become of our town?\It would be better to avoid a battle, huh?\But their leader, Lord Ladvan, is a man of conscience. response:	No matter what you propose, I'm sure he won't surrender.
context: To launch an attack on Ladvan Torius' castle,\we'll first need to successfully capture that town.\If a battle ensues, both sides are sure to see heavy casualties.\That youth is the one who defeated the Waldlind knights?\What will become of our town?\It would be better to avoid a battle, huh?\But their leader, Lord Ladvan, is a man of conscience.\No matter what you propose, I'm sure he won't surrender. response:	But Sir Theo, maybe you can...
context: we'll first need to successfully capture that town.\If a battle ensues, both sides are sure to see heavy casualties.\That youth is the one who defeated the Waldlind knights?\What will become of our town?\It would be better to avoid a battle, huh?\But their leader, Lord Ladvan, is a man of conscience.\No matter what you propose, I'm sure he won't surrender.\But Sir Theo, maybe you can... response:	Now this is just the next-best plan...
context: If a battle ensues, both sides are sure to see heavy casualties.\That youth is the one who defeated the Waldlind knights?\What will become of our town?\It would be better to avoid a battle, huh?\But their leader, Lord Ladvan, is a man of conscience.\No matter what you propose, I'm sure he won't surrender.\But Sir Theo, maybe you can...\Now this is just the next-best plan... response:	If he refuses to surrender, please convince him to settle things outside the village.
context: That youth is the one who defeated the Waldlind knights?\What will become of our town?\It would be better to avoid a battle, huh?\But their leader, Lord Ladvan, is a man of conscience.\No matter what you propose, I'm sure he won't surrender.\But Sir Theo, maybe you can...\Now this is just the next-best plan...\If he refuses to surrender, please convince him to settle things outside the village. response:	As a man who values his people, I'm sure he'll comply.
context: What will become of our town?\It would be better to avoid a battle, huh?\But their leader, Lord Ladvan, is a man of conscience.\No matter what you propose, I'm sure he won't surrender.\But Sir Theo, maybe you can...\Now this is just the next-best plan...\If he refuses to surrender, please convince him to settle things outside the village.\As a man who values his people, I'm sure he'll comply. response:	I am the leader of this village, Ladvan Torius!
context: It would be better to avoid a battle, huh?\But their leader, Lord Ladvan, is a man of conscience.\No matter what you propose, I'm sure he won't surrender.\But Sir Theo, maybe you can...\Now this is just the next-best plan...\If he refuses to surrender, please convince him to settle things outside the village.\As a man who values his people, I'm sure he'll comply.\I am the leader of this village, Ladvan Torius! response:	I am a knight serving Villar Constance, the Earl of Artuk...
