context: Complaint and Roar response:	yume kanaeru made chousen wa tsuzuku
context: Complaint and Roar\yume kanaeru made chousen wa tsuzuku response:	boku wa dokomade chikazuketandarou?
context: Complaint and Roar\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou? response:	juunengo no mirai kagayaiteru sugata wa
context: Complaint and Roar\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa response:	koukai wa shinai jibun de egaita story
context: Complaint and Roar\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story response:	fumidaseba yukute habamu genjitsu
context: Complaint and Roar\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu response:	makenai to ima mune ni chikatta
context: Complaint and Roar\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta response:	kokorozashita tsukamitai yume ga arukara
context: Complaint and Roar\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara response:	moyashite yuke jounetsu wo atsuku
context: yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku response:	yume no tochuu de meguriau deai to wakare
context: boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare response:	kimi ga oshietekureta boku dake ga motsu chikara
context: juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara response:	tachiagatteikundayo nando tsumazuitatte
context: koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte response:	Dream of life
context: fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life response:	Kichijouji Police
context: makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Kichijouji Police response:	The serialization committee is on the 25th... you mean, Christmas?
context: kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Kichijouji Police\The serialization committee is on the 25th... you mean, Christmas? response:	Yeah, for some reason, it often ends up on Christmas.
context: moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Kichijouji Police\The serialization committee is on the 25th... you mean, Christmas?\Yeah, for some reason, it often ends up on Christmas. response:	The rival inventor's name is Metal Black... I like that it sounds evil.
context: yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Kichijouji Police\The serialization committee is on the 25th... you mean, Christmas?\Yeah, for some reason, it often ends up on Christmas.\The rival inventor's name is Metal Black... I like that it sounds evil. response:	It reminds me of the Black Demon Lord.
context: kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Kichijouji Police\The serialization committee is on the 25th... you mean, Christmas?\Yeah, for some reason, it often ends up on Christmas.\The rival inventor's name is Metal Black... I like that it sounds evil.\It reminds me of the Black Demon Lord. response:	I thought I'd go with color related names for the villains.
context: tachiagatteikundayo nando tsumazuitatte\Dream of life\Kichijouji Police\The serialization committee is on the 25th... you mean, Christmas?\Yeah, for some reason, it often ends up on Christmas.\The rival inventor's name is Metal Black... I like that it sounds evil.\It reminds me of the Black Demon Lord.\I thought I'd go with color related names for the villains. response:	I see. Black's granddaughter is Pink,
context: Dream of life\Kichijouji Police\The serialization committee is on the 25th... you mean, Christmas?\Yeah, for some reason, it often ends up on Christmas.\The rival inventor's name is Metal Black... I like that it sounds evil.\It reminds me of the Black Demon Lord.\I thought I'd go with color related names for the villains.\I see. Black's granddaughter is Pink, response:	and she's in Tanto's class.
context: Kichijouji Police\The serialization committee is on the 25th... you mean, Christmas?\Yeah, for some reason, it often ends up on Christmas.\The rival inventor's name is Metal Black... I like that it sounds evil.\It reminds me of the Black Demon Lord.\I thought I'd go with color related names for the villains.\I see. Black's granddaughter is Pink,\and she's in Tanto's class. response:	So these two will appear at the end of chapter two.
context: The serialization committee is on the 25th... you mean, Christmas?\Yeah, for some reason, it often ends up on Christmas.\The rival inventor's name is Metal Black... I like that it sounds evil.\It reminds me of the Black Demon Lord.\I thought I'd go with color related names for the villains.\I see. Black's granddaughter is Pink,\and she's in Tanto's class.\So these two will appear at the end of chapter two. response:	The problem lies with the third chapter. How will they interact with the protagonist?
context: Yeah, for some reason, it often ends up on Christmas.\The rival inventor's name is Metal Black... I like that it sounds evil.\It reminds me of the Black Demon Lord.\I thought I'd go with color related names for the villains.\I see. Black's granddaughter is Pink,\and she's in Tanto's class.\So these two will appear at the end of chapter two.\The problem lies with the third chapter. How will they interact with the protagonist? response:	But if you do this well, it'll definitely be better than the last storyboard you submitted to the serialization committee.
context: The rival inventor's name is Metal Black... I like that it sounds evil.\It reminds me of the Black Demon Lord.\I thought I'd go with color related names for the villains.\I see. Black's granddaughter is Pink,\and she's in Tanto's class.\So these two will appear at the end of chapter two.\The problem lies with the third chapter. How will they interact with the protagonist?\But if you do this well, it'll definitely be better than the last storyboard you submitted to the serialization committee. response:	I like how he's going to take over the world little by little.
context: It reminds me of the Black Demon Lord.\I thought I'd go with color related names for the villains.\I see. Black's granddaughter is Pink,\and she's in Tanto's class.\So these two will appear at the end of chapter two.\The problem lies with the third chapter. How will they interact with the protagonist?\But if you do this well, it'll definitely be better than the last storyboard you submitted to the serialization committee.\I like how he's going to take over the world little by little. response:	This pose is good, too.
context: I thought I'd go with color related names for the villains.\I see. Black's granddaughter is Pink,\and she's in Tanto's class.\So these two will appear at the end of chapter two.\The problem lies with the third chapter. How will they interact with the protagonist?\But if you do this well, it'll definitely be better than the last storyboard you submitted to the serialization committee.\I like how he's going to take over the world little by little.\This pose is good, too. response:	We both tried to think of petty evil inventions, but it was pretty tough.
context: I see. Black's granddaughter is Pink,\and she's in Tanto's class.\So these two will appear at the end of chapter two.\The problem lies with the third chapter. How will they interact with the protagonist?\But if you do this well, it'll definitely be better than the last storyboard you submitted to the serialization committee.\I like how he's going to take over the world little by little.\This pose is good, too.\We both tried to think of petty evil inventions, but it was pretty tough. response:	We thought of a soda that makes you want to do bad things once you drink it, called Evil Dew...
context: and she's in Tanto's class.\So these two will appear at the end of chapter two.\The problem lies with the third chapter. How will they interact with the protagonist?\But if you do this well, it'll definitely be better than the last storyboard you submitted to the serialization committee.\I like how he's going to take over the world little by little.\This pose is good, too.\We both tried to think of petty evil inventions, but it was pretty tough.\We thought of a soda that makes you want to do bad things once you drink it, called Evil Dew... response:	That's great!
