context: Wait! response:	It's been a week since the battle in the coal pit,
context: Wait!\It's been a week since the battle in the coal pit, response:	Get back here!
context: Wait!\It's been a week since the battle in the coal pit,\Get back here! response:	and my shield's gained so many skills and abilities I lost count of them all.
context: Wait!\It's been a week since the battle in the coal pit,\Get back here!\and my shield's gained so many skills and abilities I lost count of them all. response:	Animal Needle Shield
context: Wait!\It's been a week since the battle in the coal pit,\Get back here!\and my shield's gained so many skills and abilities I lost count of them all.\Animal Needle Shield response:	But I still let my guard down and got hurt.
context: Wait!\It's been a week since the battle in the coal pit,\Get back here!\and my shield's gained so many skills and abilities I lost count of them all.\Animal Needle Shield\But I still let my guard down and got hurt. response:	Naofumi-sama!
context: Wait!\It's been a week since the battle in the coal pit,\Get back here!\and my shield's gained so many skills and abilities I lost count of them all.\Animal Needle Shield\But I still let my guard down and got hurt.\Naofumi-sama! response:	Shield Prison!
context: Wait!\It's been a week since the battle in the coal pit,\Get back here!\and my shield's gained so many skills and abilities I lost count of them all.\Animal Needle Shield\But I still let my guard down and got hurt.\Naofumi-sama!\Shield Prison! response:	The Wave is almost here.
context: It's been a week since the battle in the coal pit,\Get back here!\and my shield's gained so many skills and abilities I lost count of them all.\Animal Needle Shield\But I still let my guard down and got hurt.\Naofumi-sama!\Shield Prison!\The Wave is almost here. response:	It's about time we upgraded our equipment.
context: Get back here!\and my shield's gained so many skills and abilities I lost count of them all.\Animal Needle Shield\But I still let my guard down and got hurt.\Naofumi-sama!\Shield Prison!\The Wave is almost here.\It's about time we upgraded our equipment. response:	Naofumi-sama!
context: and my shield's gained so many skills and abilities I lost count of them all.\Animal Needle Shield\But I still let my guard down and got hurt.\Naofumi-sama!\Shield Prison!\The Wave is almost here.\It's about time we upgraded our equipment.\Naofumi-sama! response:	I did it!
context: Animal Needle Shield\But I still let my guard down and got hurt.\Naofumi-sama!\Shield Prison!\The Wave is almost here.\It's about time we upgraded our equipment.\Naofumi-sama!\I did it! response:	The Rising of the Shield Hero
context: But I still let my guard down and got hurt.\Naofumi-sama!\Shield Prison!\The Wave is almost here.\It's about time we upgraded our equipment.\Naofumi-sama!\I did it!\The Rising of the Shield Hero response:	Wave of Catastrophe
context: Naofumi-sama!\Shield Prison!\The Wave is almost here.\It's about time we upgraded our equipment.\Naofumi-sama!\I did it!\The Rising of the Shield Hero\Wave of Catastrophe response:	Wow, I hardly recognized you!
context: Shield Prison!\The Wave is almost here.\It's about time we upgraded our equipment.\Naofumi-sama!\I did it!\The Rising of the Shield Hero\Wave of Catastrophe\Wow, I hardly recognized you! response:	You've turned into a real pretty lady.
context: The Wave is almost here.\It's about time we upgraded our equipment.\Naofumi-sama!\I did it!\The Rising of the Shield Hero\Wave of Catastrophe\Wow, I hardly recognized you!\You've turned into a real pretty lady. response:	I haven't seen you in a while.
context: It's about time we upgraded our equipment.\Naofumi-sama!\I did it!\The Rising of the Shield Hero\Wave of Catastrophe\Wow, I hardly recognized you!\You've turned into a real pretty lady.\I haven't seen you in a while. response:	What've you been up to?
context: Naofumi-sama!\I did it!\The Rising of the Shield Hero\Wave of Catastrophe\Wow, I hardly recognized you!\You've turned into a real pretty lady.\I haven't seen you in a while.\What've you been up to? response:	I had the innkeeper teach me table manners.
context: I did it!\The Rising of the Shield Hero\Wave of Catastrophe\Wow, I hardly recognized you!\You've turned into a real pretty lady.\I haven't seen you in a while.\What've you been up to?\I had the innkeeper teach me table manners. response:	I want to eat my food properly, like Naofumi-sama does.
context: The Rising of the Shield Hero\Wave of Catastrophe\Wow, I hardly recognized you!\You've turned into a real pretty lady.\I haven't seen you in a while.\What've you been up to?\I had the innkeeper teach me table manners.\I want to eat my food properly, like Naofumi-sama does. response:	That so?
context: Wave of Catastrophe\Wow, I hardly recognized you!\You've turned into a real pretty lady.\I haven't seen you in a while.\What've you been up to?\I had the innkeeper teach me table manners.\I want to eat my food properly, like Naofumi-sama does.\That so? response:	You've grown so much.
context: Wow, I hardly recognized you!\You've turned into a real pretty lady.\I haven't seen you in a while.\What've you been up to?\I had the innkeeper teach me table manners.\I want to eat my food properly, like Naofumi-sama does.\That so?\You've grown so much. response:	Nothing like the pipsqueak you used to be.
context: You've turned into a real pretty lady.\I haven't seen you in a while.\What've you been up to?\I had the innkeeper teach me table manners.\I want to eat my food properly, like Naofumi-sama does.\That so?\You've grown so much.\Nothing like the pipsqueak you used to be. response:	You think?
context: I haven't seen you in a while.\What've you been up to?\I had the innkeeper teach me table manners.\I want to eat my food properly, like Naofumi-sama does.\That so?\You've grown so much.\Nothing like the pipsqueak you used to be.\You think? response:	Huh?
context: What've you been up to?\I had the innkeeper teach me table manners.\I want to eat my food properly, like Naofumi-sama does.\That so?\You've grown so much.\Nothing like the pipsqueak you used to be.\You think?\Huh? response:	Someone's hard to please.
context: I had the innkeeper teach me table manners.\I want to eat my food properly, like Naofumi-sama does.\That so?\You've grown so much.\Nothing like the pipsqueak you used to be.\You think?\Huh?\Someone's hard to please. response:	I'm actually quite shocked, too.
context: I want to eat my food properly, like Naofumi-sama does.\That so?\You've grown so much.\Nothing like the pipsqueak you used to be.\You think?\Huh?\Someone's hard to please.\I'm actually quite shocked, too. response:	This country is full of lolicons.
context: That so?\You've grown so much.\Nothing like the pipsqueak you used to be.\You think?\Huh?\Someone's hard to please.\I'm actually quite shocked, too.\This country is full of lolicons. response:	Wow, Miss. You're adorable.
context: You've grown so much.\Nothing like the pipsqueak you used to be.\You think?\Huh?\Someone's hard to please.\I'm actually quite shocked, too.\This country is full of lolicons.\Wow, Miss. You're adorable. response:	Have another one on the house.
