context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Clover Kingdom Royal Capital
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital response:	Time has passed, and the title
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital\Time has passed, and the title response:	of the Wizard King has been passed down through generations.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital\Time has passed, and the title\of the Wizard King has been passed down through generations. response:	The Wizard King commands the Magic Knights, and they protect the kingdom together.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital\Time has passed, and the title\of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together. response:	The Magic Knights are comprised of nine squads of mages
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital\Time has passed, and the title\of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages response:	that specialize in combat, all under the command of the Wizard King.
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital\Time has passed, and the title\of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King. response:	This band of heroes protects the kingdom with their lives.
context: He was called the Wizard King, and he became a legend.\Clover Kingdom Royal Capital\Time has passed, and the title\of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives. response:	To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.
context: Clover Kingdom Royal Capital\Time has passed, and the title\of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom. response:	To the Royal Capital of the Clover Kingdom!
context: Time has passed, and the title\of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.\To the Royal Capital of the Clover Kingdom! response:	Grey words can't make anything happen
context: of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.\To the Royal Capital of the Clover Kingdom!\Grey words can't make anything happen response:	I know, yeah I know
context: The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.\To the Royal Capital of the Clover Kingdom!\Grey words can't make anything happen\I know, yeah I know response:	Wishing to fly freely across the sky
context: The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.\To the Royal Capital of the Clover Kingdom!\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky response:	I dreamed it all my life
context: that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.\To the Royal Capital of the Clover Kingdom!\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life response:	Step by step I go, though it's a doubtful world
