context: Fool! This is not a race! response:	Look Master Jaken!
context: Fool! This is not a race!\Look Master Jaken! response:	Just as Lord Sesshomaru said, there's a dead demon!
context: Fool! This is not a race!\Look Master Jaken!\Just as Lord Sesshomaru said, there's a dead demon! response:	My goodness, who could have...
context: Fool! This is not a race!\Look Master Jaken!\Just as Lord Sesshomaru said, there's a dead demon!\My goodness, who could have... response:	It was Inuyasha.
context: Fool! This is not a race!\Look Master Jaken!\Just as Lord Sesshomaru said, there's a dead demon!\My goodness, who could have...\It was Inuyasha. response:	Lord Sesshomaru.
context: Fool! This is not a race!\Look Master Jaken!\Just as Lord Sesshomaru said, there's a dead demon!\My goodness, who could have...\It was Inuyasha.\Lord Sesshomaru. response:	Although... I don't think he got away unscathed either.
context: Fool! This is not a race!\Look Master Jaken!\Just as Lord Sesshomaru said, there's a dead demon!\My goodness, who could have...\It was Inuyasha.\Lord Sesshomaru.\Although... I don't think he got away unscathed either. response:	I can smell it on this demon's fangs...
context: Fool! This is not a race!\Look Master Jaken!\Just as Lord Sesshomaru said, there's a dead demon!\My goodness, who could have...\It was Inuyasha.\Lord Sesshomaru.\Although... I don't think he got away unscathed either.\I can smell it on this demon's fangs... response:	The scent of Tetsusaiga.
context: Look Master Jaken!\Just as Lord Sesshomaru said, there's a dead demon!\My goodness, who could have...\It was Inuyasha.\Lord Sesshomaru.\Although... I don't think he got away unscathed either.\I can smell it on this demon's fangs...\The scent of Tetsusaiga. response:	Just as I thought...
context: Just as Lord Sesshomaru said, there's a dead demon!\My goodness, who could have...\It was Inuyasha.\Lord Sesshomaru.\Although... I don't think he got away unscathed either.\I can smell it on this demon's fangs...\The scent of Tetsusaiga.\Just as I thought... response:	these fangs broke Tetsusaiga apart.
context: My goodness, who could have...\It was Inuyasha.\Lord Sesshomaru.\Although... I don't think he got away unscathed either.\I can smell it on this demon's fangs...\The scent of Tetsusaiga.\Just as I thought...\these fangs broke Tetsusaiga apart. response:	- Let us go. - Are you taking that?
context: It was Inuyasha.\Lord Sesshomaru.\Although... I don't think he got away unscathed either.\I can smell it on this demon's fangs...\The scent of Tetsusaiga.\Just as I thought...\these fangs broke Tetsusaiga apart.\- Let us go. - Are you taking that? response:	Silence, Rin. You make too much noise.
context: Lord Sesshomaru.\Although... I don't think he got away unscathed either.\I can smell it on this demon's fangs...\The scent of Tetsusaiga.\Just as I thought...\these fangs broke Tetsusaiga apart.\- Let us go. - Are you taking that?\Silence, Rin. You make too much noise. response:	All right!
context: Although... I don't think he got away unscathed either.\I can smell it on this demon's fangs...\The scent of Tetsusaiga.\Just as I thought...\these fangs broke Tetsusaiga apart.\- Let us go. - Are you taking that?\Silence, Rin. You make too much noise.\All right! response:	I knew immediately what happened here...
context: I can smell it on this demon's fangs...\The scent of Tetsusaiga.\Just as I thought...\these fangs broke Tetsusaiga apart.\- Let us go. - Are you taking that?\Silence, Rin. You make too much noise.\All right!\I knew immediately what happened here... response:	by the smell in the wind, but...
context: The scent of Tetsusaiga.\Just as I thought...\these fangs broke Tetsusaiga apart.\- Let us go. - Are you taking that?\Silence, Rin. You make too much noise.\All right!\I knew immediately what happened here...\by the smell in the wind, but... response:	one thing - what was it?
context: Just as I thought...\these fangs broke Tetsusaiga apart.\- Let us go. - Are you taking that?\Silence, Rin. You make too much noise.\All right!\I knew immediately what happened here...\by the smell in the wind, but...\one thing - what was it? response:	The smell of Inuyasha's blood changed.
context: these fangs broke Tetsusaiga apart.\- Let us go. - Are you taking that?\Silence, Rin. You make too much noise.\All right!\I knew immediately what happened here...\by the smell in the wind, but...\one thing - what was it?\The smell of Inuyasha's blood changed. response:	That's right - it was not the smell of a half-demon.
context: - Let us go. - Are you taking that?\Silence, Rin. You make too much noise.\All right!\I knew immediately what happened here...\by the smell in the wind, but...\one thing - what was it?\The smell of Inuyasha's blood changed.\That's right - it was not the smell of a half-demon. response:	It was the same smell as my blood and our father's.
context: Silence, Rin. You make too much noise.\All right!\I knew immediately what happened here...\by the smell in the wind, but...\one thing - what was it?\The smell of Inuyasha's blood changed.\That's right - it was not the smell of a half-demon.\It was the same smell as my blood and our father's. response:	When Tetsusaiga was broken in two, I thought I was gonna die.
context: All right!\I knew immediately what happened here...\by the smell in the wind, but...\one thing - what was it?\The smell of Inuyasha's blood changed.\That's right - it was not the smell of a half-demon.\It was the same smell as my blood and our father's.\When Tetsusaiga was broken in two, I thought I was gonna die. response:	When I said to myself I didn't want to die...
context: I knew immediately what happened here...\by the smell in the wind, but...\one thing - what was it?\The smell of Inuyasha's blood changed.\That's right - it was not the smell of a half-demon.\It was the same smell as my blood and our father's.\When Tetsusaiga was broken in two, I thought I was gonna die.\When I said to myself I didn't want to die... response:	my body started to get hot.
context: by the smell in the wind, but...\one thing - what was it?\The smell of Inuyasha's blood changed.\That's right - it was not the smell of a half-demon.\It was the same smell as my blood and our father's.\When Tetsusaiga was broken in two, I thought I was gonna die.\When I said to myself I didn't want to die...\my body started to get hot. response:	And before I realized it, I had killed Goshinki.
context: one thing - what was it?\The smell of Inuyasha's blood changed.\That's right - it was not the smell of a half-demon.\It was the same smell as my blood and our father's.\When Tetsusaiga was broken in two, I thought I was gonna die.\When I said to myself I didn't want to die...\my body started to get hot.\And before I realized it, I had killed Goshinki. response:	At that time, I felt something I never felt before...
