context: You've gotta be kidding! Even if it is Feudal Japan... response:	There's no hot baths?!
context: You've gotta be kidding! Even if it is Feudal Japan...\There's no hot baths?! response:	C-C-Cuh-Cuh...
context: You've gotta be kidding! Even if it is Feudal Japan...\There's no hot baths?!\C-C-Cuh-Cuh... response:	Cold!
context: You've gotta be kidding! Even if it is Feudal Japan...\There's no hot baths?!\C-C-Cuh-Cuh...\Cold! response:	Kagome, don't force it. Come on out.
context: You've gotta be kidding! Even if it is Feudal Japan...\There's no hot baths?!\C-C-Cuh-Cuh...\Cold!\Kagome, don't force it. Come on out. response:	No! I'm all bloody and dirty.
context: You've gotta be kidding! Even if it is Feudal Japan...\There's no hot baths?!\C-C-Cuh-Cuh...\Cold!\Kagome, don't force it. Come on out.\No! I'm all bloody and dirty. response:	And I can't stand my filthy hair!
context: You've gotta be kidding! Even if it is Feudal Japan...\There's no hot baths?!\C-C-Cuh-Cuh...\Cold!\Kagome, don't force it. Come on out.\No! I'm all bloody and dirty.\And I can't stand my filthy hair! response:	The Sacred Jewel...
context: You've gotta be kidding! Even if it is Feudal Japan...\There's no hot baths?!\C-C-Cuh-Cuh...\Cold!\Kagome, don't force it. Come on out.\No! I'm all bloody and dirty.\And I can't stand my filthy hair!\The Sacred Jewel... response:	My name is Kagome Higurashi.
context: There's no hot baths?!\C-C-Cuh-Cuh...\Cold!\Kagome, don't force it. Come on out.\No! I'm all bloody and dirty.\And I can't stand my filthy hair!\The Sacred Jewel...\My name is Kagome Higurashi. response:	I'm just your average school kid...
context: C-C-Cuh-Cuh...\Cold!\Kagome, don't force it. Come on out.\No! I'm all bloody and dirty.\And I can't stand my filthy hair!\The Sacred Jewel...\My name is Kagome Higurashi.\I'm just your average school kid... response:	but, through some strange, weird situation...
context: Cold!\Kagome, don't force it. Come on out.\No! I'm all bloody and dirty.\And I can't stand my filthy hair!\The Sacred Jewel...\My name is Kagome Higurashi.\I'm just your average school kid...\but, through some strange, weird situation... response:	I've ended up here, in the Warring Statesera.
context: Kagome, don't force it. Come on out.\No! I'm all bloody and dirty.\And I can't stand my filthy hair!\The Sacred Jewel...\My name is Kagome Higurashi.\I'm just your average school kid...\but, through some strange, weird situation...\I've ended up here, in the Warring Statesera. response:	Rejoice! My power is coming back!
context: No! I'm all bloody and dirty.\And I can't stand my filthy hair!\The Sacred Jewel...\My name is Kagome Higurashi.\I'm just your average school kid...\but, through some strange, weird situation...\I've ended up here, in the Warring Statesera.\Rejoice! My power is coming back! response:	My body is being restored!
context: And I can't stand my filthy hair!\The Sacred Jewel...\My name is Kagome Higurashi.\I'm just your average school kid...\but, through some strange, weird situation...\I've ended up here, in the Warring Statesera.\Rejoice! My power is coming back!\My body is being restored! response:	You have it...
context: The Sacred Jewel...\My name is Kagome Higurashi.\I'm just your average school kid...\but, through some strange, weird situation...\I've ended up here, in the Warring Statesera.\Rejoice! My power is coming back!\My body is being restored!\You have it... response:	I know you have it!!
context: My name is Kagome Higurashi.\I'm just your average school kid...\but, through some strange, weird situation...\I've ended up here, in the Warring Statesera.\Rejoice! My power is coming back!\My body is being restored!\You have it...\I know you have it!! response:	Let me go! You're disgusting!
context: I'm just your average school kid...\but, through some strange, weird situation...\I've ended up here, in the Warring Statesera.\Rejoice! My power is coming back!\My body is being restored!\You have it...\I know you have it!!\Let me go! You're disgusting! response:	Let me go!
context: but, through some strange, weird situation...\I've ended up here, in the Warring Statesera.\Rejoice! My power is coming back!\My body is being restored!\You have it...\I know you have it!!\Let me go! You're disgusting!\Let me go! response:	I've also become the target of demons...
context: I've ended up here, in the Warring Statesera.\Rejoice! My power is coming back!\My body is being restored!\You have it...\I know you have it!!\Let me go! You're disgusting!\Let me go!\I've also become the target of demons... response:	all after a jewel in my body.
context: Rejoice! My power is coming back!\My body is being restored!\You have it...\I know you have it!!\Let me go! You're disgusting!\Let me go!\I've also become the target of demons...\all after a jewel in my body. response:	This Jewel of Four Souls, which belonged to some Kikyoperson...
context: My body is being restored!\You have it...\I know you have it!!\Let me go! You're disgusting!\Let me go!\I've also become the target of demons...\all after a jewel in my body.\This Jewel of Four Souls, which belonged to some Kikyoperson... response:	How did it end up in ME?
context: You have it...\I know you have it!!\Let me go! You're disgusting!\Let me go!\I've also become the target of demons...\all after a jewel in my body.\This Jewel of Four Souls, which belonged to some Kikyoperson...\How did it end up in ME? response:	Now I have to team up with a half-demon called Inuyasha...
context: I know you have it!!\Let me go! You're disgusting!\Let me go!\I've also become the target of demons...\all after a jewel in my body.\This Jewel of Four Souls, which belonged to some Kikyoperson...\How did it end up in ME?\Now I have to team up with a half-demon called Inuyasha... response:	who wants Jewel's power...
context: Let me go! You're disgusting!\Let me go!\I've also become the target of demons...\all after a jewel in my body.\This Jewel of Four Souls, which belonged to some Kikyoperson...\How did it end up in ME?\Now I have to team up with a half-demon called Inuyasha...\who wants Jewel's power... response:	and who intends to keep the fragments for himself.
context: Let me go!\I've also become the target of demons...\all after a jewel in my body.\This Jewel of Four Souls, which belonged to some Kikyoperson...\How did it end up in ME?\Now I have to team up with a half-demon called Inuyasha...\who wants Jewel's power...\and who intends to keep the fragments for himself. response:	Am I dreaming?
context: I've also become the target of demons...\all after a jewel in my body.\This Jewel of Four Souls, which belonged to some Kikyoperson...\How did it end up in ME?\Now I have to team up with a half-demon called Inuyasha...\who wants Jewel's power...\and who intends to keep the fragments for himself.\Am I dreaming? response:	But it's NOTa dream!
context: all after a jewel in my body.\This Jewel of Four Souls, which belonged to some Kikyoperson...\How did it end up in ME?\Now I have to team up with a half-demon called Inuyasha...\who wants Jewel's power...\and who intends to keep the fragments for himself.\Am I dreaming?\But it's NOTa dream! response:	What's going on?!
