context: A man died while fighting the monsters. response:	And just like in the game, he revived at the Cathedral.
context: A man died while fighting the monsters.\And just like in the game, he revived at the Cathedral. response:	I'm alive...
context: A man died while fighting the monsters.\And just like in the game, he revived at the Cathedral.\I'm alive... response:	I came back to life?
context: A man died while fighting the monsters.\And just like in the game, he revived at the Cathedral.\I'm alive...\I came back to life? response:	Seriously?
context: A man died while fighting the monsters.\And just like in the game, he revived at the Cathedral.\I'm alive...\I came back to life?\Seriously? response:	But doesn't that mean...
context: A man died while fighting the monsters.\And just like in the game, he revived at the Cathedral.\I'm alive...\I came back to life?\Seriously?\But doesn't that mean... response:	I'm alive again.
context: A man died while fighting the monsters.\And just like in the game, he revived at the Cathedral.\I'm alive...\I came back to life?\Seriously?\But doesn't that mean...\I'm alive again. response:	The MMORPG Elder Tale...
context: A man died while fighting the monsters.\And just like in the game, he revived at the Cathedral.\I'm alive...\I came back to life?\Seriously?\But doesn't that mean...\I'm alive again.\The MMORPG Elder Tale... response:	Without warning, an estimated thirty thousand Japanese alone,
context: And just like in the game, he revived at the Cathedral.\I'm alive...\I came back to life?\Seriously?\But doesn't that mean...\I'm alive again.\The MMORPG Elder Tale...\Without warning, an estimated thirty thousand Japanese alone, response:	and several hundred thousand worldwide,
context: I'm alive...\I came back to life?\Seriously?\But doesn't that mean...\I'm alive again.\The MMORPG Elder Tale...\Without warning, an estimated thirty thousand Japanese alone,\and several hundred thousand worldwide, response:	were trapped in a world just like the game.
context: I came back to life?\Seriously?\But doesn't that mean...\I'm alive again.\The MMORPG Elder Tale...\Without warning, an estimated thirty thousand Japanese alone,\and several hundred thousand worldwide,\were trapped in a world just like the game. response:	And in this world, death is not the end.
context: Seriously?\But doesn't that mean...\I'm alive again.\The MMORPG Elder Tale...\Without warning, an estimated thirty thousand Japanese alone,\and several hundred thousand worldwide,\were trapped in a world just like the game.\And in this world, death is not the end. response:	Astral Bind!
context: But doesn't that mean...\I'm alive again.\The MMORPG Elder Tale...\Without warning, an estimated thirty thousand Japanese alone,\and several hundred thousand worldwide,\were trapped in a world just like the game.\And in this world, death is not the end.\Astral Bind! response:	Slice
context: I'm alive again.\The MMORPG Elder Tale...\Without warning, an estimated thirty thousand Japanese alone,\and several hundred thousand worldwide,\were trapped in a world just like the game.\And in this world, death is not the end.\Astral Bind!\Slice response:	And we're done.
context: The MMORPG Elder Tale...\Without warning, an estimated thirty thousand Japanese alone,\and several hundred thousand worldwide,\were trapped in a world just like the game.\And in this world, death is not the end.\Astral Bind!\Slice\And we're done. response:	Let's call it quits for today.
context: Without warning, an estimated thirty thousand Japanese alone,\and several hundred thousand worldwide,\were trapped in a world just like the game.\And in this world, death is not the end.\Astral Bind!\Slice\And we're done.\Let's call it quits for today. response:	Understood.
context: and several hundred thousand worldwide,\were trapped in a world just like the game.\And in this world, death is not the end.\Astral Bind!\Slice\And we're done.\Let's call it quits for today.\Understood. response:	Our bodies seem to know the basic combat movements.
context: were trapped in a world just like the game.\And in this world, death is not the end.\Astral Bind!\Slice\And we're done.\Let's call it quits for today.\Understood.\Our bodies seem to know the basic combat movements. response:	Even if we don't use commands,
