context: And we broke response:	Everything that was right
context: And we broke\Everything that was right response:	We both enjoyed a good fight
context: And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	Without a single utterance,
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\Without a single utterance, response:	they endure the elements.
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\Without a single utterance,\they endure the elements. response:	Without a single utterance,
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\Without a single utterance,\they endure the elements.\Without a single utterance, response:	they bloom.
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\Without a single utterance,\they endure the elements.\Without a single utterance,\they bloom. response:	And without a single utterance,
context: Mushi-Shi\Just for you\Like I used to\Without a single utterance,\they endure the elements.\Without a single utterance,\they bloom.\And without a single utterance, response:	they corrupt.
context: Just for you\Like I used to\Without a single utterance,\they endure the elements.\Without a single utterance,\they bloom.\And without a single utterance,\they corrupt. response:	Floral Delusion
context: Like I used to\Without a single utterance,\they endure the elements.\Without a single utterance,\they bloom.\And without a single utterance,\they corrupt.\Floral Delusion response:	Ever since I can remember,
context: Without a single utterance,\they endure the elements.\Without a single utterance,\they bloom.\And without a single utterance,\they corrupt.\Floral Delusion\Ever since I can remember, response:	she's been living in our garden lodge.
context: they endure the elements.\Without a single utterance,\they bloom.\And without a single utterance,\they corrupt.\Floral Delusion\Ever since I can remember,\she's been living in our garden lodge. response:	Now, too,
context: Without a single utterance,\they bloom.\And without a single utterance,\they corrupt.\Floral Delusion\Ever since I can remember,\she's been living in our garden lodge.\Now, too, response:	she lives there, as radiant and beautiful as ever.
context: they bloom.\And without a single utterance,\they corrupt.\Floral Delusion\Ever since I can remember,\she's been living in our garden lodge.\Now, too,\she lives there, as radiant and beautiful as ever. response:	Wow...
context: And without a single utterance,\they corrupt.\Floral Delusion\Ever since I can remember,\she's been living in our garden lodge.\Now, too,\she lives there, as radiant and beautiful as ever.\Wow... response:	Ah, that reminds me.
context: they corrupt.\Floral Delusion\Ever since I can remember,\she's been living in our garden lodge.\Now, too,\she lives there, as radiant and beautiful as ever.\Wow...\Ah, that reminds me. response:	There's supposed to be a famous cherry tree around these parts.
context: Floral Delusion\Ever since I can remember,\she's been living in our garden lodge.\Now, too,\she lives there, as radiant and beautiful as ever.\Wow...\Ah, that reminds me.\There's supposed to be a famous cherry tree around these parts. response:	Perhaps I'll stop by and take a look...
context: Ever since I can remember,\she's been living in our garden lodge.\Now, too,\she lives there, as radiant and beautiful as ever.\Wow...\Ah, that reminds me.\There's supposed to be a famous cherry tree around these parts.\Perhaps I'll stop by and take a look... response:	Hm?
context: she's been living in our garden lodge.\Now, too,\she lives there, as radiant and beautiful as ever.\Wow...\Ah, that reminds me.\There's supposed to be a famous cherry tree around these parts.\Perhaps I'll stop by and take a look...\Hm? response:	Hey there.
context: Now, too,\she lives there, as radiant and beautiful as ever.\Wow...\Ah, that reminds me.\There's supposed to be a famous cherry tree around these parts.\Perhaps I'll stop by and take a look...\Hm?\Hey there. response:	I've heard there's a famous cherry tree around here.
context: she lives there, as radiant and beautiful as ever.\Wow...\Ah, that reminds me.\There's supposed to be a famous cherry tree around these parts.\Perhaps I'll stop by and take a look...\Hm?\Hey there.\I've heard there's a famous cherry tree around here. response:	Do you know where it is?
context: Wow...\Ah, that reminds me.\There's supposed to be a famous cherry tree around these parts.\Perhaps I'll stop by and take a look...\Hm?\Hey there.\I've heard there's a famous cherry tree around here.\Do you know where it is? response:	Oh, that tree should be right down this path.
context: Ah, that reminds me.\There's supposed to be a famous cherry tree around these parts.\Perhaps I'll stop by and take a look...\Hm?\Hey there.\I've heard there's a famous cherry tree around here.\Do you know where it is?\Oh, that tree should be right down this path. response:	Are you from around here?
context: There's supposed to be a famous cherry tree around these parts.\Perhaps I'll stop by and take a look...\Hm?\Hey there.\I've heard there's a famous cherry tree around here.\Do you know where it is?\Oh, that tree should be right down this path.\Are you from around here? response:	No, I come from the other side of the mountain.
context: Perhaps I'll stop by and take a look...\Hm?\Hey there.\I've heard there's a famous cherry tree around here.\Do you know where it is?\Oh, that tree should be right down this path.\Are you from around here?\No, I come from the other side of the mountain. response:	I traveled here to get medicine for my mother.
context: Hm?\Hey there.\I've heard there's a famous cherry tree around here.\Do you know where it is?\Oh, that tree should be right down this path.\Are you from around here?\No, I come from the other side of the mountain.\I traveled here to get medicine for my mother. response:	That so? Your mother must be very dear to you.
context: Hey there.\I've heard there's a famous cherry tree around here.\Do you know where it is?\Oh, that tree should be right down this path.\Are you from around here?\No, I come from the other side of the mountain.\I traveled here to get medicine for my mother.\That so? Your mother must be very dear to you. response:	Is there a renowned doctor living up ahead or something?
context: I've heard there's a famous cherry tree around here.\Do you know where it is?\Oh, that tree should be right down this path.\Are you from around here?\No, I come from the other side of the mountain.\I traveled here to get medicine for my mother.\That so? Your mother must be very dear to you.\Is there a renowned doctor living up ahead or something? response:	Yes. He lives next to the cherry tree you asked about, and he's known for medicine that can cure any pain.
context: Do you know where it is?\Oh, that tree should be right down this path.\Are you from around here?\No, I come from the other side of the mountain.\I traveled here to get medicine for my mother.\That so? Your mother must be very dear to you.\Is there a renowned doctor living up ahead or something?\Yes. He lives next to the cherry tree you asked about, and he's known for medicine that can cure any pain. response:	Oh?
context: Oh, that tree should be right down this path.\Are you from around here?\No, I come from the other side of the mountain.\I traveled here to get medicine for my mother.\That so? Your mother must be very dear to you.\Is there a renowned doctor living up ahead or something?\Yes. He lives next to the cherry tree you asked about, and he's known for medicine that can cure any pain.\Oh? response:	Ah!
context: Are you from around here?\No, I come from the other side of the mountain.\I traveled here to get medicine for my mother.\That so? Your mother must be very dear to you.\Is there a renowned doctor living up ahead or something?\Yes. He lives next to the cherry tree you asked about, and he's known for medicine that can cure any pain.\Oh?\Ah! response:	Look, there's the tree!
context: No, I come from the other side of the mountain.\I traveled here to get medicine for my mother.\That so? Your mother must be very dear to you.\Is there a renowned doctor living up ahead or something?\Yes. He lives next to the cherry tree you asked about, and he's known for medicine that can cure any pain.\Oh?\Ah!\Look, there's the tree! response:	What the...
context: I traveled here to get medicine for my mother.\That so? Your mother must be very dear to you.\Is there a renowned doctor living up ahead or something?\Yes. He lives next to the cherry tree you asked about, and he's known for medicine that can cure any pain.\Oh?\Ah!\Look, there's the tree!\What the... response:	It's not even blooming.
context: That so? Your mother must be very dear to you.\Is there a renowned doctor living up ahead or something?\Yes. He lives next to the cherry tree you asked about, and he's known for medicine that can cure any pain.\Oh?\Ah!\Look, there's the tree!\What the...\It's not even blooming. response:	I wonder what's wrong with it.
context: Is there a renowned doctor living up ahead or something?\Yes. He lives next to the cherry tree you asked about, and he's known for medicine that can cure any pain.\Oh?\Ah!\Look, there's the tree!\What the...\It's not even blooming.\I wonder what's wrong with it. response:	That's a shame.
context: Yes. He lives next to the cherry tree you asked about, and he's known for medicine that can cure any pain.\Oh?\Ah!\Look, there's the tree!\What the...\It's not even blooming.\I wonder what's wrong with it.\That's a shame. response:	Well, I'll be taking my leave here.
context: Oh?\Ah!\Look, there's the tree!\What the...\It's not even blooming.\I wonder what's wrong with it.\That's a shame.\Well, I'll be taking my leave here. response:	Right. Good luck getting that medicine.
context: Ah!\Look, there's the tree!\What the...\It's not even blooming.\I wonder what's wrong with it.\That's a shame.\Well, I'll be taking my leave here.\Right. Good luck getting that medicine. response:	Sorry to disturb you!
context: Look, there's the tree!\What the...\It's not even blooming.\I wonder what's wrong with it.\That's a shame.\Well, I'll be taking my leave here.\Right. Good luck getting that medicine.\Sorry to disturb you! response:	Yes?
context: What the...\It's not even blooming.\I wonder what's wrong with it.\That's a shame.\Well, I'll be taking my leave here.\Right. Good luck getting that medicine.\Sorry to disturb you!\Yes? response:	Oh, um...
context: It's not even blooming.\I wonder what's wrong with it.\That's a shame.\Well, I'll be taking my leave here.\Right. Good luck getting that medicine.\Sorry to disturb you!\Yes?\Oh, um... response:	I've heard that you make medicine.
context: I wonder what's wrong with it.\That's a shame.\Well, I'll be taking my leave here.\Right. Good luck getting that medicine.\Sorry to disturb you!\Yes?\Oh, um...\I've heard that you make medicine. response:	My mother is ill.
context: That's a shame.\Well, I'll be taking my leave here.\Right. Good luck getting that medicine.\Sorry to disturb you!\Yes?\Oh, um...\I've heard that you make medicine.\My mother is ill. response:	I'm sorry to hear that.
context: Well, I'll be taking my leave here.\Right. Good luck getting that medicine.\Sorry to disturb you!\Yes?\Oh, um...\I've heard that you make medicine.\My mother is ill.\I'm sorry to hear that. response:	Are you also ill?
