context: The seventh floor?! response:	You almost got yourself killed on the fifth floor not that long ago!
context: The seventh floor?!\You almost got yourself killed on the fifth floor not that long ago! response:	What are you going to do on the seventh?!
context: The seventh floor?!\You almost got yourself killed on the fifth floor not that long ago!\What are you going to do on the seventh?! response:	How stupid can you be?
context: The seventh floor?!\You almost got yourself killed on the fifth floor not that long ago!\What are you going to do on the seventh?!\How stupid can you be? response:	B-But I've grown up a lot since then...
context: The seventh floor?!\You almost got yourself killed on the fifth floor not that long ago!\What are you going to do on the seventh?!\How stupid can you be?\B-But I've grown up a lot since then... response:	And a bunch of my status levels have gone up to E, Eina-san!
context: The seventh floor?!\You almost got yourself killed on the fifth floor not that long ago!\What are you going to do on the seventh?!\How stupid can you be?\B-But I've grown up a lot since then...\And a bunch of my status levels have gone up to E, Eina-san! response:	What? E? No way...
context: The seventh floor?!\You almost got yourself killed on the fifth floor not that long ago!\What are you going to do on the seventh?!\How stupid can you be?\B-But I've grown up a lot since then...\And a bunch of my status levels have gone up to E, Eina-san!\What? E? No way... response:	No way.
context: The seventh floor?!\You almost got yourself killed on the fifth floor not that long ago!\What are you going to do on the seventh?!\How stupid can you be?\B-But I've grown up a lot since then...\And a bunch of my status levels have gone up to E, Eina-san!\What? E? No way...\No way. response:	Strength and vitality are E.
context: You almost got yourself killed on the fifth floor not that long ago!\What are you going to do on the seventh?!\How stupid can you be?\B-But I've grown up a lot since then...\And a bunch of my status levels have gone up to E, Eina-san!\What? E? No way...\No way.\Strength and vitality are E. response:	Agility... D rank?!
context: What are you going to do on the seventh?!\How stupid can you be?\B-But I've grown up a lot since then...\And a bunch of my status levels have gone up to E, Eina-san!\What? E? No way...\No way.\Strength and vitality are E.\Agility... D rank?! response:	Just as you said,
context: How stupid can you be?\B-But I've grown up a lot since then...\And a bunch of my status levels have gone up to E, Eina-san!\What? E? No way...\No way.\Strength and vitality are E.\Agility... D rank?!\Just as you said, response:	your status has gone way up in a short time.
context: B-But I've grown up a lot since then...\And a bunch of my status levels have gone up to E, Eina-san!\What? E? No way...\No way.\Strength and vitality are E.\Agility... D rank?!\Just as you said,\your status has gone way up in a short time. response:	There are parts of that I can't read,
context: And a bunch of my status levels have gone up to E, Eina-san!\What? E? No way...\No way.\Strength and vitality are E.\Agility... D rank?!\Just as you said,\your status has gone way up in a short time.\There are parts of that I can't read, response:	but your ability is real.
context: What? E? No way...\No way.\Strength and vitality are E.\Agility... D rank?!\Just as you said,\your status has gone way up in a short time.\There are parts of that I can't read,\but your ability is real. response:	So I'm safe to go to the seventh floor, right?
context: No way.\Strength and vitality are E.\Agility... D rank?!\Just as you said,\your status has gone way up in a short time.\There are parts of that I can't read,\but your ability is real.\So I'm safe to go to the seventh floor, right? response:	Yeah, with those status scores,
context: Strength and vitality are E.\Agility... D rank?!\Just as you said,\your status has gone way up in a short time.\There are parts of that I can't read,\but your ability is real.\So I'm safe to go to the seventh floor, right?\Yeah, with those status scores, response:	I have to grant you access to the seventh floor.
context: Agility... D rank?!\Just as you said,\your status has gone way up in a short time.\There are parts of that I can't read,\but your ability is real.\So I'm safe to go to the seventh floor, right?\Yeah, with those status scores,\I have to grant you access to the seventh floor. response:	But that means the problem is...
context: Just as you said,\your status has gone way up in a short time.\There are parts of that I can't read,\but your ability is real.\So I'm safe to go to the seventh floor, right?\Yeah, with those status scores,\I have to grant you access to the seventh floor.\But that means the problem is... response:	Bell-kun, are you free tomorrow?
context: your status has gone way up in a short time.\There are parts of that I can't read,\but your ability is real.\So I'm safe to go to the seventh floor, right?\Yeah, with those status scores,\I have to grant you access to the seventh floor.\But that means the problem is...\Bell-kun, are you free tomorrow? response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: There are parts of that I can't read,\but your ability is real.\So I'm safe to go to the seventh floor, right?\Yeah, with those status scores,\I have to grant you access to the seventh floor.\But that means the problem is...\Bell-kun, are you free tomorrow?\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Supporter The Weak
context: but your ability is real.\So I'm safe to go to the seventh floor, right?\Yeah, with those status scores,\I have to grant you access to the seventh floor.\But that means the problem is...\Bell-kun, are you free tomorrow?\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Supporter The Weak response:	Hey, Bell-kun!
context: So I'm safe to go to the seventh floor, right?\Yeah, with those status scores,\I have to grant you access to the seventh floor.\But that means the problem is...\Bell-kun, are you free tomorrow?\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Supporter The Weak\Hey, Bell-kun! response:	Ah, Eina-san!
context: Yeah, with those status scores,\I have to grant you access to the seventh floor.\But that means the problem is...\Bell-kun, are you free tomorrow?\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Supporter The Weak\Hey, Bell-kun!\Ah, Eina-san! response:	Good morning!
context: I have to grant you access to the seventh floor.\But that means the problem is...\Bell-kun, are you free tomorrow?\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Supporter The Weak\Hey, Bell-kun!\Ah, Eina-san!\Good morning! response:	You're really early, aren't you?
