context: G- Goku! response:	No matter how strong Goku- san may be,
context: G- Goku!\No matter how strong Goku- san may be, response:	if it takes an hour to get through that magnetic storm, he won't last!
context: G- Goku!\No matter how strong Goku- san may be,\if it takes an hour to get through that magnetic storm, he won't last! response:	Can't you do something?
context: G- Goku!\No matter how strong Goku- san may be,\if it takes an hour to get through that magnetic storm, he won't last!\Can't you do something? response:	I'm completely like this.
context: G- Goku!\No matter how strong Goku- san may be,\if it takes an hour to get through that magnetic storm, he won't last!\Can't you do something?\I'm completely like this. response:	Huh?
context: G- Goku!\No matter how strong Goku- san may be,\if it takes an hour to get through that magnetic storm, he won't last!\Can't you do something?\I'm completely like this.\Huh? response:	I give up.
context: G- Goku!\No matter how strong Goku- san may be,\if it takes an hour to get through that magnetic storm, he won't last!\Can't you do something?\I'm completely like this.\Huh?\I give up. response:	l - l'll cut the chain!
context: G- Goku!\No matter how strong Goku- san may be,\if it takes an hour to get through that magnetic storm, he won't last!\Can't you do something?\I'm completely like this.\Huh?\I give up.\l - l'll cut the chain! response:	Kamehame-Ha!!
context: No matter how strong Goku- san may be,\if it takes an hour to get through that magnetic storm, he won't last!\Can't you do something?\I'm completely like this.\Huh?\I give up.\l - l'll cut the chain!\Kamehame-Ha!! response:	Go, Kamehame-Ha!
context: if it takes an hour to get through that magnetic storm, he won't last!\Can't you do something?\I'm completely like this.\Huh?\I give up.\l - l'll cut the chain!\Kamehame-Ha!!\Go, Kamehame-Ha! response:	T- this is the worst!
context: Can't you do something?\I'm completely like this.\Huh?\I give up.\l - l'll cut the chain!\Kamehame-Ha!!\Go, Kamehame-Ha!\T- this is the worst! response:	How is this the worst?
context: I'm completely like this.\Huh?\I give up.\l - l'll cut the chain!\Kamehame-Ha!!\Go, Kamehame-Ha!\T- this is the worst!\How is this the worst? response:	He's a pretty nice-looking man, isn't he?
context: Huh?\I give up.\l - l'll cut the chain!\Kamehame-Ha!!\Go, Kamehame-Ha!\T- this is the worst!\How is this the worst?\He's a pretty nice-looking man, isn't he? response:	P- please don't go judging people by their faces at a time like this!
context: I give up.\l - l'll cut the chain!\Kamehame-Ha!!\Go, Kamehame-Ha!\T- this is the worst!\How is this the worst?\He's a pretty nice-looking man, isn't he?\P- please don't go judging people by their faces at a time like this! response:	But usually, the handsome guy fights for justice.
context: l - l'll cut the chain!\Kamehame-Ha!!\Go, Kamehame-Ha!\T- this is the worst!\How is this the worst?\He's a pretty nice-looking man, isn't he?\P- please don't go judging people by their faces at a time like this!\But usually, the handsome guy fights for justice. response:	This isn't Earth, it's Planet Namek.
context: Kamehame-Ha!!\Go, Kamehame-Ha!\T- this is the worst!\How is this the worst?\He's a pretty nice-looking man, isn't he?\P- please don't go judging people by their faces at a time like this!\But usually, the handsome guy fights for justice.\This isn't Earth, it's Planet Namek. response:	Yeah, I understand that.
context: Go, Kamehame-Ha!\T- this is the worst!\How is this the worst?\He's a pretty nice-looking man, isn't he?\P- please don't go judging people by their faces at a time like this!\But usually, the handsome guy fights for justice.\This isn't Earth, it's Planet Namek.\Yeah, I understand that. response:	Bulma- san, you don't understand anything.
context: T- this is the worst!\How is this the worst?\He's a pretty nice-looking man, isn't he?\P- please don't go judging people by their faces at a time like this!\But usually, the handsome guy fights for justice.\This isn't Earth, it's Planet Namek.\Yeah, I understand that.\Bulma- san, you don't understand anything. response:	You've managed to mock me pretty good, haven't you, Vegeta- san?
context: How is this the worst?\He's a pretty nice-looking man, isn't he?\P- please don't go judging people by their faces at a time like this!\But usually, the handsome guy fights for justice.\This isn't Earth, it's Planet Namek.\Yeah, I understand that.\Bulma- san, you don't understand anything.\You've managed to mock me pretty good, haven't you, Vegeta- san? response:	I see.
context: He's a pretty nice-looking man, isn't he?\P- please don't go judging people by their faces at a time like this!\But usually, the handsome guy fights for justice.\This isn't Earth, it's Planet Namek.\Yeah, I understand that.\Bulma- san, you don't understand anything.\You've managed to mock me pretty good, haven't you, Vegeta- san?\I see. response:	I recall seeing that runt over there holding the Dragon Ball before.
