context: Maybe she's gone... response:	Can't be, huh?
context: Maybe she's gone...\Can't be, huh? response:	Why am I getting nervous?
context: Maybe she's gone...\Can't be, huh?\Why am I getting nervous? response:	Crap, I'm too dragged into her pace.
context: Maybe she's gone...\Can't be, huh?\Why am I getting nervous?\Crap, I'm too dragged into her pace. response:	Let's go all out-
context: Maybe she's gone...\Can't be, huh?\Why am I getting nervous?\Crap, I'm too dragged into her pace.\Let's go all out- response:	What are you doing?
context: Maybe she's gone...\Can't be, huh?\Why am I getting nervous?\Crap, I'm too dragged into her pace.\Let's go all out-\What are you doing? response:	It broke...
context: Maybe she's gone...\Can't be, huh?\Why am I getting nervous?\Crap, I'm too dragged into her pace.\Let's go all out-\What are you doing?\It broke... response:	I stepped on it when I was half-asleep.
context: Maybe she's gone...\Can't be, huh?\Why am I getting nervous?\Crap, I'm too dragged into her pace.\Let's go all out-\What are you doing?\It broke...\I stepped on it when I was half-asleep. response:	This stick is weak.
context: Can't be, huh?\Why am I getting nervous?\Crap, I'm too dragged into her pace.\Let's go all out-\What are you doing?\It broke...\I stepped on it when I was half-asleep.\This stick is weak. response:	Jin, go buy me a new one.
context: Why am I getting nervous?\Crap, I'm too dragged into her pace.\Let's go all out-\What are you doing?\It broke...\I stepped on it when I was half-asleep.\This stick is weak.\Jin, go buy me a new one. response:	Me?
context: Crap, I'm too dragged into her pace.\Let's go all out-\What are you doing?\It broke...\I stepped on it when I was half-asleep.\This stick is weak.\Jin, go buy me a new one.\Me? response:	I want a tougher one.
context: Let's go all out-\What are you doing?\It broke...\I stepped on it when I was half-asleep.\This stick is weak.\Jin, go buy me a new one.\Me?\I want a tougher one. response:	One that can withstand an elephant's stomp.
context: What are you doing?\It broke...\I stepped on it when I was half-asleep.\This stick is weak.\Jin, go buy me a new one.\Me?\I want a tougher one.\One that can withstand an elephant's stomp. response:	Go find a stick which isn't so unlucky.
context: It broke...\I stepped on it when I was half-asleep.\This stick is weak.\Jin, go buy me a new one.\Me?\I want a tougher one.\One that can withstand an elephant's stomp.\Go find a stick which isn't so unlucky. response:	No! I don't want to!
context: I stepped on it when I was half-asleep.\This stick is weak.\Jin, go buy me a new one.\Me?\I want a tougher one.\One that can withstand an elephant's stomp.\Go find a stick which isn't so unlucky.\No! I don't want to! response:	Yesterday was really embarrassing!
context: This stick is weak.\Jin, go buy me a new one.\Me?\I want a tougher one.\One that can withstand an elephant's stomp.\Go find a stick which isn't so unlucky.\No! I don't want to!\Yesterday was really embarrassing! response:	I won't forget that woman's expression. Not in this lifetime!
