context: I think I'll go to the countryside and fish all day. response:	Fish?
context: I think I'll go to the countryside and fish all day.\Fish? response:	I used to do that a lot. Crucians were my game of choice.
context: I think I'll go to the countryside and fish all day.\Fish?\I used to do that a lot. Crucians were my game of choice. response:	Well, you do look like a crucian carp.
context: I think I'll go to the countryside and fish all day.\Fish?\I used to do that a lot. Crucians were my game of choice.\Well, you do look like a crucian carp. response:	Shut up.
context: I think I'll go to the countryside and fish all day.\Fish?\I used to do that a lot. Crucians were my game of choice.\Well, you do look like a crucian carp.\Shut up. response:	It's easy to lose track of time just from watching the flow of the water.
context: I think I'll go to the countryside and fish all day.\Fish?\I used to do that a lot. Crucians were my game of choice.\Well, you do look like a crucian carp.\Shut up.\It's easy to lose track of time just from watching the flow of the water. response:	After all, our lives are like leaves flowing down a stream.
context: I think I'll go to the countryside and fish all day.\Fish?\I used to do that a lot. Crucians were my game of choice.\Well, you do look like a crucian carp.\Shut up.\It's easy to lose track of time just from watching the flow of the water.\After all, our lives are like leaves flowing down a stream. response:	Hey, I was in the middle of a good soliloquy.
context: I think I'll go to the countryside and fish all day.\Fish?\I used to do that a lot. Crucians were my game of choice.\Well, you do look like a crucian carp.\Shut up.\It's easy to lose track of time just from watching the flow of the water.\After all, our lives are like leaves flowing down a stream.\Hey, I was in the middle of a good soliloquy. response:	Oh, sorry.
context: Fish?\I used to do that a lot. Crucians were my game of choice.\Well, you do look like a crucian carp.\Shut up.\It's easy to lose track of time just from watching the flow of the water.\After all, our lives are like leaves flowing down a stream.\Hey, I was in the middle of a good soliloquy.\Oh, sorry. response:	What's this? Are you going to light it for me?
context: I used to do that a lot. Crucians were my game of choice.\Well, you do look like a crucian carp.\Shut up.\It's easy to lose track of time just from watching the flow of the water.\After all, our lives are like leaves flowing down a stream.\Hey, I was in the middle of a good soliloquy.\Oh, sorry.\What's this? Are you going to light it for me? response:	What the hell are you doing?
context: Well, you do look like a crucian carp.\Shut up.\It's easy to lose track of time just from watching the flow of the water.\After all, our lives are like leaves flowing down a stream.\Hey, I was in the middle of a good soliloquy.\Oh, sorry.\What's this? Are you going to light it for me?\What the hell are you doing? response:	Smoking isn't good for you.
context: Shut up.\It's easy to lose track of time just from watching the flow of the water.\After all, our lives are like leaves flowing down a stream.\Hey, I was in the middle of a good soliloquy.\Oh, sorry.\What's this? Are you going to light it for me?\What the hell are you doing?\Smoking isn't good for you. response:	You should watch how much you eat, too.
context: It's easy to lose track of time just from watching the flow of the water.\After all, our lives are like leaves flowing down a stream.\Hey, I was in the middle of a good soliloquy.\Oh, sorry.\What's this? Are you going to light it for me?\What the hell are you doing?\Smoking isn't good for you.\You should watch how much you eat, too. response:	H-Hey...
context: After all, our lives are like leaves flowing down a stream.\Hey, I was in the middle of a good soliloquy.\Oh, sorry.\What's this? Are you going to light it for me?\What the hell are you doing?\Smoking isn't good for you.\You should watch how much you eat, too.\H-Hey... response:	See you around.
context: Hey, I was in the middle of a good soliloquy.\Oh, sorry.\What's this? Are you going to light it for me?\What the hell are you doing?\Smoking isn't good for you.\You should watch how much you eat, too.\H-Hey...\See you around. response:	The target is heading east on Koshu Boulevard.
context: Oh, sorry.\What's this? Are you going to light it for me?\What the hell are you doing?\Smoking isn't good for you.\You should watch how much you eat, too.\H-Hey...\See you around.\The target is heading east on Koshu Boulevard. response:	He saw us. Apprehend him at once!
context: What's this? Are you going to light it for me?\What the hell are you doing?\Smoking isn't good for you.\You should watch how much you eat, too.\H-Hey...\See you around.\The target is heading east on Koshu Boulevard.\He saw us. Apprehend him at once! response:	You better keep following me.
context: What the hell are you doing?\Smoking isn't good for you.\You should watch how much you eat, too.\H-Hey...\See you around.\The target is heading east on Koshu Boulevard.\He saw us. Apprehend him at once!\You better keep following me. response:	At last, it's about to begin.
context: Smoking isn't good for you.\You should watch how much you eat, too.\H-Hey...\See you around.\The target is heading east on Koshu Boulevard.\He saw us. Apprehend him at once!\You better keep following me.\At last, it's about to begin. response:	The beginning, the beginning... the beginning of the end.
context: You should watch how much you eat, too.\H-Hey...\See you around.\The target is heading east on Koshu Boulevard.\He saw us. Apprehend him at once!\You better keep following me.\At last, it's about to begin.\The beginning, the beginning... the beginning of the end. response:	I'm Kirihara from the Fourth Section of External Affairs, Division of Intelligence.
context: H-Hey...\See you around.\The target is heading east on Koshu Boulevard.\He saw us. Apprehend him at once!\You better keep following me.\At last, it's about to begin.\The beginning, the beginning... the beginning of the end.\I'm Kirihara from the Fourth Section of External Affairs, Division of Intelligence. response:	I'd like to speak with Dr. Robert Schroeder.
context: See you around.\The target is heading east on Koshu Boulevard.\He saw us. Apprehend him at once!\You better keep following me.\At last, it's about to begin.\The beginning, the beginning... the beginning of the end.\I'm Kirihara from the Fourth Section of External Affairs, Division of Intelligence.\I'd like to speak with Dr. Robert Schroeder. response:	Do you have an appointment?
context: The target is heading east on Koshu Boulevard.\He saw us. Apprehend him at once!\You better keep following me.\At last, it's about to begin.\The beginning, the beginning... the beginning of the end.\I'm Kirihara from the Fourth Section of External Affairs, Division of Intelligence.\I'd like to speak with Dr. Robert Schroeder.\Do you have an appointment? response:	No, I don't.
context: He saw us. Apprehend him at once!\You better keep following me.\At last, it's about to begin.\The beginning, the beginning... the beginning of the end.\I'm Kirihara from the Fourth Section of External Affairs, Division of Intelligence.\I'd like to speak with Dr. Robert Schroeder.\Do you have an appointment?\No, I don't. response:	Please wait here.
context: You better keep following me.\At last, it's about to begin.\The beginning, the beginning... the beginning of the end.\I'm Kirihara from the Fourth Section of External Affairs, Division of Intelligence.\I'd like to speak with Dr. Robert Schroeder.\Do you have an appointment?\No, I don't.\Please wait here. response:	He'll see you now.
context: At last, it's about to begin.\The beginning, the beginning... the beginning of the end.\I'm Kirihara from the Fourth Section of External Affairs, Division of Intelligence.\I'd like to speak with Dr. Robert Schroeder.\Do you have an appointment?\No, I don't.\Please wait here.\He'll see you now. response:	That, too?
context: The beginning, the beginning... the beginning of the end.\I'm Kirihara from the Fourth Section of External Affairs, Division of Intelligence.\I'd like to speak with Dr. Robert Schroeder.\Do you have an appointment?\No, I don't.\Please wait here.\He'll see you now.\That, too? response:	Security precautions.
context: I'm Kirihara from the Fourth Section of External Affairs, Division of Intelligence.\I'd like to speak with Dr. Robert Schroeder.\Do you have an appointment?\No, I don't.\Please wait here.\He'll see you now.\That, too?\Security precautions. response:	Excuse me.
context: I'd like to speak with Dr. Robert Schroeder.\Do you have an appointment?\No, I don't.\Please wait here.\He'll see you now.\That, too?\Security precautions.\Excuse me. response:	I thought I requested a meeting with Dr. Schroeder.
context: Do you have an appointment?\No, I don't.\Please wait here.\He'll see you now.\That, too?\Security precautions.\Excuse me.\I thought I requested a meeting with Dr. Schroeder. response:	I'd prefer if we were alone,
context: No, I don't.\Please wait here.\He'll see you now.\That, too?\Security precautions.\Excuse me.\I thought I requested a meeting with Dr. Schroeder.\I'd prefer if we were alone, response:	but he really wanted to come along.
context: Please wait here.\He'll see you now.\That, too?\Security precautions.\Excuse me.\I thought I requested a meeting with Dr. Schroeder.\I'd prefer if we were alone,\but he really wanted to come along. response:	I've always wanted to speak with you.
context: He'll see you now.\That, too?\Security precautions.\Excuse me.\I thought I requested a meeting with Dr. Schroeder.\I'd prefer if we were alone,\but he really wanted to come along.\I've always wanted to speak with you. response:	Unfortunately, we're short on time. Let me give you a quick explanation.
context: That, too?\Security precautions.\Excuse me.\I thought I requested a meeting with Dr. Schroeder.\I'd prefer if we were alone,\but he really wanted to come along.\I've always wanted to speak with you.\Unfortunately, we're short on time. Let me give you a quick explanation. response:	Please have a seat.
context: Security precautions.\Excuse me.\I thought I requested a meeting with Dr. Schroeder.\I'd prefer if we were alone,\but he really wanted to come along.\I've always wanted to speak with you.\Unfortunately, we're short on time. Let me give you a quick explanation.\Please have a seat. response:	Due to the emergence of the neutral territory in South America five years ago,
context: Excuse me.\I thought I requested a meeting with Dr. Schroeder.\I'd prefer if we were alone,\but he really wanted to come along.\I've always wanted to speak with you.\Unfortunately, we're short on time. Let me give you a quick explanation.\Please have a seat.\Due to the emergence of the neutral territory in South America five years ago, response:	mankind lost a means of accessing Heaven's Gate
context: I thought I requested a meeting with Dr. Schroeder.\I'd prefer if we were alone,\but he really wanted to come along.\I've always wanted to speak with you.\Unfortunately, we're short on time. Let me give you a quick explanation.\Please have a seat.\Due to the emergence of the neutral territory in South America five years ago,\mankind lost a means of accessing Heaven's Gate response:	as well as a vast area of land and millions of its inhabitants.
context: I'd prefer if we were alone,\but he really wanted to come along.\I've always wanted to speak with you.\Unfortunately, we're short on time. Let me give you a quick explanation.\Please have a seat.\Due to the emergence of the neutral territory in South America five years ago,\mankind lost a means of accessing Heaven's Gate\as well as a vast area of land and millions of its inhabitants. response:	The one responsible for this was BK201.
context: but he really wanted to come along.\I've always wanted to speak with you.\Unfortunately, we're short on time. Let me give you a quick explanation.\Please have a seat.\Due to the emergence of the neutral territory in South America five years ago,\mankind lost a means of accessing Heaven's Gate\as well as a vast area of land and millions of its inhabitants.\The one responsible for this was BK201. response:	Why did he cause that tragedy?
context: I've always wanted to speak with you.\Unfortunately, we're short on time. Let me give you a quick explanation.\Please have a seat.\Due to the emergence of the neutral territory in South America five years ago,\mankind lost a means of accessing Heaven's Gate\as well as a vast area of land and millions of its inhabitants.\The one responsible for this was BK201.\Why did he cause that tragedy? response:	He? You're mistaken.
context: Unfortunately, we're short on time. Let me give you a quick explanation.\Please have a seat.\Due to the emergence of the neutral territory in South America five years ago,\mankind lost a means of accessing Heaven's Gate\as well as a vast area of land and millions of its inhabitants.\The one responsible for this was BK201.\Why did he cause that tragedy?\He? You're mistaken. response:	At that time, Messier Code BK201 was designated to another woman.
