context: TS response:	Why?
context: TS\Why? response:	What's going on?
context: TS\Why?\What's going on? response:	All the moe is gone from Akiba?
context: TS\Why?\What's going on?\All the moe is gone from Akiba? response:	Okarin, wait up!
context: TS\Why?\What's going on?\All the moe is gone from Akiba?\Okarin, wait up! response:	Okarin!
context: TS\Why?\What's going on?\All the moe is gone from Akiba?\Okarin, wait up!\Okarin! response:	What's wrong?
context: TS\Why?\What's going on?\All the moe is gone from Akiba?\Okarin, wait up!\Okarin!\What's wrong? response:	Where's the Tora no Ana? The Animate?
context: TS\Why?\What's going on?\All the moe is gone from Akiba?\Okarin, wait up!\Okarin!\What's wrong?\Where's the Tora no Ana? The Animate? response:	The Mandarake? The Gamers?
context: Why?\What's going on?\All the moe is gone from Akiba?\Okarin, wait up!\Okarin!\What's wrong?\Where's the Tora no Ana? The Animate?\The Mandarake? The Gamers? response:	What are you talking about, Okarin?
context: What's going on?\All the moe is gone from Akiba?\Okarin, wait up!\Okarin!\What's wrong?\Where's the Tora no Ana? The Animate?\The Mandarake? The Gamers?\What are you talking about, Okarin? response:	Why would those be in Akiba?
context: All the moe is gone from Akiba?\Okarin, wait up!\Okarin!\What's wrong?\Where's the Tora no Ana? The Animate?\The Mandarake? The Gamers?\What are you talking about, Okarin?\Why would those be in Akiba? response:	That's why I'm going to Nakano to get my doujinshi.
context: Okarin, wait up!\Okarin!\What's wrong?\Where's the Tora no Ana? The Animate?\The Mandarake? The Gamers?\What are you talking about, Okarin?\Why would those be in Akiba?\That's why I'm going to Nakano to get my doujinshi. response:	Mayuri,
context: Okarin!\What's wrong?\Where's the Tora no Ana? The Animate?\The Mandarake? The Gamers?\What are you talking about, Okarin?\Why would those be in Akiba?\That's why I'm going to Nakano to get my doujinshi.\Mayuri, response:	you work part-time at May Queen, right?
context: What's wrong?\Where's the Tora no Ana? The Animate?\The Mandarake? The Gamers?\What are you talking about, Okarin?\Why would those be in Akiba?\That's why I'm going to Nakano to get my doujinshi.\Mayuri,\you work part-time at May Queen, right? response:	May Queen?
context: Where's the Tora no Ana? The Animate?\The Mandarake? The Gamers?\What are you talking about, Okarin?\Why would those be in Akiba?\That's why I'm going to Nakano to get my doujinshi.\Mayuri,\you work part-time at May Queen, right?\May Queen? response:	May Queen Nyan Nyan!
context: The Mandarake? The Gamers?\What are you talking about, Okarin?\Why would those be in Akiba?\That's why I'm going to Nakano to get my doujinshi.\Mayuri,\you work part-time at May Queen, right?\May Queen?\May Queen Nyan Nyan! response:	Impossible...
context: What are you talking about, Okarin?\Why would those be in Akiba?\That's why I'm going to Nakano to get my doujinshi.\Mayuri,\you work part-time at May Queen, right?\May Queen?\May Queen Nyan Nyan!\Impossible... response:	Feyris was the one who asked to bring moe culture to Akiba.
context: Why would those be in Akiba?\That's why I'm going to Nakano to get my doujinshi.\Mayuri,\you work part-time at May Queen, right?\May Queen?\May Queen Nyan Nyan!\Impossible...\Feyris was the one who asked to bring moe culture to Akiba. response:	She sent a D-mail, preventing that from ever happening?
context: That's why I'm going to Nakano to get my doujinshi.\Mayuri,\you work part-time at May Queen, right?\May Queen?\May Queen Nyan Nyan!\Impossible...\Feyris was the one who asked to bring moe culture to Akiba.\She sent a D-mail, preventing that from ever happening? response:	With just one message,
context: Mayuri,\you work part-time at May Queen, right?\May Queen?\May Queen Nyan Nyan!\Impossible...\Feyris was the one who asked to bring moe culture to Akiba.\She sent a D-mail, preventing that from ever happening?\With just one message, response:	the whole town changed.
context: you work part-time at May Queen, right?\May Queen?\May Queen Nyan Nyan!\Impossible...\Feyris was the one who asked to bring moe culture to Akiba.\She sent a D-mail, preventing that from ever happening?\With just one message,\the whole town changed. response:	OP
context: May Queen?\May Queen Nyan Nyan!\Impossible...\Feyris was the one who asked to bring moe culture to Akiba.\She sent a D-mail, preventing that from ever happening?\With just one message,\the whole town changed.\OP response:	suujuuoku mono kodou no kazu sae
context: May Queen Nyan Nyan!\Impossible...\Feyris was the one who asked to bring moe culture to Akiba.\She sent a D-mail, preventing that from ever happening?\With just one message,\the whole town changed.\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: Impossible...\Feyris was the one who asked to bring moe culture to Akiba.\She sent a D-mail, preventing that from ever happening?\With just one message,\the whole town changed.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: Feyris was the one who asked to bring moe culture to Akiba.\She sent a D-mail, preventing that from ever happening?\With just one message,\the whole town changed.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: She sent a D-mail, preventing that from ever happening?\With just one message,\the whole town changed.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: With just one message,\the whole town changed.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: the whole town changed.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
context: anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us response:	bokutachi ni yurusareta kyoei no genri
