context: Next up is batter number 4. response:	It was a listless, boring day during the peak of summer right after Obon had just passed.
context: Next up is batter number 4.\It was a listless, boring day during the peak of summer right after Obon had just passed. response:	On TV, there was a match between two teams and, although I had never heard of either of them before,
context: Next up is batter number 4.\It was a listless, boring day during the peak of summer right after Obon had just passed.\On TV, there was a match between two teams and, although I had never heard of either of them before, response:	I began to feel sympathy for the losing team and I started rooting for them for some odd reason.
context: Next up is batter number 4.\It was a listless, boring day during the peak of summer right after Obon had just passed.\On TV, there was a match between two teams and, although I had never heard of either of them before,\I began to feel sympathy for the losing team and I started rooting for them for some odd reason. response:	And then, my mobile began to ring.
context: Next up is batter number 4.\It was a listless, boring day during the peak of summer right after Obon had just passed.\On TV, there was a match between two teams and, although I had never heard of either of them before,\I began to feel sympathy for the losing team and I started rooting for them for some odd reason.\And then, my mobile began to ring. response:	Haruhi, huh?
context: Next up is batter number 4.\It was a listless, boring day during the peak of summer right after Obon had just passed.\On TV, there was a match between two teams and, although I had never heard of either of them before,\I began to feel sympathy for the losing team and I started rooting for them for some odd reason.\And then, my mobile began to ring.\Haruhi, huh? response:	You're free today, right?
context: Next up is batter number 4.\It was a listless, boring day during the peak of summer right after Obon had just passed.\On TV, there was a match between two teams and, although I had never heard of either of them before,\I began to feel sympathy for the losing team and I started rooting for them for some odd reason.\And then, my mobile began to ring.\Haruhi, huh?\You're free today, right? response:	We're all meeting in front of the station at exactly 2 o' clock.
context: Next up is batter number 4.\It was a listless, boring day during the peak of summer right after Obon had just passed.\On TV, there was a match between two teams and, although I had never heard of either of them before,\I began to feel sympathy for the losing team and I started rooting for them for some odd reason.\And then, my mobile began to ring.\Haruhi, huh?\You're free today, right?\We're all meeting in front of the station at exactly 2 o' clock. response:	She cut me off completely.
context: It was a listless, boring day during the peak of summer right after Obon had just passed.\On TV, there was a match between two teams and, although I had never heard of either of them before,\I began to feel sympathy for the losing team and I started rooting for them for some odd reason.\And then, my mobile began to ring.\Haruhi, huh?\You're free today, right?\We're all meeting in front of the station at exactly 2 o' clock.\She cut me off completely. response:	How did she know I was free today?
context: On TV, there was a match between two teams and, although I had never heard of either of them before,\I began to feel sympathy for the losing team and I started rooting for them for some odd reason.\And then, my mobile began to ring.\Haruhi, huh?\You're free today, right?\We're all meeting in front of the station at exactly 2 o' clock.\She cut me off completely.\How did she know I was free today? response:	Despite how I look, I'm actually...
context: I began to feel sympathy for the losing team and I started rooting for them for some odd reason.\And then, my mobile began to ring.\Haruhi, huh?\You're free today, right?\We're all meeting in front of the station at exactly 2 o' clock.\She cut me off completely.\How did she know I was free today?\Despite how I look, I'm actually... response:	Well, I don't really have anything to do...
context: And then, my mobile began to ring.\Haruhi, huh?\You're free today, right?\We're all meeting in front of the station at exactly 2 o' clock.\She cut me off completely.\How did she know I was free today?\Despite how I look, I'm actually...\Well, I don't really have anything to do... response:	Hit! It's going, going! Over left field!
context: Haruhi, huh?\You're free today, right?\We're all meeting in front of the station at exactly 2 o' clock.\She cut me off completely.\How did she know I was free today?\Despite how I look, I'm actually...\Well, I don't really have anything to do...\Hit! It's going, going! Over left field! response:	And it's out of here!
context: You're free today, right?\We're all meeting in front of the station at exactly 2 o' clock.\She cut me off completely.\How did she know I was free today?\Despite how I look, I'm actually...\Well, I don't really have anything to do...\Hit! It's going, going! Over left field!\And it's out of here! response:	What?
context: We're all meeting in front of the station at exactly 2 o' clock.\She cut me off completely.\How did she know I was free today?\Despite how I look, I'm actually...\Well, I don't really have anything to do...\Hit! It's going, going! Over left field!\And it's out of here!\What? response:	I forgot to tell you something.
context: She cut me off completely.\How did she know I was free today?\Despite how I look, I'm actually...\Well, I don't really have anything to do...\Hit! It's going, going! Over left field!\And it's out of here!\What?\I forgot to tell you something. response:	Bring your swimsuit and come on your bike.
context: How did she know I was free today?\Despite how I look, I'm actually...\Well, I don't really have anything to do...\Hit! It's going, going! Over left field!\And it's out of here!\What?\I forgot to tell you something.\Bring your swimsuit and come on your bike. response:	And bring plenty of money, too, okay?
context: Despite how I look, I'm actually...\Well, I don't really have anything to do...\Hit! It's going, going! Over left field!\And it's out of here!\What?\I forgot to tell you something.\Bring your swimsuit and come on your bike.\And bring plenty of money, too, okay? response:	That's all. Over
context: Well, I don't really have anything to do...\Hit! It's going, going! Over left field!\And it's out of here!\What?\I forgot to tell you something.\Bring your swimsuit and come on your bike.\And bring plenty of money, too, okay?\That's all. Over response:	No way.
