context: Looks like Kakarrot has decided to lay low. response:	What a coward.
context: Looks like Kakarrot has decided to lay low.\What a coward. response:	F- Father is not a coward!
context: Looks like Kakarrot has decided to lay low.\What a coward.\F- Father is not a coward! response:	D- dammit...
context: Looks like Kakarrot has decided to lay low.\What a coward.\F- Father is not a coward!\D- dammit... response:	What's become of you, Goku!?
context: Looks like Kakarrot has decided to lay low.\What a coward.\F- Father is not a coward!\D- dammit...\What's become of you, Goku!? response:	Hurry, Kinto Un!
context: Looks like Kakarrot has decided to lay low.\What a coward.\F- Father is not a coward!\D- dammit...\What's become of you, Goku!?\Hurry, Kinto Un! response:	Go, go, go! Go!!
context: Looks like Kakarrot has decided to lay low.\What a coward.\F- Father is not a coward!\D- dammit...\What's become of you, Goku!?\Hurry, Kinto Un!\Go, go, go! Go!! response:	At this point, it looks like we'll have to fight them with just the three of us.
context: Looks like Kakarrot has decided to lay low.\What a coward.\F- Father is not a coward!\D- dammit...\What's become of you, Goku!?\Hurry, Kinto Un!\Go, go, go! Go!!\At this point, it looks like we'll have to fight them with just the three of us. response:	You know what to do. Let's go with that plan.
context: What a coward.\F- Father is not a coward!\D- dammit...\What's become of you, Goku!?\Hurry, Kinto Un!\Go, go, go! Go!!\At this point, it looks like we'll have to fight them with just the three of us.\You know what to do. Let's go with that plan. response:	Y- yeah.
context: F- Father is not a coward!\D- dammit...\What's become of you, Goku!?\Hurry, Kinto Un!\Go, go, go! Go!!\At this point, it looks like we'll have to fight them with just the three of us.\You know what to do. Let's go with that plan.\Y- yeah. response:	First, I draw his attention as much as I can.
context: D- dammit...\What's become of you, Goku!?\Hurry, Kinto Un!\Go, go, go! Go!!\At this point, it looks like we'll have to fight them with just the three of us.\You know what to do. Let's go with that plan.\Y- yeah.\First, I draw his attention as much as I can. response:	I'll find an opening, and grab his tail, the Saiyans' weakness.
context: What's become of you, Goku!?\Hurry, Kinto Un!\Go, go, go! Go!!\At this point, it looks like we'll have to fight them with just the three of us.\You know what to do. Let's go with that plan.\Y- yeah.\First, I draw his attention as much as I can.\I'll find an opening, and grab his tail, the Saiyans' weakness. response:	Once his power fails, and he can't move...
context: Hurry, Kinto Un!\Go, go, go! Go!!\At this point, it looks like we'll have to fight them with just the three of us.\You know what to do. Let's go with that plan.\Y- yeah.\First, I draw his attention as much as I can.\I'll find an opening, and grab his tail, the Saiyans' weakness.\Once his power fails, and he can't move... response:	That's right. Watch yourself!
context: Go, go, go! Go!!\At this point, it looks like we'll have to fight them with just the three of us.\You know what to do. Let's go with that plan.\Y- yeah.\First, I draw his attention as much as I can.\I'll find an opening, and grab his tail, the Saiyans' weakness.\Once his power fails, and he can't move...\That's right. Watch yourself! response:	What are you all mumbling about? It won't do any good.
context: At this point, it looks like we'll have to fight them with just the three of us.\You know what to do. Let's go with that plan.\Y- yeah.\First, I draw his attention as much as I can.\I'll find an opening, and grab his tail, the Saiyans' weakness.\Once his power fails, and he can't move...\That's right. Watch yourself!\What are you all mumbling about? It won't do any good. response:	What can you guys do against me?
context: You know what to do. Let's go with that plan.\Y- yeah.\First, I draw his attention as much as I can.\I'll find an opening, and grab his tail, the Saiyans' weakness.\Once his power fails, and he can't move...\That's right. Watch yourself!\What are you all mumbling about? It won't do any good.\What can you guys do against me? response:	We'll show you what we can do, right now!
context: Y- yeah.\First, I draw his attention as much as I can.\I'll find an opening, and grab his tail, the Saiyans' weakness.\Once his power fails, and he can't move...\That's right. Watch yourself!\What are you all mumbling about? It won't do any good.\What can you guys do against me?\We'll show you what we can do, right now! response:	All right!
context: First, I draw his attention as much as I can.\I'll find an opening, and grab his tail, the Saiyans' weakness.\Once his power fails, and he can't move...\That's right. Watch yourself!\What are you all mumbling about? It won't do any good.\What can you guys do against me?\We'll show you what we can do, right now!\All right! response:	Here goes!
context: I'll find an opening, and grab his tail, the Saiyans' weakness.\Once his power fails, and he can't move...\That's right. Watch yourself!\What are you all mumbling about? It won't do any good.\What can you guys do against me?\We'll show you what we can do, right now!\All right!\Here goes! response:	He's started charging me all of a sudden!
context: Once his power fails, and he can't move...\That's right. Watch yourself!\What are you all mumbling about? It won't do any good.\What can you guys do against me?\We'll show you what we can do, right now!\All right!\Here goes!\He's started charging me all of a sudden! response:	Keep his attention!
context: That's right. Watch yourself!\What are you all mumbling about? It won't do any good.\What can you guys do against me?\We'll show you what we can do, right now!\All right!\Here goes!\He's started charging me all of a sudden!\Keep his attention! response:	Now!
context: What are you all mumbling about? It won't do any good.\What can you guys do against me?\We'll show you what we can do, right now!\All right!\Here goes!\He's started charging me all of a sudden!\Keep his attention!\Now! response:	Why, you-!
context: What can you guys do against me?\We'll show you what we can do, right now!\All right!\Here goes!\He's started charging me all of a sudden!\Keep his attention!\Now!\Why, you-! response:	Gohan!
context: We'll show you what we can do, right now!\All right!\Here goes!\He's started charging me all of a sudden!\Keep his attention!\Now!\Why, you-!\Gohan! response:	We did it!
context: All right!\Here goes!\He's started charging me all of a sudden!\Keep his attention!\Now!\Why, you-!\Gohan!\We did it! response:	You fools!
context: Here goes!\He's started charging me all of a sudden!\Keep his attention!\Now!\Why, you-!\Gohan!\We did it!\You fools! response:	I- impossible!
context: He's started charging me all of a sudden!\Keep his attention!\Now!\Why, you-!\Gohan!\We did it!\You fools!\I- impossible! response:	P- Piccolo- san!
context: Keep his attention!\Now!\Why, you-!\Gohan!\We did it!\You fools!\I- impossible!\P- Piccolo- san! response:	Whoa, don't you die, now.
context: Now!\Why, you-!\Gohan!\We did it!\You fools!\I- impossible!\P- Piccolo- san!\Whoa, don't you die, now. response:	We still have to have you tell us about the Dragon Balls.
context: Why, you-!\Gohan!\We did it!\You fools!\I- impossible!\P- Piccolo- san!\Whoa, don't you die, now.\We still have to have you tell us about the Dragon Balls. response:	I- it can't be!
context: Gohan!\We did it!\You fools!\I- impossible!\P- Piccolo- san!\Whoa, don't you die, now.\We still have to have you tell us about the Dragon Balls.\I- it can't be! response:	Hell of a miscalculation, huh?
context: We did it!\You fools!\I- impossible!\P- Piccolo- san!\Whoa, don't you die, now.\We still have to have you tell us about the Dragon Balls.\I- it can't be!\Hell of a miscalculation, huh? response:	Did you think we would leave our weak spot untrained forever?
