context: TS response:	Colonel Tanaka...
context: TS\Colonel Tanaka... response:	Just call me Nick.
context: TS\Colonel Tanaka...\Just call me Nick. response:	I'm half Japanese, half Hawaiian.
context: TS\Colonel Tanaka...\Just call me Nick.\I'm half Japanese, half Hawaiian. response:	Shall we begin?
context: TS\Colonel Tanaka...\Just call me Nick.\I'm half Japanese, half Hawaiian.\Shall we begin? response:	A present for you!
context: TS\Colonel Tanaka...\Just call me Nick.\I'm half Japanese, half Hawaiian.\Shall we begin?\A present for you! response:	What's your guy so mad about?
context: TS\Colonel Tanaka...\Just call me Nick.\I'm half Japanese, half Hawaiian.\Shall we begin?\A present for you!\What's your guy so mad about? response:	Huh? He's happy.
context: TS\Colonel Tanaka...\Just call me Nick.\I'm half Japanese, half Hawaiian.\Shall we begin?\A present for you!\What's your guy so mad about?\Huh? He's happy. response:	Sergei?
context: Colonel Tanaka...\Just call me Nick.\I'm half Japanese, half Hawaiian.\Shall we begin?\A present for you!\What's your guy so mad about?\Huh? He's happy.\Sergei? response:	Sergei!
context: Just call me Nick.\I'm half Japanese, half Hawaiian.\Shall we begin?\A present for you!\What's your guy so mad about?\Huh? He's happy.\Sergei?\Sergei! response:	And what's your guy doing?
context: I'm half Japanese, half Hawaiian.\Shall we begin?\A present for you!\What's your guy so mad about?\Huh? He's happy.\Sergei?\Sergei!\And what's your guy doing? response:	Shut up!
context: Shall we begin?\A present for you!\What's your guy so mad about?\Huh? He's happy.\Sergei?\Sergei!\And what's your guy doing?\Shut up! response:	To all personnel. Third Engine activation test starts as soon as you're ready.
context: A present for you!\What's your guy so mad about?\Huh? He's happy.\Sergei?\Sergei!\And what's your guy doing?\Shut up!\To all personnel. Third Engine activation test starts as soon as you're ready. response:	I'm ready.
context: What's your guy so mad about?\Huh? He's happy.\Sergei?\Sergei!\And what's your guy doing?\Shut up!\To all personnel. Third Engine activation test starts as soon as you're ready.\I'm ready. response:	Third Engine...
