context: August response:	September
context: August\September response:	The role of the young
context: August\September\The role of the young response:	is to break new ground without fear of failure!
context: August\September\The role of the young\is to break new ground without fear of failure! response:	Break new ground, huh...
context: August\September\The role of the young\is to break new ground without fear of failure!\Break new ground, huh... response:	Feather
context: August\September\The role of the young\is to break new ground without fear of failure!\Break new ground, huh...\Feather response:	Okay...
context: August\September\The role of the young\is to break new ground without fear of failure!\Break new ground, huh...\Feather\Okay... response:	Porcelain Spoon
context: August\September\The role of the young\is to break new ground without fear of failure!\Break new ground, huh...\Feather\Okay...\Porcelain Spoon response:	Sensei!
context: September\The role of the young\is to break new ground without fear of failure!\Break new ground, huh...\Feather\Okay...\Porcelain Spoon\Sensei! response:	What're you tryin' to do?
context: The role of the young\is to break new ground without fear of failure!\Break new ground, huh...\Feather\Okay...\Porcelain Spoon\Sensei!\What're you tryin' to do? response:	Rice Bowl
context: is to break new ground without fear of failure!\Break new ground, huh...\Feather\Okay...\Porcelain Spoon\Sensei!\What're you tryin' to do?\Rice Bowl response:	It's Naru's birthday?
context: Break new ground, huh...\Feather\Okay...\Porcelain Spoon\Sensei!\What're you tryin' to do?\Rice Bowl\It's Naru's birthday? response:	Shh!
context: Feather\Okay...\Porcelain Spoon\Sensei!\What're you tryin' to do?\Rice Bowl\It's Naru's birthday?\Shh! response:	If Naru hears, it won't be a surprise!
context: Okay...\Porcelain Spoon\Sensei!\What're you tryin' to do?\Rice Bowl\It's Naru's birthday?\Shh!\If Naru hears, it won't be a surprise! response:	We thought we'd all throw a party for her.
context: Porcelain Spoon\Sensei!\What're you tryin' to do?\Rice Bowl\It's Naru's birthday?\Shh!\If Naru hears, it won't be a surprise!\We thought we'd all throw a party for her. response:	You're an adult, so contribute a thousand yen.
context: Sensei!\What're you tryin' to do?\Rice Bowl\It's Naru's birthday?\Shh!\If Naru hears, it won't be a surprise!\We thought we'd all throw a party for her.\You're an adult, so contribute a thousand yen. response:	Happy Birthday
context: What're you tryin' to do?\Rice Bowl\It's Naru's birthday?\Shh!\If Naru hears, it won't be a surprise!\We thought we'd all throw a party for her.\You're an adult, so contribute a thousand yen.\Happy Birthday response:	Party fees for a kid's birthday party?!
context: Rice Bowl\It's Naru's birthday?\Shh!\If Naru hears, it won't be a surprise!\We thought we'd all throw a party for her.\You're an adult, so contribute a thousand yen.\Happy Birthday\Party fees for a kid's birthday party?! response:	Not party fees. It's the cake fee.
