context: I'm sorry. I couldn't make breakfast... response:	Don't be stupid. You have such a high fever!
context: I'm sorry. I couldn't make breakfast...\Don't be stupid. You have such a high fever! response:	You keep resting. I'll call school for you.
context: I'm sorry. I couldn't make breakfast...\Don't be stupid. You have such a high fever!\You keep resting. I'll call school for you. response:	You don't have to make dinner, either. Stay in bed.
context: I'm sorry. I couldn't make breakfast...\Don't be stupid. You have such a high fever!\You keep resting. I'll call school for you.\You don't have to make dinner, either. Stay in bed. response:	Roger that.
context: I'm sorry. I couldn't make breakfast...\Don't be stupid. You have such a high fever!\You keep resting. I'll call school for you.\You don't have to make dinner, either. Stay in bed.\Roger that. response:	Oikawa.
context: I'm sorry. I couldn't make breakfast...\Don't be stupid. You have such a high fever!\You keep resting. I'll call school for you.\You don't have to make dinner, either. Stay in bed.\Roger that.\Oikawa. response:	Here.
context: I'm sorry. I couldn't make breakfast...\Don't be stupid. You have such a high fever!\You keep resting. I'll call school for you.\You don't have to make dinner, either. Stay in bed.\Roger that.\Oikawa.\Here. response:	Otosaka.
context: I'm sorry. I couldn't make breakfast...\Don't be stupid. You have such a high fever!\You keep resting. I'll call school for you.\You don't have to make dinner, either. Stay in bed.\Roger that.\Oikawa.\Here.\Otosaka. response:	Oh right, Otosaka was absent with a cold.
context: Don't be stupid. You have such a high fever!\You keep resting. I'll call school for you.\You don't have to make dinner, either. Stay in bed.\Roger that.\Oikawa.\Here.\Otosaka.\Oh right, Otosaka was absent with a cold. response:	Kato.
context: You keep resting. I'll call school for you.\You don't have to make dinner, either. Stay in bed.\Roger that.\Oikawa.\Here.\Otosaka.\Oh right, Otosaka was absent with a cold.\Kato. response:	Here.
context: You don't have to make dinner, either. Stay in bed.\Roger that.\Oikawa.\Here.\Otosaka.\Oh right, Otosaka was absent with a cold.\Kato.\Here. response:	Kijima.
context: Roger that.\Oikawa.\Here.\Otosaka.\Oh right, Otosaka was absent with a cold.\Kato.\Here.\Kijima. response:	Here.
context: Oikawa.\Here.\Otosaka.\Oh right, Otosaka was absent with a cold.\Kato.\Here.\Kijima.\Here. response:	Kiyama.
context: Here.\Otosaka.\Oh right, Otosaka was absent with a cold.\Kato.\Here.\Kijima.\Here.\Kiyama. response:	Here.
context: Otosaka.\Oh right, Otosaka was absent with a cold.\Kato.\Here.\Kijima.\Here.\Kiyama.\Here. response:	Konishi.
context: Oh right, Otosaka was absent with a cold.\Kato.\Here.\Kijima.\Here.\Kiyama.\Here.\Konishi. response:	Here.
context: Kato.\Here.\Kijima.\Here.\Kiyama.\Here.\Konishi.\Here. response:	Komatsu.
context: Here.\Kijima.\Here.\Kiyama.\Here.\Konishi.\Here.\Komatsu. response:	Here.
context: Kijima.\Here.\Kiyama.\Here.\Konishi.\Here.\Komatsu.\Here. response:	Komiyama.
context: Here.\Kiyama.\Here.\Konishi.\Here.\Komatsu.\Here.\Komiyama. response:	Episode 6 Happy You Did Not Notice
context: Kiyama.\Here.\Konishi.\Here.\Komatsu.\Here.\Komiyama.\Episode 6 Happy You Did Not Notice response:	The ability is... collapse.
context: Here.\Konishi.\Here.\Komatsu.\Here.\Komiyama.\Episode 6 Happy You Did Not Notice\The ability is... collapse. response:	Collapse? What kind of ability is that?
context: Konishi.\Here.\Komatsu.\Here.\Komiyama.\Episode 6 Happy You Did Not Notice\The ability is... collapse.\Collapse? What kind of ability is that? response:	Who knows?
context: Here.\Komatsu.\Here.\Komiyama.\Episode 6 Happy You Did Not Notice\The ability is... collapse.\Collapse? What kind of ability is that?\Who knows? response:	Probably something like able to destroy anything they target.
context: Komatsu.\Here.\Komiyama.\Episode 6 Happy You Did Not Notice\The ability is... collapse.\Collapse? What kind of ability is that?\Who knows?\Probably something like able to destroy anything they target. response:	But still...
context: Here.\Komiyama.\Episode 6 Happy You Did Not Notice\The ability is... collapse.\Collapse? What kind of ability is that?\Who knows?\Probably something like able to destroy anything they target.\But still... response:	The fact that it's not destruction is kinda scary.
context: Komiyama.\Episode 6 Happy You Did Not Notice\The ability is... collapse.\Collapse? What kind of ability is that?\Who knows?\Probably something like able to destroy anything they target.\But still...\The fact that it's not destruction is kinda scary. response:	So, where's this guy?
context: Episode 6 Happy You Did Not Notice\The ability is... collapse.\Collapse? What kind of ability is that?\Who knows?\Probably something like able to destroy anything they target.\But still...\The fact that it's not destruction is kinda scary.\So, where's this guy? response:	Let's see... wait?
context: The ability is... collapse.\Collapse? What kind of ability is that?\Who knows?\Probably something like able to destroy anything they target.\But still...\The fact that it's not destruction is kinda scary.\So, where's this guy?\Let's see... wait? response:	This is our condo complex that is attached to this academy.
context: Collapse? What kind of ability is that?\Who knows?\Probably something like able to destroy anything they target.\But still...\The fact that it's not destruction is kinda scary.\So, where's this guy?\Let's see... wait?\This is our condo complex that is attached to this academy. response:	Then, isn't it natural for someone with an ability to be there?
context: Who knows?\Probably something like able to destroy anything they target.\But still...\The fact that it's not destruction is kinda scary.\So, where's this guy?\Let's see... wait?\This is our condo complex that is attached to this academy.\Then, isn't it natural for someone with an ability to be there? response:	Is that so?
context: Probably something like able to destroy anything they target.\But still...\The fact that it's not destruction is kinda scary.\So, where's this guy?\Let's see... wait?\This is our condo complex that is attached to this academy.\Then, isn't it natural for someone with an ability to be there?\Is that so? response:	This person is in their condo right now, you see?
context: But still...\The fact that it's not destruction is kinda scary.\So, where's this guy?\Let's see... wait?\This is our condo complex that is attached to this academy.\Then, isn't it natural for someone with an ability to be there?\Is that so?\This person is in their condo right now, you see? response:	Don't you think that's strange?
context: The fact that it's not destruction is kinda scary.\So, where's this guy?\Let's see... wait?\This is our condo complex that is attached to this academy.\Then, isn't it natural for someone with an ability to be there?\Is that so?\This person is in their condo right now, you see?\Don't you think that's strange? response:	Why's that?
context: So, where's this guy?\Let's see... wait?\This is our condo complex that is attached to this academy.\Then, isn't it natural for someone with an ability to be there?\Is that so?\This person is in their condo right now, you see?\Don't you think that's strange?\Why's that? response:	Parents will not be wielders of special abilities,
context: Let's see... wait?\This is our condo complex that is attached to this academy.\Then, isn't it natural for someone with an ability to be there?\Is that so?\This person is in their condo right now, you see?\Don't you think that's strange?\Why's that?\Parents will not be wielders of special abilities, response:	as it only occurs during adolescence.
context: This is our condo complex that is attached to this academy.\Then, isn't it natural for someone with an ability to be there?\Is that so?\This person is in their condo right now, you see?\Don't you think that's strange?\Why's that?\Parents will not be wielders of special abilities,\as it only occurs during adolescence. response:	I see...
context: Then, isn't it natural for someone with an ability to be there?\Is that so?\This person is in their condo right now, you see?\Don't you think that's strange?\Why's that?\Parents will not be wielders of special abilities,\as it only occurs during adolescence.\I see... response:	Which means...
context: Is that so?\This person is in their condo right now, you see?\Don't you think that's strange?\Why's that?\Parents will not be wielders of special abilities,\as it only occurs during adolescence.\I see...\Which means... response:	The target is home sick from school, or something like that.
context: This person is in their condo right now, you see?\Don't you think that's strange?\Why's that?\Parents will not be wielders of special abilities,\as it only occurs during adolescence.\I see...\Which means...\The target is home sick from school, or something like that. response:	Impossible!
context: Don't you think that's strange?\Why's that?\Parents will not be wielders of special abilities,\as it only occurs during adolescence.\I see...\Which means...\The target is home sick from school, or something like that.\Impossible! response:	Whoa, that's an abnormal bit of agitation.
context: Why's that?\Parents will not be wielders of special abilities,\as it only occurs during adolescence.\I see...\Which means...\The target is home sick from school, or something like that.\Impossible!\Whoa, that's an abnormal bit of agitation. response:	I'm sure it's a coincidence...
context: Parents will not be wielders of special abilities,\as it only occurs during adolescence.\I see...\Which means...\The target is home sick from school, or something like that.\Impossible!\Whoa, that's an abnormal bit of agitation.\I'm sure it's a coincidence... response:	What is it? Try talking to us.
context: as it only occurs during adolescence.\I see...\Which means...\The target is home sick from school, or something like that.\Impossible!\Whoa, that's an abnormal bit of agitation.\I'm sure it's a coincidence...\What is it? Try talking to us. response:	My little sister...
context: I see...\Which means...\The target is home sick from school, or something like that.\Impossible!\Whoa, that's an abnormal bit of agitation.\I'm sure it's a coincidence...\What is it? Try talking to us.\My little sister... response:	It might be that both siblings show these symptoms after all...
context: Which means...\The target is home sick from school, or something like that.\Impossible!\Whoa, that's an abnormal bit of agitation.\I'm sure it's a coincidence...\What is it? Try talking to us.\My little sister...\It might be that both siblings show these symptoms after all... response:	Well, we're no scientists,
