context: It's not as though I'm unaware... response:	It's not as though I'm unaware
context: It's not as though I'm unaware...\It's not as though I'm unaware response:	I have terrible luck.
context: It's not as though I'm unaware...\It's not as though I'm unaware\I have terrible luck. response:	I have terrible luck
context: It's not as though I'm unaware...\It's not as though I'm unaware\I have terrible luck.\I have terrible luck response:	What an awful life
context: It's not as though I'm unaware...\It's not as though I'm unaware\I have terrible luck.\I have terrible luck\What an awful life response:	What an awful life.
context: It's not as though I'm unaware...\It's not as though I'm unaware\I have terrible luck.\I have terrible luck\What an awful life\What an awful life. response:	Is that really him?
context: It's not as though I'm unaware...\It's not as though I'm unaware\I have terrible luck.\I have terrible luck\What an awful life\What an awful life.\Is that really him? response:	Yeah.
context: It's not as though I'm unaware...\It's not as though I'm unaware\I have terrible luck.\I have terrible luck\What an awful life\What an awful life.\Is that really him?\Yeah. response:	That's the monster you asked for.
context: It's not as though I'm unaware\I have terrible luck.\I have terrible luck\What an awful life\What an awful life.\Is that really him?\Yeah.\That's the monster you asked for. response:	The prize, as promised.
context: I have terrible luck.\I have terrible luck\What an awful life\What an awful life.\Is that really him?\Yeah.\That's the monster you asked for.\The prize, as promised. response:	Even twice this wouldn't have made it worth it.
context: I have terrible luck\What an awful life\What an awful life.\Is that really him?\Yeah.\That's the monster you asked for.\The prize, as promised.\Even twice this wouldn't have made it worth it. response:	Be careful.
context: What an awful life\What an awful life.\Is that really him?\Yeah.\That's the monster you asked for.\The prize, as promised.\Even twice this wouldn't have made it worth it.\Be careful. response:	Speak to him, and he'll suck out your soul.
context: What an awful life.\Is that really him?\Yeah.\That's the monster you asked for.\The prize, as promised.\Even twice this wouldn't have made it worth it.\Be careful.\Speak to him, and he'll suck out your soul. response:	His ability is quite dangerous.
context: Is that really him?\Yeah.\That's the monster you asked for.\The prize, as promised.\Even twice this wouldn't have made it worth it.\Be careful.\Speak to him, and he'll suck out your soul.\His ability is quite dangerous. response:	Fyodor?
context: Yeah.\That's the monster you asked for.\The prize, as promised.\Even twice this wouldn't have made it worth it.\Be careful.\Speak to him, and he'll suck out your soul.\His ability is quite dangerous.\Fyodor? response:	Yes.
context: That's the monster you asked for.\The prize, as promised.\Even twice this wouldn't have made it worth it.\Be careful.\Speak to him, and he'll suck out your soul.\His ability is quite dangerous.\Fyodor?\Yes. response:	The one behind the destruction of the Moby Dick.
context: The prize, as promised.\Even twice this wouldn't have made it worth it.\Be careful.\Speak to him, and he'll suck out your soul.\His ability is quite dangerous.\Fyodor?\Yes.\The one behind the destruction of the Moby Dick. response:	I hired a professional kidnapper to capture him.
context: Even twice this wouldn't have made it worth it.\Be careful.\Speak to him, and he'll suck out your soul.\His ability is quite dangerous.\Fyodor?\Yes.\The one behind the destruction of the Moby Dick.\I hired a professional kidnapper to capture him. response:	He's the leader of a thieving organization called the Rats in the House of the Dead.
context: Be careful.\Speak to him, and he'll suck out your soul.\His ability is quite dangerous.\Fyodor?\Yes.\The one behind the destruction of the Moby Dick.\I hired a professional kidnapper to capture him.\He's the leader of a thieving organization called the Rats in the House of the Dead. response:	It seems he was also involved in the Shibusawa Tatsuhiko incident.
context: Speak to him, and he'll suck out your soul.\His ability is quite dangerous.\Fyodor?\Yes.\The one behind the destruction of the Moby Dick.\I hired a professional kidnapper to capture him.\He's the leader of a thieving organization called the Rats in the House of the Dead.\It seems he was also involved in the Shibusawa Tatsuhiko incident. response:	But to me, he's no more than a sewer rat.
context: His ability is quite dangerous.\Fyodor?\Yes.\The one behind the destruction of the Moby Dick.\I hired a professional kidnapper to capture him.\He's the leader of a thieving organization called the Rats in the House of the Dead.\It seems he was also involved in the Shibusawa Tatsuhiko incident.\But to me, he's no more than a sewer rat. response:	Port Mafia Executive A (Ace)
context: Fyodor?\Yes.\The one behind the destruction of the Moby Dick.\I hired a professional kidnapper to capture him.\He's the leader of a thieving organization called the Rats in the House of the Dead.\It seems he was also involved in the Shibusawa Tatsuhiko incident.\But to me, he's no more than a sewer rat.\Port Mafia Executive A (Ace) response:	Ability: Madness of the Jewel King
context: Yes.\The one behind the destruction of the Moby Dick.\I hired a professional kidnapper to capture him.\He's the leader of a thieving organization called the Rats in the House of the Dead.\It seems he was also involved in the Shibusawa Tatsuhiko incident.\But to me, he's no more than a sewer rat.\Port Mafia Executive A (Ace)\Ability: Madness of the Jewel King response:	Describe this man to me.
context: The one behind the destruction of the Moby Dick.\I hired a professional kidnapper to capture him.\He's the leader of a thieving organization called the Rats in the House of the Dead.\It seems he was also involved in the Shibusawa Tatsuhiko incident.\But to me, he's no more than a sewer rat.\Port Mafia Executive A (Ace)\Ability: Madness of the Jewel King\Describe this man to me. response:	He's a soulless man, like a vampire.
context: I hired a professional kidnapper to capture him.\He's the leader of a thieving organization called the Rats in the House of the Dead.\It seems he was also involved in the Shibusawa Tatsuhiko incident.\But to me, he's no more than a sewer rat.\Port Mafia Executive A (Ace)\Ability: Madness of the Jewel King\Describe this man to me.\He's a soulless man, like a vampire. response:	Actually, he's really just the boss of a band of arctic mice.
context: He's the leader of a thieving organization called the Rats in the House of the Dead.\It seems he was also involved in the Shibusawa Tatsuhiko incident.\But to me, he's no more than a sewer rat.\Port Mafia Executive A (Ace)\Ability: Madness of the Jewel King\Describe this man to me.\He's a soulless man, like a vampire.\Actually, he's really just the boss of a band of arctic mice. response:	Using my organization's finances,
context: It seems he was also involved in the Shibusawa Tatsuhiko incident.\But to me, he's no more than a sewer rat.\Port Mafia Executive A (Ace)\Ability: Madness of the Jewel King\Describe this man to me.\He's a soulless man, like a vampire.\Actually, he's really just the boss of a band of arctic mice.\Using my organization's finances, response:	capturing him was easier than taking money from a casino dealer.
context: But to me, he's no more than a sewer rat.\Port Mafia Executive A (Ace)\Ability: Madness of the Jewel King\Describe this man to me.\He's a soulless man, like a vampire.\Actually, he's really just the boss of a band of arctic mice.\Using my organization's finances,\capturing him was easier than taking money from a casino dealer. response:	My organization, huh?
context: Port Mafia Executive A (Ace)\Ability: Madness of the Jewel King\Describe this man to me.\He's a soulless man, like a vampire.\Actually, he's really just the boss of a band of arctic mice.\Using my organization's finances,\capturing him was easier than taking money from a casino dealer.\My organization, huh? response:	Either way, that man knows
context: Ability: Madness of the Jewel King\Describe this man to me.\He's a soulless man, like a vampire.\Actually, he's really just the boss of a band of arctic mice.\Using my organization's finances,\capturing him was easier than taking money from a casino dealer.\My organization, huh?\Either way, that man knows response:	how viciously the Port Mafia retaliates.
context: Describe this man to me.\He's a soulless man, like a vampire.\Actually, he's really just the boss of a band of arctic mice.\Using my organization's finances,\capturing him was easier than taking money from a casino dealer.\My organization, huh?\Either way, that man knows\how viciously the Port Mafia retaliates. response:	Shall we have our interrogation team do it?
context: He's a soulless man, like a vampire.\Actually, he's really just the boss of a band of arctic mice.\Using my organization's finances,\capturing him was easier than taking money from a casino dealer.\My organization, huh?\Either way, that man knows\how viciously the Port Mafia retaliates.\Shall we have our interrogation team do it? response:	One moment.
context: Actually, he's really just the boss of a band of arctic mice.\Using my organization's finances,\capturing him was easier than taking money from a casino dealer.\My organization, huh?\Either way, that man knows\how viciously the Port Mafia retaliates.\Shall we have our interrogation team do it?\One moment. response:	Allow me to take this task.
context: Using my organization's finances,\capturing him was easier than taking money from a casino dealer.\My organization, huh?\Either way, that man knows\how viciously the Port Mafia retaliates.\Shall we have our interrogation team do it?\One moment.\Allow me to take this task. response:	You?
context: capturing him was easier than taking money from a casino dealer.\My organization, huh?\Either way, that man knows\how viciously the Port Mafia retaliates.\Shall we have our interrogation team do it?\One moment.\Allow me to take this task.\You? response:	Well, well, you're hard-working.
context: My organization, huh?\Either way, that man knows\how viciously the Port Mafia retaliates.\Shall we have our interrogation team do it?\One moment.\Allow me to take this task.\You?\Well, well, you're hard-working. response:	Especially for the Guild executive who was the first to flee for shelter.
context: Either way, that man knows\how viciously the Port Mafia retaliates.\Shall we have our interrogation team do it?\One moment.\Allow me to take this task.\You?\Well, well, you're hard-working.\Especially for the Guild executive who was the first to flee for shelter. response:	Am I not more qualified than the ones who were the first to be captured by the enemy?
context: how viciously the Port Mafia retaliates.\Shall we have our interrogation team do it?\One moment.\Allow me to take this task.\You?\Well, well, you're hard-working.\Especially for the Guild executive who was the first to flee for shelter.\Am I not more qualified than the ones who were the first to be captured by the enemy? response:	Like him or not, this is a man who betrayed the Guild.
context: Shall we have our interrogation team do it?\One moment.\Allow me to take this task.\You?\Well, well, you're hard-working.\Especially for the Guild executive who was the first to flee for shelter.\Am I not more qualified than the ones who were the first to be captured by the enemy?\Like him or not, this is a man who betrayed the Guild. response:	We'll need to be prepared.
context: One moment.\Allow me to take this task.\You?\Well, well, you're hard-working.\Especially for the Guild executive who was the first to flee for shelter.\Am I not more qualified than the ones who were the first to be captured by the enemy?\Like him or not, this is a man who betrayed the Guild.\We'll need to be prepared. response:	I have a plan.
context: Allow me to take this task.\You?\Well, well, you're hard-working.\Especially for the Guild executive who was the first to flee for shelter.\Am I not more qualified than the ones who were the first to be captured by the enemy?\Like him or not, this is a man who betrayed the Guild.\We'll need to be prepared.\I have a plan. response:	I'll leave you to deal with the rat you captured.
context: You?\Well, well, you're hard-working.\Especially for the Guild executive who was the first to flee for shelter.\Am I not more qualified than the ones who were the first to be captured by the enemy?\Like him or not, this is a man who betrayed the Guild.\We'll need to be prepared.\I have a plan.\I'll leave you to deal with the rat you captured. response:	I am honored.
context: Well, well, you're hard-working.\Especially for the Guild executive who was the first to flee for shelter.\Am I not more qualified than the ones who were the first to be captured by the enemy?\Like him or not, this is a man who betrayed the Guild.\We'll need to be prepared.\I have a plan.\I'll leave you to deal with the rat you captured.\I am honored. response:	Pardon me.
