context: April response:	Huh? A girl?
context: April\Huh? A girl? response:	Oh, there she is. Over here.
context: April\Huh? A girl?\Oh, there she is. Over here. response:	Nice to meet you. I'm Nanami Mami.
context: April\Huh? A girl?\Oh, there she is. Over here.\Nice to meet you. I'm Nanami Mami. response:	From the bottom of my heart, I felt she was the one.
context: April\Huh? A girl?\Oh, there she is. Over here.\Nice to meet you. I'm Nanami Mami.\From the bottom of my heart, I felt she was the one. response:	This guy's a virgin.
context: April\Huh? A girl?\Oh, there she is. Over here.\Nice to meet you. I'm Nanami Mami.\From the bottom of my heart, I felt she was the one.\This guy's a virgin. response:	Wait, what? Did you have to introduce me like that?
context: April\Huh? A girl?\Oh, there she is. Over here.\Nice to meet you. I'm Nanami Mami.\From the bottom of my heart, I felt she was the one.\This guy's a virgin.\Wait, what? Did you have to introduce me like that? response:	I was training to be a priest until last week, you see.
context: April\Huh? A girl?\Oh, there she is. Over here.\Nice to meet you. I'm Nanami Mami.\From the bottom of my heart, I felt she was the one.\This guy's a virgin.\Wait, what? Did you have to introduce me like that?\I was training to be a priest until last week, you see. response:	Favorite Comeback (70 points)
context: Huh? A girl?\Oh, there she is. Over here.\Nice to meet you. I'm Nanami Mami.\From the bottom of my heart, I felt she was the one.\This guy's a virgin.\Wait, what? Did you have to introduce me like that?\I was training to be a priest until last week, you see.\Favorite Comeback (70 points) response:	What? Really?
context: Oh, there she is. Over here.\Nice to meet you. I'm Nanami Mami.\From the bottom of my heart, I felt she was the one.\This guy's a virgin.\Wait, what? Did you have to introduce me like that?\I was training to be a priest until last week, you see.\Favorite Comeback (70 points)\What? Really? response:	That's kinda cute.
context: Nice to meet you. I'm Nanami Mami.\From the bottom of my heart, I felt she was the one.\This guy's a virgin.\Wait, what? Did you have to introduce me like that?\I was training to be a priest until last week, you see.\Favorite Comeback (70 points)\What? Really?\That's kinda cute. response:	Please go out with me!
context: From the bottom of my heart, I felt she was the one.\This guy's a virgin.\Wait, what? Did you have to introduce me like that?\I was training to be a priest until last week, you see.\Favorite Comeback (70 points)\What? Really?\That's kinda cute.\Please go out with me! response:	Sure.
context: This guy's a virgin.\Wait, what? Did you have to introduce me like that?\I was training to be a priest until last week, you see.\Favorite Comeback (70 points)\What? Really?\That's kinda cute.\Please go out with me!\Sure. response:	Let's go steady.
context: Wait, what? Did you have to introduce me like that?\I was training to be a priest until last week, you see.\Favorite Comeback (70 points)\What? Really?\That's kinda cute.\Please go out with me!\Sure.\Let's go steady. response:	Look at the time...hhhhhhhhh Sorry, I'm gettinghhhhhhhhhh sleepy.hhhhhhhhhhhhhhhhhhhhhh
context: I was training to be a priest until last week, you see.\Favorite Comeback (70 points)\What? Really?\That's kinda cute.\Please go out with me!\Sure.\Let's go steady.\Look at the time...hhhhhhhhh Sorry, I'm gettinghhhhhhhhhh sleepy.hhhhhhhhhhhhhhhhhhhhhh response:	I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh
context: Favorite Comeback (70 points)\What? Really?\That's kinda cute.\Please go out with me!\Sure.\Let's go steady.\Look at the time...hhhhhhhhh Sorry, I'm gettinghhhhhhhhhh sleepy.hhhhhhhhhhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh response:	I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh
context: What? Really?\That's kinda cute.\Please go out with me!\Sure.\Let's go steady.\Look at the time...hhhhhhhhh Sorry, I'm gettinghhhhhhhhhh sleepy.hhhhhhhhhhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh response:	Today
context: That's kinda cute.\Please go out with me!\Sure.\Let's go steady.\Look at the time...hhhhhhhhh Sorry, I'm gettinghhhhhhhhhh sleepy.hhhhhhhhhhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\Today response:	If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh
context: Please go out with me!\Sure.\Let's go steady.\Look at the time...hhhhhhhhh Sorry, I'm gettinghhhhhhhhhh sleepy.hhhhhhhhhhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\Today\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh response:	Read
context: Sure.\Let's go steady.\Look at the time...hhhhhhhhh Sorry, I'm gettinghhhhhhhhhh sleepy.hhhhhhhhhhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\Today\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read response:	Read
context: Let's go steady.\Look at the time...hhhhhhhhh Sorry, I'm gettinghhhhhhhhhh sleepy.hhhhhhhhhhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\Today\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read\Read response:	If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh
context: Look at the time...hhhhhhhhh Sorry, I'm gettinghhhhhhhhhh sleepy.hhhhhhhhhhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\I'm sorry forhhhhhhhhhhhhhhhhhhhh keeping you up!hhhhhhhhhhhhhhhhh Goodnight!hhhhhhhhhhhhhh\Today\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh\Read\Read\If you're free over the weekend, would you likehhhh to go on a date?hhhhhhhhh response:	Read
