context: Puella Magi Madoka Magica Episode 10 response:	TL- Ryona
context: Puella Magi Madoka Magica Episode 10\TL- Ryona response:	insert song
context: Puella Magi Madoka Magica Episode 10\TL- Ryona\insert song response:	ED
context: Puella Magi Madoka Magica Episode 10\TL- Ryona\insert song\ED response:	U-Um...
context: Puella Magi Madoka Magica Episode 10\TL- Ryona\insert song\ED\U-Um... response:	All right then, introduce yourself next.
context: Puella Magi Madoka Magica Episode 10\TL- Ryona\insert song\ED\U-Um...\All right then, introduce yourself next. response:	I'm... Akemi Homura.
context: Puella Magi Madoka Magica Episode 10\TL- Ryona\insert song\ED\U-Um...\All right then, introduce yourself next.\I'm... Akemi Homura. response:	Also... Um...
context: Puella Magi Madoka Magica Episode 10\TL- Ryona\insert song\ED\U-Um...\All right then, introduce yourself next.\I'm... Akemi Homura.\Also... Um... response:	Please take care of me.
context: TL- Ryona\insert song\ED\U-Um...\All right then, introduce yourself next.\I'm... Akemi Homura.\Also... Um...\Please take care of me. response:	Because of heart problems, Akemi-san has been staying at the hospital.
context: insert song\ED\U-Um...\All right then, introduce yourself next.\I'm... Akemi Homura.\Also... Um...\Please take care of me.\Because of heart problems, Akemi-san has been staying at the hospital. response:	Akemi Homura
context: ED\U-Um...\All right then, introduce yourself next.\I'm... Akemi Homura.\Also... Um...\Please take care of me.\Because of heart problems, Akemi-san has been staying at the hospital.\Akemi Homura response:	It's been a while since she last came to school,
context: U-Um...\All right then, introduce yourself next.\I'm... Akemi Homura.\Also... Um...\Please take care of me.\Because of heart problems, Akemi-san has been staying at the hospital.\Akemi Homura\It's been a while since she last came to school, response:	so she may need your help with a few things.
context: All right then, introduce yourself next.\I'm... Akemi Homura.\Also... Um...\Please take care of me.\Because of heart problems, Akemi-san has been staying at the hospital.\Akemi Homura\It's been a while since she last came to school,\so she may need your help with a few things. response:	Everybody lend a helping hand, okay?
context: I'm... Akemi Homura.\Also... Um...\Please take care of me.\Because of heart problems, Akemi-san has been staying at the hospital.\Akemi Homura\It's been a while since she last came to school,\so she may need your help with a few things.\Everybody lend a helping hand, okay? response:	Akemi-san, where was your last school?
context: Also... Um...\Please take care of me.\Because of heart problems, Akemi-san has been staying at the hospital.\Akemi Homura\It's been a while since she last came to school,\so she may need your help with a few things.\Everybody lend a helping hand, okay?\Akemi-san, where was your last school? response:	Are you in any after-school clubs?
context: Please take care of me.\Because of heart problems, Akemi-san has been staying at the hospital.\Akemi Homura\It's been a while since she last came to school,\so she may need your help with a few things.\Everybody lend a helping hand, okay?\Akemi-san, where was your last school?\Are you in any after-school clubs? response:	Sports? Literature?
context: Because of heart problems, Akemi-san has been staying at the hospital.\Akemi Homura\It's been a while since she last came to school,\so she may need your help with a few things.\Everybody lend a helping hand, okay?\Akemi-san, where was your last school?\Are you in any after-school clubs?\Sports? Literature? response:	Wow, your hair is so long.
context: Akemi Homura\It's been a while since she last came to school,\so she may need your help with a few things.\Everybody lend a helping hand, okay?\Akemi-san, where was your last school?\Are you in any after-school clubs?\Sports? Literature?\Wow, your hair is so long. response:	Isn't it hard to do every morning?
context: It's been a while since she last came to school,\so she may need your help with a few things.\Everybody lend a helping hand, okay?\Akemi-san, where was your last school?\Are you in any after-school clubs?\Sports? Literature?\Wow, your hair is so long.\Isn't it hard to do every morning? response:	Umm, I... That is...
context: so she may need your help with a few things.\Everybody lend a helping hand, okay?\Akemi-san, where was your last school?\Are you in any after-school clubs?\Sports? Literature?\Wow, your hair is so long.\Isn't it hard to do every morning?\Umm, I... That is... response:	Akemi-san.
context: Everybody lend a helping hand, okay?\Akemi-san, where was your last school?\Are you in any after-school clubs?\Sports? Literature?\Wow, your hair is so long.\Isn't it hard to do every morning?\Umm, I... That is...\Akemi-san. response:	You need to go to the nurse's office, right?
context: Akemi-san, where was your last school?\Are you in any after-school clubs?\Sports? Literature?\Wow, your hair is so long.\Isn't it hard to do every morning?\Umm, I... That is...\Akemi-san.\You need to go to the nurse's office, right? response:	Do you know where it is?
context: Are you in any after-school clubs?\Sports? Literature?\Wow, your hair is so long.\Isn't it hard to do every morning?\Umm, I... That is...\Akemi-san.\You need to go to the nurse's office, right?\Do you know where it is? response:	No.
context: Sports? Literature?\Wow, your hair is so long.\Isn't it hard to do every morning?\Umm, I... That is...\Akemi-san.\You need to go to the nurse's office, right?\Do you know where it is?\No. response:	I'll take you there, then.
context: Wow, your hair is so long.\Isn't it hard to do every morning?\Umm, I... That is...\Akemi-san.\You need to go to the nurse's office, right?\Do you know where it is?\No.\I'll take you there, then. response:	I'm the health representative.
context: Isn't it hard to do every morning?\Umm, I... That is...\Akemi-san.\You need to go to the nurse's office, right?\Do you know where it is?\No.\I'll take you there, then.\I'm the health representative. response:	Sorry everyone.
context: Umm, I... That is...\Akemi-san.\You need to go to the nurse's office, right?\Do you know where it is?\No.\I'll take you there, then.\I'm the health representative.\Sorry everyone. response:	Akemi-san has to go to the nurse's office during breaks to take some medicine.
context: Akemi-san.\You need to go to the nurse's office, right?\Do you know where it is?\No.\I'll take you there, then.\I'm the health representative.\Sorry everyone.\Akemi-san has to go to the nurse's office during breaks to take some medicine. response:	Oh, is that so?
context: You need to go to the nurse's office, right?\Do you know where it is?\No.\I'll take you there, then.\I'm the health representative.\Sorry everyone.\Akemi-san has to go to the nurse's office during breaks to take some medicine.\Oh, is that so? response:	Sorry.
context: Do you know where it is?\No.\I'll take you there, then.\I'm the health representative.\Sorry everyone.\Akemi-san has to go to the nurse's office during breaks to take some medicine.\Oh, is that so?\Sorry. response:	Sorry for holding you up.
