context: Got you! response:	Let me go! What are you doing?!
context: Got you!\Let me go! What are you doing?! response:	He fits snugly in my arms.
context: Got you!\Let me go! What are you doing?!\He fits snugly in my arms. response:	Hey, hey! Wh-Wh-What do you think you're doing?!
context: Got you!\Let me go! What are you doing?!\He fits snugly in my arms.\Hey, hey! Wh-Wh-What do you think you're doing?! response:	It doesn't matter if I can carry him in my arms.
context: Got you!\Let me go! What are you doing?!\He fits snugly in my arms.\Hey, hey! Wh-Wh-What do you think you're doing?!\It doesn't matter if I can carry him in my arms. response:	It doesn't matter if he's shorter than me.
context: Got you!\Let me go! What are you doing?!\He fits snugly in my arms.\Hey, hey! Wh-Wh-What do you think you're doing?!\It doesn't matter if I can carry him in my arms.\It doesn't matter if he's shorter than me. response:	I...
context: Got you!\Let me go! What are you doing?!\He fits snugly in my arms.\Hey, hey! Wh-Wh-What do you think you're doing?!\It doesn't matter if I can carry him in my arms.\It doesn't matter if he's shorter than me.\I... response:	A Maiden's Determination! Love-Love Confession Plan!!
context: Got you!\Let me go! What are you doing?!\He fits snugly in my arms.\Hey, hey! Wh-Wh-What do you think you're doing?!\It doesn't matter if I can carry him in my arms.\It doesn't matter if he's shorter than me.\I...\A Maiden's Determination! Love-Love Confession Plan!! response:	Risa!
context: Let me go! What are you doing?!\He fits snugly in my arms.\Hey, hey! Wh-Wh-What do you think you're doing?!\It doesn't matter if I can carry him in my arms.\It doesn't matter if he's shorter than me.\I...\A Maiden's Determination! Love-Love Confession Plan!!\Risa! response:	Nobu-chan.
context: He fits snugly in my arms.\Hey, hey! Wh-Wh-What do you think you're doing?!\It doesn't matter if I can carry him in my arms.\It doesn't matter if he's shorter than me.\I...\A Maiden's Determination! Love-Love Confession Plan!!\Risa!\Nobu-chan. response:	How are you? Feeling okay?
context: Hey, hey! Wh-Wh-What do you think you're doing?!\It doesn't matter if I can carry him in my arms.\It doesn't matter if he's shorter than me.\I...\A Maiden's Determination! Love-Love Confession Plan!!\Risa!\Nobu-chan.\How are you? Feeling okay? response:	Feeling?
context: It doesn't matter if I can carry him in my arms.\It doesn't matter if he's shorter than me.\I...\A Maiden's Determination! Love-Love Confession Plan!!\Risa!\Nobu-chan.\How are you? Feeling okay?\Feeling? response:	Great, of course!
context: It doesn't matter if he's shorter than me.\I...\A Maiden's Determination! Love-Love Confession Plan!!\Risa!\Nobu-chan.\How are you? Feeling okay?\Feeling?\Great, of course! response:	Well...
context: I...\A Maiden's Determination! Love-Love Confession Plan!!\Risa!\Nobu-chan.\How are you? Feeling okay?\Feeling?\Great, of course!\Well... response:	I even brought my camera.
context: A Maiden's Determination! Love-Love Confession Plan!!\Risa!\Nobu-chan.\How are you? Feeling okay?\Feeling?\Great, of course!\Well...\I even brought my camera. response:	Hurry up and be night time already...
context: Risa!\Nobu-chan.\How are you? Feeling okay?\Feeling?\Great, of course!\Well...\I even brought my camera.\Hurry up and be night time already... response:	That's not what I meant!
context: Nobu-chan.\How are you? Feeling okay?\Feeling?\Great, of course!\Well...\I even brought my camera.\Hurry up and be night time already...\That's not what I meant! response:	Coming to the beach during summer vacation should be about love and youth!
