context: is because the girls' skirts are... response:	Mame Souichirou, 15 years old.
context: is because the girls' skirts are...\Mame Souichirou, 15 years old. response:	Starting today, I'm a freshman at Aoba Academy.
context: is because the girls' skirts are...\Mame Souichirou, 15 years old.\Starting today, I'm a freshman at Aoba Academy. response:	The reason why I chose this school
context: is because the girls' skirts are...\Mame Souichirou, 15 years old.\Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school response:	A fresh and exciting school life!
context: is because the girls' skirts are...\Mame Souichirou, 15 years old.\Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school\A fresh and exciting school life! response:	The first spring winds...
context: is because the girls' skirts are...\Mame Souichirou, 15 years old.\Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school\A fresh and exciting school life!\The first spring winds... response:	Let's not meet until our dreams are granted!
context: is because the girls' skirts are...\Mame Souichirou, 15 years old.\Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school\A fresh and exciting school life!\The first spring winds...\Let's not meet until our dreams are granted! response:	Ew!!
context: is because the girls' skirts are...\Mame Souichirou, 15 years old.\Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school\A fresh and exciting school life!\The first spring winds...\Let's not meet until our dreams are granted!\Ew!! response:	I love you!
context: Mame Souichirou, 15 years old.\Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school\A fresh and exciting school life!\The first spring winds...\Let's not meet until our dreams are granted!\Ew!!\I love you! response:	I love you!
context: Starting today, I'm a freshman at Aoba Academy.\The reason why I chose this school\A fresh and exciting school life!\The first spring winds...\Let's not meet until our dreams are granted!\Ew!!\I love you!\I love you! response:	yume kanaeru made chousen wa tsuzuku
context: The reason why I chose this school\A fresh and exciting school life!\The first spring winds...\Let's not meet until our dreams are granted!\Ew!!\I love you!\I love you!\yume kanaeru made chousen wa tsuzuku response:	boku wa dokomade chikazuketandarou?
context: A fresh and exciting school life!\The first spring winds...\Let's not meet until our dreams are granted!\Ew!!\I love you!\I love you!\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou? response:	juunengo no mirai kagayaiteru sugata wa
context: The first spring winds...\Let's not meet until our dreams are granted!\Ew!!\I love you!\I love you!\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa response:	koukai wa shinai jibun de egaita story
context: Let's not meet until our dreams are granted!\Ew!!\I love you!\I love you!\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story response:	fumidaseba yukute habamu genjitsu
context: Ew!!\I love you!\I love you!\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu response:	makenai to ima mune ni chikatta
context: I love you!\I love you!\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta response:	kokorozashita tsukamitai yume ga arukara
context: I love you!\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara response:	moyashite yuke jounetsu wo atsuku
