context: At the netherworld's bottom, I'll be waiting. response:	What made you decide to swipe this...?
context: At the netherworld's bottom, I'll be waiting.\What made you decide to swipe this...? response:	Well, it's a letter that my mom wrote to me, you see!
context: At the netherworld's bottom, I'll be waiting.\What made you decide to swipe this...?\Well, it's a letter that my mom wrote to me, you see! response:	That makes it mine!
context: At the netherworld's bottom, I'll be waiting.\What made you decide to swipe this...?\Well, it's a letter that my mom wrote to me, you see!\That makes it mine! response:	So, you're serious about going, then?
context: At the netherworld's bottom, I'll be waiting.\What made you decide to swipe this...?\Well, it's a letter that my mom wrote to me, you see!\That makes it mine!\So, you're serious about going, then? response:	Yep!
context: At the netherworld's bottom, I'll be waiting.\What made you decide to swipe this...?\Well, it's a letter that my mom wrote to me, you see!\That makes it mine!\So, you're serious about going, then?\Yep! response:	And that's why I want your help!
context: At the netherworld's bottom, I'll be waiting.\What made you decide to swipe this...?\Well, it's a letter that my mom wrote to me, you see!\That makes it mine!\So, you're serious about going, then?\Yep!\And that's why I want your help! response:	My mother is waiting for me.
context: At the netherworld's bottom, I'll be waiting.\What made you decide to swipe this...?\Well, it's a letter that my mom wrote to me, you see!\That makes it mine!\So, you're serious about going, then?\Yep!\And that's why I want your help!\My mother is waiting for me. response:	What's your plan once you pass beyond the Seeker Camp?
context: What made you decide to swipe this...?\Well, it's a letter that my mom wrote to me, you see!\That makes it mine!\So, you're serious about going, then?\Yep!\And that's why I want your help!\My mother is waiting for me.\What's your plan once you pass beyond the Seeker Camp? response:	I'll head for the bottom of the Abyss, where my mom is waiting!
context: Well, it's a letter that my mom wrote to me, you see!\That makes it mine!\So, you're serious about going, then?\Yep!\And that's why I want your help!\My mother is waiting for me.\What's your plan once you pass beyond the Seeker Camp?\I'll head for the bottom of the Abyss, where my mom is waiting! response:	The route from there is-
context: That makes it mine!\So, you're serious about going, then?\Yep!\And that's why I want your help!\My mother is waiting for me.\What's your plan once you pass beyond the Seeker Camp?\I'll head for the bottom of the Abyss, where my mom is waiting!\The route from there is- response:	What's the matter, Nat?
context: So, you're serious about going, then?\Yep!\And that's why I want your help!\My mother is waiting for me.\What's your plan once you pass beyond the Seeker Camp?\I'll head for the bottom of the Abyss, where my mom is waiting!\The route from there is-\What's the matter, Nat? response:	I'm against it! The bottom of the Abyss...
context: Yep!\And that's why I want your help!\My mother is waiting for me.\What's your plan once you pass beyond the Seeker Camp?\I'll head for the bottom of the Abyss, where my mom is waiting!\The route from there is-\What's the matter, Nat?\I'm against it! The bottom of the Abyss... response:	You talk about it like it's no big deal, but if you go there you'll never be able to return!
context: And that's why I want your help!\My mother is waiting for me.\What's your plan once you pass beyond the Seeker Camp?\I'll head for the bottom of the Abyss, where my mom is waiting!\The route from there is-\What's the matter, Nat?\I'm against it! The bottom of the Abyss...\You talk about it like it's no big deal, but if you go there you'll never be able to return! response:	What's this all of a sudden?!
