context: Scary Lucy is back! response:	On the inside, Scary Lucy isn't so different than the real one.
context: Scary Lucy is back!\On the inside, Scary Lucy isn't so different than the real one. response:	Stop calling us scary or real all the time!
context: Scary Lucy is back!\On the inside, Scary Lucy isn't so different than the real one.\Stop calling us scary or real all the time! response:	When you line three of them up, it's seriously freaky.
context: Scary Lucy is back!\On the inside, Scary Lucy isn't so different than the real one.\Stop calling us scary or real all the time!\When you line three of them up, it's seriously freaky. response:	That's just mean!
context: Scary Lucy is back!\On the inside, Scary Lucy isn't so different than the real one.\Stop calling us scary or real all the time!\When you line three of them up, it's seriously freaky.\That's just mean! response:	What about if the three of them combine into a Giant Lucy?!
context: Scary Lucy is back!\On the inside, Scary Lucy isn't so different than the real one.\Stop calling us scary or real all the time!\When you line three of them up, it's seriously freaky.\That's just mean!\What about if the three of them combine into a Giant Lucy?! response:	They'd be the enemy of all humanity!
context: Scary Lucy is back!\On the inside, Scary Lucy isn't so different than the real one.\Stop calling us scary or real all the time!\When you line three of them up, it's seriously freaky.\That's just mean!\What about if the three of them combine into a Giant Lucy?!\They'd be the enemy of all humanity! response:	Grr! Can we get on with the story now?
context: Scary Lucy is back!\On the inside, Scary Lucy isn't so different than the real one.\Stop calling us scary or real all the time!\When you line three of them up, it's seriously freaky.\That's just mean!\What about if the three of them combine into a Giant Lucy?!\They'd be the enemy of all humanity!\Grr! Can we get on with the story now? response:	I-I'm sorry! I don't know!
context: On the inside, Scary Lucy isn't so different than the real one.\Stop calling us scary or real all the time!\When you line three of them up, it's seriously freaky.\That's just mean!\What about if the three of them combine into a Giant Lucy?!\They'd be the enemy of all humanity!\Grr! Can we get on with the story now?\I-I'm sorry! I don't know! response:	Huh?
context: Stop calling us scary or real all the time!\When you line three of them up, it's seriously freaky.\That's just mean!\What about if the three of them combine into a Giant Lucy?!\They'd be the enemy of all humanity!\Grr! Can we get on with the story now?\I-I'm sorry! I don't know!\Huh? response:	Are you really the me from before?
context: When you line three of them up, it's seriously freaky.\That's just mean!\What about if the three of them combine into a Giant Lucy?!\They'd be the enemy of all humanity!\Grr! Can we get on with the story now?\I-I'm sorry! I don't know!\Huh?\Are you really the me from before? response:	Y-Yes! I'm always told that my personality changes when I get behind the wheel...
context: That's just mean!\What about if the three of them combine into a Giant Lucy?!\They'd be the enemy of all humanity!\Grr! Can we get on with the story now?\I-I'm sorry! I don't know!\Huh?\Are you really the me from before?\Y-Yes! I'm always told that my personality changes when I get behind the wheel... response:	This is the real Edo Natsu!
context: What about if the three of them combine into a Giant Lucy?!\They'd be the enemy of all humanity!\Grr! Can we get on with the story now?\I-I'm sorry! I don't know!\Huh?\Are you really the me from before?\Y-Yes! I'm always told that my personality changes when I get behind the wheel...\This is the real Edo Natsu! response:	Please don't yell!
context: They'd be the enemy of all humanity!\Grr! Can we get on with the story now?\I-I'm sorry! I don't know!\Huh?\Are you really the me from before?\Y-Yes! I'm always told that my personality changes when I get behind the wheel...\This is the real Edo Natsu!\Please don't yell! response:	It's scary...
context: Grr! Can we get on with the story now?\I-I'm sorry! I don't know!\Huh?\Are you really the me from before?\Y-Yes! I'm always told that my personality changes when I get behind the wheel...\This is the real Edo Natsu!\Please don't yell!\It's scary... response:	Wanna try doing a mirror act together?
context: I-I'm sorry! I don't know!\Huh?\Are you really the me from before?\Y-Yes! I'm always told that my personality changes when I get behind the wheel...\This is the real Edo Natsu!\Please don't yell!\It's scary...\Wanna try doing a mirror act together? response:	I'm sorry! I'm sorry!
context: Huh?\Are you really the me from before?\Y-Yes! I'm always told that my personality changes when I get behind the wheel...\This is the real Edo Natsu!\Please don't yell!\It's scary...\Wanna try doing a mirror act together?\I'm sorry! I'm sorry! response:	B-But I can't!
context: Are you really the me from before?\Y-Yes! I'm always told that my personality changes when I get behind the wheel...\This is the real Edo Natsu!\Please don't yell!\It's scary...\Wanna try doing a mirror act together?\I'm sorry! I'm sorry!\B-But I can't! response:	I just came this far because Lucy-san asked me!
context: Y-Yes! I'm always told that my personality changes when I get behind the wheel...\This is the real Edo Natsu!\Please don't yell!\It's scary...\Wanna try doing a mirror act together?\I'm sorry! I'm sorry!\B-But I can't!\I just came this far because Lucy-san asked me! response:	It's okay. You don't have to force yourself.
context: This is the real Edo Natsu!\Please don't yell!\It's scary...\Wanna try doing a mirror act together?\I'm sorry! I'm sorry!\B-But I can't!\I just came this far because Lucy-san asked me!\It's okay. You don't have to force yourself. response:	Yeah, and it doesn't seem like you'd be much help anyway.
context: Please don't yell!\It's scary...\Wanna try doing a mirror act together?\I'm sorry! I'm sorry!\B-But I can't!\I just came this far because Lucy-san asked me!\It's okay. You don't have to force yourself.\Yeah, and it doesn't seem like you'd be much help anyway. response:	Carla!
context: It's scary...\Wanna try doing a mirror act together?\I'm sorry! I'm sorry!\B-But I can't!\I just came this far because Lucy-san asked me!\It's okay. You don't have to force yourself.\Yeah, and it doesn't seem like you'd be much help anyway.\Carla! response:	Are you, perhaps, Wendy-san?
context: Wanna try doing a mirror act together?\I'm sorry! I'm sorry!\B-But I can't!\I just came this far because Lucy-san asked me!\It's okay. You don't have to force yourself.\Yeah, and it doesn't seem like you'd be much help anyway.\Carla!\Are you, perhaps, Wendy-san? response:	Yes.
context: I'm sorry! I'm sorry!\B-But I can't!\I just came this far because Lucy-san asked me!\It's okay. You don't have to force yourself.\Yeah, and it doesn't seem like you'd be much help anyway.\Carla!\Are you, perhaps, Wendy-san?\Yes. response:	You're all small and cute!
context: B-But I can't!\I just came this far because Lucy-san asked me!\It's okay. You don't have to force yourself.\Yeah, and it doesn't seem like you'd be much help anyway.\Carla!\Are you, perhaps, Wendy-san?\Yes.\You're all small and cute! response:	And you, sir, are the me from Earthland?
context: I just came this far because Lucy-san asked me!\It's okay. You don't have to force yourself.\Yeah, and it doesn't seem like you'd be much help anyway.\Carla!\Are you, perhaps, Wendy-san?\Yes.\You're all small and cute!\And you, sir, are the me from Earthland? response:	Who're you callin' sir?
context: It's okay. You don't have to force yourself.\Yeah, and it doesn't seem like you'd be much help anyway.\Carla!\Are you, perhaps, Wendy-san?\Yes.\You're all small and cute!\And you, sir, are the me from Earthland?\Who're you callin' sir? response:	I'm Happy, and that's Carla.
