context: What's happened so far! response:	Our sister, the masked honor student Miyazawa Yukino...
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino... response:	She lived only to show off in front of others, no matter what.
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino...\She lived only to show off in front of others, no matter what. response:	She successfully played the perfect model student...
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino...\She lived only to show off in front of others, no matter what.\She successfully played the perfect model student... response:	A really amazing girl.
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino...\She lived only to show off in front of others, no matter what.\She successfully played the perfect model student...\A really amazing girl. response:	But because of a certain error on her part, that mask was finally stripped away.
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino...\She lived only to show off in front of others, no matter what.\She successfully played the perfect model student...\A really amazing girl.\But because of a certain error on her part, that mask was finally stripped away. response:	The one lucky, or perhaps unlucky, enough to first find out her true identity...
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino...\She lived only to show off in front of others, no matter what.\She successfully played the perfect model student...\A really amazing girl.\But because of a certain error on her part, that mask was finally stripped away.\The one lucky, or perhaps unlucky, enough to first find out her true identity... response:	He was also a real model student.
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino...\She lived only to show off in front of others, no matter what.\She successfully played the perfect model student...\A really amazing girl.\But because of a certain error on her part, that mask was finally stripped away.\The one lucky, or perhaps unlucky, enough to first find out her true identity...\He was also a real model student. response:	He gets excellent grades, is good at every sport...
context: Our sister, the masked honor student Miyazawa Yukino...\She lived only to show off in front of others, no matter what.\She successfully played the perfect model student...\A really amazing girl.\But because of a certain error on her part, that mask was finally stripped away.\The one lucky, or perhaps unlucky, enough to first find out her true identity...\He was also a real model student.\He gets excellent grades, is good at every sport... response:	Although their pasts differed...
context: She lived only to show off in front of others, no matter what.\She successfully played the perfect model student...\A really amazing girl.\But because of a certain error on her part, that mask was finally stripped away.\The one lucky, or perhaps unlucky, enough to first find out her true identity...\He was also a real model student.\He gets excellent grades, is good at every sport...\Although their pasts differed... response:	with dual personalities.
context: She successfully played the perfect model student...\A really amazing girl.\But because of a certain error on her part, that mask was finally stripped away.\The one lucky, or perhaps unlucky, enough to first find out her true identity...\He was also a real model student.\He gets excellent grades, is good at every sport...\Although their pasts differed...\with dual personalities. response:	After passing through phases as: partners in the Student Assembly...
context: A really amazing girl.\But because of a certain error on her part, that mask was finally stripped away.\The one lucky, or perhaps unlucky, enough to first find out her true identity...\He was also a real model student.\He gets excellent grades, is good at every sport...\Although their pasts differed...\with dual personalities.\After passing through phases as: partners in the Student Assembly... response:	And these two,
context: But because of a certain error on her part, that mask was finally stripped away.\The one lucky, or perhaps unlucky, enough to first find out her true identity...\He was also a real model student.\He gets excellent grades, is good at every sport...\Although their pasts differed...\with dual personalities.\After passing through phases as: partners in the Student Assembly...\And these two, response:	being affected by each others lives...
context: The one lucky, or perhaps unlucky, enough to first find out her true identity...\He was also a real model student.\He gets excellent grades, is good at every sport...\Although their pasts differed...\with dual personalities.\After passing through phases as: partners in the Student Assembly...\And these two,\being affected by each others lives... response:	We're so happy for you, Sis.
context: He was also a real model student.\He gets excellent grades, is good at every sport...\Although their pasts differed...\with dual personalities.\After passing through phases as: partners in the Student Assembly...\And these two,\being affected by each others lives...\We're so happy for you, Sis. response:	But the world isn't
context: He gets excellent grades, is good at every sport...\Although their pasts differed...\with dual personalities.\After passing through phases as: partners in the Student Assembly...\And these two,\being affected by each others lives...\We're so happy for you, Sis.\But the world isn't response:	that simple or generous.
context: Although their pasts differed...\with dual personalities.\After passing through phases as: partners in the Student Assembly...\And these two,\being affected by each others lives...\We're so happy for you, Sis.\But the world isn't\that simple or generous. response:	That's right. The world is a cruel place.
context: with dual personalities.\After passing through phases as: partners in the Student Assembly...\And these two,\being affected by each others lives...\We're so happy for you, Sis.\But the world isn't\that simple or generous.\That's right. The world is a cruel place. response:	The menace of the athletic festival which forced them to be super busy and not see each other...
context: After passing through phases as: partners in the Student Assembly...\And these two,\being affected by each others lives...\We're so happy for you, Sis.\But the world isn't\that simple or generous.\That's right. The world is a cruel place.\The menace of the athletic festival which forced them to be super busy and not see each other... response:	In order to carry his ambition of the Asaba Mary-Land Project...
context: And these two,\being affected by each others lives...\We're so happy for you, Sis.\But the world isn't\that simple or generous.\That's right. The world is a cruel place.\The menace of the athletic festival which forced them to be super busy and not see each other...\In order to carry his ambition of the Asaba Mary-Land Project... response:	This delinquent, perverted hunk, is Asaba Hideaki.
context: being affected by each others lives...\We're so happy for you, Sis.\But the world isn't\that simple or generous.\That's right. The world is a cruel place.\The menace of the athletic festival which forced them to be super busy and not see each other...\In order to carry his ambition of the Asaba Mary-Land Project...\This delinquent, perverted hunk, is Asaba Hideaki. response:	The final exam grades......which resulted from their yielding to their love-power and goofing off.
context: We're so happy for you, Sis.\But the world isn't\that simple or generous.\That's right. The world is a cruel place.\The menace of the athletic festival which forced them to be super busy and not see each other...\In order to carry his ambition of the Asaba Mary-Land Project...\This delinquent, perverted hunk, is Asaba Hideaki.\The final exam grades......which resulted from their yielding to their love-power and goofing off. response:	Sis's one-sided feeling of estrangement occured because of this.
context: But the world isn't\that simple or generous.\That's right. The world is a cruel place.\The menace of the athletic festival which forced them to be super busy and not see each other...\In order to carry his ambition of the Asaba Mary-Land Project...\This delinquent, perverted hunk, is Asaba Hideaki.\The final exam grades......which resulted from their yielding to their love-power and goofing off.\Sis's one-sided feeling of estrangement occured because of this. response:	And on top of it all,
context: that simple or generous.\That's right. The world is a cruel place.\The menace of the athletic festival which forced them to be super busy and not see each other...\In order to carry his ambition of the Asaba Mary-Land Project...\This delinquent, perverted hunk, is Asaba Hideaki.\The final exam grades......which resulted from their yielding to their love-power and goofing off.\Sis's one-sided feeling of estrangement occured because of this.\And on top of it all, response:	the interference and pressure
context: That's right. The world is a cruel place.\The menace of the athletic festival which forced them to be super busy and not see each other...\In order to carry his ambition of the Asaba Mary-Land Project...\This delinquent, perverted hunk, is Asaba Hideaki.\The final exam grades......which resulted from their yielding to their love-power and goofing off.\Sis's one-sided feeling of estrangement occured because of this.\And on top of it all,\the interference and pressure response:	towards them from...
context: The menace of the athletic festival which forced them to be super busy and not see each other...\In order to carry his ambition of the Asaba Mary-Land Project...\This delinquent, perverted hunk, is Asaba Hideaki.\The final exam grades......which resulted from their yielding to their love-power and goofing off.\Sis's one-sided feeling of estrangement occured because of this.\And on top of it all,\the interference and pressure\towards them from... response:	who tried to stop their grades from dropping.
context: In order to carry his ambition of the Asaba Mary-Land Project...\This delinquent, perverted hunk, is Asaba Hideaki.\The final exam grades......which resulted from their yielding to their love-power and goofing off.\Sis's one-sided feeling of estrangement occured because of this.\And on top of it all,\the interference and pressure\towards them from...\who tried to stop their grades from dropping. response:	Then, the incident where Sis was ignored
context: This delinquent, perverted hunk, is Asaba Hideaki.\The final exam grades......which resulted from their yielding to their love-power and goofing off.\Sis's one-sided feeling of estrangement occured because of this.\And on top of it all,\the interference and pressure\towards them from...\who tried to stop their grades from dropping.\Then, the incident where Sis was ignored response:	by all the girls in the class...
context: The final exam grades......which resulted from their yielding to their love-power and goofing off.\Sis's one-sided feeling of estrangement occured because of this.\And on top of it all,\the interference and pressure\towards them from...\who tried to stop their grades from dropping.\Then, the incident where Sis was ignored\by all the girls in the class... response:	She was attacked by Shibahime Tsubasa,
context: Sis's one-sided feeling of estrangement occured because of this.\And on top of it all,\the interference and pressure\towards them from...\who tried to stop their grades from dropping.\Then, the incident where Sis was ignored\by all the girls in the class...\She was attacked by Shibahime Tsubasa, response:	who was seething with envy...
context: And on top of it all,\the interference and pressure\towards them from...\who tried to stop their grades from dropping.\Then, the incident where Sis was ignored\by all the girls in the class...\She was attacked by Shibahime Tsubasa,\who was seething with envy... response:	The temporary separation
context: the interference and pressure\towards them from...\who tried to stop their grades from dropping.\Then, the incident where Sis was ignored\by all the girls in the class...\She was attacked by Shibahime Tsubasa,\who was seething with envy...\The temporary separation response:	with Arima due to
context: towards them from...\who tried to stop their grades from dropping.\Then, the incident where Sis was ignored\by all the girls in the class...\She was attacked by Shibahime Tsubasa,\who was seething with envy...\The temporary separation\with Arima due to response:	summer club activities.
context: who tried to stop their grades from dropping.\Then, the incident where Sis was ignored\by all the girls in the class...\She was attacked by Shibahime Tsubasa,\who was seething with envy...\The temporary separation\with Arima due to\summer club activities. response:	And the blazing summer sun
context: Then, the incident where Sis was ignored\by all the girls in the class...\She was attacked by Shibahime Tsubasa,\who was seething with envy...\The temporary separation\with Arima due to\summer club activities.\And the blazing summer sun response:	beat down on the girls!
context: by all the girls in the class...\She was attacked by Shibahime Tsubasa,\who was seething with envy...\The temporary separation\with Arima due to\summer club activities.\And the blazing summer sun\beat down on the girls! response:	And so forth,
context: She was attacked by Shibahime Tsubasa,\who was seething with envy...\The temporary separation\with Arima due to\summer club activities.\And the blazing summer sun\beat down on the girls!\And so forth, response:	Sis faced up to this series of challenges,
context: who was seething with envy...\The temporary separation\with Arima due to\summer club activities.\And the blazing summer sun\beat down on the girls!\And so forth,\Sis faced up to this series of challenges, response:	made friends instead...
context: The temporary separation\with Arima due to\summer club activities.\And the blazing summer sun\beat down on the girls!\And so forth,\Sis faced up to this series of challenges,\made friends instead... response:	which her relationship with Arima stands.
context: with Arima due to\summer club activities.\And the blazing summer sun\beat down on the girls!\And so forth,\Sis faced up to this series of challenges,\made friends instead...\which her relationship with Arima stands. response:	She doesn't get discouraged easily.
context: summer club activities.\And the blazing summer sun\beat down on the girls!\And so forth,\Sis faced up to this series of challenges,\made friends instead...\which her relationship with Arima stands.\She doesn't get discouraged easily. response:	So anyway, after a lot of stuff happened,
context: And the blazing summer sun\beat down on the girls!\And so forth,\Sis faced up to this series of challenges,\made friends instead...\which her relationship with Arima stands.\She doesn't get discouraged easily.\So anyway, after a lot of stuff happened, response:	it's finally the first summer in high school.
context: beat down on the girls!\And so forth,\Sis faced up to this series of challenges,\made friends instead...\which her relationship with Arima stands.\She doesn't get discouraged easily.\So anyway, after a lot of stuff happened,\it's finally the first summer in high school. response:	Sis went off to have fun with the friends
context: And so forth,\Sis faced up to this series of challenges,\made friends instead...\which her relationship with Arima stands.\She doesn't get discouraged easily.\So anyway, after a lot of stuff happened,\it's finally the first summer in high school.\Sis went off to have fun with the friends response:	she made for the first time!
context: Sis faced up to this series of challenges,\made friends instead...\which her relationship with Arima stands.\She doesn't get discouraged easily.\So anyway, after a lot of stuff happened,\it's finally the first summer in high school.\Sis went off to have fun with the friends\she made for the first time! response:	They manage the standard menu of tea,
context: made friends instead...\which her relationship with Arima stands.\She doesn't get discouraged easily.\So anyway, after a lot of stuff happened,\it's finally the first summer in high school.\Sis went off to have fun with the friends\she made for the first time!\They manage the standard menu of tea, response:	karaoke, and window shopping.
context: which her relationship with Arima stands.\She doesn't get discouraged easily.\So anyway, after a lot of stuff happened,\it's finally the first summer in high school.\Sis went off to have fun with the friends\she made for the first time!\They manage the standard menu of tea,\karaoke, and window shopping. response:	It was finally Sis's debut into the world of friends,
context: She doesn't get discouraged easily.\So anyway, after a lot of stuff happened,\it's finally the first summer in high school.\Sis went off to have fun with the friends\she made for the first time!\They manage the standard menu of tea,\karaoke, and window shopping.\It was finally Sis's debut into the world of friends, response:	but as it turned out...
context: So anyway, after a lot of stuff happened,\it's finally the first summer in high school.\Sis went off to have fun with the friends\she made for the first time!\They manage the standard menu of tea,\karaoke, and window shopping.\It was finally Sis's debut into the world of friends,\but as it turned out... response:	she was mixed up in
context: it's finally the first summer in high school.\Sis went off to have fun with the friends\she made for the first time!\They manage the standard menu of tea,\karaoke, and window shopping.\It was finally Sis's debut into the world of friends,\but as it turned out...\she was mixed up in response:	another family's private problems.
context: Sis went off to have fun with the friends\she made for the first time!\They manage the standard menu of tea,\karaoke, and window shopping.\It was finally Sis's debut into the world of friends,\but as it turned out...\she was mixed up in\another family's private problems. response:	And what did Shibahime Tsubasa have to say at that point...?!
context: she made for the first time!\They manage the standard menu of tea,\karaoke, and window shopping.\It was finally Sis's debut into the world of friends,\but as it turned out...\she was mixed up in\another family's private problems.\And what did Shibahime Tsubasa have to say at that point...?! response:	I won't accept remarriage.
context: They manage the standard menu of tea,\karaoke, and window shopping.\It was finally Sis's debut into the world of friends,\but as it turned out...\she was mixed up in\another family's private problems.\And what did Shibahime Tsubasa have to say at that point...?!\I won't accept remarriage. response:	I'll do whatever it takes to get Daddy back from that woman.
context: karaoke, and window shopping.\It was finally Sis's debut into the world of friends,\but as it turned out...\she was mixed up in\another family's private problems.\And what did Shibahime Tsubasa have to say at that point...?!\I won't accept remarriage.\I'll do whatever it takes to get Daddy back from that woman. response:	So, that's the deal.
context: It was finally Sis's debut into the world of friends,\but as it turned out...\she was mixed up in\another family's private problems.\And what did Shibahime Tsubasa have to say at that point...?!\I won't accept remarriage.\I'll do whatever it takes to get Daddy back from that woman.\So, that's the deal. response:	Can she stay here for a while?
context: but as it turned out...\she was mixed up in\another family's private problems.\And what did Shibahime Tsubasa have to say at that point...?!\I won't accept remarriage.\I'll do whatever it takes to get Daddy back from that woman.\So, that's the deal.\Can she stay here for a while? response:	I thought so.
context: she was mixed up in\another family's private problems.\And what did Shibahime Tsubasa have to say at that point...?!\I won't accept remarriage.\I'll do whatever it takes to get Daddy back from that woman.\So, that's the deal.\Can she stay here for a while?\I thought so. response:	I figured she might do something like that.
context: another family's private problems.\And what did Shibahime Tsubasa have to say at that point...?!\I won't accept remarriage.\I'll do whatever it takes to get Daddy back from that woman.\So, that's the deal.\Can she stay here for a while?\I thought so.\I figured she might do something like that. response:	Damn. That little monkey...
context: And what did Shibahime Tsubasa have to say at that point...?!\I won't accept remarriage.\I'll do whatever it takes to get Daddy back from that woman.\So, that's the deal.\Can she stay here for a while?\I thought so.\I figured she might do something like that.\Damn. That little monkey... response:	I'm glad I called. I'll be right over.
context: I won't accept remarriage.\I'll do whatever it takes to get Daddy back from that woman.\So, that's the deal.\Can she stay here for a while?\I thought so.\I figured she might do something like that.\Damn. That little monkey...\I'm glad I called. I'll be right over. response:	Thank you!
context: I'll do whatever it takes to get Daddy back from that woman.\So, that's the deal.\Can she stay here for a while?\I thought so.\I figured she might do something like that.\Damn. That little monkey...\I'm glad I called. I'll be right over.\Thank you! response:	Yes! Comiiing!
context: So, that's the deal.\Can she stay here for a while?\I thought so.\I figured she might do something like that.\Damn. That little monkey...\I'm glad I called. I'll be right over.\Thank you!\Yes! Comiiing! response:	Hi. I'm sorry that idiot caused such a problem.
context: Can she stay here for a while?\I thought so.\I figured she might do something like that.\Damn. That little monkey...\I'm glad I called. I'll be right over.\Thank you!\Yes! Comiiing!\Hi. I'm sorry that idiot caused such a problem. response:	Tsubasa, we're leaving!
context: I thought so.\I figured she might do something like that.\Damn. That little monkey...\I'm glad I called. I'll be right over.\Thank you!\Yes! Comiiing!\Hi. I'm sorry that idiot caused such a problem.\Tsubasa, we're leaving! response:	No way!
context: I figured she might do something like that.\Damn. That little monkey...\I'm glad I called. I'll be right over.\Thank you!\Yes! Comiiing!\Hi. I'm sorry that idiot caused such a problem.\Tsubasa, we're leaving!\No way! response:	I'm not going back there!
context: Damn. That little monkey...\I'm glad I called. I'll be right over.\Thank you!\Yes! Comiiing!\Hi. I'm sorry that idiot caused such a problem.\Tsubasa, we're leaving!\No way!\I'm not going back there! response:	Until Daddy breaks up with that woman, I'm not going home!
context: I'm glad I called. I'll be right over.\Thank you!\Yes! Comiiing!\Hi. I'm sorry that idiot caused such a problem.\Tsubasa, we're leaving!\No way!\I'm not going back there!\Until Daddy breaks up with that woman, I'm not going home! response:	Quit being so friggin' unreasonable, you're in someone else's house!
context: Thank you!\Yes! Comiiing!\Hi. I'm sorry that idiot caused such a problem.\Tsubasa, we're leaving!\No way!\I'm not going back there!\Until Daddy breaks up with that woman, I'm not going home!\Quit being so friggin' unreasonable, you're in someone else's house! response:	Get your ass ready to go right now, you damn monkey!
context: Yes! Comiiing!\Hi. I'm sorry that idiot caused such a problem.\Tsubasa, we're leaving!\No way!\I'm not going back there!\Until Daddy breaks up with that woman, I'm not going home!\Quit being so friggin' unreasonable, you're in someone else's house!\Get your ass ready to go right now, you damn monkey! response:	Shut the hell up.
context: Hi. I'm sorry that idiot caused such a problem.\Tsubasa, we're leaving!\No way!\I'm not going back there!\Until Daddy breaks up with that woman, I'm not going home!\Quit being so friggin' unreasonable, you're in someone else's house!\Get your ass ready to go right now, you damn monkey!\Shut the hell up. response:	I said no, didn't I?
context: Tsubasa, we're leaving!\No way!\I'm not going back there!\Until Daddy breaks up with that woman, I'm not going home!\Quit being so friggin' unreasonable, you're in someone else's house!\Get your ass ready to go right now, you damn monkey!\Shut the hell up.\I said no, didn't I? response:	Who do you think you are, you nympho?!
context: No way!\I'm not going back there!\Until Daddy breaks up with that woman, I'm not going home!\Quit being so friggin' unreasonable, you're in someone else's house!\Get your ass ready to go right now, you damn monkey!\Shut the hell up.\I said no, didn't I?\Who do you think you are, you nympho?! response:	Besides, I have no further use for you.
context: I'm not going back there!\Until Daddy breaks up with that woman, I'm not going home!\Quit being so friggin' unreasonable, you're in someone else's house!\Get your ass ready to go right now, you damn monkey!\Shut the hell up.\I said no, didn't I?\Who do you think you are, you nympho?!\Besides, I have no further use for you. response:	Could you stop being so familiar with me?
context: Until Daddy breaks up with that woman, I'm not going home!\Quit being so friggin' unreasonable, you're in someone else's house!\Get your ass ready to go right now, you damn monkey!\Shut the hell up.\I said no, didn't I?\Who do you think you are, you nympho?!\Besides, I have no further use for you.\Could you stop being so familiar with me? response:	What the HELL are you crying for?!
context: Quit being so friggin' unreasonable, you're in someone else's house!\Get your ass ready to go right now, you damn monkey!\Shut the hell up.\I said no, didn't I?\Who do you think you are, you nympho?!\Besides, I have no further use for you.\Could you stop being so familiar with me?\What the HELL are you crying for?! response:	You make me wanna puke!
context: Get your ass ready to go right now, you damn monkey!\Shut the hell up.\I said no, didn't I?\Who do you think you are, you nympho?!\Besides, I have no further use for you.\Could you stop being so familiar with me?\What the HELL are you crying for?!\You make me wanna puke! response:	No! No!
context: Shut the hell up.\I said no, didn't I?\Who do you think you are, you nympho?!\Besides, I have no further use for you.\Could you stop being so familiar with me?\What the HELL are you crying for?!\You make me wanna puke!\No! No! response:	Quit talking bullshit and wasting my goddamn time! We're LEAVING!
context: I said no, didn't I?\Who do you think you are, you nympho?!\Besides, I have no further use for you.\Could you stop being so familiar with me?\What the HELL are you crying for?!\You make me wanna puke!\No! No!\Quit talking bullshit and wasting my goddamn time! We're LEAVING! response:	I don't wanna!
context: Who do you think you are, you nympho?!\Besides, I have no further use for you.\Could you stop being so familiar with me?\What the HELL are you crying for?!\You make me wanna puke!\No! No!\Quit talking bullshit and wasting my goddamn time! We're LEAVING!\I don't wanna! response:	Move your ass already! I said I don't wanna!
context: Besides, I have no further use for you.\Could you stop being so familiar with me?\What the HELL are you crying for?!\You make me wanna puke!\No! No!\Quit talking bullshit and wasting my goddamn time! We're LEAVING!\I don't wanna!\Move your ass already! I said I don't wanna! response:	Scary...we can't get a word in edgewise...
context: Could you stop being so familiar with me?\What the HELL are you crying for?!\You make me wanna puke!\No! No!\Quit talking bullshit and wasting my goddamn time! We're LEAVING!\I don't wanna!\Move your ass already! I said I don't wanna!\Scary...we can't get a word in edgewise... response:	Things have now changed from a deadlock to something worse.
context: What the HELL are you crying for?!\You make me wanna puke!\No! No!\Quit talking bullshit and wasting my goddamn time! We're LEAVING!\I don't wanna!\Move your ass already! I said I don't wanna!\Scary...we can't get a word in edgewise...\Things have now changed from a deadlock to something worse. response:	Now now...
context: You make me wanna puke!\No! No!\Quit talking bullshit and wasting my goddamn time! We're LEAVING!\I don't wanna!\Move your ass already! I said I don't wanna!\Scary...we can't get a word in edgewise...\Things have now changed from a deadlock to something worse.\Now now... response:	You don't have to force her home if she doesn't want to go.
context: No! No!\Quit talking bullshit and wasting my goddamn time! We're LEAVING!\I don't wanna!\Move your ass already! I said I don't wanna!\Scary...we can't get a word in edgewise...\Things have now changed from a deadlock to something worse.\Now now...\You don't have to force her home if she doesn't want to go. response:	One or two more girls won't make much difference.
