context: Kiss Him, Not Me response:	The Strange Room And The Four High School Boys
context: Kiss Him, Not Me\The Strange Room And The Four High School Boys response:	Igarashi.
context: Kiss Him, Not Me\The Strange Room And The Four High School Boys\Igarashi. response:	You're amazing, man.
context: Kiss Him, Not Me\The Strange Room And The Four High School Boys\Igarashi.\You're amazing, man. response:	That's the keychain Serinuma gave us the other day, right?
context: Kiss Him, Not Me\The Strange Room And The Four High School Boys\Igarashi.\You're amazing, man.\That's the keychain Serinuma gave us the other day, right? response:	Oh, yeah. From after the movie.
context: Kiss Him, Not Me\The Strange Room And The Four High School Boys\Igarashi.\You're amazing, man.\That's the keychain Serinuma gave us the other day, right?\Oh, yeah. From after the movie. response:	Why's that amazing?
context: Kiss Him, Not Me\The Strange Room And The Four High School Boys\Igarashi.\You're amazing, man.\That's the keychain Serinuma gave us the other day, right?\Oh, yeah. From after the movie.\Why's that amazing? response:	What?
context: Kiss Him, Not Me\The Strange Room And The Four High School Boys\Igarashi.\You're amazing, man.\That's the keychain Serinuma gave us the other day, right?\Oh, yeah. From after the movie.\Why's that amazing?\What? response:	It's the new mini dolls!
context: The Strange Room And The Four High School Boys\Igarashi.\You're amazing, man.\That's the keychain Serinuma gave us the other day, right?\Oh, yeah. From after the movie.\Why's that amazing?\What?\It's the new mini dolls! response:	This is the first time I've seen them!
context: Igarashi.\You're amazing, man.\That's the keychain Serinuma gave us the other day, right?\Oh, yeah. From after the movie.\Why's that amazing?\What?\It's the new mini dolls!\This is the first time I've seen them! response:	Mini Shion is so cute!
context: You're amazing, man.\That's the keychain Serinuma gave us the other day, right?\Oh, yeah. From after the movie.\Why's that amazing?\What?\It's the new mini dolls!\This is the first time I've seen them!\Mini Shion is so cute! response:	Um, I guess as thanks for today...
context: That's the keychain Serinuma gave us the other day, right?\Oh, yeah. From after the movie.\Why's that amazing?\What?\It's the new mini dolls!\This is the first time I've seen them!\Mini Shion is so cute!\Um, I guess as thanks for today... response:	I'd like all of you to have one!
context: Oh, yeah. From after the movie.\Why's that amazing?\What?\It's the new mini dolls!\This is the first time I've seen them!\Mini Shion is so cute!\Um, I guess as thanks for today...\I'd like all of you to have one! response:	anime i to
context: Why's that amazing?\What?\It's the new mini dolls!\This is the first time I've seen them!\Mini Shion is so cute!\Um, I guess as thanks for today...\I'd like all of you to have one!\anime i to response:	Mu
