context: OSAKA response:	This is horrible...
context: OSAKA\This is horrible... response:	That damn Kiryuin, never thinking about the mess she makes...
context: OSAKA\This is horrible...\That damn Kiryuin, never thinking about the mess she makes... response:	I've arrived, too. Am about to enter HQ.
context: OSAKA\This is horrible...\That damn Kiryuin, never thinking about the mess she makes...\I've arrived, too. Am about to enter HQ. response:	Is everyone ready?
context: OSAKA\This is horrible...\That damn Kiryuin, never thinking about the mess she makes...\I've arrived, too. Am about to enter HQ.\Is everyone ready? response:	EPISODE 15 DON'T STOP ME NOW
context: OSAKA\This is horrible...\That damn Kiryuin, never thinking about the mess she makes...\I've arrived, too. Am about to enter HQ.\Is everyone ready?\EPISODE 15 DON'T STOP ME NOW response:	It's been too long, Missy!
context: OSAKA\This is horrible...\That damn Kiryuin, never thinking about the mess she makes...\I've arrived, too. Am about to enter HQ.\Is everyone ready?\EPISODE 15 DON'T STOP ME NOW\It's been too long, Missy! response:	You've become quite the babe, I see!
context: OSAKA\This is horrible...\That damn Kiryuin, never thinking about the mess she makes...\I've arrived, too. Am about to enter HQ.\Is everyone ready?\EPISODE 15 DON'T STOP ME NOW\It's been too long, Missy!\You've become quite the babe, I see! response:	And you've become ever more loathsome.
context: This is horrible...\That damn Kiryuin, never thinking about the mess she makes...\I've arrived, too. Am about to enter HQ.\Is everyone ready?\EPISODE 15 DON'T STOP ME NOW\It's been too long, Missy!\You've become quite the babe, I see!\And you've become ever more loathsome. response:	Though I can't remember where I met you.
context: That damn Kiryuin, never thinking about the mess she makes...\I've arrived, too. Am about to enter HQ.\Is everyone ready?\EPISODE 15 DON'T STOP ME NOW\It's been too long, Missy!\You've become quite the babe, I see!\And you've become ever more loathsome.\Though I can't remember where I met you. response:	Not since the garden party to celebrate your grade school graduation.
context: I've arrived, too. Am about to enter HQ.\Is everyone ready?\EPISODE 15 DON'T STOP ME NOW\It's been too long, Missy!\You've become quite the babe, I see!\And you've become ever more loathsome.\Though I can't remember where I met you.\Not since the garden party to celebrate your grade school graduation. response:	You don't remember the
context: Is everyone ready?\EPISODE 15 DON'T STOP ME NOW\It's been too long, Missy!\You've become quite the babe, I see!\And you've become ever more loathsome.\Though I can't remember where I met you.\Not since the garden party to celebrate your grade school graduation.\You don't remember the response:	Takarada Conglomerate's heir doing you the honor of appearing in person?
context: EPISODE 15 DON'T STOP ME NOW\It's been too long, Missy!\You've become quite the babe, I see!\And you've become ever more loathsome.\Though I can't remember where I met you.\Not since the garden party to celebrate your grade school graduation.\You don't remember the\Takarada Conglomerate's heir doing you the honor of appearing in person? response:	You should feel honored that I have some
