context: Why? response:	How come?
context: Why?\How come? response:	Yukito-san'
context: Why?\How come?\Yukito-san' response:	Yukito-san'
context: Why?\How come?\Yukito-san'\Yukito-san' response:	Yukito-san'
context: Why?\How come?\Yukito-san'\Yukito-san'\Yukito-san' response:	Sakura'
context: Why?\How come?\Yukito-san'\Yukito-san'\Yukito-san'\Sakura' response:	I wonder if Tsukishiro-san knows that
context: Why?\How come?\Yukito-san'\Yukito-san'\Yukito-san'\Sakura'\I wonder if Tsukishiro-san knows that response:	Sakura has been gathering Clow Cards all along.
context: Why?\How come?\Yukito-san'\Yukito-san'\Yukito-san'\Sakura'\I wonder if Tsukishiro-san knows that\Sakura has been gathering Clow Cards all along. response:	No, I don't think so.
context: How come?\Yukito-san'\Yukito-san'\Yukito-san'\Sakura'\I wonder if Tsukishiro-san knows that\Sakura has been gathering Clow Cards all along.\No, I don't think so. response:	Yue is the Judge.
context: Yukito-san'\Yukito-san'\Yukito-san'\Sakura'\I wonder if Tsukishiro-san knows that\Sakura has been gathering Clow Cards all along.\No, I don't think so.\Yue is the Judge. response:	He is not needed
context: Yukito-san'\Yukito-san'\Sakura'\I wonder if Tsukishiro-san knows that\Sakura has been gathering Clow Cards all along.\No, I don't think so.\Yue is the Judge.\He is not needed response:	until the Last Judgment.
context: Yukito-san'\Sakura'\I wonder if Tsukishiro-san knows that\Sakura has been gathering Clow Cards all along.\No, I don't think so.\Yue is the Judge.\He is not needed\until the Last Judgment. response:	His false form shouldn't know of his existence.
context: Sakura'\I wonder if Tsukishiro-san knows that\Sakura has been gathering Clow Cards all along.\No, I don't think so.\Yue is the Judge.\He is not needed\until the Last Judgment.\His false form shouldn't know of his existence. response:	So'
context: I wonder if Tsukishiro-san knows that\Sakura has been gathering Clow Cards all along.\No, I don't think so.\Yue is the Judge.\He is not needed\until the Last Judgment.\His false form shouldn't know of his existence.\So' response:	Snow-rabbit simply thinks (Yukito = snow-rabbit)
context: Sakura has been gathering Clow Cards all along.\No, I don't think so.\Yue is the Judge.\He is not needed\until the Last Judgment.\His false form shouldn't know of his existence.\So'\Snow-rabbit simply thinks (Yukito = snow-rabbit) response:	he's a normal human being himself.
context: No, I don't think so.\Yue is the Judge.\He is not needed\until the Last Judgment.\His false form shouldn't know of his existence.\So'\Snow-rabbit simply thinks (Yukito = snow-rabbit)\he's a normal human being himself. response:	But you woke up
context: Yue is the Judge.\He is not needed\until the Last Judgment.\His false form shouldn't know of his existence.\So'\Snow-rabbit simply thinks (Yukito = snow-rabbit)\he's a normal human being himself.\But you woke up response:	because she scattered all the cards, right?
context: He is not needed\until the Last Judgment.\His false form shouldn't know of his existence.\So'\Snow-rabbit simply thinks (Yukito = snow-rabbit)\he's a normal human being himself.\But you woke up\because she scattered all the cards, right? response:	But he has come to Tomoeda
context: until the Last Judgment.\His false form shouldn't know of his existence.\So'\Snow-rabbit simply thinks (Yukito = snow-rabbit)\he's a normal human being himself.\But you woke up\because she scattered all the cards, right?\But he has come to Tomoeda response:	much earlier.
context: His false form shouldn't know of his existence.\So'\Snow-rabbit simply thinks (Yukito = snow-rabbit)\he's a normal human being himself.\But you woke up\because she scattered all the cards, right?\But he has come to Tomoeda\much earlier. response:	Someone'
context: So'\Snow-rabbit simply thinks (Yukito = snow-rabbit)\he's a normal human being himself.\But you woke up\because she scattered all the cards, right?\But he has come to Tomoeda\much earlier.\Someone' response:	Someone has wished it so happened, perhaps?
context: Snow-rabbit simply thinks (Yukito = snow-rabbit)\he's a normal human being himself.\But you woke up\because she scattered all the cards, right?\But he has come to Tomoeda\much earlier.\Someone'\Someone has wished it so happened, perhaps? response:	There is no coincidence in this world.
context: he's a normal human being himself.\But you woke up\because she scattered all the cards, right?\But he has come to Tomoeda\much earlier.\Someone'\Someone has wished it so happened, perhaps?\There is no coincidence in this world. response:	There is only the inevitable.
context: But you woke up\because she scattered all the cards, right?\But he has come to Tomoeda\much earlier.\Someone'\Someone has wished it so happened, perhaps?\There is no coincidence in this world.\There is only the inevitable. response:	Same as the dream.
context: because she scattered all the cards, right?\But he has come to Tomoeda\much earlier.\Someone'\Someone has wished it so happened, perhaps?\There is no coincidence in this world.\There is only the inevitable.\Same as the dream. response:	Candidate of the Mistress of Clow Cards.
context: But he has come to Tomoeda\much earlier.\Someone'\Someone has wished it so happened, perhaps?\There is no coincidence in this world.\There is only the inevitable.\Same as the dream.\Candidate of the Mistress of Clow Cards. response:	Now,
context: much earlier.\Someone'\Someone has wished it so happened, perhaps?\There is no coincidence in this world.\There is only the inevitable.\Same as the dream.\Candidate of the Mistress of Clow Cards.\Now, response:	with all the Clow Cards you have,
context: Someone'\Someone has wished it so happened, perhaps?\There is no coincidence in this world.\There is only the inevitable.\Same as the dream.\Candidate of the Mistress of Clow Cards.\Now,\with all the Clow Cards you have, response:	Defeat me.
context: Someone has wished it so happened, perhaps?\There is no coincidence in this world.\There is only the inevitable.\Same as the dream.\Candidate of the Mistress of Clow Cards.\Now,\with all the Clow Cards you have,\Defeat me. response:	No way' I'
context: There is no coincidence in this world.\There is only the inevitable.\Same as the dream.\Candidate of the Mistress of Clow Cards.\Now,\with all the Clow Cards you have,\Defeat me.\No way' I' response:	I can't!
context: There is only the inevitable.\Same as the dream.\Candidate of the Mistress of Clow Cards.\Now,\with all the Clow Cards you have,\Defeat me.\No way' I'\I can't! response:	Jump'
context: Same as the dream.\Candidate of the Mistress of Clow Cards.\Now,\with all the Clow Cards you have,\Defeat me.\No way' I'\I can't!\Jump' response:	Jump.
context: Candidate of the Mistress of Clow Cards.\Now,\with all the Clow Cards you have,\Defeat me.\No way' I'\I can't!\Jump'\Jump. response:	Yuki' to' san'
context: Now,\with all the Clow Cards you have,\Defeat me.\No way' I'\I can't!\Jump'\Jump.\Yuki' to' san' response:	Sakura!
context: with all the Clow Cards you have,\Defeat me.\No way' I'\I can't!\Jump'\Jump.\Yuki' to' san'\Sakura! response:	Now, I shall conduct the Last Judgment.
context: Defeat me.\No way' I'\I can't!\Jump'\Jump.\Yuki' to' san'\Sakura!\Now, I shall conduct the Last Judgment. response:	I can't!
context: No way' I'\I can't!\Jump'\Jump.\Yuki' to' san'\Sakura!\Now, I shall conduct the Last Judgment.\I can't! response:	I can't fight you, Yue-san.
context: I can't!\Jump'\Jump.\Yuki' to' san'\Sakura!\Now, I shall conduct the Last Judgment.\I can't!\I can't fight you, Yue-san. response:	Right now, you look different, But'
context: Jump'\Jump.\Yuki' to' san'\Sakura!\Now, I shall conduct the Last Judgment.\I can't!\I can't fight you, Yue-san.\Right now, you look different, But' response:	You are Yukito-san after all!
context: Jump.\Yuki' to' san'\Sakura!\Now, I shall conduct the Last Judgment.\I can't!\I can't fight you, Yue-san.\Right now, you look different, But'\You are Yukito-san after all! response:	If you keep running away, you cannot win against me.
context: Yuki' to' san'\Sakura!\Now, I shall conduct the Last Judgment.\I can't!\I can't fight you, Yue-san.\Right now, you look different, But'\You are Yukito-san after all!\If you keep running away, you cannot win against me. response:	No!
context: Sakura!\Now, I shall conduct the Last Judgment.\I can't!\I can't fight you, Yue-san.\Right now, you look different, But'\You are Yukito-san after all!\If you keep running away, you cannot win against me.\No! response:	If Sakura gets help from anyone,
context: Now, I shall conduct the Last Judgment.\I can't!\I can't fight you, Yue-san.\Right now, you look different, But'\You are Yukito-san after all!\If you keep running away, you cannot win against me.\No!\If Sakura gets help from anyone, response:	she loses right there, right then!
context: I can't!\I can't fight you, Yue-san.\Right now, you look different, But'\You are Yukito-san after all!\If you keep running away, you cannot win against me.\No!\If Sakura gets help from anyone,\she loses right there, right then! response:	But at this rate, she'll'!
context: I can't fight you, Yue-san.\Right now, you look different, But'\You are Yukito-san after all!\If you keep running away, you cannot win against me.\No!\If Sakura gets help from anyone,\she loses right there, right then!\But at this rate, she'll'! response:	Sakura should be able to convince Yue.
context: Right now, you look different, But'\You are Yukito-san after all!\If you keep running away, you cannot win against me.\No!\If Sakura gets help from anyone,\she loses right there, right then!\But at this rate, she'll'!\Sakura should be able to convince Yue. response:	I believe in her.
context: You are Yukito-san after all!\If you keep running away, you cannot win against me.\No!\If Sakura gets help from anyone,\she loses right there, right then!\But at this rate, she'll'!\Sakura should be able to convince Yue.\I believe in her. response:	If you don't act serious, this will be the end.
context: If you keep running away, you cannot win against me.\No!\If Sakura gets help from anyone,\she loses right there, right then!\But at this rate, she'll'!\Sakura should be able to convince Yue.\I believe in her.\If you don't act serious, this will be the end. response:	I gotta' I gotta do something.
context: No!\If Sakura gets help from anyone,\she loses right there, right then!\But at this rate, she'll'!\Sakura should be able to convince Yue.\I believe in her.\If you don't act serious, this will be the end.\I gotta' I gotta do something. response:	A card that won't hurt Yue-san'
context: If Sakura gets help from anyone,\she loses right there, right then!\But at this rate, she'll'!\Sakura should be able to convince Yue.\I believe in her.\If you don't act serious, this will be the end.\I gotta' I gotta do something.\A card that won't hurt Yue-san' response:	Wood!
context: she loses right there, right then!\But at this rate, she'll'!\Sakura should be able to convince Yue.\I believe in her.\If you don't act serious, this will be the end.\I gotta' I gotta do something.\A card that won't hurt Yue-san'\Wood! response:	Not good!
context: But at this rate, she'll'!\Sakura should be able to convince Yue.\I believe in her.\If you don't act serious, this will be the end.\I gotta' I gotta do something.\A card that won't hurt Yue-san'\Wood!\Not good! response:	Wood carries the attributes of the Moon.
context: Sakura should be able to convince Yue.\I believe in her.\If you don't act serious, this will be the end.\I gotta' I gotta do something.\A card that won't hurt Yue-san'\Wood!\Not good!\Wood carries the attributes of the Moon. response:	You do not even know such a thing.
context: I believe in her.\If you don't act serious, this will be the end.\I gotta' I gotta do something.\A card that won't hurt Yue-san'\Wood!\Not good!\Wood carries the attributes of the Moon.\You do not even know such a thing. response:	This is the end.
context: If you don't act serious, this will be the end.\I gotta' I gotta do something.\A card that won't hurt Yue-san'\Wood!\Not good!\Wood carries the attributes of the Moon.\You do not even know such a thing.\This is the end. response:	' You have lost.' I lost'?
context: I gotta' I gotta do something.\A card that won't hurt Yue-san'\Wood!\Not good!\Wood carries the attributes of the Moon.\You do not even know such a thing.\This is the end.\' You have lost.' I lost'? response:	Right. You lost.
context: A card that won't hurt Yue-san'\Wood!\Not good!\Wood carries the attributes of the Moon.\You do not even know such a thing.\This is the end.\' You have lost.' I lost'?\Right. You lost. response:	The seal on the cards are broken once again.
context: Wood!\Not good!\Wood carries the attributes of the Moon.\You do not even know such a thing.\This is the end.\' You have lost.' I lost'?\Right. You lost.\The seal on the cards are broken once again. response:	On top of that, the disaster befalls upon this world.
context: Not good!\Wood carries the attributes of the Moon.\You do not even know such a thing.\This is the end.\' You have lost.' I lost'?\Right. You lost.\The seal on the cards are broken once again.\On top of that, the disaster befalls upon this world. response:	What is the disaster of the world?
context: Wood carries the attributes of the Moon.\You do not even know such a thing.\This is the end.\' You have lost.' I lost'?\Right. You lost.\The seal on the cards are broken once again.\On top of that, the disaster befalls upon this world.\What is the disaster of the world? response:	What's going to happen?
context: You do not even know such a thing.\This is the end.\' You have lost.' I lost'?\Right. You lost.\The seal on the cards are broken once again.\On top of that, the disaster befalls upon this world.\What is the disaster of the world?\What's going to happen? response:	That is, to forget.
context: This is the end.\' You have lost.' I lost'?\Right. You lost.\The seal on the cards are broken once again.\On top of that, the disaster befalls upon this world.\What is the disaster of the world?\What's going to happen?\That is, to forget. response:	If the candidate chosen by
context: ' You have lost.' I lost'?\Right. You lost.\The seal on the cards are broken once again.\On top of that, the disaster befalls upon this world.\What is the disaster of the world?\What's going to happen?\That is, to forget.\If the candidate chosen by response:	Kerberos the Appointer'
context: Right. You lost.\The seal on the cards are broken once again.\On top of that, the disaster befalls upon this world.\What is the disaster of the world?\What's going to happen?\That is, to forget.\If the candidate chosen by\Kerberos the Appointer' response:	'cannot defeat Yue the Judge,
context: The seal on the cards are broken once again.\On top of that, the disaster befalls upon this world.\What is the disaster of the world?\What's going to happen?\That is, to forget.\If the candidate chosen by\Kerberos the Appointer'\'cannot defeat Yue the Judge, response:	The Clow Cards, and everyone involved with the Clow Cards will forget'
context: On top of that, the disaster befalls upon this world.\What is the disaster of the world?\What's going to happen?\That is, to forget.\If the candidate chosen by\Kerberos the Appointer'\'cannot defeat Yue the Judge,\The Clow Cards, and everyone involved with the Clow Cards will forget' response:	'the feeling of'love' towards the person they love most.
context: What is the disaster of the world?\What's going to happen?\That is, to forget.\If the candidate chosen by\Kerberos the Appointer'\'cannot defeat Yue the Judge,\The Clow Cards, and everyone involved with the Clow Cards will forget'\'the feeling of'love' towards the person they love most. response:	What?!
context: What's going to happen?\That is, to forget.\If the candidate chosen by\Kerberos the Appointer'\'cannot defeat Yue the Judge,\The Clow Cards, and everyone involved with the Clow Cards will forget'\'the feeling of'love' towards the person they love most.\What?! response:	The Clow Cards treasure most the person
context: That is, to forget.\If the candidate chosen by\Kerberos the Appointer'\'cannot defeat Yue the Judge,\The Clow Cards, and everyone involved with the Clow Cards will forget'\'the feeling of'love' towards the person they love most.\What?!\The Clow Cards treasure most the person response:	who sealed and signed on them.
context: If the candidate chosen by\Kerberos the Appointer'\'cannot defeat Yue the Judge,\The Clow Cards, and everyone involved with the Clow Cards will forget'\'the feeling of'love' towards the person they love most.\What?!\The Clow Cards treasure most the person\who sealed and signed on them. response:	But if this person does not qualify as the Master or the Mistress,
