context: My name is Yukimura Shouichirou. response:	And that's my little sister, Ruri.
context: My name is Yukimura Shouichirou.\And that's my little sister, Ruri. response:	Her dream is to become a princess and find her prince charming.
context: My name is Yukimura Shouichirou.\And that's my little sister, Ruri.\Her dream is to become a princess and find her prince charming. response:	Hear me out, Kanou-kun.
context: My name is Yukimura Shouichirou.\And that's my little sister, Ruri.\Her dream is to become a princess and find her prince charming.\Hear me out, Kanou-kun. response:	Were you teased again, Yukimura-senpai?
context: My name is Yukimura Shouichirou.\And that's my little sister, Ruri.\Her dream is to become a princess and find her prince charming.\Hear me out, Kanou-kun.\Were you teased again, Yukimura-senpai? response:	I'm being treated especially horribly these days.
context: My name is Yukimura Shouichirou.\And that's my little sister, Ruri.\Her dream is to become a princess and find her prince charming.\Hear me out, Kanou-kun.\Were you teased again, Yukimura-senpai?\I'm being treated especially horribly these days. response:	By whom?
context: My name is Yukimura Shouichirou.\And that's my little sister, Ruri.\Her dream is to become a princess and find her prince charming.\Hear me out, Kanou-kun.\Were you teased again, Yukimura-senpai?\I'm being treated especially horribly these days.\By whom? response:	Catch me if you can!
context: My name is Yukimura Shouichirou.\And that's my little sister, Ruri.\Her dream is to become a princess and find her prince charming.\Hear me out, Kanou-kun.\Were you teased again, Yukimura-senpai?\I'm being treated especially horribly these days.\By whom?\Catch me if you can! response:	Hold up!
context: And that's my little sister, Ruri.\Her dream is to become a princess and find her prince charming.\Hear me out, Kanou-kun.\Were you teased again, Yukimura-senpai?\I'm being treated especially horribly these days.\By whom?\Catch me if you can!\Hold up! response:	Actually, it's about my little sister-
context: Her dream is to become a princess and find her prince charming.\Hear me out, Kanou-kun.\Were you teased again, Yukimura-senpai?\I'm being treated especially horribly these days.\By whom?\Catch me if you can!\Hold up!\Actually, it's about my little sister- response:	Hey, Yukimura!
context: Hear me out, Kanou-kun.\Were you teased again, Yukimura-senpai?\I'm being treated especially horribly these days.\By whom?\Catch me if you can!\Hold up!\Actually, it's about my little sister-\Hey, Yukimura! response:	Yukimura?
context: Were you teased again, Yukimura-senpai?\I'm being treated especially horribly these days.\By whom?\Catch me if you can!\Hold up!\Actually, it's about my little sister-\Hey, Yukimura!\Yukimura? response:	This is supposed to be pretend princess, but it's turned into tag!
context: I'm being treated especially horribly these days.\By whom?\Catch me if you can!\Hold up!\Actually, it's about my little sister-\Hey, Yukimura!\Yukimura?\This is supposed to be pretend princess, but it's turned into tag! response:	Ruri-chan...
context: By whom?\Catch me if you can!\Hold up!\Actually, it's about my little sister-\Hey, Yukimura!\Yukimura?\This is supposed to be pretend princess, but it's turned into tag!\Ruri-chan... response:	Ruri!
context: Catch me if you can!\Hold up!\Actually, it's about my little sister-\Hey, Yukimura!\Yukimura?\This is supposed to be pretend princess, but it's turned into tag!\Ruri-chan...\Ruri! response:	Who's he?
context: Hold up!\Actually, it's about my little sister-\Hey, Yukimura!\Yukimura?\This is supposed to be pretend princess, but it's turned into tag!\Ruri-chan...\Ruri!\Who's he? response:	Someone you know?
context: Actually, it's about my little sister-\Hey, Yukimura!\Yukimura?\This is supposed to be pretend princess, but it's turned into tag!\Ruri-chan...\Ruri!\Who's he?\Someone you know? response:	Are you all Ruri's friends?
context: Hey, Yukimura!\Yukimura?\This is supposed to be pretend princess, but it's turned into tag!\Ruri-chan...\Ruri!\Who's he?\Someone you know?\Are you all Ruri's friends? response:	I'm-
context: Yukimura?\This is supposed to be pretend princess, but it's turned into tag!\Ruri-chan...\Ruri!\Who's he?\Someone you know?\Are you all Ruri's friends?\I'm- response:	He's someone that lives in my neighborhood.
context: This is supposed to be pretend princess, but it's turned into tag!\Ruri-chan...\Ruri!\Who's he?\Someone you know?\Are you all Ruri's friends?\I'm-\He's someone that lives in my neighborhood. response:	Since we live close, I'll go home with him.
context: Ruri-chan...\Ruri!\Who's he?\Someone you know?\Are you all Ruri's friends?\I'm-\He's someone that lives in my neighborhood.\Since we live close, I'll go home with him. response:	Eh? Why?
context: Ruri!\Who's he?\Someone you know?\Are you all Ruri's friends?\I'm-\He's someone that lives in my neighborhood.\Since we live close, I'll go home with him.\Eh? Why? response:	What happened to pretend princess?
context: Who's he?\Someone you know?\Are you all Ruri's friends?\I'm-\He's someone that lives in my neighborhood.\Since we live close, I'll go home with him.\Eh? Why?\What happened to pretend princess? response:	We'll play again tomorrow.
context: Someone you know?\Are you all Ruri's friends?\I'm-\He's someone that lives in my neighborhood.\Since we live close, I'll go home with him.\Eh? Why?\What happened to pretend princess?\We'll play again tomorrow. response:	Bye bye. See you tomorrow.
context: Are you all Ruri's friends?\I'm-\He's someone that lives in my neighborhood.\Since we live close, I'll go home with him.\Eh? Why?\What happened to pretend princess?\We'll play again tomorrow.\Bye bye. See you tomorrow. response:	Bye bye.
context: I'm-\He's someone that lives in my neighborhood.\Since we live close, I'll go home with him.\Eh? Why?\What happened to pretend princess?\We'll play again tomorrow.\Bye bye. See you tomorrow.\Bye bye. response:	I'm Ruri's real big brother!
context: He's someone that lives in my neighborhood.\Since we live close, I'll go home with him.\Eh? Why?\What happened to pretend princess?\We'll play again tomorrow.\Bye bye. See you tomorrow.\Bye bye.\I'm Ruri's real big brother! response:	Well, I was playing pretend princess.
context: Since we live close, I'll go home with him.\Eh? Why?\What happened to pretend princess?\We'll play again tomorrow.\Bye bye. See you tomorrow.\Bye bye.\I'm Ruri's real big brother!\Well, I was playing pretend princess. response:	The princess' brother needs to look more like a prince.
context: Eh? Why?\What happened to pretend princess?\We'll play again tomorrow.\Bye bye. See you tomorrow.\Bye bye.\I'm Ruri's real big brother!\Well, I was playing pretend princess.\The princess' brother needs to look more like a prince. response:	What's that supposed to mean?
context: What happened to pretend princess?\We'll play again tomorrow.\Bye bye. See you tomorrow.\Bye bye.\I'm Ruri's real big brother!\Well, I was playing pretend princess.\The princess' brother needs to look more like a prince.\What's that supposed to mean? response:	What are you all doing?
context: We'll play again tomorrow.\Bye bye. See you tomorrow.\Bye bye.\I'm Ruri's real big brother!\Well, I was playing pretend princess.\The princess' brother needs to look more like a prince.\What's that supposed to mean?\What are you all doing? response:	Who's that girl?
context: Bye bye. See you tomorrow.\Bye bye.\I'm Ruri's real big brother!\Well, I was playing pretend princess.\The princess' brother needs to look more like a prince.\What's that supposed to mean?\What are you all doing?\Who's that girl? response:	Well, she's Yukimura-senpai's little sister.
context: Bye bye.\I'm Ruri's real big brother!\Well, I was playing pretend princess.\The princess' brother needs to look more like a prince.\What's that supposed to mean?\What are you all doing?\Who's that girl?\Well, she's Yukimura-senpai's little sister. response:	Little sister? She's adorable!
context: I'm Ruri's real big brother!\Well, I was playing pretend princess.\The princess' brother needs to look more like a prince.\What's that supposed to mean?\What are you all doing?\Who's that girl?\Well, she's Yukimura-senpai's little sister.\Little sister? She's adorable! response:	To be expected of Yukimura's sister.
context: Well, I was playing pretend princess.\The princess' brother needs to look more like a prince.\What's that supposed to mean?\What are you all doing?\Who's that girl?\Well, she's Yukimura-senpai's little sister.\Little sister? She's adorable!\To be expected of Yukimura's sister. response:	My...
