context: Are you all right? response:	What happened?
context: Are you all right?\What happened? response:	It looks like the Aldnoah drive shut down.
context: Are you all right?\What happened?\It looks like the Aldnoah drive shut down. response:	That shouldn't be possible!
context: Are you all right?\What happened?\It looks like the Aldnoah drive shut down.\That shouldn't be possible! response:	This ship's Aldnoah was activated by Her Highness!
context: Are you all right?\What happened?\It looks like the Aldnoah drive shut down.\That shouldn't be possible!\This ship's Aldnoah was activated by Her Highness! response:	So long as she lives, it can't be shut down by another without her consent!
context: Are you all right?\What happened?\It looks like the Aldnoah drive shut down.\That shouldn't be possible!\This ship's Aldnoah was activated by Her Highness!\So long as she lives, it can't be shut down by another without her consent! response:	So long as she lives... Where is Seylum?!
context: Are you all right?\What happened?\It looks like the Aldnoah drive shut down.\That shouldn't be possible!\This ship's Aldnoah was activated by Her Highness!\So long as she lives, it can't be shut down by another without her consent!\So long as she lives... Where is Seylum?! response:	Where is she? Where is Seylum?!
context: Are you all right?\What happened?\It looks like the Aldnoah drive shut down.\That shouldn't be possible!\This ship's Aldnoah was activated by Her Highness!\So long as she lives, it can't be shut down by another without her consent!\So long as she lives... Where is Seylum?!\Where is she? Where is Seylum?! response:	Damage?
context: What happened?\It looks like the Aldnoah drive shut down.\That shouldn't be possible!\This ship's Aldnoah was activated by Her Highness!\So long as she lives, it can't be shut down by another without her consent!\So long as she lives... Where is Seylum?!\Where is she? Where is Seylum?!\Damage? response:	Damage to hull, negligible. Departmental damage checks underway.
context: It looks like the Aldnoah drive shut down.\That shouldn't be possible!\This ship's Aldnoah was activated by Her Highness!\So long as she lives, it can't be shut down by another without her consent!\So long as she lives... Where is Seylum?!\Where is she? Where is Seylum?!\Damage?\Damage to hull, negligible. Departmental damage checks underway. response:	We are currently operating on auxiliary power.
context: That shouldn't be possible!\This ship's Aldnoah was activated by Her Highness!\So long as she lives, it can't be shut down by another without her consent!\So long as she lives... Where is Seylum?!\Where is she? Where is Seylum?!\Damage?\Damage to hull, negligible. Departmental damage checks underway.\We are currently operating on auxiliary power. response:	It's a good thing we were flying at low altitude.
context: This ship's Aldnoah was activated by Her Highness!\So long as she lives, it can't be shut down by another without her consent!\So long as she lives... Where is Seylum?!\Where is she? Where is Seylum?!\Damage?\Damage to hull, negligible. Departmental damage checks underway.\We are currently operating on auxiliary power.\It's a good thing we were flying at low altitude. response:	Our gravity field was churning up the snow,
context: So long as she lives, it can't be shut down by another without her consent!\So long as she lives... Where is Seylum?!\Where is she? Where is Seylum?!\Damage?\Damage to hull, negligible. Departmental damage checks underway.\We are currently operating on auxiliary power.\It's a good thing we were flying at low altitude.\Our gravity field was churning up the snow, response:	and that seems to have acted as a shock absorber.
context: So long as she lives... Where is Seylum?!\Where is she? Where is Seylum?!\Damage?\Damage to hull, negligible. Departmental damage checks underway.\We are currently operating on auxiliary power.\It's a good thing we were flying at low altitude.\Our gravity field was churning up the snow,\and that seems to have acted as a shock absorber. response:	Launch our Kats and put them on watch.
context: Where is she? Where is Seylum?!\Damage?\Damage to hull, negligible. Departmental damage checks underway.\We are currently operating on auxiliary power.\It's a good thing we were flying at low altitude.\Our gravity field was churning up the snow,\and that seems to have acted as a shock absorber.\Launch our Kats and put them on watch. response:	Repair any damaged areas ASAP.
context: Damage?\Damage to hull, negligible. Departmental damage checks underway.\We are currently operating on auxiliary power.\It's a good thing we were flying at low altitude.\Our gravity field was churning up the snow,\and that seems to have acted as a shock absorber.\Launch our Kats and put them on watch.\Repair any damaged areas ASAP. response:	Engine room, inspect the Aldnoah drive and determine cause of shutdown.
context: Damage to hull, negligible. Departmental damage checks underway.\We are currently operating on auxiliary power.\It's a good thing we were flying at low altitude.\Our gravity field was churning up the snow,\and that seems to have acted as a shock absorber.\Launch our Kats and put them on watch.\Repair any damaged areas ASAP.\Engine room, inspect the Aldnoah drive and determine cause of shutdown. response:	Where is Capt. Magbaredge?
context: We are currently operating on auxiliary power.\It's a good thing we were flying at low altitude.\Our gravity field was churning up the snow,\and that seems to have acted as a shock absorber.\Launch our Kats and put them on watch.\Repair any damaged areas ASAP.\Engine room, inspect the Aldnoah drive and determine cause of shutdown.\Where is Capt. Magbaredge? response:	Bridge.
context: It's a good thing we were flying at low altitude.\Our gravity field was churning up the snow,\and that seems to have acted as a shock absorber.\Launch our Kats and put them on watch.\Repair any damaged areas ASAP.\Engine room, inspect the Aldnoah drive and determine cause of shutdown.\Where is Capt. Magbaredge?\Bridge. response:	Send medics immediately!
context: Our gravity field was churning up the snow,\and that seems to have acted as a shock absorber.\Launch our Kats and put them on watch.\Repair any damaged areas ASAP.\Engine room, inspect the Aldnoah drive and determine cause of shutdown.\Where is Capt. Magbaredge?\Bridge.\Send medics immediately! response:	Captain? Where are you?
context: and that seems to have acted as a shock absorber.\Launch our Kats and put them on watch.\Repair any damaged areas ASAP.\Engine room, inspect the Aldnoah drive and determine cause of shutdown.\Where is Capt. Magbaredge?\Bridge.\Send medics immediately!\Captain? Where are you? response:	Breathing and pulse, both stopped.
context: Launch our Kats and put them on watch.\Repair any damaged areas ASAP.\Engine room, inspect the Aldnoah drive and determine cause of shutdown.\Where is Capt. Magbaredge?\Bridge.\Send medics immediately!\Captain? Where are you?\Breathing and pulse, both stopped. response:	Princess...
context: Repair any damaged areas ASAP.\Engine room, inspect the Aldnoah drive and determine cause of shutdown.\Where is Capt. Magbaredge?\Bridge.\Send medics immediately!\Captain? Where are you?\Breathing and pulse, both stopped.\Princess... response:	Bring towels!
context: Engine room, inspect the Aldnoah drive and determine cause of shutdown.\Where is Capt. Magbaredge?\Bridge.\Send medics immediately!\Captain? Where are you?\Breathing and pulse, both stopped.\Princess...\Bring towels! response:	I'm going to use a defibrillator. We have to dry her off!
context: Where is Capt. Magbaredge?\Bridge.\Send medics immediately!\Captain? Where are you?\Breathing and pulse, both stopped.\Princess...\Bring towels!\I'm going to use a defibrillator. We have to dry her off! response:	Hurry!
context: Bridge.\Send medics immediately!\Captain? Where are you?\Breathing and pulse, both stopped.\Princess...\Bring towels!\I'm going to use a defibrillator. We have to dry her off!\Hurry! response:	Right!
context: Send medics immediately!\Captain? Where are you?\Breathing and pulse, both stopped.\Princess...\Bring towels!\I'm going to use a defibrillator. We have to dry her off!\Hurry!\Right! response:	I'll help.
context: Captain? Where are you?\Breathing and pulse, both stopped.\Princess...\Bring towels!\I'm going to use a defibrillator. We have to dry her off!\Hurry!\Right!\I'll help. response:	Setting counter shock to 200 joules.
context: Breathing and pulse, both stopped.\Princess...\Bring towels!\I'm going to use a defibrillator. We have to dry her off!\Hurry!\Right!\I'll help.\Setting counter shock to 200 joules. response:	Clear.
context: Princess...\Bring towels!\I'm going to use a defibrillator. We have to dry her off!\Hurry!\Right!\I'll help.\Setting counter shock to 200 joules.\Clear. response:	I'll do it!
context: Bring towels!\I'm going to use a defibrillator. We have to dry her off!\Hurry!\Right!\I'll help.\Setting counter shock to 200 joules.\Clear.\I'll do it! response:	No, you're too light.
context: I'm going to use a defibrillator. We have to dry her off!\Hurry!\Right!\I'll help.\Setting counter shock to 200 joules.\Clear.\I'll do it!\No, you're too light. response:	You think fast on your feet.
context: Hurry!\Right!\I'll help.\Setting counter shock to 200 joules.\Clear.\I'll do it!\No, you're too light.\You think fast on your feet. response:	We learn this in school.
context: Right!\I'll help.\Setting counter shock to 200 joules.\Clear.\I'll do it!\No, you're too light.\You think fast on your feet.\We learn this in school. response:	Students never take it seriously. All they do is giggle about the mouth-to-mouth.
context: I'll help.\Setting counter shock to 200 joules.\Clear.\I'll do it!\No, you're too light.\You think fast on your feet.\We learn this in school.\Students never take it seriously. All they do is giggle about the mouth-to-mouth. response:	It could save a life.
context: Setting counter shock to 200 joules.\Clear.\I'll do it!\No, you're too light.\You think fast on your feet.\We learn this in school.\Students never take it seriously. All they do is giggle about the mouth-to-mouth.\It could save a life. response:	Should I take over?
context: Clear.\I'll do it!\No, you're too light.\You think fast on your feet.\We learn this in school.\Students never take it seriously. All they do is giggle about the mouth-to-mouth.\It could save a life.\Should I take over? response:	I can handle it.
context: I'll do it!\No, you're too light.\You think fast on your feet.\We learn this in school.\Students never take it seriously. All they do is giggle about the mouth-to-mouth.\It could save a life.\Should I take over?\I can handle it. response:	Milady!
context: No, you're too light.\You think fast on your feet.\We learn this in school.\Students never take it seriously. All they do is giggle about the mouth-to-mouth.\It could save a life.\Should I take over?\I can handle it.\Milady! response:	Good. Are you all right?
context: You think fast on your feet.\We learn this in school.\Students never take it seriously. All they do is giggle about the mouth-to-mouth.\It could save a life.\Should I take over?\I can handle it.\Milady!\Good. Are you all right? response:	Inaho...
context: We learn this in school.\Students never take it seriously. All they do is giggle about the mouth-to-mouth.\It could save a life.\Should I take over?\I can handle it.\Milady!\Good. Are you all right?\Inaho... response:	Where am I?
context: Students never take it seriously. All they do is giggle about the mouth-to-mouth.\It could save a life.\Should I take over?\I can handle it.\Milady!\Good. Are you all right?\Inaho...\Where am I? response:	It looks like you passed out while taking a shower. What happened?
context: It could save a life.\Should I take over?\I can handle it.\Milady!\Good. Are you all right?\Inaho...\Where am I?\It looks like you passed out while taking a shower. What happened? response:	I was attacked... by her!
context: Should I take over?\I can handle it.\Milady!\Good. Are you all right?\Inaho...\Where am I?\It looks like you passed out while taking a shower. What happened?\I was attacked... by her! response:	Don't move.
context: I can handle it.\Milady!\Good. Are you all right?\Inaho...\Where am I?\It looks like you passed out while taking a shower. What happened?\I was attacked... by her!\Don't move. response:	You...
