context: Original Translation by Triad/ Softsub by Urusai response:	Sign: Rumors about Yano...
context: Original Translation by Triad/ Softsub by Urusai\Sign: Rumors about Yano... response:	Apparently, Yano was going out with a girl two grades above him...
context: Original Translation by Triad/ Softsub by Urusai\Sign: Rumors about Yano...\Apparently, Yano was going out with a girl two grades above him... response:	So he likes older girls...
context: Original Translation by Triad/ Softsub by Urusai\Sign: Rumors about Yano...\Apparently, Yano was going out with a girl two grades above him...\So he likes older girls... response:	How long were they going out?
context: Original Translation by Triad/ Softsub by Urusai\Sign: Rumors about Yano...\Apparently, Yano was going out with a girl two grades above him...\So he likes older girls...\How long were they going out? response:	From the end of his 2nd year to the summer of the 3rd.
context: Original Translation by Triad/ Softsub by Urusai\Sign: Rumors about Yano...\Apparently, Yano was going out with a girl two grades above him...\So he likes older girls...\How long were they going out?\From the end of his 2nd year to the summer of the 3rd. response:	Only half a year? That's short.
context: Original Translation by Triad/ Softsub by Urusai\Sign: Rumors about Yano...\Apparently, Yano was going out with a girl two grades above him...\So he likes older girls...\How long were they going out?\From the end of his 2nd year to the summer of the 3rd.\Only half a year? That's short. response:	Isn't that long?
context: Original Translation by Triad/ Softsub by Urusai\Sign: Rumors about Yano...\Apparently, Yano was going out with a girl two grades above him...\So he likes older girls...\How long were they going out?\From the end of his 2nd year to the summer of the 3rd.\Only half a year? That's short.\Isn't that long? response:	The rumors came out of nowhere and spread like wildfire.
context: Sign: Rumors about Yano...\Apparently, Yano was going out with a girl two grades above him...\So he likes older girls...\How long were they going out?\From the end of his 2nd year to the summer of the 3rd.\Only half a year? That's short.\Isn't that long?\The rumors came out of nowhere and spread like wildfire. response:	Right now, I'm having a really hard time.
context: Apparently, Yano was going out with a girl two grades above him...\So he likes older girls...\How long were they going out?\From the end of his 2nd year to the summer of the 3rd.\Only half a year? That's short.\Isn't that long?\The rumors came out of nowhere and spread like wildfire.\Right now, I'm having a really hard time. response:	Yamamoto-san!
context: So he likes older girls...\How long were they going out?\From the end of his 2nd year to the summer of the 3rd.\Only half a year? That's short.\Isn't that long?\The rumors came out of nowhere and spread like wildfire.\Right now, I'm having a really hard time.\Yamamoto-san! response:	You're well enough to be running in gym again?
context: How long were they going out?\From the end of his 2nd year to the summer of the 3rd.\Only half a year? That's short.\Isn't that long?\The rumors came out of nowhere and spread like wildfire.\Right now, I'm having a really hard time.\Yamamoto-san!\You're well enough to be running in gym again? response:	Yeah.
context: From the end of his 2nd year to the summer of the 3rd.\Only half a year? That's short.\Isn't that long?\The rumors came out of nowhere and spread like wildfire.\Right now, I'm having a really hard time.\Yamamoto-san!\You're well enough to be running in gym again?\Yeah. response:	Oh, I got a 34 on the last math test!
context: Only half a year? That's short.\Isn't that long?\The rumors came out of nowhere and spread like wildfire.\Right now, I'm having a really hard time.\Yamamoto-san!\You're well enough to be running in gym again?\Yeah.\Oh, I got a 34 on the last math test! response:	I'm finally free of that zero!
context: Isn't that long?\The rumors came out of nowhere and spread like wildfire.\Right now, I'm having a really hard time.\Yamamoto-san!\You're well enough to be running in gym again?\Yeah.\Oh, I got a 34 on the last math test!\I'm finally free of that zero! response:	I guess next time you'll have to get higher than a 56.
context: The rumors came out of nowhere and spread like wildfire.\Right now, I'm having a really hard time.\Yamamoto-san!\You're well enough to be running in gym again?\Yeah.\Oh, I got a 34 on the last math test!\I'm finally free of that zero!\I guess next time you'll have to get higher than a 56. response:	You'll fail if your average is under 30, right?
context: Right now, I'm having a really hard time.\Yamamoto-san!\You're well enough to be running in gym again?\Yeah.\Oh, I got a 34 on the last math test!\I'm finally free of that zero!\I guess next time you'll have to get higher than a 56.\You'll fail if your average is under 30, right? response:	What? Really?
context: Yamamoto-san!\You're well enough to be running in gym again?\Yeah.\Oh, I got a 34 on the last math test!\I'm finally free of that zero!\I guess next time you'll have to get higher than a 56.\You'll fail if your average is under 30, right?\What? Really? response:	I-I'll try my best!
context: You're well enough to be running in gym again?\Yeah.\Oh, I got a 34 on the last math test!\I'm finally free of that zero!\I guess next time you'll have to get higher than a 56.\You'll fail if your average is under 30, right?\What? Really?\I-I'll try my best! response:	Yano is still the same as ever...
context: Yeah.\Oh, I got a 34 on the last math test!\I'm finally free of that zero!\I guess next time you'll have to get higher than a 56.\You'll fail if your average is under 30, right?\What? Really?\I-I'll try my best!\Yano is still the same as ever... response:	Usotsuki na anata nakimushi no atashi
context: Oh, I got a 34 on the last math test!\I'm finally free of that zero!\I guess next time you'll have to get higher than a 56.\You'll fail if your average is under 30, right?\What? Really?\I-I'll try my best!\Yano is still the same as ever...\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: I'm finally free of that zero!\I guess next time you'll have to get higher than a 56.\You'll fail if your average is under 30, right?\What? Really?\I-I'll try my best!\Yano is still the same as ever...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: I guess next time you'll have to get higher than a 56.\You'll fail if your average is under 30, right?\What? Really?\I-I'll try my best!\Yano is still the same as ever...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: You'll fail if your average is under 30, right?\What? Really?\I-I'll try my best!\Yano is still the same as ever...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: What? Really?\I-I'll try my best!\Yano is still the same as ever...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: I-I'll try my best!\Yano is still the same as ever...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: Yano is still the same as ever...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 2 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 2 ... response:	No way! They don't look alike at all!
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 2 ...\No way! They don't look alike at all! response:	Seriously, they really don't.
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 2 ...\No way! They don't look alike at all!\Seriously, they really don't. response:	What are you guys talking about?
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 2 ...\No way! They don't look alike at all!\Seriously, they really don't.\What are you guys talking about? response:	The Asahi Middle School yearbook.
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 2 ...\No way! They don't look alike at all!\Seriously, they really don't.\What are you guys talking about?\The Asahi Middle School yearbook. response:	Yamamoto-san's older sister is in here.
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 2 ...\No way! They don't look alike at all!\Seriously, they really don't.\What are you guys talking about?\The Asahi Middle School yearbook.\Yamamoto-san's older sister is in here. response:	You know, the one Yano was going out with!
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 2 ...\No way! They don't look alike at all!\Seriously, they really don't.\What are you guys talking about?\The Asahi Middle School yearbook.\Yamamoto-san's older sister is in here.\You know, the one Yano was going out with! response:	Nana, come take a look!
context: Episode 2 ...\No way! They don't look alike at all!\Seriously, they really don't.\What are you guys talking about?\The Asahi Middle School yearbook.\Yamamoto-san's older sister is in here.\You know, the one Yano was going out with!\Nana, come take a look! response:	Ah, I'll... pass...
context: No way! They don't look alike at all!\Seriously, they really don't.\What are you guys talking about?\The Asahi Middle School yearbook.\Yamamoto-san's older sister is in here.\You know, the one Yano was going out with!\Nana, come take a look!\Ah, I'll... pass... response:	Hey, anyone have change for a 5,000 yen bill?
context: Seriously, they really don't.\What are you guys talking about?\The Asahi Middle School yearbook.\Yamamoto-san's older sister is in here.\You know, the one Yano was going out with!\Nana, come take a look!\Ah, I'll... pass...\Hey, anyone have change for a 5,000 yen bill? response:	I dooon't!
context: What are you guys talking about?\The Asahi Middle School yearbook.\Yamamoto-san's older sister is in here.\You know, the one Yano was going out with!\Nana, come take a look!\Ah, I'll... pass...\Hey, anyone have change for a 5,000 yen bill?\I dooon't! response:	Okay...
context: The Asahi Middle School yearbook.\Yamamoto-san's older sister is in here.\You know, the one Yano was going out with!\Nana, come take a look!\Ah, I'll... pass...\Hey, anyone have change for a 5,000 yen bill?\I dooon't!\Okay... response:	Hey, anyone?
context: Yamamoto-san's older sister is in here.\You know, the one Yano was going out with!\Nana, come take a look!\Ah, I'll... pass...\Hey, anyone have change for a 5,000 yen bill?\I dooon't!\Okay...\Hey, anyone? response:	Anyone have change for 5,000 yen?
context: You know, the one Yano was going out with!\Nana, come take a look!\Ah, I'll... pass...\Hey, anyone have change for a 5,000 yen bill?\I dooon't!\Okay...\Hey, anyone?\Anyone have change for 5,000 yen? response:	Yano just doesn't change...
context: Nana, come take a look!\Ah, I'll... pass...\Hey, anyone have change for a 5,000 yen bill?\I dooon't!\Okay...\Hey, anyone?\Anyone have change for 5,000 yen?\Yano just doesn't change... response:	I guess it's to be expected.
context: Ah, I'll... pass...\Hey, anyone have change for a 5,000 yen bill?\I dooon't!\Okay...\Hey, anyone?\Anyone have change for 5,000 yen?\Yano just doesn't change...\I guess it's to be expected. response:	Since we met, Yano's just been like that.
context: Hey, anyone have change for a 5,000 yen bill?\I dooon't!\Okay...\Hey, anyone?\Anyone have change for 5,000 yen?\Yano just doesn't change...\I guess it's to be expected.\Since we met, Yano's just been like that. response:	I guess I just don't know anything about him yet...
context: I dooon't!\Okay...\Hey, anyone?\Anyone have change for 5,000 yen?\Yano just doesn't change...\I guess it's to be expected.\Since we met, Yano's just been like that.\I guess I just don't know anything about him yet... response:	See you!
context: Okay...\Hey, anyone?\Anyone have change for 5,000 yen?\Yano just doesn't change...\I guess it's to be expected.\Since we met, Yano's just been like that.\I guess I just don't know anything about him yet...\See you! response:	Bye bye!
