context: TS response:	I knew it...
context: TS\I knew it... response:	I loved you because I could never reach you...
context: TS\I knew it...\I loved you because I could never reach you... response:	No matter how far I go... It's still the same sky...
context: TS\I knew it...\I loved you because I could never reach you...\No matter how far I go... It's still the same sky... response:	What's going on?!
context: TS\I knew it...\I loved you because I could never reach you...\No matter how far I go... It's still the same sky...\What's going on?! response:	Where's the attack coming from?!
context: TS\I knew it...\I loved you because I could never reach you...\No matter how far I go... It's still the same sky...\What's going on?!\Where's the attack coming from?! response:	This world is mistaken.
context: TS\I knew it...\I loved you because I could never reach you...\No matter how far I go... It's still the same sky...\What's going on?!\Where's the attack coming from?!\This world is mistaken. response:	Truth!
context: TS\I knew it...\I loved you because I could never reach you...\No matter how far I go... It's still the same sky...\What's going on?!\Where's the attack coming from?!\This world is mistaken.\Truth! response:	Don't tell me that... you've been hiding in the Abe all this time!
context: I knew it...\I loved you because I could never reach you...\No matter how far I go... It's still the same sky...\What's going on?!\Where's the attack coming from?!\This world is mistaken.\Truth!\Don't tell me that... you've been hiding in the Abe all this time! response:	I'm omnipresent.
context: I loved you because I could never reach you...\No matter how far I go... It's still the same sky...\What's going on?!\Where's the attack coming from?!\This world is mistaken.\Truth!\Don't tell me that... you've been hiding in the Abe all this time!\I'm omnipresent. response:	But this world isn't mine.
context: No matter how far I go... It's still the same sky...\What's going on?!\Where's the attack coming from?!\This world is mistaken.\Truth!\Don't tell me that... you've been hiding in the Abe all this time!\I'm omnipresent.\But this world isn't mine. response:	You're just a Secret!
context: What's going on?!\Where's the attack coming from?!\This world is mistaken.\Truth!\Don't tell me that... you've been hiding in the Abe all this time!\I'm omnipresent.\But this world isn't mine.\You're just a Secret! response:	I came from a distant place.
context: Where's the attack coming from?!\This world is mistaken.\Truth!\Don't tell me that... you've been hiding in the Abe all this time!\I'm omnipresent.\But this world isn't mine.\You're just a Secret!\I came from a distant place. response:	A place where neither Scub Coral or Secrets are present.
context: This world is mistaken.\Truth!\Don't tell me that... you've been hiding in the Abe all this time!\I'm omnipresent.\But this world isn't mine.\You're just a Secret!\I came from a distant place.\A place where neither Scub Coral or Secrets are present. response:	A world where humans create energy and everything shines in a brilliant light.
context: Truth!\Don't tell me that... you've been hiding in the Abe all this time!\I'm omnipresent.\But this world isn't mine.\You're just a Secret!\I came from a distant place.\A place where neither Scub Coral or Secrets are present.\A world where humans create energy and everything shines in a brilliant light. response:	Fire! Open fire!
context: Don't tell me that... you've been hiding in the Abe all this time!\I'm omnipresent.\But this world isn't mine.\You're just a Secret!\I came from a distant place.\A place where neither Scub Coral or Secrets are present.\A world where humans create energy and everything shines in a brilliant light.\Fire! Open fire! response:	Did we get him?
context: I'm omnipresent.\But this world isn't mine.\You're just a Secret!\I came from a distant place.\A place where neither Scub Coral or Secrets are present.\A world where humans create energy and everything shines in a brilliant light.\Fire! Open fire!\Did we get him? response:	All's well that ends well.
context: But this world isn't mine.\You're just a Secret!\I came from a distant place.\A place where neither Scub Coral or Secrets are present.\A world where humans create energy and everything shines in a brilliant light.\Fire! Open fire!\Did we get him?\All's well that ends well. response:	Now, how do I report this to Colonel Tanaka?
context: You're just a Secret!\I came from a distant place.\A place where neither Scub Coral or Secrets are present.\A world where humans create energy and everything shines in a brilliant light.\Fire! Open fire!\Did we get him?\All's well that ends well.\Now, how do I report this to Colonel Tanaka? response:	Do something! Quick!
context: I came from a distant place.\A place where neither Scub Coral or Secrets are present.\A world where humans create energy and everything shines in a brilliant light.\Fire! Open fire!\Did we get him?\All's well that ends well.\Now, how do I report this to Colonel Tanaka?\Do something! Quick! response:	Me? Sorry!
context: A place where neither Scub Coral or Secrets are present.\A world where humans create energy and everything shines in a brilliant light.\Fire! Open fire!\Did we get him?\All's well that ends well.\Now, how do I report this to Colonel Tanaka?\Do something! Quick!\Me? Sorry! response:	The Abe...
context: A world where humans create energy and everything shines in a brilliant light.\Fire! Open fire!\Did we get him?\All's well that ends well.\Now, how do I report this to Colonel Tanaka?\Do something! Quick!\Me? Sorry!\The Abe... response:	What?! Where did he come from?!
context: Fire! Open fire!\Did we get him?\All's well that ends well.\Now, how do I report this to Colonel Tanaka?\Do something! Quick!\Me? Sorry!\The Abe...\What?! Where did he come from?! response:	Truth!
context: Did we get him?\All's well that ends well.\Now, how do I report this to Colonel Tanaka?\Do something! Quick!\Me? Sorry!\The Abe...\What?! Where did he come from?!\Truth! response:	Why is he still alive?!
context: All's well that ends well.\Now, how do I report this to Colonel Tanaka?\Do something! Quick!\Me? Sorry!\The Abe...\What?! Where did he come from?!\Truth!\Why is he still alive?! response:	Maggie! Elena! Get out of here!
