context: Sosomme Tiextrira! response:	It's upside-down!
context: Sosomme Tiextrira!\It's upside-down! response:	So close! Restoration magic attempt one-hundred, just fell short.
context: Sosomme Tiextrira!\It's upside-down!\So close! Restoration magic attempt one-hundred, just fell short. response:	It's the hundred and first...
context: Sosomme Tiextrira!\It's upside-down!\So close! Restoration magic attempt one-hundred, just fell short.\It's the hundred and first... response:	Don't concern yourself with that! Tomorrow, you're sure to succeed...
context: Sosomme Tiextrira!\It's upside-down!\So close! Restoration magic attempt one-hundred, just fell short.\It's the hundred and first...\Don't concern yourself with that! Tomorrow, you're sure to succeed... response:	She's such a nice person to meet with you every single day.
context: Sosomme Tiextrira!\It's upside-down!\So close! Restoration magic attempt one-hundred, just fell short.\It's the hundred and first...\Don't concern yourself with that! Tomorrow, you're sure to succeed...\She's such a nice person to meet with you every single day. response:	And here I am, not improving one bit.
context: Sosomme Tiextrira!\It's upside-down!\So close! Restoration magic attempt one-hundred, just fell short.\It's the hundred and first...\Don't concern yourself with that! Tomorrow, you're sure to succeed...\She's such a nice person to meet with you every single day.\And here I am, not improving one bit. response:	Wow, Akko's in low spirits? Are we going to see an apparition next?
context: Sosomme Tiextrira!\It's upside-down!\So close! Restoration magic attempt one-hundred, just fell short.\It's the hundred and first...\Don't concern yourself with that! Tomorrow, you're sure to succeed...\She's such a nice person to meet with you every single day.\And here I am, not improving one bit.\Wow, Akko's in low spirits? Are we going to see an apparition next? response:	Wow, Akko's discouraged? It feels like an apparition might appear.
context: It's upside-down!\So close! Restoration magic attempt one-hundred, just fell short.\It's the hundred and first...\Don't concern yourself with that! Tomorrow, you're sure to succeed...\She's such a nice person to meet with you every single day.\And here I am, not improving one bit.\Wow, Akko's in low spirits? Are we going to see an apparition next?\Wow, Akko's discouraged? It feels like an apparition might appear. response:	Chariot must have partaken in forbidden love.
context: So close! Restoration magic attempt one-hundred, just fell short.\It's the hundred and first...\Don't concern yourself with that! Tomorrow, you're sure to succeed...\She's such a nice person to meet with you every single day.\And here I am, not improving one bit.\Wow, Akko's in low spirits? Are we going to see an apparition next?\Wow, Akko's discouraged? It feels like an apparition might appear.\Chariot must have partaken in forbidden love. response:	Chariot isn't dumb enough to let that happen!
context: It's the hundred and first...\Don't concern yourself with that! Tomorrow, you're sure to succeed...\She's such a nice person to meet with you every single day.\And here I am, not improving one bit.\Wow, Akko's in low spirits? Are we going to see an apparition next?\Wow, Akko's discouraged? It feels like an apparition might appear.\Chariot must have partaken in forbidden love.\Chariot isn't dumb enough to let that happen! response:	How embarrassing, it's been so long since I had a visitor.
context: Don't concern yourself with that! Tomorrow, you're sure to succeed...\She's such a nice person to meet with you every single day.\And here I am, not improving one bit.\Wow, Akko's in low spirits? Are we going to see an apparition next?\Wow, Akko's discouraged? It feels like an apparition might appear.\Chariot must have partaken in forbidden love.\Chariot isn't dumb enough to let that happen!\How embarrassing, it's been so long since I had a visitor. response:	Professor, you're an alumna here, right?
context: She's such a nice person to meet with you every single day.\And here I am, not improving one bit.\Wow, Akko's in low spirits? Are we going to see an apparition next?\Wow, Akko's discouraged? It feels like an apparition might appear.\Chariot must have partaken in forbidden love.\Chariot isn't dumb enough to let that happen!\How embarrassing, it's been so long since I had a visitor.\Professor, you're an alumna here, right? response:	What?
context: And here I am, not improving one bit.\Wow, Akko's in low spirits? Are we going to see an apparition next?\Wow, Akko's discouraged? It feels like an apparition might appear.\Chariot must have partaken in forbidden love.\Chariot isn't dumb enough to let that happen!\How embarrassing, it's been so long since I had a visitor.\Professor, you're an alumna here, right?\What? response:	Or were you even classmates, maybe?
context: Wow, Akko's in low spirits? Are we going to see an apparition next?\Wow, Akko's discouraged? It feels like an apparition might appear.\Chariot must have partaken in forbidden love.\Chariot isn't dumb enough to let that happen!\How embarrassing, it's been so long since I had a visitor.\Professor, you're an alumna here, right?\What?\Or were you even classmates, maybe? response:	Well...
context: Wow, Akko's discouraged? It feels like an apparition might appear.\Chariot must have partaken in forbidden love.\Chariot isn't dumb enough to let that happen!\How embarrassing, it's been so long since I had a visitor.\Professor, you're an alumna here, right?\What?\Or were you even classmates, maybe?\Well... response:	I can't believe it was true.
