context: Ah... I can't come up with anything good. response:	What's the matter? It's unusual to see you lost in thought.
context: Ah... I can't come up with anything good.\What's the matter? It's unusual to see you lost in thought. response:	Ah, well, I just...
context: Ah... I can't come up with anything good.\What's the matter? It's unusual to see you lost in thought.\Ah, well, I just... response:	Sounds like you're doing well.
context: Ah... I can't come up with anything good.\What's the matter? It's unusual to see you lost in thought.\Ah, well, I just...\Sounds like you're doing well. response:	Yes! I'm in super-motivated mode right now! Sounds like you're doing well.
context: Ah... I can't come up with anything good.\What's the matter? It's unusual to see you lost in thought.\Ah, well, I just...\Sounds like you're doing well.\Yes! I'm in super-motivated mode right now! Sounds like you're doing well. response:	Yes! I'm in super-motivated mode right now!
context: Ah... I can't come up with anything good.\What's the matter? It's unusual to see you lost in thought.\Ah, well, I just...\Sounds like you're doing well.\Yes! I'm in super-motivated mode right now! Sounds like you're doing well.\Yes! I'm in super-motivated mode right now! response:	Super-motivated?
context: Ah... I can't come up with anything good.\What's the matter? It's unusual to see you lost in thought.\Ah, well, I just...\Sounds like you're doing well.\Yes! I'm in super-motivated mode right now! Sounds like you're doing well.\Yes! I'm in super-motivated mode right now!\Super-motivated? response:	Princess Motivated?!
context: Ah... I can't come up with anything good.\What's the matter? It's unusual to see you lost in thought.\Ah, well, I just...\Sounds like you're doing well.\Yes! I'm in super-motivated mode right now! Sounds like you're doing well.\Yes! I'm in super-motivated mode right now!\Super-motivated?\Princess Motivated?! response:	What's that? Princess Motivated?!
context: What's the matter? It's unusual to see you lost in thought.\Ah, well, I just...\Sounds like you're doing well.\Yes! I'm in super-motivated mode right now! Sounds like you're doing well.\Yes! I'm in super-motivated mode right now!\Super-motivated?\Princess Motivated?!\What's that? Princess Motivated?! response:	What's that?
context: Ah, well, I just...\Sounds like you're doing well.\Yes! I'm in super-motivated mode right now! Sounds like you're doing well.\Yes! I'm in super-motivated mode right now!\Super-motivated?\Princess Motivated?!\What's that? Princess Motivated?!\What's that? response:	Little Miss Princess...
context: Sounds like you're doing well.\Yes! I'm in super-motivated mode right now! Sounds like you're doing well.\Yes! I'm in super-motivated mode right now!\Super-motivated?\Princess Motivated?!\What's that? Princess Motivated?!\What's that?\Little Miss Princess... response:	Queen Selfish...
context: Yes! I'm in super-motivated mode right now! Sounds like you're doing well.\Yes! I'm in super-motivated mode right now!\Super-motivated?\Princess Motivated?!\What's that? Princess Motivated?!\What's that?\Little Miss Princess...\Queen Selfish... response:	Little Princess Predictable...
context: Yes! I'm in super-motivated mode right now!\Super-motivated?\Princess Motivated?!\What's that? Princess Motivated?!\What's that?\Little Miss Princess...\Queen Selfish...\Little Princess Predictable... response:	Princess Not Allowed...
context: Super-motivated?\Princess Motivated?!\What's that? Princess Motivated?!\What's that?\Little Miss Princess...\Queen Selfish...\Little Princess Predictable...\Princess Not Allowed... response:	Crybaby Serenade...
context: Princess Motivated?!\What's that? Princess Motivated?!\What's that?\Little Miss Princess...\Queen Selfish...\Little Princess Predictable...\Princess Not Allowed...\Crybaby Serenade... response:	In her case, it's not just about becoming a Prima.
context: What's that? Princess Motivated?!\What's that?\Little Miss Princess...\Queen Selfish...\Little Princess Predictable...\Princess Not Allowed...\Crybaby Serenade...\In her case, it's not just about becoming a Prima. response:	This is quite difficult.
context: What's that?\Little Miss Princess...\Queen Selfish...\Little Princess Predictable...\Princess Not Allowed...\Crybaby Serenade...\In her case, it's not just about becoming a Prima.\This is quite difficult. response:	Hey, did you hear about Alice Carroll?
context: Little Miss Princess...\Queen Selfish...\Little Princess Predictable...\Princess Not Allowed...\Crybaby Serenade...\In her case, it's not just about becoming a Prima.\This is quite difficult.\Hey, did you hear about Alice Carroll? response:	Ah, I did!
context: Queen Selfish...\Little Princess Predictable...\Princess Not Allowed...\Crybaby Serenade...\In her case, it's not just about becoming a Prima.\This is quite difficult.\Hey, did you hear about Alice Carroll?\Ah, I did! response:	Two weeks ago, she was promoted to Prima even though she was a Pair, right?
context: Little Princess Predictable...\Princess Not Allowed...\Crybaby Serenade...\In her case, it's not just about becoming a Prima.\This is quite difficult.\Hey, did you hear about Alice Carroll?\Ah, I did!\Two weeks ago, she was promoted to Prima even though she was a Pair, right? response:	No way! That's amazing!
context: Princess Not Allowed...\Crybaby Serenade...\In her case, it's not just about becoming a Prima.\This is quite difficult.\Hey, did you hear about Alice Carroll?\Ah, I did!\Two weeks ago, she was promoted to Prima even though she was a Pair, right?\No way! That's amazing! response:	She's the first one to ever do that!
context: Crybaby Serenade...\In her case, it's not just about becoming a Prima.\This is quite difficult.\Hey, did you hear about Alice Carroll?\Ah, I did!\Two weeks ago, she was promoted to Prima even though she was a Pair, right?\No way! That's amazing!\She's the first one to ever do that! response:	And yet, Aika doesn't seem like she's fazed by it at all, does she?
context: In her case, it's not just about becoming a Prima.\This is quite difficult.\Hey, did you hear about Alice Carroll?\Ah, I did!\Two weeks ago, she was promoted to Prima even though she was a Pair, right?\No way! That's amazing!\She's the first one to ever do that!\And yet, Aika doesn't seem like she's fazed by it at all, does she? response:	Do you think her cheerfulness is just a front?
context: This is quite difficult.\Hey, did you hear about Alice Carroll?\Ah, I did!\Two weeks ago, she was promoted to Prima even though she was a Pair, right?\No way! That's amazing!\She's the first one to ever do that!\And yet, Aika doesn't seem like she's fazed by it at all, does she?\Do you think her cheerfulness is just a front? response:	Well, Alice is the up-and-coming top Undine at our rival company, after all.
context: Hey, did you hear about Alice Carroll?\Ah, I did!\Two weeks ago, she was promoted to Prima even though she was a Pair, right?\No way! That's amazing!\She's the first one to ever do that!\And yet, Aika doesn't seem like she's fazed by it at all, does she?\Do you think her cheerfulness is just a front?\Well, Alice is the up-and-coming top Undine at our rival company, after all. response:	As Himeya's heir, I'm sure she's feeling a lot of pressure.
context: Ah, I did!\Two weeks ago, she was promoted to Prima even though she was a Pair, right?\No way! That's amazing!\She's the first one to ever do that!\And yet, Aika doesn't seem like she's fazed by it at all, does she?\Do you think her cheerfulness is just a front?\Well, Alice is the up-and-coming top Undine at our rival company, after all.\As Himeya's heir, I'm sure she's feeling a lot of pressure. response:	Do you remember that day Oboeteimasuka ano hi o
context: Two weeks ago, she was promoted to Prima even though she was a Pair, right?\No way! That's amazing!\She's the first one to ever do that!\And yet, Aika doesn't seem like she's fazed by it at all, does she?\Do you think her cheerfulness is just a front?\Well, Alice is the up-and-coming top Undine at our rival company, after all.\As Himeya's heir, I'm sure she's feeling a lot of pressure.\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: No way! That's amazing!\She's the first one to ever do that!\And yet, Aika doesn't seem like she's fazed by it at all, does she?\Do you think her cheerfulness is just a front?\Well, Alice is the up-and-coming top Undine at our rival company, after all.\As Himeya's heir, I'm sure she's feeling a lot of pressure.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: She's the first one to ever do that!\And yet, Aika doesn't seem like she's fazed by it at all, does she?\Do you think her cheerfulness is just a front?\Well, Alice is the up-and-coming top Undine at our rival company, after all.\As Himeya's heir, I'm sure she's feeling a lot of pressure.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: And yet, Aika doesn't seem like she's fazed by it at all, does she?\Do you think her cheerfulness is just a front?\Well, Alice is the up-and-coming top Undine at our rival company, after all.\As Himeya's heir, I'm sure she's feeling a lot of pressure.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: Do you think her cheerfulness is just a front?\Well, Alice is the up-and-coming top Undine at our rival company, after all.\As Himeya's heir, I'm sure she's feeling a lot of pressure.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: Well, Alice is the up-and-coming top Undine at our rival company, after all.\As Himeya's heir, I'm sure she's feeling a lot of pressure.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi
context: As Himeya's heir, I'm sure she's feeling a lot of pressure.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi response:	Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita response:	Surely, it's a spiral Kitto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare response:	The days passed by, each one filled with warmth Atataka na mainichi o kasanetara
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara response:	And before I knew it, off in the distance... Itsunomanika tooku ni
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni response:	Those Ever-Changing Days...
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\Those Ever-Changing Days... response:	Please take my hand.
context: It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\Those Ever-Changing Days...\Please take my hand. response:	Ah, thank you.
context: As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\Those Ever-Changing Days...\Please take my hand.\Ah, thank you. response:	Please be careful.
context: Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\Those Ever-Changing Days...\Please take my hand.\Ah, thank you.\Please be careful. response:	There we go.
context: Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\Those Ever-Changing Days...\Please take my hand.\Ah, thank you.\Please be careful.\There we go. response:	Of all the many water guide companies, thank you for choosing Himeya today.
context: The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\Those Ever-Changing Days...\Please take my hand.\Ah, thank you.\Please be careful.\There we go.\Of all the many water guide companies, thank you for choosing Himeya today. response:	It was a lot of fun.
context: And before I knew it, off in the distance... Itsunomanika tooku ni\Those Ever-Changing Days...\Please take my hand.\Ah, thank you.\Please be careful.\There we go.\Of all the many water guide companies, thank you for choosing Himeya today.\It was a lot of fun. response:	Yeah. Gondolas are the best! It was a lot of fun.
context: Those Ever-Changing Days...\Please take my hand.\Ah, thank you.\Please be careful.\There we go.\Of all the many water guide companies, thank you for choosing Himeya today.\It was a lot of fun.\Yeah. Gondolas are the best! It was a lot of fun. response:	Yeah. Gondolas are the best!
context: Please take my hand.\Ah, thank you.\Please be careful.\There we go.\Of all the many water guide companies, thank you for choosing Himeya today.\It was a lot of fun.\Yeah. Gondolas are the best! It was a lot of fun.\Yeah. Gondolas are the best! response:	Thank you very much!
context: Ah, thank you.\Please be careful.\There we go.\Of all the many water guide companies, thank you for choosing Himeya today.\It was a lot of fun.\Yeah. Gondolas are the best! It was a lot of fun.\Yeah. Gondolas are the best!\Thank you very much! response:	From the bottom of my heart, I hope that your vacation will be a memorable one.
