context: 5 Days Until Christmas response:	Isn't Christmas great?
context: 5 Days Until Christmas\Isn't Christmas great? response:	It's so exciting.
context: 5 Days Until Christmas\Isn't Christmas great?\It's so exciting. response:	Why don't we all have a party on Christmas Eve?
context: 5 Days Until Christmas\Isn't Christmas great?\It's so exciting.\Why don't we all have a party on Christmas Eve? response:	That sounds like fun!
context: 5 Days Until Christmas\Isn't Christmas great?\It's so exciting.\Why don't we all have a party on Christmas Eve?\That sounds like fun! response:	Christmas means chicken and cakes, doesn't it?
context: 5 Days Until Christmas\Isn't Christmas great?\It's so exciting.\Why don't we all have a party on Christmas Eve?\That sounds like fun!\Christmas means chicken and cakes, doesn't it? response:	Sou, is there anything else you want to eat?
context: 5 Days Until Christmas\Isn't Christmas great?\It's so exciting.\Why don't we all have a party on Christmas Eve?\That sounds like fun!\Christmas means chicken and cakes, doesn't it?\Sou, is there anything else you want to eat? response:	Let me see...
context: 5 Days Until Christmas\Isn't Christmas great?\It's so exciting.\Why don't we all have a party on Christmas Eve?\That sounds like fun!\Christmas means chicken and cakes, doesn't it?\Sou, is there anything else you want to eat?\Let me see... response:	Christmas means salmon to me, I guess.
context: Isn't Christmas great?\It's so exciting.\Why don't we all have a party on Christmas Eve?\That sounds like fun!\Christmas means chicken and cakes, doesn't it?\Sou, is there anything else you want to eat?\Let me see...\Christmas means salmon to me, I guess. response:	Salmon?
context: It's so exciting.\Why don't we all have a party on Christmas Eve?\That sounds like fun!\Christmas means chicken and cakes, doesn't it?\Sou, is there anything else you want to eat?\Let me see...\Christmas means salmon to me, I guess.\Salmon? response:	Why salmon for Christmas?
context: Why don't we all have a party on Christmas Eve?\That sounds like fun!\Christmas means chicken and cakes, doesn't it?\Sou, is there anything else you want to eat?\Let me see...\Christmas means salmon to me, I guess.\Salmon?\Why salmon for Christmas? response:	There's nothing wrong with salmon.
context: That sounds like fun!\Christmas means chicken and cakes, doesn't it?\Sou, is there anything else you want to eat?\Let me see...\Christmas means salmon to me, I guess.\Salmon?\Why salmon for Christmas?\There's nothing wrong with salmon. response:	Right? Isn't salmon great?
context: Christmas means chicken and cakes, doesn't it?\Sou, is there anything else you want to eat?\Let me see...\Christmas means salmon to me, I guess.\Salmon?\Why salmon for Christmas?\There's nothing wrong with salmon.\Right? Isn't salmon great? response:	Watermaple House Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None
context: Sou, is there anything else you want to eat?\Let me see...\Christmas means salmon to me, I guess.\Salmon?\Why salmon for Christmas?\There's nothing wrong with salmon.\Right? Isn't salmon great?\Watermaple House Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None response:	Um, isn't this a little too short?
context: Let me see...\Christmas means salmon to me, I guess.\Salmon?\Why salmon for Christmas?\There's nothing wrong with salmon.\Right? Isn't salmon great?\Watermaple House Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Um, isn't this a little too short? response:	My legs are completely visible.
context: Christmas means salmon to me, I guess.\Salmon?\Why salmon for Christmas?\There's nothing wrong with salmon.\Right? Isn't salmon great?\Watermaple House Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Um, isn't this a little too short?\My legs are completely visible. response:	That's not true.
