context: What?! response:	Our precious training time...
context: What?!\Our precious training time... response:	We just spent one day in the Celestial Spirit World...
context: What?!\Our precious training time...\We just spent one day in the Celestial Spirit World... response:	What should we do?
context: What?!\Our precious training time...\We just spent one day in the Celestial Spirit World...\What should we do? response:	Princess! I have a proposal.
context: What?!\Our precious training time...\We just spent one day in the Celestial Spirit World...\What should we do?\Princess! I have a proposal. response:	Punish me even more.
context: What?!\Our precious training time...\We just spent one day in the Celestial Spirit World...\What should we do?\Princess! I have a proposal.\Punish me even more. response:	Why don't you go home?
context: What?!\Our precious training time...\We just spent one day in the Celestial Spirit World...\What should we do?\Princess! I have a proposal.\Punish me even more.\Why don't you go home? response:	This is the wizards' guild known as Lamia Scale.
context: What?!\Our precious training time...\We just spent one day in the Celestial Spirit World...\What should we do?\Princess! I have a proposal.\Punish me even more.\Why don't you go home?\This is the wizards' guild known as Lamia Scale. response:	The Grand Magic Games. Every year we come in second place!
context: Our precious training time...\We just spent one day in the Celestial Spirit World...\What should we do?\Princess! I have a proposal.\Punish me even more.\Why don't you go home?\This is the wizards' guild known as Lamia Scale.\The Grand Magic Games. Every year we come in second place! response:	It's shameful and that's no joke!
context: We just spent one day in the Celestial Spirit World...\What should we do?\Princess! I have a proposal.\Punish me even more.\Why don't you go home?\This is the wizards' guild known as Lamia Scale.\The Grand Magic Games. Every year we come in second place!\It's shameful and that's no joke! response:	This woman is the master of Lamia Scale,
context: What should we do?\Princess! I have a proposal.\Punish me even more.\Why don't you go home?\This is the wizards' guild known as Lamia Scale.\The Grand Magic Games. Every year we come in second place!\It's shameful and that's no joke!\This woman is the master of Lamia Scale, response:	Oba Babasama.
context: Princess! I have a proposal.\Punish me even more.\Why don't you go home?\This is the wizards' guild known as Lamia Scale.\The Grand Magic Games. Every year we come in second place!\It's shameful and that's no joke!\This woman is the master of Lamia Scale,\Oba Babasama. response:	Until now, I just thought of it as a festival.
context: Punish me even more.\Why don't you go home?\This is the wizards' guild known as Lamia Scale.\The Grand Magic Games. Every year we come in second place!\It's shameful and that's no joke!\This woman is the master of Lamia Scale,\Oba Babasama.\Until now, I just thought of it as a festival. response:	But we can't afford to think that way this year!
context: Why don't you go home?\This is the wizards' guild known as Lamia Scale.\The Grand Magic Games. Every year we come in second place!\It's shameful and that's no joke!\This woman is the master of Lamia Scale,\Oba Babasama.\Until now, I just thought of it as a festival.\But we can't afford to think that way this year! response:	Jeez, enough already...
context: This is the wizards' guild known as Lamia Scale.\The Grand Magic Games. Every year we come in second place!\It's shameful and that's no joke!\This woman is the master of Lamia Scale,\Oba Babasama.\Until now, I just thought of it as a festival.\But we can't afford to think that way this year!\Jeez, enough already... response:	Obaba's talking to herself again, huh?
context: The Grand Magic Games. Every year we come in second place!\It's shameful and that's no joke!\This woman is the master of Lamia Scale,\Oba Babasama.\Until now, I just thought of it as a festival.\But we can't afford to think that way this year!\Jeez, enough already...\Obaba's talking to herself again, huh? response:	Lyon! Jura! This time, you're going to participate, too!
context: It's shameful and that's no joke!\This woman is the master of Lamia Scale,\Oba Babasama.\Until now, I just thought of it as a festival.\But we can't afford to think that way this year!\Jeez, enough already...\Obaba's talking to herself again, huh?\Lyon! Jura! This time, you're going to participate, too! response:	Crap. I can't refuse Obaba.
context: This woman is the master of Lamia Scale,\Oba Babasama.\Until now, I just thought of it as a festival.\But we can't afford to think that way this year!\Jeez, enough already...\Obaba's talking to herself again, huh?\Lyon! Jura! This time, you're going to participate, too!\Crap. I can't refuse Obaba. response:	A festival can be nice once in a while.
context: Oba Babasama.\Until now, I just thought of it as a festival.\But we can't afford to think that way this year!\Jeez, enough already...\Obaba's talking to herself again, huh?\Lyon! Jura! This time, you're going to participate, too!\Crap. I can't refuse Obaba.\A festival can be nice once in a while. response:	Lyon and Jura-san are gonna be in it this year?!
context: Until now, I just thought of it as a festival.\But we can't afford to think that way this year!\Jeez, enough already...\Obaba's talking to herself again, huh?\Lyon! Jura! This time, you're going to participate, too!\Crap. I can't refuse Obaba.\A festival can be nice once in a while.\Lyon and Jura-san are gonna be in it this year?! response:	Now we'll win it for sure!
context: But we can't afford to think that way this year!\Jeez, enough already...\Obaba's talking to herself again, huh?\Lyon! Jura! This time, you're going to participate, too!\Crap. I can't refuse Obaba.\A festival can be nice once in a while.\Lyon and Jura-san are gonna be in it this year?!\Now we'll win it for sure! response:	Lamia will be Fiore's number one guild!
context: Jeez, enough already...\Obaba's talking to herself again, huh?\Lyon! Jura! This time, you're going to participate, too!\Crap. I can't refuse Obaba.\A festival can be nice once in a while.\Lyon and Jura-san are gonna be in it this year?!\Now we'll win it for sure!\Lamia will be Fiore's number one guild! response:	Hey, did you hear?!
context: Obaba's talking to herself again, huh?\Lyon! Jura! This time, you're going to participate, too!\Crap. I can't refuse Obaba.\A festival can be nice once in a while.\Lyon and Jura-san are gonna be in it this year?!\Now we'll win it for sure!\Lamia will be Fiore's number one guild!\Hey, did you hear?! response:	It seems that Wizard Saint Jura-chan from Lamia Scale
