context: Signs response:	Point
context: Signs\Point response:	On anti-crime patrol
context: Signs\Point\On anti-crime patrol response:	On anti-crime patrol
context: Signs\Point\On anti-crime patrol\On anti-crime patrol response:	Takanashi
context: Signs\Point\On anti-crime patrol\On anti-crime patrol\Takanashi response:	family
context: Signs\Point\On anti-crime patrol\On anti-crime patrol\Takanashi\family response:	It's so hot...
context: Signs\Point\On anti-crime patrol\On anti-crime patrol\Takanashi\family\It's so hot... response:	Yeah.
context: Signs\Point\On anti-crime patrol\On anti-crime patrol\Takanashi\family\It's so hot...\Yeah. response:	Morning!
context: Point\On anti-crime patrol\On anti-crime patrol\Takanashi\family\It's so hot...\Yeah.\Morning! response:	Good morning!
context: On anti-crime patrol\On anti-crime patrol\Takanashi\family\It's so hot...\Yeah.\Morning!\Good morning! response:	What are you staring at?
context: On anti-crime patrol\Takanashi\family\It's so hot...\Yeah.\Morning!\Good morning!\What are you staring at? response:	What's with those clothes, anyway? Is she some pop star from the'70s?
context: Takanashi\family\It's so hot...\Yeah.\Morning!\Good morning!\What are you staring at?\What's with those clothes, anyway? Is she some pop star from the'70s? response:	You're being stupid.
context: family\It's so hot...\Yeah.\Morning!\Good morning!\What are you staring at?\What's with those clothes, anyway? Is she some pop star from the'70s?\You're being stupid. response:	Unlike you, Kumin's a pure, straightforward person untainted by this day and age!
context: It's so hot...\Yeah.\Morning!\Good morning!\What are you staring at?\What's with those clothes, anyway? Is she some pop star from the'70s?\You're being stupid.\Unlike you, Kumin's a pure, straightforward person untainted by this day and age! response:	Big words for a grade schooler.
context: Yeah.\Morning!\Good morning!\What are you staring at?\What's with those clothes, anyway? Is she some pop star from the'70s?\You're being stupid.\Unlike you, Kumin's a pure, straightforward person untainted by this day and age!\Big words for a grade schooler. response:	Don't call me that!
context: Morning!\Good morning!\What are you staring at?\What's with those clothes, anyway? Is she some pop star from the'70s?\You're being stupid.\Unlike you, Kumin's a pure, straightforward person untainted by this day and age!\Big words for a grade schooler.\Don't call me that! response:	Oh, Isshiki! You sort of look like a grade schooler.
context: Good morning!\What are you staring at?\What's with those clothes, anyway? Is she some pop star from the'70s?\You're being stupid.\Unlike you, Kumin's a pure, straightforward person untainted by this day and age!\Big words for a grade schooler.\Don't call me that!\Oh, Isshiki! You sort of look like a grade schooler. response:	The bursts of sunlight and gamma rays are threatening me with death!
context: What are you staring at?\What's with those clothes, anyway? Is she some pop star from the'70s?\You're being stupid.\Unlike you, Kumin's a pure, straightforward person untainted by this day and age!\Big words for a grade schooler.\Don't call me that!\Oh, Isshiki! You sort of look like a grade schooler.\The bursts of sunlight and gamma rays are threatening me with death! response:	Dark Limited Unknown Shield, equip! Yeah!
context: What's with those clothes, anyway? Is she some pop star from the'70s?\You're being stupid.\Unlike you, Kumin's a pure, straightforward person untainted by this day and age!\Big words for a grade schooler.\Don't call me that!\Oh, Isshiki! You sort of look like a grade schooler.\The bursts of sunlight and gamma rays are threatening me with death!\Dark Limited Unknown Shield, equip! Yeah! response:	Her eighth-grader syndrome is more like second-grader syndrome now.
context: You're being stupid.\Unlike you, Kumin's a pure, straightforward person untainted by this day and age!\Big words for a grade schooler.\Don't call me that!\Oh, Isshiki! You sort of look like a grade schooler.\The bursts of sunlight and gamma rays are threatening me with death!\Dark Limited Unknown Shield, equip! Yeah!\Her eighth-grader syndrome is more like second-grader syndrome now. response:	Did you say something, Fake Summer?!
context: Unlike you, Kumin's a pure, straightforward person untainted by this day and age!\Big words for a grade schooler.\Don't call me that!\Oh, Isshiki! You sort of look like a grade schooler.\The bursts of sunlight and gamma rays are threatening me with death!\Dark Limited Unknown Shield, equip! Yeah!\Her eighth-grader syndrome is more like second-grader syndrome now.\Did you say something, Fake Summer?! response:	Huh? I didn't say a word!
context: Big words for a grade schooler.\Don't call me that!\Oh, Isshiki! You sort of look like a grade schooler.\The bursts of sunlight and gamma rays are threatening me with death!\Dark Limited Unknown Shield, equip! Yeah!\Her eighth-grader syndrome is more like second-grader syndrome now.\Did you say something, Fake Summer?!\Huh? I didn't say a word! response:	Oh, really?
context: Don't call me that!\Oh, Isshiki! You sort of look like a grade schooler.\The bursts of sunlight and gamma rays are threatening me with death!\Dark Limited Unknown Shield, equip! Yeah!\Her eighth-grader syndrome is more like second-grader syndrome now.\Did you say something, Fake Summer?!\Huh? I didn't say a word!\Oh, really? response:	It sure sounded like you lumped me together with that crew-cut kid!
