context: And there! response:	What's all this?!
context: And there!\What's all this?! response:	I can't go home that often.
context: And there!\What's all this?!\I can't go home that often. response:	And girls have lots of shopping to do.
context: And there!\What's all this?!\I can't go home that often.\And girls have lots of shopping to do. response:	Here, this is for you.
context: And there!\What's all this?!\I can't go home that often.\And girls have lots of shopping to do.\Here, this is for you. response:	Potato chips!
context: And there!\What's all this?!\I can't go home that often.\And girls have lots of shopping to do.\Here, this is for you.\Potato chips! response:	And for you, Shippo.
context: And there!\What's all this?!\I can't go home that often.\And girls have lots of shopping to do.\Here, this is for you.\Potato chips!\And for you, Shippo. response:	Wow! Thank you, Kagome!
context: And there!\What's all this?!\I can't go home that often.\And girls have lots of shopping to do.\Here, this is for you.\Potato chips!\And for you, Shippo.\Wow! Thank you, Kagome! response:	This tastes great!
context: What's all this?!\I can't go home that often.\And girls have lots of shopping to do.\Here, this is for you.\Potato chips!\And for you, Shippo.\Wow! Thank you, Kagome!\This tastes great! response:	Ohh?
context: I can't go home that often.\And girls have lots of shopping to do.\Here, this is for you.\Potato chips!\And for you, Shippo.\Wow! Thank you, Kagome!\This tastes great!\Ohh? response:	Kagome, it's spinning by itself!
context: And girls have lots of shopping to do.\Here, this is for you.\Potato chips!\And for you, Shippo.\Wow! Thank you, Kagome!\This tastes great!\Ohh?\Kagome, it's spinning by itself! response:	Here, Miroku.
context: Here, this is for you.\Potato chips!\And for you, Shippo.\Wow! Thank you, Kagome!\This tastes great!\Ohh?\Kagome, it's spinning by itself!\Here, Miroku. response:	Thank you.
context: Potato chips!\And for you, Shippo.\Wow! Thank you, Kagome!\This tastes great!\Ohh?\Kagome, it's spinning by itself!\Here, Miroku.\Thank you. response:	Where's Sango?
context: And for you, Shippo.\Wow! Thank you, Kagome!\This tastes great!\Ohh?\Kagome, it's spinning by itself!\Here, Miroku.\Thank you.\Where's Sango? response:	Not back yet.
context: Wow! Thank you, Kagome!\This tastes great!\Ohh?\Kagome, it's spinning by itself!\Here, Miroku.\Thank you.\Where's Sango?\Not back yet. response:	I thought you'd all be together by now.
context: This tastes great!\Ohh?\Kagome, it's spinning by itself!\Here, Miroku.\Thank you.\Where's Sango?\Not back yet.\I thought you'd all be together by now. response:	It's been a while since she returned home.
context: Ohh?\Kagome, it's spinning by itself!\Here, Miroku.\Thank you.\Where's Sango?\Not back yet.\I thought you'd all be together by now.\It's been a while since she returned home. response:	Besides repairing her Hiraikotsu,
context: Kagome, it's spinning by itself!\Here, Miroku.\Thank you.\Where's Sango?\Not back yet.\I thought you'd all be together by now.\It's been a while since she returned home.\Besides repairing her Hiraikotsu, response:	she probably has lots of things to do.
context: Here, Miroku.\Thank you.\Where's Sango?\Not back yet.\I thought you'd all be together by now.\It's been a while since she returned home.\Besides repairing her Hiraikotsu,\she probably has lots of things to do. response:	Maybe she won't come back.
context: Thank you.\Where's Sango?\Not back yet.\I thought you'd all be together by now.\It's been a while since she returned home.\Besides repairing her Hiraikotsu,\she probably has lots of things to do.\Maybe she won't come back. response:	'Specially'cuz of the lecher who likes to stroke buns.
context: Where's Sango?\Not back yet.\I thought you'd all be together by now.\It's been a while since she returned home.\Besides repairing her Hiraikotsu,\she probably has lots of things to do.\Maybe she won't come back.\'Specially'cuz of the lecher who likes to stroke buns. response:	I am NOT guilty of that!
context: Not back yet.\I thought you'd all be together by now.\It's been a while since she returned home.\Besides repairing her Hiraikotsu,\she probably has lots of things to do.\Maybe she won't come back.\'Specially'cuz of the lecher who likes to stroke buns.\I am NOT guilty of that! response:	I wonder'bout that...
context: I thought you'd all be together by now.\It's been a while since she returned home.\Besides repairing her Hiraikotsu,\she probably has lots of things to do.\Maybe she won't come back.\'Specially'cuz of the lecher who likes to stroke buns.\I am NOT guilty of that!\I wonder'bout that... response:	Since it's Sango, I guess there's no need to worry...
context: It's been a while since she returned home.\Besides repairing her Hiraikotsu,\she probably has lots of things to do.\Maybe she won't come back.\'Specially'cuz of the lecher who likes to stroke buns.\I am NOT guilty of that!\I wonder'bout that...\Since it's Sango, I guess there's no need to worry... response:	Not as good as Father's, but pretty good for me.
context: Besides repairing her Hiraikotsu,\she probably has lots of things to do.\Maybe she won't come back.\'Specially'cuz of the lecher who likes to stroke buns.\I am NOT guilty of that!\I wonder'bout that...\Since it's Sango, I guess there's no need to worry...\Not as good as Father's, but pretty good for me. response:	Father... Everyone... I'm home at last.
context: she probably has lots of things to do.\Maybe she won't come back.\'Specially'cuz of the lecher who likes to stroke buns.\I am NOT guilty of that!\I wonder'bout that...\Since it's Sango, I guess there's no need to worry...\Not as good as Father's, but pretty good for me.\Father... Everyone... I'm home at last. response:	Forgive me for ignoring you for so long.
context: Maybe she won't come back.\'Specially'cuz of the lecher who likes to stroke buns.\I am NOT guilty of that!\I wonder'bout that...\Since it's Sango, I guess there's no need to worry...\Not as good as Father's, but pretty good for me.\Father... Everyone... I'm home at last.\Forgive me for ignoring you for so long. response:	Sango, do you think you can continue as a Demon Slayer?
context: 'Specially'cuz of the lecher who likes to stroke buns.\I am NOT guilty of that!\I wonder'bout that...\Since it's Sango, I guess there's no need to worry...\Not as good as Father's, but pretty good for me.\Father... Everyone... I'm home at last.\Forgive me for ignoring you for so long.\Sango, do you think you can continue as a Demon Slayer? response:	Yes, Father. I think I'm suited to this work.
context: I am NOT guilty of that!\I wonder'bout that...\Since it's Sango, I guess there's no need to worry...\Not as good as Father's, but pretty good for me.\Father... Everyone... I'm home at last.\Forgive me for ignoring you for so long.\Sango, do you think you can continue as a Demon Slayer?\Yes, Father. I think I'm suited to this work. response:	I see...
context: I wonder'bout that...\Since it's Sango, I guess there's no need to worry...\Not as good as Father's, but pretty good for me.\Father... Everyone... I'm home at last.\Forgive me for ignoring you for so long.\Sango, do you think you can continue as a Demon Slayer?\Yes, Father. I think I'm suited to this work.\I see... response:	I trained you until now, not just so you could take over.
context: Since it's Sango, I guess there's no need to worry...\Not as good as Father's, but pretty good for me.\Father... Everyone... I'm home at last.\Forgive me for ignoring you for so long.\Sango, do you think you can continue as a Demon Slayer?\Yes, Father. I think I'm suited to this work.\I see...\I trained you until now, not just so you could take over. response:	I want you to live strong.
context: Not as good as Father's, but pretty good for me.\Father... Everyone... I'm home at last.\Forgive me for ignoring you for so long.\Sango, do you think you can continue as a Demon Slayer?\Yes, Father. I think I'm suited to this work.\I see...\I trained you until now, not just so you could take over.\I want you to live strong. response:	Father, what did you mean by that?
context: Father... Everyone... I'm home at last.\Forgive me for ignoring you for so long.\Sango, do you think you can continue as a Demon Slayer?\Yes, Father. I think I'm suited to this work.\I see...\I trained you until now, not just so you could take over.\I want you to live strong.\Father, what did you mean by that? response:	Stop! Please let Serina go!
context: Forgive me for ignoring you for so long.\Sango, do you think you can continue as a Demon Slayer?\Yes, Father. I think I'm suited to this work.\I see...\I trained you until now, not just so you could take over.\I want you to live strong.\Father, what did you mean by that?\Stop! Please let Serina go! response:	Kirara!
context: Sango, do you think you can continue as a Demon Slayer?\Yes, Father. I think I'm suited to this work.\I see...\I trained you until now, not just so you could take over.\I want you to live strong.\Father, what did you mean by that?\Stop! Please let Serina go!\Kirara! response:	Just who are you?!
context: Yes, Father. I think I'm suited to this work.\I see...\I trained you until now, not just so you could take over.\I want you to live strong.\Father, what did you mean by that?\Stop! Please let Serina go!\Kirara!\Just who are you?! response:	Sis!
context: I see...\I trained you until now, not just so you could take over.\I want you to live strong.\Father, what did you mean by that?\Stop! Please let Serina go!\Kirara!\Just who are you?!\Sis! response:	What's wrong?
context: I trained you until now, not just so you could take over.\I want you to live strong.\Father, what did you mean by that?\Stop! Please let Serina go!\Kirara!\Just who are you?!\Sis!\What's wrong? response:	We haven't had food or water for three days.
context: I want you to live strong.\Father, what did you mean by that?\Stop! Please let Serina go!\Kirara!\Just who are you?!\Sis!\What's wrong?\We haven't had food or water for three days. response:	Isn't this good, Serina?
context: Father, what did you mean by that?\Stop! Please let Serina go!\Kirara!\Just who are you?!\Sis!\What's wrong?\We haven't had food or water for three days.\Isn't this good, Serina? response:	Uh-huh!
context: Stop! Please let Serina go!\Kirara!\Just who are you?!\Sis!\What's wrong?\We haven't had food or water for three days.\Isn't this good, Serina?\Uh-huh! response:	There's more. Another serving?
context: Kirara!\Just who are you?!\Sis!\What's wrong?\We haven't had food or water for three days.\Isn't this good, Serina?\Uh-huh!\There's more. Another serving? response:	- Yes! - Please!
context: Just who are you?!\Sis!\What's wrong?\We haven't had food or water for three days.\Isn't this good, Serina?\Uh-huh!\There's more. Another serving?\- Yes! - Please! response:	I'm the elder, Serina.
context: Sis!\What's wrong?\We haven't had food or water for three days.\Isn't this good, Serina?\Uh-huh!\There's more. Another serving?\- Yes! - Please!\I'm the elder, Serina. response:	And I'm Suzuna.
