context: There really aren't many espers, are there? response:	Potato
context: There really aren't many espers, are there?\Potato response:	All of these people have walked by and not one has stood out.
context: There really aren't many espers, are there?\Potato\All of these people have walked by and not one has stood out. response:	You aren't tricking me, are you?
context: There really aren't many espers, are there?\Potato\All of these people have walked by and not one has stood out.\You aren't tricking me, are you? response:	There really haven't been any.
context: There really aren't many espers, are there?\Potato\All of these people have walked by and not one has stood out.\You aren't tricking me, are you?\There really haven't been any. response:	Hey, are you on a date here?
context: There really aren't many espers, are there?\Potato\All of these people have walked by and not one has stood out.\You aren't tricking me, are you?\There really haven't been any.\Hey, are you on a date here? response:	Who is this obviously special guy?
context: There really aren't many espers, are there?\Potato\All of these people have walked by and not one has stood out.\You aren't tricking me, are you?\There really haven't been any.\Hey, are you on a date here?\Who is this obviously special guy? response:	Hanazawa-kun...
context: There really aren't many espers, are there?\Potato\All of these people have walked by and not one has stood out.\You aren't tricking me, are you?\There really haven't been any.\Hey, are you on a date here?\Who is this obviously special guy?\Hanazawa-kun... response:	Sorry, this is an emergency.
context: Potato\All of these people have walked by and not one has stood out.\You aren't tricking me, are you?\There really haven't been any.\Hey, are you on a date here?\Who is this obviously special guy?\Hanazawa-kun...\Sorry, this is an emergency. response:	I'm gonna borrow him for a bit.
context: All of these people have walked by and not one has stood out.\You aren't tricking me, are you?\There really haven't been any.\Hey, are you on a date here?\Who is this obviously special guy?\Hanazawa-kun...\Sorry, this is an emergency.\I'm gonna borrow him for a bit. response:	Him?
context: You aren't tricking me, are you?\There really haven't been any.\Hey, are you on a date here?\Who is this obviously special guy?\Hanazawa-kun...\Sorry, this is an emergency.\I'm gonna borrow him for a bit.\Him? response:	Someone's using my name and fighting?
context: There really haven't been any.\Hey, are you on a date here?\Who is this obviously special guy?\Hanazawa-kun...\Sorry, this is an emergency.\I'm gonna borrow him for a bit.\Him?\Someone's using my name and fighting? response:	Yeah. It's a student from Salt Middle School.
context: Hey, are you on a date here?\Who is this obviously special guy?\Hanazawa-kun...\Sorry, this is an emergency.\I'm gonna borrow him for a bit.\Him?\Someone's using my name and fighting?\Yeah. It's a student from Salt Middle School. response:	You might know him.
context: Who is this obviously special guy?\Hanazawa-kun...\Sorry, this is an emergency.\I'm gonna borrow him for a bit.\Him?\Someone's using my name and fighting?\Yeah. It's a student from Salt Middle School.\You might know him. response:	He's back there. You should go see for yourself.
context: Hanazawa-kun...\Sorry, this is an emergency.\I'm gonna borrow him for a bit.\Him?\Someone's using my name and fighting?\Yeah. It's a student from Salt Middle School.\You might know him.\He's back there. You should go see for yourself. response:	Ritsu...
context: Sorry, this is an emergency.\I'm gonna borrow him for a bit.\Him?\Someone's using my name and fighting?\Yeah. It's a student from Salt Middle School.\You might know him.\He's back there. You should go see for yourself.\Ritsu... response:	What are you doing?
