context: In the year 845... response:	the Colossal and Armored Titans
context: In the year 845...\the Colossal and Armored Titans response:	suddenly appeared, destroying the wall,
context: In the year 845...\the Colossal and Armored Titans\suddenly appeared, destroying the wall, response:	along with the life we'd known.
context: In the year 845...\the Colossal and Armored Titans\suddenly appeared, destroying the wall,\along with the life we'd known. response:	And the insatiable hunger of the Titans was unleashed on humanity
context: In the year 845...\the Colossal and Armored Titans\suddenly appeared, destroying the wall,\along with the life we'd known.\And the insatiable hunger of the Titans was unleashed on humanity response:	after a hundred years of deprivation.
context: In the year 845...\the Colossal and Armored Titans\suddenly appeared, destroying the wall,\along with the life we'd known.\And the insatiable hunger of the Titans was unleashed on humanity\after a hundred years of deprivation. response:	No!
context: In the year 845...\the Colossal and Armored Titans\suddenly appeared, destroying the wall,\along with the life we'd known.\And the insatiable hunger of the Titans was unleashed on humanity\after a hundred years of deprivation.\No! response:	Humanity abandoned Wall Maria,
context: In the year 845...\the Colossal and Armored Titans\suddenly appeared, destroying the wall,\along with the life we'd known.\And the insatiable hunger of the Titans was unleashed on humanity\after a hundred years of deprivation.\No!\Humanity abandoned Wall Maria, response:	losing twenty percent of its population and a third of its territory,
context: the Colossal and Armored Titans\suddenly appeared, destroying the wall,\along with the life we'd known.\And the insatiable hunger of the Titans was unleashed on humanity\after a hundred years of deprivation.\No!\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory, response:	to retreat within Wall Rose.
context: suddenly appeared, destroying the wall,\along with the life we'd known.\And the insatiable hunger of the Titans was unleashed on humanity\after a hundred years of deprivation.\No!\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose. response:	Night of the Graduation Ceremony Humanity Rises Again (2)
context: along with the life we'd known.\And the insatiable hunger of the Titans was unleashed on humanity\after a hundred years of deprivation.\No!\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\Night of the Graduation Ceremony Humanity Rises Again (2) response:	The Year: 850
context: And the insatiable hunger of the Titans was unleashed on humanity\after a hundred years of deprivation.\No!\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\Night of the Graduation Ceremony Humanity Rises Again (2)\The Year: 850 response:	2 Years After Enlistment
context: after a hundred years of deprivation.\No!\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\Night of the Graduation Ceremony Humanity Rises Again (2)\The Year: 850\2 Years After Enlistment response:	You're too slow!
context: No!\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\Night of the Graduation Ceremony Humanity Rises Again (2)\The Year: 850\2 Years After Enlistment\You're too slow! response:	Run, you laggards!
context: Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\Night of the Graduation Ceremony Humanity Rises Again (2)\The Year: 850\2 Years After Enlistment\You're too slow!\Run, you laggards! response:	What's wrong, Arlert?
context: losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\Night of the Graduation Ceremony Humanity Rises Again (2)\The Year: 850\2 Years After Enlistment\You're too slow!\Run, you laggards!\What's wrong, Arlert? response:	You're falling behind!
context: to retreat within Wall Rose.\Night of the Graduation Ceremony Humanity Rises Again (2)\The Year: 850\2 Years After Enlistment\You're too slow!\Run, you laggards!\What's wrong, Arlert?\You're falling behind! response:	Is it too heavy for you?
context: Night of the Graduation Ceremony Humanity Rises Again (2)\The Year: 850\2 Years After Enlistment\You're too slow!\Run, you laggards!\What's wrong, Arlert?\You're falling behind!\Is it too heavy for you? response:	Will you be the one guy to remove his equipment?
context: The Year: 850\2 Years After Enlistment\You're too slow!\Run, you laggards!\What's wrong, Arlert?\You're falling behind!\Is it too heavy for you?\Will you be the one guy to remove his equipment? response:	If this were a real fight, you'd be Titan food by now!
context: 2 Years After Enlistment\You're too slow!\Run, you laggards!\What's wrong, Arlert?\You're falling behind!\Is it too heavy for you?\Will you be the one guy to remove his equipment?\If this were a real fight, you'd be Titan food by now! response:	Damn it!
context: You're too slow!\Run, you laggards!\What's wrong, Arlert?\You're falling behind!\Is it too heavy for you?\Will you be the one guy to remove his equipment?\If this were a real fight, you'd be Titan food by now!\Damn it! response:	Give me that.
context: Run, you laggards!\What's wrong, Arlert?\You're falling behind!\Is it too heavy for you?\Will you be the one guy to remove his equipment?\If this were a real fight, you'd be Titan food by now!\Damn it!\Give me that. response:	At this rate, we'll all fail out!
context: What's wrong, Arlert?\You're falling behind!\Is it too heavy for you?\Will you be the one guy to remove his equipment?\If this were a real fight, you'd be Titan food by now!\Damn it!\Give me that.\At this rate, we'll all fail out! response:	We're being graded on this exercise.
context: You're falling behind!\Is it too heavy for you?\Will you be the one guy to remove his equipment?\If this were a real fight, you'd be Titan food by now!\Damn it!\Give me that.\At this rate, we'll all fail out!\We're being graded on this exercise. response:	If you do that, you'll lose points, as well.
context: Is it too heavy for you?\Will you be the one guy to remove his equipment?\If this were a real fight, you'd be Titan food by now!\Damn it!\Give me that.\At this rate, we'll all fail out!\We're being graded on this exercise.\If you do that, you'll lose points, as well. response:	Just don't let them find out!
context: Will you be the one guy to remove his equipment?\If this were a real fight, you'd be Titan food by now!\Damn it!\Give me that.\At this rate, we'll all fail out!\We're being graded on this exercise.\If you do that, you'll lose points, as well.\Just don't let them find out! response:	And don't make me change my mind!
context: If this were a real fight, you'd be Titan food by now!\Damn it!\Give me that.\At this rate, we'll all fail out!\We're being graded on this exercise.\If you do that, you'll lose points, as well.\Just don't let them find out!\And don't make me change my mind! response:	Reiner Braun.
context: Damn it!\Give me that.\At this rate, we'll all fail out!\We're being graded on this exercise.\If you do that, you'll lose points, as well.\Just don't let them find out!\And don't make me change my mind!\Reiner Braun. response:	A strong soldier, physically and mentally.
context: Give me that.\At this rate, we'll all fail out!\We're being graded on this exercise.\If you do that, you'll lose points, as well.\Just don't let them find out!\And don't make me change my mind!\Reiner Braun.\A strong soldier, physically and mentally. response:	And trusted by his comrades.
