context: What is it, Akatsuki? response:	N-Nothing, just...
context: What is it, Akatsuki?\N-Nothing, just... response:	Aren't you going to the party, my lord?
context: What is it, Akatsuki?\N-Nothing, just...\Aren't you going to the party, my lord? response:	No, I don't care for those flashy events.
context: What is it, Akatsuki?\N-Nothing, just...\Aren't you going to the party, my lord?\No, I don't care for those flashy events. response:	I'll let Crusty handle it.
context: What is it, Akatsuki?\N-Nothing, just...\Aren't you going to the party, my lord?\No, I don't care for those flashy events.\I'll let Crusty handle it. response:	Oh...
context: What is it, Akatsuki?\N-Nothing, just...\Aren't you going to the party, my lord?\No, I don't care for those flashy events.\I'll let Crusty handle it.\Oh... response:	Oh, I hear you did a fantastic job!
context: What is it, Akatsuki?\N-Nothing, just...\Aren't you going to the party, my lord?\No, I don't care for those flashy events.\I'll let Crusty handle it.\Oh...\Oh, I hear you did a fantastic job! response:	I'm told you easily defeated the Goblin General.
context: What is it, Akatsuki?\N-Nothing, just...\Aren't you going to the party, my lord?\No, I don't care for those flashy events.\I'll let Crusty handle it.\Oh...\Oh, I hear you did a fantastic job!\I'm told you easily defeated the Goblin General. response:	I believe that victory was only possible
context: N-Nothing, just...\Aren't you going to the party, my lord?\No, I don't care for those flashy events.\I'll let Crusty handle it.\Oh...\Oh, I hear you did a fantastic job!\I'm told you easily defeated the Goblin General.\I believe that victory was only possible response:	because People of the Land and adventurers worked together.
context: Aren't you going to the party, my lord?\No, I don't care for those flashy events.\I'll let Crusty handle it.\Oh...\Oh, I hear you did a fantastic job!\I'm told you easily defeated the Goblin General.\I believe that victory was only possible\because People of the Land and adventurers worked together. response:	Please. You don't really think that.
context: No, I don't care for those flashy events.\I'll let Crusty handle it.\Oh...\Oh, I hear you did a fantastic job!\I'm told you easily defeated the Goblin General.\I believe that victory was only possible\because People of the Land and adventurers worked together.\Please. You don't really think that. response:	He's so strong.
context: I'll let Crusty handle it.\Oh...\Oh, I hear you did a fantastic job!\I'm told you easily defeated the Goblin General.\I believe that victory was only possible\because People of the Land and adventurers worked together.\Please. You don't really think that.\He's so strong. response:	He's wonderful!
context: Oh...\Oh, I hear you did a fantastic job!\I'm told you easily defeated the Goblin General.\I believe that victory was only possible\because People of the Land and adventurers worked together.\Please. You don't really think that.\He's so strong.\He's wonderful! response:	The Two of Us Shall Waltz
context: Oh, I hear you did a fantastic job!\I'm told you easily defeated the Goblin General.\I believe that victory was only possible\because People of the Land and adventurers worked together.\Please. You don't really think that.\He's so strong.\He's wonderful!\The Two of Us Shall Waltz response:	The Two of Us Shall Waltz.
context: I'm told you easily defeated the Goblin General.\I believe that victory was only possible\because People of the Land and adventurers worked together.\Please. You don't really think that.\He's so strong.\He's wonderful!\The Two of Us Shall Waltz\The Two of Us Shall Waltz. response:	The food here is great!
context: I believe that victory was only possible\because People of the Land and adventurers worked together.\Please. You don't really think that.\He's so strong.\He's wonderful!\The Two of Us Shall Waltz\The Two of Us Shall Waltz.\The food here is great! response:	Shiroe and his buddies ate this stuff every day during the conferences?
context: because People of the Land and adventurers worked together.\Please. You don't really think that.\He's so strong.\He's wonderful!\The Two of Us Shall Waltz\The Two of Us Shall Waltz.\The food here is great!\Shiroe and his buddies ate this stuff every day during the conferences? response:	Wherever you eat it,
context: Please. You don't really think that.\He's so strong.\He's wonderful!\The Two of Us Shall Waltz\The Two of Us Shall Waltz.\The food here is great!\Shiroe and his buddies ate this stuff every day during the conferences?\Wherever you eat it, response:	the food you enjoy with friends is the most delicious.
context: He's so strong.\He's wonderful!\The Two of Us Shall Waltz\The Two of Us Shall Waltz.\The food here is great!\Shiroe and his buddies ate this stuff every day during the conferences?\Wherever you eat it,\the food you enjoy with friends is the most delicious. response:	Where's the hide-and-seek genius?
context: He's wonderful!\The Two of Us Shall Waltz\The Two of Us Shall Waltz.\The food here is great!\Shiroe and his buddies ate this stuff every day during the conferences?\Wherever you eat it,\the food you enjoy with friends is the most delicious.\Where's the hide-and-seek genius? response:	Where is she?
context: The Two of Us Shall Waltz\The Two of Us Shall Waltz.\The food here is great!\Shiroe and his buddies ate this stuff every day during the conferences?\Wherever you eat it,\the food you enjoy with friends is the most delicious.\Where's the hide-and-seek genius?\Where is she? response:	Isn't she here today?
context: The Two of Us Shall Waltz.\The food here is great!\Shiroe and his buddies ate this stuff every day during the conferences?\Wherever you eat it,\the food you enjoy with friends is the most delicious.\Where's the hide-and-seek genius?\Where is she?\Isn't she here today? response:	What's wrong?
context: The food here is great!\Shiroe and his buddies ate this stuff every day during the conferences?\Wherever you eat it,\the food you enjoy with friends is the most delicious.\Where's the hide-and-seek genius?\Where is she?\Isn't she here today?\What's wrong? response:	You aren't eating.
context: Shiroe and his buddies ate this stuff every day during the conferences?\Wherever you eat it,\the food you enjoy with friends is the most delicious.\Where's the hide-and-seek genius?\Where is she?\Isn't she here today?\What's wrong?\You aren't eating. response:	We haven't wiped out the goblins,
context: Wherever you eat it,\the food you enjoy with friends is the most delicious.\Where's the hide-and-seek genius?\Where is she?\Isn't she here today?\What's wrong?\You aren't eating.\We haven't wiped out the goblins, response:	so how can we celebrate victory?
context: the food you enjoy with friends is the most delicious.\Where's the hide-and-seek genius?\Where is she?\Isn't she here today?\What's wrong?\You aren't eating.\We haven't wiped out the goblins,\so how can we celebrate victory? response:	It's been a month since we pinned the goblin army on the Zantleaf Peninsula.
context: Where's the hide-and-seek genius?\Where is she?\Isn't she here today?\What's wrong?\You aren't eating.\We haven't wiped out the goblins,\so how can we celebrate victory?\It's been a month since we pinned the goblin army on the Zantleaf Peninsula. response:	The Goblin King is still at their headquarters in Seventh Fall.
context: Where is she?\Isn't she here today?\What's wrong?\You aren't eating.\We haven't wiped out the goblins,\so how can we celebrate victory?\It's been a month since we pinned the goblin army on the Zantleaf Peninsula.\The Goblin King is still at their headquarters in Seventh Fall. response:	Why can't we go destroy him right now?
context: Isn't she here today?\What's wrong?\You aren't eating.\We haven't wiped out the goblins,\so how can we celebrate victory?\It's been a month since we pinned the goblin army on the Zantleaf Peninsula.\The Goblin King is still at their headquarters in Seventh Fall.\Why can't we go destroy him right now? response:	It's more important to build our relationships with the People of the Land.
context: What's wrong?\You aren't eating.\We haven't wiped out the goblins,\so how can we celebrate victory?\It's been a month since we pinned the goblin army on the Zantleaf Peninsula.\The Goblin King is still at their headquarters in Seventh Fall.\Why can't we go destroy him right now?\It's more important to build our relationships with the People of the Land. response:	That was Shiroe's decision.
context: You aren't eating.\We haven't wiped out the goblins,\so how can we celebrate victory?\It's been a month since we pinned the goblin army on the Zantleaf Peninsula.\The Goblin King is still at their headquarters in Seventh Fall.\Why can't we go destroy him right now?\It's more important to build our relationships with the People of the Land.\That was Shiroe's decision. response:	Over the past month,
context: We haven't wiped out the goblins,\so how can we celebrate victory?\It's been a month since we pinned the goblin army on the Zantleaf Peninsula.\The Goblin King is still at their headquarters in Seventh Fall.\Why can't we go destroy him right now?\It's more important to build our relationships with the People of the Land.\That was Shiroe's decision.\Over the past month, response:	the Round Table has signed basic trade and peace treaties
context: so how can we celebrate victory?\It's been a month since we pinned the goblin army on the Zantleaf Peninsula.\The Goblin King is still at their headquarters in Seventh Fall.\Why can't we go destroy him right now?\It's more important to build our relationships with the People of the Land.\That was Shiroe's decision.\Over the past month,\the Round Table has signed basic trade and peace treaties response:	with Eastal's League of Freedom Cities.
context: It's been a month since we pinned the goblin army on the Zantleaf Peninsula.\The Goblin King is still at their headquarters in Seventh Fall.\Why can't we go destroy him right now?\It's more important to build our relationships with the People of the Land.\That was Shiroe's decision.\Over the past month,\the Round Table has signed basic trade and peace treaties\with Eastal's League of Freedom Cities. response:	The Round Table has issued many goblin-fighting quests to adventures in Akihabara,
context: The Goblin King is still at their headquarters in Seventh Fall.\Why can't we go destroy him right now?\It's more important to build our relationships with the People of the Land.\That was Shiroe's decision.\Over the past month,\the Round Table has signed basic trade and peace treaties\with Eastal's League of Freedom Cities.\The Round Table has issued many goblin-fighting quests to adventures in Akihabara, response:	which has kept the goblins in Zantleaf.
context: Why can't we go destroy him right now?\It's more important to build our relationships with the People of the Land.\That was Shiroe's decision.\Over the past month,\the Round Table has signed basic trade and peace treaties\with Eastal's League of Freedom Cities.\The Round Table has issued many goblin-fighting quests to adventures in Akihabara,\which has kept the goblins in Zantleaf. response:	Then this is
context: It's more important to build our relationships with the People of the Land.\That was Shiroe's decision.\Over the past month,\the Round Table has signed basic trade and peace treaties\with Eastal's League of Freedom Cities.\The Round Table has issued many goblin-fighting quests to adventures in Akihabara,\which has kept the goblins in Zantleaf.\Then this is response:	reminding everyone that adventurers are accepting quests again.
context: That was Shiroe's decision.\Over the past month,\the Round Table has signed basic trade and peace treaties\with Eastal's League of Freedom Cities.\The Round Table has issued many goblin-fighting quests to adventures in Akihabara,\which has kept the goblins in Zantleaf.\Then this is\reminding everyone that adventurers are accepting quests again. response:	And if we defeat their king first,
context: Over the past month,\the Round Table has signed basic trade and peace treaties\with Eastal's League of Freedom Cities.\The Round Table has issued many goblin-fighting quests to adventures in Akihabara,\which has kept the goblins in Zantleaf.\Then this is\reminding everyone that adventurers are accepting quests again.\And if we defeat their king first, response:	the goblins will go out of control without a leader.
context: the Round Table has signed basic trade and peace treaties\with Eastal's League of Freedom Cities.\The Round Table has issued many goblin-fighting quests to adventures in Akihabara,\which has kept the goblins in Zantleaf.\Then this is\reminding everyone that adventurers are accepting quests again.\And if we defeat their king first,\the goblins will go out of control without a leader. response:	All of this is part of Shiroe's plan to take out Seventh Fall.
context: with Eastal's League of Freedom Cities.\The Round Table has issued many goblin-fighting quests to adventures in Akihabara,\which has kept the goblins in Zantleaf.\Then this is\reminding everyone that adventurers are accepting quests again.\And if we defeat their king first,\the goblins will go out of control without a leader.\All of this is part of Shiroe's plan to take out Seventh Fall. response:	I understand...
context: The Round Table has issued many goblin-fighting quests to adventures in Akihabara,\which has kept the goblins in Zantleaf.\Then this is\reminding everyone that adventurers are accepting quests again.\And if we defeat their king first,\the goblins will go out of control without a leader.\All of this is part of Shiroe's plan to take out Seventh Fall.\I understand... response:	He's thinking several steps ahead.
context: which has kept the goblins in Zantleaf.\Then this is\reminding everyone that adventurers are accepting quests again.\And if we defeat their king first,\the goblins will go out of control without a leader.\All of this is part of Shiroe's plan to take out Seventh Fall.\I understand...\He's thinking several steps ahead. response:	Are you certain?
context: Then this is\reminding everyone that adventurers are accepting quests again.\And if we defeat their king first,\the goblins will go out of control without a leader.\All of this is part of Shiroe's plan to take out Seventh Fall.\I understand...\He's thinking several steps ahead.\Are you certain? response:	I can really join Log Horizon?
context: reminding everyone that adventurers are accepting quests again.\And if we defeat their king first,\the goblins will go out of control without a leader.\All of this is part of Shiroe's plan to take out Seventh Fall.\I understand...\He's thinking several steps ahead.\Are you certain?\I can really join Log Horizon? response:	Yes, that's fine.
context: And if we defeat their king first,\the goblins will go out of control without a leader.\All of this is part of Shiroe's plan to take out Seventh Fall.\I understand...\He's thinking several steps ahead.\Are you certain?\I can really join Log Horizon?\Yes, that's fine. response:	I'll let Shiro know.
context: the goblins will go out of control without a leader.\All of this is part of Shiroe's plan to take out Seventh Fall.\I understand...\He's thinking several steps ahead.\Are you certain?\I can really join Log Horizon?\Yes, that's fine.\I'll let Shiro know. response:	Th-Thank you!
context: All of this is part of Shiroe's plan to take out Seventh Fall.\I understand...\He's thinking several steps ahead.\Are you certain?\I can really join Log Horizon?\Yes, that's fine.\I'll let Shiro know.\Th-Thank you! response:	After all you've done, and all the help you've given me...
context: I understand...\He's thinking several steps ahead.\Are you certain?\I can really join Log Horizon?\Yes, that's fine.\I'll let Shiro know.\Th-Thank you!\After all you've done, and all the help you've given me... response:	Friends should stay together, right?
context: He's thinking several steps ahead.\Are you certain?\I can really join Log Horizon?\Yes, that's fine.\I'll let Shiro know.\Th-Thank you!\After all you've done, and all the help you've given me...\Friends should stay together, right? response:	Leave Miss Isuzu to me.
context: Are you certain?\I can really join Log Horizon?\Yes, that's fine.\I'll let Shiro know.\Th-Thank you!\After all you've done, and all the help you've given me...\Friends should stay together, right?\Leave Miss Isuzu to me. response:	With the strength of the adventurer Rundel Haus Code, Akihabara is
context: I can really join Log Horizon?\Yes, that's fine.\I'll let Shiro know.\Th-Thank you!\After all you've done, and all the help you've given me...\Friends should stay together, right?\Leave Miss Isuzu to me.\With the strength of the adventurer Rundel Haus Code, Akihabara is response:	Thank you! Thank you!
context: Yes, that's fine.\I'll let Shiro know.\Th-Thank you!\After all you've done, and all the help you've given me...\Friends should stay together, right?\Leave Miss Isuzu to me.\With the strength of the adventurer Rundel Haus Code, Akihabara is\Thank you! Thank you! response:	I'm happy for Isuzu.
context: I'll let Shiro know.\Th-Thank you!\After all you've done, and all the help you've given me...\Friends should stay together, right?\Leave Miss Isuzu to me.\With the strength of the adventurer Rundel Haus Code, Akihabara is\Thank you! Thank you!\I'm happy for Isuzu. response:	Shiroe?
