context: -stuff- response:	-ED-
context: -stuff-\-ED- response:	more stuff
context: -stuff-\-ED-\more stuff response:	Ever since I was little I knew I wasn't good.
context: -stuff-\-ED-\more stuff\Ever since I was little I knew I wasn't good. response:	Why do they keep a wild child like him...
context: -stuff-\-ED-\more stuff\Ever since I was little I knew I wasn't good.\Why do they keep a wild child like him... response:	We'd be better off without him around...
context: -stuff-\-ED-\more stuff\Ever since I was little I knew I wasn't good.\Why do they keep a wild child like him...\We'd be better off without him around... response:	He's like a demon's child.
context: -stuff-\-ED-\more stuff\Ever since I was little I knew I wasn't good.\Why do they keep a wild child like him...\We'd be better off without him around...\He's like a demon's child. response:	No... I'm not a demon!
context: -stuff-\-ED-\more stuff\Ever since I was little I knew I wasn't good.\Why do they keep a wild child like him...\We'd be better off without him around...\He's like a demon's child.\No... I'm not a demon! response:	The path of the righteous shall not be revealed to the unfaithful.
context: -ED-\more stuff\Ever since I was little I knew I wasn't good.\Why do they keep a wild child like him...\We'd be better off without him around...\He's like a demon's child.\No... I'm not a demon!\The path of the righteous shall not be revealed to the unfaithful. response:	I lower the Ladder of Jacob with the aid of the Lord's Hand.
context: more stuff\Ever since I was little I knew I wasn't good.\Why do they keep a wild child like him...\We'd be better off without him around...\He's like a demon's child.\No... I'm not a demon!\The path of the righteous shall not be revealed to the unfaithful.\I lower the Ladder of Jacob with the aid of the Lord's Hand. response:	Let's go!
context: Ever since I was little I knew I wasn't good.\Why do they keep a wild child like him...\We'd be better off without him around...\He's like a demon's child.\No... I'm not a demon!\The path of the righteous shall not be revealed to the unfaithful.\I lower the Ladder of Jacob with the aid of the Lord's Hand.\Let's go! response:	You're kidding me...
context: Why do they keep a wild child like him...\We'd be better off without him around...\He's like a demon's child.\No... I'm not a demon!\The path of the righteous shall not be revealed to the unfaithful.\I lower the Ladder of Jacob with the aid of the Lord's Hand.\Let's go!\You're kidding me... response:	Are these stray dogs? They stink!
context: We'd be better off without him around...\He's like a demon's child.\No... I'm not a demon!\The path of the righteous shall not be revealed to the unfaithful.\I lower the Ladder of Jacob with the aid of the Lord's Hand.\Let's go!\You're kidding me...\Are these stray dogs? They stink! response:	They're Ghouls. Demons that possess dead bodies.
context: He's like a demon's child.\No... I'm not a demon!\The path of the righteous shall not be revealed to the unfaithful.\I lower the Ladder of Jacob with the aid of the Lord's Hand.\Let's go!\You're kidding me...\Are these stray dogs? They stink!\They're Ghouls. Demons that possess dead bodies. response:	Ghouls?
context: No... I'm not a demon!\The path of the righteous shall not be revealed to the unfaithful.\I lower the Ladder of Jacob with the aid of the Lord's Hand.\Let's go!\You're kidding me...\Are these stray dogs? They stink!\They're Ghouls. Demons that possess dead bodies.\Ghouls? response:	We're lucky that we're in Japan, otherwise human-form Ghouls would've showed up, too.
context: The path of the righteous shall not be revealed to the unfaithful.\I lower the Ladder of Jacob with the aid of the Lord's Hand.\Let's go!\You're kidding me...\Are these stray dogs? They stink!\They're Ghouls. Demons that possess dead bodies.\Ghouls?\We're lucky that we're in Japan, otherwise human-form Ghouls would've showed up, too. response:	Are you calling this lucky?!
context: I lower the Ladder of Jacob with the aid of the Lord's Hand.\Let's go!\You're kidding me...\Are these stray dogs? They stink!\They're Ghouls. Demons that possess dead bodies.\Ghouls?\We're lucky that we're in Japan, otherwise human-form Ghouls would've showed up, too.\Are you calling this lucky?! response:	Wha... A bomb?
context: Let's go!\You're kidding me...\Are these stray dogs? They stink!\They're Ghouls. Demons that possess dead bodies.\Ghouls?\We're lucky that we're in Japan, otherwise human-form Ghouls would've showed up, too.\Are you calling this lucky?!\Wha... A bomb? response:	Don't worry.
context: You're kidding me...\Are these stray dogs? They stink!\They're Ghouls. Demons that possess dead bodies.\Ghouls?\We're lucky that we're in Japan, otherwise human-form Ghouls would've showed up, too.\Are you calling this lucky?!\Wha... A bomb?\Don't worry. response:	It's just holy water.
context: Are these stray dogs? They stink!\They're Ghouls. Demons that possess dead bodies.\Ghouls?\We're lucky that we're in Japan, otherwise human-form Ghouls would've showed up, too.\Are you calling this lucky?!\Wha... A bomb?\Don't worry.\It's just holy water. response:	Heh, I'm getting a bit too old to protect the kids...
context: They're Ghouls. Demons that possess dead bodies.\Ghouls?\We're lucky that we're in Japan, otherwise human-form Ghouls would've showed up, too.\Are you calling this lucky?!\Wha... A bomb?\Don't worry.\It's just holy water.\Heh, I'm getting a bit too old to protect the kids... response:	Stop calling me a kid!
context: Ghouls?\We're lucky that we're in Japan, otherwise human-form Ghouls would've showed up, too.\Are you calling this lucky?!\Wha... A bomb?\Don't worry.\It's just holy water.\Heh, I'm getting a bit too old to protect the kids...\Stop calling me a kid! response:	Let's go home while we still can.
context: We're lucky that we're in Japan, otherwise human-form Ghouls would've showed up, too.\Are you calling this lucky?!\Wha... A bomb?\Don't worry.\It's just holy water.\Heh, I'm getting a bit too old to protect the kids...\Stop calling me a kid!\Let's go home while we still can. response:	Do you mean that this isn't over yet?
context: Are you calling this lucky?!\Wha... A bomb?\Don't worry.\It's just holy water.\Heh, I'm getting a bit too old to protect the kids...\Stop calling me a kid!\Let's go home while we still can.\Do you mean that this isn't over yet? response:	I told you...
context: Wha... A bomb?\Don't worry.\It's just holy water.\Heh, I'm getting a bit too old to protect the kids...\Stop calling me a kid!\Let's go home while we still can.\Do you mean that this isn't over yet?\I told you... response:	They'll be coming for you.
context: Don't worry.\It's just holy water.\Heh, I'm getting a bit too old to protect the kids...\Stop calling me a kid!\Let's go home while we still can.\Do you mean that this isn't over yet?\I told you...\They'll be coming for you. response:	The sun is setting soon.
context: It's just holy water.\Heh, I'm getting a bit too old to protect the kids...\Stop calling me a kid!\Let's go home while we still can.\Do you mean that this isn't over yet?\I told you...\They'll be coming for you.\The sun is setting soon. response:	That's when the demons get active.
context: Heh, I'm getting a bit too old to protect the kids...\Stop calling me a kid!\Let's go home while we still can.\Do you mean that this isn't over yet?\I told you...\They'll be coming for you.\The sun is setting soon.\That's when the demons get active. response:	You really don't remember anything?
context: Stop calling me a kid!\Let's go home while we still can.\Do you mean that this isn't over yet?\I told you...\They'll be coming for you.\The sun is setting soon.\That's when the demons get active.\You really don't remember anything? response:	Yeah...
context: Let's go home while we still can.\Do you mean that this isn't over yet?\I told you...\They'll be coming for you.\The sun is setting soon.\That's when the demons get active.\You really don't remember anything?\Yeah... response:	Not even that you wanted to kill Okumura?
context: Do you mean that this isn't over yet?\I told you...\They'll be coming for you.\The sun is setting soon.\That's when the demons get active.\You really don't remember anything?\Yeah...\Not even that you wanted to kill Okumura? response:	And that his body caught fire?
context: I told you...\They'll be coming for you.\The sun is setting soon.\That's when the demons get active.\You really don't remember anything?\Yeah...\Not even that you wanted to kill Okumura?\And that his body caught fire? response:	No... I don't remember anything.
context: They'll be coming for you.\The sun is setting soon.\That's when the demons get active.\You really don't remember anything?\Yeah...\Not even that you wanted to kill Okumura?\And that his body caught fire?\No... I don't remember anything. response:	I lent you 500 yen for dinner, Shiratori!
context: The sun is setting soon.\That's when the demons get active.\You really don't remember anything?\Yeah...\Not even that you wanted to kill Okumura?\And that his body caught fire?\No... I don't remember anything.\I lent you 500 yen for dinner, Shiratori! response:	I paid the doctor's fee for you!
context: That's when the demons get active.\You really don't remember anything?\Yeah...\Not even that you wanted to kill Okumura?\And that his body caught fire?\No... I don't remember anything.\I lent you 500 yen for dinner, Shiratori!\I paid the doctor's fee for you! response:	I bought you that Magical Poemy body pillow that you wanted so much!
context: You really don't remember anything?\Yeah...\Not even that you wanted to kill Okumura?\And that his body caught fire?\No... I don't remember anything.\I lent you 500 yen for dinner, Shiratori!\I paid the doctor's fee for you!\I bought you that Magical Poemy body pillow that you wanted so much! response:	I see... you did so much for me...
context: Yeah...\Not even that you wanted to kill Okumura?\And that his body caught fire?\No... I don't remember anything.\I lent you 500 yen for dinner, Shiratori!\I paid the doctor's fee for you!\I bought you that Magical Poemy body pillow that you wanted so much!\I see... you did so much for me... response:	Or wait, you're just screwing with me!
context: Not even that you wanted to kill Okumura?\And that his body caught fire?\No... I don't remember anything.\I lent you 500 yen for dinner, Shiratori!\I paid the doctor's fee for you!\I bought you that Magical Poemy body pillow that you wanted so much!\I see... you did so much for me...\Or wait, you're just screwing with me! response:	I really paid the doctor's fee!
context: And that his body caught fire?\No... I don't remember anything.\I lent you 500 yen for dinner, Shiratori!\I paid the doctor's fee for you!\I bought you that Magical Poemy body pillow that you wanted so much!\I see... you did so much for me...\Or wait, you're just screwing with me!\I really paid the doctor's fee! response:	Huh? Why?
context: No... I don't remember anything.\I lent you 500 yen for dinner, Shiratori!\I paid the doctor's fee for you!\I bought you that Magical Poemy body pillow that you wanted so much!\I see... you did so much for me...\Or wait, you're just screwing with me!\I really paid the doctor's fee!\Huh? Why? response:	We told you, you started a fight with Rin Okumura.
context: I lent you 500 yen for dinner, Shiratori!\I paid the doctor's fee for you!\I bought you that Magical Poemy body pillow that you wanted so much!\I see... you did so much for me...\Or wait, you're just screwing with me!\I really paid the doctor's fee!\Huh? Why?\We told you, you started a fight with Rin Okumura. response:	Okumura?
context: I paid the doctor's fee for you!\I bought you that Magical Poemy body pillow that you wanted so much!\I see... you did so much for me...\Or wait, you're just screwing with me!\I really paid the doctor's fee!\Huh? Why?\We told you, you started a fight with Rin Okumura.\Okumura? response:	You wanted to give him a lesson but he beat you up instead.
context: I bought you that Magical Poemy body pillow that you wanted so much!\I see... you did so much for me...\Or wait, you're just screwing with me!\I really paid the doctor's fee!\Huh? Why?\We told you, you started a fight with Rin Okumura.\Okumura?\You wanted to give him a lesson but he beat you up instead. response:	So bad that we had to take you to the hospital!
context: I see... you did so much for me...\Or wait, you're just screwing with me!\I really paid the doctor's fee!\Huh? Why?\We told you, you started a fight with Rin Okumura.\Okumura?\You wanted to give him a lesson but he beat you up instead.\So bad that we had to take you to the hospital! response:	Now that you remind me, my body hurts all over...
context: Or wait, you're just screwing with me!\I really paid the doctor's fee!\Huh? Why?\We told you, you started a fight with Rin Okumura.\Okumura?\You wanted to give him a lesson but he beat you up instead.\So bad that we had to take you to the hospital!\Now that you remind me, my body hurts all over... response:	Are you okay, Shiratori?
