context: How many years has it been since I last stepped on this soil? response:	Oh, my God,
context: How many years has it been since I last stepped on this soil?\Oh, my God, response:	Chrona...
context: How many years has it been since I last stepped on this soil?\Oh, my God,\Chrona... response:	It's alright.
context: How many years has it been since I last stepped on this soil?\Oh, my God,\Chrona...\It's alright. response:	So...
context: How many years has it been since I last stepped on this soil?\Oh, my God,\Chrona...\It's alright.\So... response:	I wonder how things are...
context: How many years has it been since I last stepped on this soil?\Oh, my God,\Chrona...\It's alright.\So...\I wonder how things are... response:	Seriously...
context: How many years has it been since I last stepped on this soil?\Oh, my God,\Chrona...\It's alright.\So...\I wonder how things are...\Seriously... response:	Concerning the Devil Sword...
context: How many years has it been since I last stepped on this soil?\Oh, my God,\Chrona...\It's alright.\So...\I wonder how things are...\Seriously...\Concerning the Devil Sword... response:	Hmm...
context: Oh, my God,\Chrona...\It's alright.\So...\I wonder how things are...\Seriously...\Concerning the Devil Sword...\Hmm... response:	Right now, we let her attend school so we could keep an eye on her,
context: Chrona...\It's alright.\So...\I wonder how things are...\Seriously...\Concerning the Devil Sword...\Hmm...\Right now, we let her attend school so we could keep an eye on her, response:	Hmm...
context: It's alright.\So...\I wonder how things are...\Seriously...\Concerning the Devil Sword...\Hmm...\Right now, we let her attend school so we could keep an eye on her,\Hmm... response:	I guess so... Hmm...
context: So...\I wonder how things are...\Seriously...\Concerning the Devil Sword...\Hmm...\Right now, we let her attend school so we could keep an eye on her,\Hmm...\I guess so... Hmm... response:	Are you worried about something?
context: I wonder how things are...\Seriously...\Concerning the Devil Sword...\Hmm...\Right now, we let her attend school so we could keep an eye on her,\Hmm...\I guess so... Hmm...\Are you worried about something? response:	Hmm...
context: Seriously...\Concerning the Devil Sword...\Hmm...\Right now, we let her attend school so we could keep an eye on her,\Hmm...\I guess so... Hmm...\Are you worried about something?\Hmm... response:	Well, there is something that's sort of mysterious...
context: Concerning the Devil Sword...\Hmm...\Right now, we let her attend school so we could keep an eye on her,\Hmm...\I guess so... Hmm...\Are you worried about something?\Hmm...\Well, there is something that's sort of mysterious... response:	Something mysterious?
context: Hmm...\Right now, we let her attend school so we could keep an eye on her,\Hmm...\I guess so... Hmm...\Are you worried about something?\Hmm...\Well, there is something that's sort of mysterious...\Something mysterious? response:	That Devil Sword...
context: Right now, we let her attend school so we could keep an eye on her,\Hmm...\I guess so... Hmm...\Are you worried about something?\Hmm...\Well, there is something that's sort of mysterious...\Something mysterious?\That Devil Sword... response:	It probably ate a considerable amount of human souls, right?
context: Hmm...\I guess so... Hmm...\Are you worried about something?\Hmm...\Well, there is something that's sort of mysterious...\Something mysterious?\That Devil Sword...\It probably ate a considerable amount of human souls, right? response:	I thought she should be progressing into a Kishin.
context: I guess so... Hmm...\Are you worried about something?\Hmm...\Well, there is something that's sort of mysterious...\Something mysterious?\That Devil Sword...\It probably ate a considerable amount of human souls, right?\I thought she should be progressing into a Kishin. response:	But it seems that this isn't the case.
context: Are you worried about something?\Hmm...\Well, there is something that's sort of mysterious...\Something mysterious?\That Devil Sword...\It probably ate a considerable amount of human souls, right?\I thought she should be progressing into a Kishin.\But it seems that this isn't the case. response:	What does this mean?
context: Hmm...\Well, there is something that's sort of mysterious...\Something mysterious?\That Devil Sword...\It probably ate a considerable amount of human souls, right?\I thought she should be progressing into a Kishin.\But it seems that this isn't the case.\What does this mean? response:	I'm not sure of the reason myself.
context: Well, there is something that's sort of mysterious...\Something mysterious?\That Devil Sword...\It probably ate a considerable amount of human souls, right?\I thought she should be progressing into a Kishin.\But it seems that this isn't the case.\What does this mean?\I'm not sure of the reason myself. response:	Maybe there was a purifying effect, for some reason?
context: Something mysterious?\That Devil Sword...\It probably ate a considerable amount of human souls, right?\I thought she should be progressing into a Kishin.\But it seems that this isn't the case.\What does this mean?\I'm not sure of the reason myself.\Maybe there was a purifying effect, for some reason? response:	What do you think, Sid-kun?
context: That Devil Sword...\It probably ate a considerable amount of human souls, right?\I thought she should be progressing into a Kishin.\But it seems that this isn't the case.\What does this mean?\I'm not sure of the reason myself.\Maybe there was a purifying effect, for some reason?\What do you think, Sid-kun? response:	I'm not entirely sure.
context: It probably ate a considerable amount of human souls, right?\I thought she should be progressing into a Kishin.\But it seems that this isn't the case.\What does this mean?\I'm not sure of the reason myself.\Maybe there was a purifying effect, for some reason?\What do you think, Sid-kun?\I'm not entirely sure. response:	But the Devil Sword, in truth, should have known what she was doing.
context: I thought she should be progressing into a Kishin.\But it seems that this isn't the case.\What does this mean?\I'm not sure of the reason myself.\Maybe there was a purifying effect, for some reason?\What do you think, Sid-kun?\I'm not entirely sure.\But the Devil Sword, in truth, should have known what she was doing. response:	Even though she is only a child who was instructed by a witch,
context: But it seems that this isn't the case.\What does this mean?\I'm not sure of the reason myself.\Maybe there was a purifying effect, for some reason?\What do you think, Sid-kun?\I'm not entirely sure.\But the Devil Sword, in truth, should have known what she was doing.\Even though she is only a child who was instructed by a witch, response:	What should we do?
context: What does this mean?\I'm not sure of the reason myself.\Maybe there was a purifying effect, for some reason?\What do you think, Sid-kun?\I'm not entirely sure.\But the Devil Sword, in truth, should have known what she was doing.\Even though she is only a child who was instructed by a witch,\What should we do? response:	Hmm...
context: I'm not sure of the reason myself.\Maybe there was a purifying effect, for some reason?\What do you think, Sid-kun?\I'm not entirely sure.\But the Devil Sword, in truth, should have known what she was doing.\Even though she is only a child who was instructed by a witch,\What should we do?\Hmm... response:	Hmm...?
context: Maybe there was a purifying effect, for some reason?\What do you think, Sid-kun?\I'm not entirely sure.\But the Devil Sword, in truth, should have known what she was doing.\Even though she is only a child who was instructed by a witch,\What should we do?\Hmm...\Hmm...? response:	I don't know, so let it be!
context: What do you think, Sid-kun?\I'm not entirely sure.\But the Devil Sword, in truth, should have known what she was doing.\Even though she is only a child who was instructed by a witch,\What should we do?\Hmm...\Hmm...?\I don't know, so let it be! response:	Assemble, Death Scythes!
context: I'm not entirely sure.\But the Devil Sword, in truth, should have known what she was doing.\Even though she is only a child who was instructed by a witch,\What should we do?\Hmm...\Hmm...?\I don't know, so let it be!\Assemble, Death Scythes! response:	Preventing Papa's Reassignment?!
context: But the Devil Sword, in truth, should have known what she was doing.\Even though she is only a child who was instructed by a witch,\What should we do?\Hmm...\Hmm...?\I don't know, so let it be!\Assemble, Death Scythes!\Preventing Papa's Reassignment?! response:	Wait. What are you doing?
context: Even though she is only a child who was instructed by a witch,\What should we do?\Hmm...\Hmm...?\I don't know, so let it be!\Assemble, Death Scythes!\Preventing Papa's Reassignment?!\Wait. What are you doing? response:	It's fine.
context: What should we do?\Hmm...\Hmm...?\I don't know, so let it be!\Assemble, Death Scythes!\Preventing Papa's Reassignment?!\Wait. What are you doing?\It's fine. response:	No, it's not fine!
context: Hmm...\Hmm...?\I don't know, so let it be!\Assemble, Death Scythes!\Preventing Papa's Reassignment?!\Wait. What are you doing?\It's fine.\No, it's not fine! response:	Didn't Shinigami-sama tell us to restrain ourselves to allow our wounds to heal?
context: Hmm...?\I don't know, so let it be!\Assemble, Death Scythes!\Preventing Papa's Reassignment?!\Wait. What are you doing?\It's fine.\No, it's not fine!\Didn't Shinigami-sama tell us to restrain ourselves to allow our wounds to heal? response:	You know... If you always choose to stay home,
context: I don't know, so let it be!\Assemble, Death Scythes!\Preventing Papa's Reassignment?!\Wait. What are you doing?\It's fine.\No, it's not fine!\Didn't Shinigami-sama tell us to restrain ourselves to allow our wounds to heal?\You know... If you always choose to stay home, response:	No, they won't!
context: Assemble, Death Scythes!\Preventing Papa's Reassignment?!\Wait. What are you doing?\It's fine.\No, it's not fine!\Didn't Shinigami-sama tell us to restrain ourselves to allow our wounds to heal?\You know... If you always choose to stay home,\No, they won't! response:	It's okay, so let's go.
context: Preventing Papa's Reassignment?!\Wait. What are you doing?\It's fine.\No, it's not fine!\Didn't Shinigami-sama tell us to restrain ourselves to allow our wounds to heal?\You know... If you always choose to stay home,\No, they won't!\It's okay, so let's go. response:	Go where?
context: Wait. What are you doing?\It's fine.\No, it's not fine!\Didn't Shinigami-sama tell us to restrain ourselves to allow our wounds to heal?\You know... If you always choose to stay home,\No, they won't!\It's okay, so let's go.\Go where? response:	To place that will be a change of pace.
context: It's fine.\No, it's not fine!\Didn't Shinigami-sama tell us to restrain ourselves to allow our wounds to heal?\You know... If you always choose to stay home,\No, they won't!\It's okay, so let's go.\Go where?\To place that will be a change of pace. response:	Huh?
context: No, it's not fine!\Didn't Shinigami-sama tell us to restrain ourselves to allow our wounds to heal?\You know... If you always choose to stay home,\No, they won't!\It's okay, so let's go.\Go where?\To place that will be a change of pace.\Huh? response:	Yo!
context: Didn't Shinigami-sama tell us to restrain ourselves to allow our wounds to heal?\You know... If you always choose to stay home,\No, they won't!\It's okay, so let's go.\Go where?\To place that will be a change of pace.\Huh?\Yo! response:	So, Sid-kun,
context: You know... If you always choose to stay home,\No, they won't!\It's okay, so let's go.\Go where?\To place that will be a change of pace.\Huh?\Yo!\So, Sid-kun, response:	Yes.
context: No, they won't!\It's okay, so let's go.\Go where?\To place that will be a change of pace.\Huh?\Yo!\So, Sid-kun,\Yes. response:	Justin seems to have just arrived.
context: It's okay, so let's go.\Go where?\To place that will be a change of pace.\Huh?\Yo!\So, Sid-kun,\Yes.\Justin seems to have just arrived. response:	With him, and the two that arrived earlier, that makes four of them.
context: Go where?\To place that will be a change of pace.\Huh?\Yo!\So, Sid-kun,\Yes.\Justin seems to have just arrived.\With him, and the two that arrived earlier, that makes four of them. response:	So, then... what happened to the other four?
context: To place that will be a change of pace.\Huh?\Yo!\So, Sid-kun,\Yes.\Justin seems to have just arrived.\With him, and the two that arrived earlier, that makes four of them.\So, then... what happened to the other four? response:	So, then... what happened to the other four?
context: Huh?\Yo!\So, Sid-kun,\Yes.\Justin seems to have just arrived.\With him, and the two that arrived earlier, that makes four of them.\So, then... what happened to the other four?\So, then... what happened to the other four? response:	The representatives in Europe and in West Asia are on missions, so they couldn't come.
context: Yo!\So, Sid-kun,\Yes.\Justin seems to have just arrived.\With him, and the two that arrived earlier, that makes four of them.\So, then... what happened to the other four?\So, then... what happened to the other four?\The representatives in Europe and in West Asia are on missions, so they couldn't come. response:	That's tough...
