context: Don't you die, Goku. response:	Father...
context: Don't you die, Goku.\Father... response:	That guy's intense. It's no use. This is all over.
context: Don't you die, Goku.\Father...\That guy's intense. It's no use. This is all over. response:	It's not like I'm desertin' ya, though.
context: Don't you die, Goku.\Father...\That guy's intense. It's no use. This is all over.\It's not like I'm desertin' ya, though. response:	There's just nothin' I can do.
context: Don't you die, Goku.\Father...\That guy's intense. It's no use. This is all over.\It's not like I'm desertin' ya, though.\There's just nothin' I can do. response:	Don't go holdin' it against me,'kay?
context: Don't you die, Goku.\Father...\That guy's intense. It's no use. This is all over.\It's not like I'm desertin' ya, though.\There's just nothin' I can do.\Don't go holdin' it against me,'kay? response:	Suffer good and long, and then die!
context: Don't you die, Goku.\Father...\That guy's intense. It's no use. This is all over.\It's not like I'm desertin' ya, though.\There's just nothin' I can do.\Don't go holdin' it against me,'kay?\Suffer good and long, and then die! response:	It's close! We're almost there!
context: Don't you die, Goku.\Father...\That guy's intense. It's no use. This is all over.\It's not like I'm desertin' ya, though.\There's just nothin' I can do.\Don't go holdin' it against me,'kay?\Suffer good and long, and then die!\It's close! We're almost there! response:	Even though it's the evening, because of that strange light, it's as bright as this.
context: Father...\That guy's intense. It's no use. This is all over.\It's not like I'm desertin' ya, though.\There's just nothin' I can do.\Don't go holdin' it against me,'kay?\Suffer good and long, and then die!\It's close! We're almost there!\Even though it's the evening, because of that strange light, it's as bright as this. response:	W- what the hell is that thing?
context: That guy's intense. It's no use. This is all over.\It's not like I'm desertin' ya, though.\There's just nothin' I can do.\Don't go holdin' it against me,'kay?\Suffer good and long, and then die!\It's close! We're almost there!\Even though it's the evening, because of that strange light, it's as bright as this.\W- what the hell is that thing? response:	K- Kuririn- san, o- over there!
context: It's not like I'm desertin' ya, though.\There's just nothin' I can do.\Don't go holdin' it against me,'kay?\Suffer good and long, and then die!\It's close! We're almost there!\Even though it's the evening, because of that strange light, it's as bright as this.\W- what the hell is that thing?\K- Kuririn- san, o- over there! response:	Get down, Gohan! Get down, and hide!
context: There's just nothin' I can do.\Don't go holdin' it against me,'kay?\Suffer good and long, and then die!\It's close! We're almost there!\Even though it's the evening, because of that strange light, it's as bright as this.\W- what the hell is that thing?\K- Kuririn- san, o- over there!\Get down, Gohan! Get down, and hide! response:	W- what is that?
context: Don't go holdin' it against me,'kay?\Suffer good and long, and then die!\It's close! We're almost there!\Even though it's the evening, because of that strange light, it's as bright as this.\W- what the hell is that thing?\K- Kuririn- san, o- over there!\Get down, Gohan! Get down, and hide!\W- what is that? response:	Hurry up, you stupid twit!
context: Suffer good and long, and then die!\It's close! We're almost there!\Even though it's the evening, because of that strange light, it's as bright as this.\W- what the hell is that thing?\K- Kuririn- san, o- over there!\Get down, Gohan! Get down, and hide!\W- what is that?\Hurry up, you stupid twit! response:	Ah, it's those guys.
context: It's close! We're almost there!\Even though it's the evening, because of that strange light, it's as bright as this.\W- what the hell is that thing?\K- Kuririn- san, o- over there!\Get down, Gohan! Get down, and hide!\W- what is that?\Hurry up, you stupid twit!\Ah, it's those guys. response:	lt can't be... He's turned into a Great Ape!
context: Even though it's the evening, because of that strange light, it's as bright as this.\W- what the hell is that thing?\K- Kuririn- san, o- over there!\Get down, Gohan! Get down, and hide!\W- what is that?\Hurry up, you stupid twit!\Ah, it's those guys.\lt can't be... He's turned into a Great Ape! response:	Feels like most of your bones just broke, huh? Does it hurt?
