context: The evil souls that try to sabotage a girl's dream to become thin. response:	That's unforgivable!
context: The evil souls that try to sabotage a girl's dream to become thin.\That's unforgivable! response:	In the name of the moon, Sailor Moon will punish you.
context: The evil souls that try to sabotage a girl's dream to become thin.\That's unforgivable!\In the name of the moon, Sailor Moon will punish you. response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: The evil souls that try to sabotage a girl's dream to become thin.\That's unforgivable!\In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: The evil souls that try to sabotage a girl's dream to become thin.\That's unforgivable!\In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: The evil souls that try to sabotage a girl's dream to become thin.\That's unforgivable!\In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: The evil souls that try to sabotage a girl's dream to become thin.\That's unforgivable!\In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: The evil souls that try to sabotage a girl's dream to become thin.\That's unforgivable!\In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: That's unforgivable!\In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade. response:	I'm a Cancer. My blood type is O and my birthstone is the pearl.
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl. response:	I'm clumsier than others and a bit of a crybaby. That's about it.
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it. response:	One day, a strange black cat named Luna appeared
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared response:	and made me into a sailor warrior.
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior. response:	But she wants me to fight bad guys. That makes me really nervous.
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous. response:	Oh well, I guess everything will be okay.
context: Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay. response:	Usagi Will Teach You How to Lose Weight!
context: I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\Usagi Will Teach You How to Lose Weight! response:	I've gained weight. I'm fat!
context: I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\Usagi Will Teach You How to Lose Weight!\I've gained weight. I'm fat! response:	Oh, it's okay. It's healthier to be a bit chubby when you are young.
context: I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\Usagi Will Teach You How to Lose Weight!\I've gained weight. I'm fat!\Oh, it's okay. It's healthier to be a bit chubby when you are young. response:	That's right.
context: One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\Usagi Will Teach You How to Lose Weight!\I've gained weight. I'm fat!\Oh, it's okay. It's healthier to be a bit chubby when you are young.\That's right. response:	Sis, you do eat a lot.
context: and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\Usagi Will Teach You How to Lose Weight!\I've gained weight. I'm fat!\Oh, it's okay. It's healthier to be a bit chubby when you are young.\That's right.\Sis, you do eat a lot. response:	It might be that you don't exercise.
context: But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\Usagi Will Teach You How to Lose Weight!\I've gained weight. I'm fat!\Oh, it's okay. It's healthier to be a bit chubby when you are young.\That's right.\Sis, you do eat a lot.\It might be that you don't exercise. response:	And she doesn't study; just eats a lot.
context: Oh well, I guess everything will be okay.\Usagi Will Teach You How to Lose Weight!\I've gained weight. I'm fat!\Oh, it's okay. It's healthier to be a bit chubby when you are young.\That's right.\Sis, you do eat a lot.\It might be that you don't exercise.\And she doesn't study; just eats a lot. response:	Of course you're gonna gain weight!
context: Usagi Will Teach You How to Lose Weight!\I've gained weight. I'm fat!\Oh, it's okay. It's healthier to be a bit chubby when you are young.\That's right.\Sis, you do eat a lot.\It might be that you don't exercise.\And she doesn't study; just eats a lot.\Of course you're gonna gain weight! response:	You don't have to say that much.
context: I've gained weight. I'm fat!\Oh, it's okay. It's healthier to be a bit chubby when you are young.\That's right.\Sis, you do eat a lot.\It might be that you don't exercise.\And she doesn't study; just eats a lot.\Of course you're gonna gain weight!\You don't have to say that much. response:	Crying is not going to help. You'll just have to eat less from now on.
context: Oh, it's okay. It's healthier to be a bit chubby when you are young.\That's right.\Sis, you do eat a lot.\It might be that you don't exercise.\And she doesn't study; just eats a lot.\Of course you're gonna gain weight!\You don't have to say that much.\Crying is not going to help. You'll just have to eat less from now on. response:	And get some exercise.
context: That's right.\Sis, you do eat a lot.\It might be that you don't exercise.\And she doesn't study; just eats a lot.\Of course you're gonna gain weight!\You don't have to say that much.\Crying is not going to help. You'll just have to eat less from now on.\And get some exercise. response:	Umm, what are you drawing?
context: Sis, you do eat a lot.\It might be that you don't exercise.\And she doesn't study; just eats a lot.\Of course you're gonna gain weight!\You don't have to say that much.\Crying is not going to help. You'll just have to eat less from now on.\And get some exercise.\Umm, what are you drawing? response:	You in six months.
context: It might be that you don't exercise.\And she doesn't study; just eats a lot.\Of course you're gonna gain weight!\You don't have to say that much.\Crying is not going to help. You'll just have to eat less from now on.\And get some exercise.\Umm, what are you drawing?\You in six months. response:	Luna, I'm going to get you!
context: And she doesn't study; just eats a lot.\Of course you're gonna gain weight!\You don't have to say that much.\Crying is not going to help. You'll just have to eat less from now on.\And get some exercise.\Umm, what are you drawing?\You in six months.\Luna, I'm going to get you! response:	What is it?
context: Of course you're gonna gain weight!\You don't have to say that much.\Crying is not going to help. You'll just have to eat less from now on.\And get some exercise.\Umm, what are you drawing?\You in six months.\Luna, I'm going to get you!\What is it? response:	Oh, it's nothing!
context: You don't have to say that much.\Crying is not going to help. You'll just have to eat less from now on.\And get some exercise.\Umm, what are you drawing?\You in six months.\Luna, I'm going to get you!\What is it?\Oh, it's nothing! response:	Usagi!
context: Crying is not going to help. You'll just have to eat less from now on.\And get some exercise.\Umm, what are you drawing?\You in six months.\Luna, I'm going to get you!\What is it?\Oh, it's nothing!\Usagi! response:	If you already finished your lunch, you can have this too.
context: And get some exercise.\Umm, what are you drawing?\You in six months.\Luna, I'm going to get you!\What is it?\Oh, it's nothing!\Usagi!\If you already finished your lunch, you can have this too. response:	It's good.
context: Umm, what are you drawing?\You in six months.\Luna, I'm going to get you!\What is it?\Oh, it's nothing!\Usagi!\If you already finished your lunch, you can have this too.\It's good. response:	Well, uh...
context: You in six months.\Luna, I'm going to get you!\What is it?\Oh, it's nothing!\Usagi!\If you already finished your lunch, you can have this too.\It's good.\Well, uh... response:	Oh, so you're on a diet.
context: Luna, I'm going to get you!\What is it?\Oh, it's nothing!\Usagi!\If you already finished your lunch, you can have this too.\It's good.\Well, uh...\Oh, so you're on a diet. response:	Yeah...
context: What is it?\Oh, it's nothing!\Usagi!\If you already finished your lunch, you can have this too.\It's good.\Well, uh...\Oh, so you're on a diet.\Yeah... response:	I understand. I'm having a hard time too! Yeah...
context: Oh, it's nothing!\Usagi!\If you already finished your lunch, you can have this too.\It's good.\Well, uh...\Oh, so you're on a diet.\Yeah...\I understand. I'm having a hard time too! Yeah... response:	I understand. I'm having a hard time too!
context: Usagi!\If you already finished your lunch, you can have this too.\It's good.\Well, uh...\Oh, so you're on a diet.\Yeah...\I understand. I'm having a hard time too! Yeah...\I understand. I'm having a hard time too! response:	We know.
context: If you already finished your lunch, you can have this too.\It's good.\Well, uh...\Oh, so you're on a diet.\Yeah...\I understand. I'm having a hard time too! Yeah...\I understand. I'm having a hard time too!\We know. response:	Hey, Usagi. Why don't you try swimming? You'll get pretty thin.
context: It's good.\Well, uh...\Oh, so you're on a diet.\Yeah...\I understand. I'm having a hard time too! Yeah...\I understand. I'm having a hard time too!\We know.\Hey, Usagi. Why don't you try swimming? You'll get pretty thin. response:	No, she can't swim that well.
context: Well, uh...\Oh, so you're on a diet.\Yeah...\I understand. I'm having a hard time too! Yeah...\I understand. I'm having a hard time too!\We know.\Hey, Usagi. Why don't you try swimming? You'll get pretty thin.\No, she can't swim that well. response:	Oh...
context: Oh, so you're on a diet.\Yeah...\I understand. I'm having a hard time too! Yeah...\I understand. I'm having a hard time too!\We know.\Hey, Usagi. Why don't you try swimming? You'll get pretty thin.\No, she can't swim that well.\Oh... response:	I've tried fasting and just eating pineapple.
