context: In Elder Tale, a quest is a type of mission. response:	There are many types,
context: In Elder Tale, a quest is a type of mission.\There are many types, response:	ranging from simply finding missing persons to grand adventures,
context: In Elder Tale, a quest is a type of mission.\There are many types,\ranging from simply finding missing persons to grand adventures, response:	each with its own unique reward.
context: In Elder Tale, a quest is a type of mission.\There are many types,\ranging from simply finding missing persons to grand adventures,\each with its own unique reward. response:	Experience, gold, items...
context: In Elder Tale, a quest is a type of mission.\There are many types,\ranging from simply finding missing persons to grand adventures,\each with its own unique reward.\Experience, gold, items... response:	Magical knowledge or crafting recipes.
context: In Elder Tale, a quest is a type of mission.\There are many types,\ranging from simply finding missing persons to grand adventures,\each with its own unique reward.\Experience, gold, items...\Magical knowledge or crafting recipes. response:	The whistle to summon griffons
context: In Elder Tale, a quest is a type of mission.\There are many types,\ranging from simply finding missing persons to grand adventures,\each with its own unique reward.\Experience, gold, items...\Magical knowledge or crafting recipes.\The whistle to summon griffons response:	was one of the completion rewards for a huge quest.
context: In Elder Tale, a quest is a type of mission.\There are many types,\ranging from simply finding missing persons to grand adventures,\each with its own unique reward.\Experience, gold, items...\Magical knowledge or crafting recipes.\The whistle to summon griffons\was one of the completion rewards for a huge quest. response:	Our warehouse is looking pretty bare...
context: There are many types,\ranging from simply finding missing persons to grand adventures,\each with its own unique reward.\Experience, gold, items...\Magical knowledge or crafting recipes.\The whistle to summon griffons\was one of the completion rewards for a huge quest.\Our warehouse is looking pretty bare... response:	We should buy up whatever we can.
context: ranging from simply finding missing persons to grand adventures,\each with its own unique reward.\Experience, gold, items...\Magical knowledge or crafting recipes.\The whistle to summon griffons\was one of the completion rewards for a huge quest.\Our warehouse is looking pretty bare...\We should buy up whatever we can. response:	Ever since the Apocalypse,
context: each with its own unique reward.\Experience, gold, items...\Magical knowledge or crafting recipes.\The whistle to summon griffons\was one of the completion rewards for a huge quest.\Our warehouse is looking pretty bare...\We should buy up whatever we can.\Ever since the Apocalypse, response:	there are fewer guilds that will leave towns to fight for ingredients.
context: Experience, gold, items...\Magical knowledge or crafting recipes.\The whistle to summon griffons\was one of the completion rewards for a huge quest.\Our warehouse is looking pretty bare...\We should buy up whatever we can.\Ever since the Apocalypse,\there are fewer guilds that will leave towns to fight for ingredients. response:	Fighting in your own body is pretty scary...
context: Magical knowledge or crafting recipes.\The whistle to summon griffons\was one of the completion rewards for a huge quest.\Our warehouse is looking pretty bare...\We should buy up whatever we can.\Ever since the Apocalypse,\there are fewer guilds that will leave towns to fight for ingredients.\Fighting in your own body is pretty scary... response:	That's why lots of people are switching to crafting,
context: The whistle to summon griffons\was one of the completion rewards for a huge quest.\Our warehouse is looking pretty bare...\We should buy up whatever we can.\Ever since the Apocalypse,\there are fewer guilds that will leave towns to fight for ingredients.\Fighting in your own body is pretty scary...\That's why lots of people are switching to crafting, response:	so ingredients are becoming harder to find.
context: was one of the completion rewards for a huge quest.\Our warehouse is looking pretty bare...\We should buy up whatever we can.\Ever since the Apocalypse,\there are fewer guilds that will leave towns to fight for ingredients.\Fighting in your own body is pretty scary...\That's why lots of people are switching to crafting,\so ingredients are becoming harder to find. response:	In the race to buy them, the large guilds have an advantage...
context: Our warehouse is looking pretty bare...\We should buy up whatever we can.\Ever since the Apocalypse,\there are fewer guilds that will leave towns to fight for ingredients.\Fighting in your own body is pretty scary...\That's why lots of people are switching to crafting,\so ingredients are becoming harder to find.\In the race to buy them, the large guilds have an advantage... response:	The Roderic Merchant Guild and the Marine Agency have absorbed many smaller guilds.
context: We should buy up whatever we can.\Ever since the Apocalypse,\there are fewer guilds that will leave towns to fight for ingredients.\Fighting in your own body is pretty scary...\That's why lots of people are switching to crafting,\so ingredients are becoming harder to find.\In the race to buy them, the large guilds have an advantage...\The Roderic Merchant Guild and the Marine Agency have absorbed many smaller guilds. response:	We may be the third biggest crafting guild, but it doesn't mean we can take it easy.
context: Ever since the Apocalypse,\there are fewer guilds that will leave towns to fight for ingredients.\Fighting in your own body is pretty scary...\That's why lots of people are switching to crafting,\so ingredients are becoming harder to find.\In the race to buy them, the large guilds have an advantage...\The Roderic Merchant Guild and the Marine Agency have absorbed many smaller guilds.\We may be the third biggest crafting guild, but it doesn't mean we can take it easy. response:	We must take full advantage of this chance.
context: there are fewer guilds that will leave towns to fight for ingredients.\Fighting in your own body is pretty scary...\That's why lots of people are switching to crafting,\so ingredients are becoming harder to find.\In the race to buy them, the large guilds have an advantage...\The Roderic Merchant Guild and the Marine Agency have absorbed many smaller guilds.\We may be the third biggest crafting guild, but it doesn't mean we can take it easy.\We must take full advantage of this chance. response:	Chance?
context: Fighting in your own body is pretty scary...\That's why lots of people are switching to crafting,\so ingredients are becoming harder to find.\In the race to buy them, the large guilds have an advantage...\The Roderic Merchant Guild and the Marine Agency have absorbed many smaller guilds.\We may be the third biggest crafting guild, but it doesn't mean we can take it easy.\We must take full advantage of this chance.\Chance? response:	Villain in Glasses
context: That's why lots of people are switching to crafting,\so ingredients are becoming harder to find.\In the race to buy them, the large guilds have an advantage...\The Roderic Merchant Guild and the Marine Agency have absorbed many smaller guilds.\We may be the third biggest crafting guild, but it doesn't mean we can take it easy.\We must take full advantage of this chance.\Chance?\Villain in Glasses response:	Villain in Glasses.
context: so ingredients are becoming harder to find.\In the race to buy them, the large guilds have an advantage...\The Roderic Merchant Guild and the Marine Agency have absorbed many smaller guilds.\We may be the third biggest crafting guild, but it doesn't mean we can take it easy.\We must take full advantage of this chance.\Chance?\Villain in Glasses\Villain in Glasses. response:	L-Let me go...
