context: Tomoe, what do you say to coming home next week? response:	What? What on earth are you talking about?
context: Tomoe, what do you say to coming home next week?\What? What on earth are you talking about? response:	You're going to attend a marriage meeting.
context: Tomoe, what do you say to coming home next week?\What? What on earth are you talking about?\You're going to attend a marriage meeting. response:	I've already sent them your picture.
context: Tomoe, what do you say to coming home next week?\What? What on earth are you talking about?\You're going to attend a marriage meeting.\I've already sent them your picture. response:	No one's mentioned this to me at all!
context: Tomoe, what do you say to coming home next week?\What? What on earth are you talking about?\You're going to attend a marriage meeting.\I've already sent them your picture.\No one's mentioned this to me at all! response:	You're the only one in your group of friends
context: Tomoe, what do you say to coming home next week?\What? What on earth are you talking about?\You're going to attend a marriage meeting.\I've already sent them your picture.\No one's mentioned this to me at all!\You're the only one in your group of friends response:	from high school who's still single, right?
context: Tomoe, what do you say to coming home next week?\What? What on earth are you talking about?\You're going to attend a marriage meeting.\I've already sent them your picture.\No one's mentioned this to me at all!\You're the only one in your group of friends\from high school who's still single, right? response:	How did you know that?
context: Tomoe, what do you say to coming home next week?\What? What on earth are you talking about?\You're going to attend a marriage meeting.\I've already sent them your picture.\No one's mentioned this to me at all!\You're the only one in your group of friends\from high school who's still single, right?\How did you know that? response:	You'd be surprised at how information
context: What? What on earth are you talking about?\You're going to attend a marriage meeting.\I've already sent them your picture.\No one's mentioned this to me at all!\You're the only one in your group of friends\from high school who's still single, right?\How did you know that?\You'd be surprised at how information response:	spreads amongst neighbors.
context: You're going to attend a marriage meeting.\I've already sent them your picture.\No one's mentioned this to me at all!\You're the only one in your group of friends\from high school who's still single, right?\How did you know that?\You'd be surprised at how information\spreads amongst neighbors. response:	Man...
context: I've already sent them your picture.\No one's mentioned this to me at all!\You're the only one in your group of friends\from high school who's still single, right?\How did you know that?\You'd be surprised at how information\spreads amongst neighbors.\Man... response:	You were saying
context: No one's mentioned this to me at all!\You're the only one in your group of friends\from high school who's still single, right?\How did you know that?\You'd be surprised at how information\spreads amongst neighbors.\Man...\You were saying response:	how you'd fine some rich customer,
context: You're the only one in your group of friends\from high school who's still single, right?\How did you know that?\You'd be surprised at how information\spreads amongst neighbors.\Man...\You were saying\how you'd fine some rich customer, response:	but I bet no one rich visits your inn, right?
context: from high school who's still single, right?\How did you know that?\You'd be surprised at how information\spreads amongst neighbors.\Man...\You were saying\how you'd fine some rich customer,\but I bet no one rich visits your inn, right? response:	H-How rude!
context: How did you know that?\You'd be surprised at how information\spreads amongst neighbors.\Man...\You were saying\how you'd fine some rich customer,\but I bet no one rich visits your inn, right?\H-How rude! response:	I mean, your place is so busy
context: You'd be surprised at how information\spreads amongst neighbors.\Man...\You were saying\how you'd fine some rich customer,\but I bet no one rich visits your inn, right?\H-How rude!\I mean, your place is so busy response:	that they have to hire students, correct?
context: spreads amongst neighbors.\Man...\You were saying\how you'd fine some rich customer,\but I bet no one rich visits your inn, right?\H-How rude!\I mean, your place is so busy\that they have to hire students, correct? response:	Just how much information
context: Man...\You were saying\how you'd fine some rich customer,\but I bet no one rich visits your inn, right?\H-How rude!\I mean, your place is so busy\that they have to hire students, correct?\Just how much information response:	did you get from our neighbors?!
context: You were saying\how you'd fine some rich customer,\but I bet no one rich visits your inn, right?\H-How rude!\I mean, your place is so busy\that they have to hire students, correct?\Just how much information\did you get from our neighbors?! response:	Anyway, the meeting's next week.
context: how you'd fine some rich customer,\but I bet no one rich visits your inn, right?\H-How rude!\I mean, your place is so busy\that they have to hire students, correct?\Just how much information\did you get from our neighbors?!\Anyway, the meeting's next week. response:	I don't want to die before I see my grandchild's face.
context: but I bet no one rich visits your inn, right?\H-How rude!\I mean, your place is so busy\that they have to hire students, correct?\Just how much information\did you get from our neighbors?!\Anyway, the meeting's next week.\I don't want to die before I see my grandchild's face. response:	Whatever!
context: H-How rude!\I mean, your place is so busy\that they have to hire students, correct?\Just how much information\did you get from our neighbors?!\Anyway, the meeting's next week.\I don't want to die before I see my grandchild's face.\Whatever! response:	Take care!
context: I mean, your place is so busy\that they have to hire students, correct?\Just how much information\did you get from our neighbors?!\Anyway, the meeting's next week.\I don't want to die before I see my grandchild's face.\Whatever!\Take care! response:	Wait, Mom?!
