context: No matter how close we are as friends, response:	and no matter how often I commute to the studio to see them practice,
context: No matter how close we are as friends,\and no matter how often I commute to the studio to see them practice, response:	bottom line, I am not a member of BLAST.
context: No matter how close we are as friends,\and no matter how often I commute to the studio to see them practice,\bottom line, I am not a member of BLAST. response:	As I'm repeatedly reminded of that fact,
context: No matter how close we are as friends,\and no matter how often I commute to the studio to see them practice,\bottom line, I am not a member of BLAST.\As I'm repeatedly reminded of that fact, response:	I'm left with the feeling of fear rather than loneliness.
context: No matter how close we are as friends,\and no matter how often I commute to the studio to see them practice,\bottom line, I am not a member of BLAST.\As I'm repeatedly reminded of that fact,\I'm left with the feeling of fear rather than loneliness. response:	Why am I so weak?
context: No matter how close we are as friends,\and no matter how often I commute to the studio to see them practice,\bottom line, I am not a member of BLAST.\As I'm repeatedly reminded of that fact,\I'm left with the feeling of fear rather than loneliness.\Why am I so weak? response:	Blinking eyes call the wind
context: No matter how close we are as friends,\and no matter how often I commute to the studio to see them practice,\bottom line, I am not a member of BLAST.\As I'm repeatedly reminded of that fact,\I'm left with the feeling of fear rather than loneliness.\Why am I so weak?\Blinking eyes call the wind response:	A smile clears all the noise away
context: No matter how close we are as friends,\and no matter how often I commute to the studio to see them practice,\bottom line, I am not a member of BLAST.\As I'm repeatedly reminded of that fact,\I'm left with the feeling of fear rather than loneliness.\Why am I so weak?\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: and no matter how often I commute to the studio to see them practice,\bottom line, I am not a member of BLAST.\As I'm repeatedly reminded of that fact,\I'm left with the feeling of fear rather than loneliness.\Why am I so weak?\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: bottom line, I am not a member of BLAST.\As I'm repeatedly reminded of that fact,\I'm left with the feeling of fear rather than loneliness.\Why am I so weak?\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: As I'm repeatedly reminded of that fact,\I'm left with the feeling of fear rather than loneliness.\Why am I so weak?\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: I'm left with the feeling of fear rather than loneliness.\Why am I so weak?\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: Why am I so weak?\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	Shin, where did you forget your keys?
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\Shin, where did you forget your keys? response:	Ring, ring!
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\Shin, where did you forget your keys?\Ring, ring! response:	Wh-What?
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\Shin, where did you forget your keys?\Ring, ring!\Wh-What? response:	Where's the woman?
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\Shin, where did you forget your keys?\Ring, ring!\Wh-What?\Where's the woman? response:	Woman?
