context: HONNOUJI ACADEMY response:	NATURALS ELECTION
context: HONNOUJI ACADEMY\NATURALS ELECTION response:	KING OF THE HILL FINAL BATTLE
context: HONNOUJI ACADEMY\NATURALS ELECTION\KING OF THE HILL FINAL BATTLE response:	AND NOW...
context: HONNOUJI ACADEMY\NATURALS ELECTION\KING OF THE HILL FINAL BATTLE\AND NOW... response:	TRI-CITY SCHOOLS
context: HONNOUJI ACADEMY\NATURALS ELECTION\KING OF THE HILL FINAL BATTLE\AND NOW...\TRI-CITY SCHOOLS response:	RAID TRIP
context: HONNOUJI ACADEMY\NATURALS ELECTION\KING OF THE HILL FINAL BATTLE\AND NOW...\TRI-CITY SCHOOLS\RAID TRIP response:	TRI-CITY SCHOOLS RAID TRIP STRATEGY MEETING
context: HONNOUJI ACADEMY\NATURALS ELECTION\KING OF THE HILL FINAL BATTLE\AND NOW...\TRI-CITY SCHOOLS\RAID TRIP\TRI-CITY SCHOOLS RAID TRIP STRATEGY MEETING response:	Athletic Committee squads 1 through 11, preparations complete.
context: HONNOUJI ACADEMY\NATURALS ELECTION\KING OF THE HILL FINAL BATTLE\AND NOW...\TRI-CITY SCHOOLS\RAID TRIP\TRI-CITY SCHOOLS RAID TRIP STRATEGY MEETING\Athletic Committee squads 1 through 11, preparations complete. response:	Assigning to Osaka Raid Trip Brigade.
context: NATURALS ELECTION\KING OF THE HILL FINAL BATTLE\AND NOW...\TRI-CITY SCHOOLS\RAID TRIP\TRI-CITY SCHOOLS RAID TRIP STRATEGY MEETING\Athletic Committee squads 1 through 11, preparations complete.\Assigning to Osaka Raid Trip Brigade. response:	Non-Athletic Committee squads 1 through 18, preparations complete.
context: KING OF THE HILL FINAL BATTLE\AND NOW...\TRI-CITY SCHOOLS\RAID TRIP\TRI-CITY SCHOOLS RAID TRIP STRATEGY MEETING\Athletic Committee squads 1 through 11, preparations complete.\Assigning to Osaka Raid Trip Brigade.\Non-Athletic Committee squads 1 through 18, preparations complete. response:	Assigning to Kyoto Raid Trip Brigade.
context: AND NOW...\TRI-CITY SCHOOLS\RAID TRIP\TRI-CITY SCHOOLS RAID TRIP STRATEGY MEETING\Athletic Committee squads 1 through 11, preparations complete.\Assigning to Osaka Raid Trip Brigade.\Non-Athletic Committee squads 1 through 18, preparations complete.\Assigning to Kyoto Raid Trip Brigade. response:	The Disciplinary Committee is more than sufficient for the Kobe Raid Trip Brigade!
context: TRI-CITY SCHOOLS\RAID TRIP\TRI-CITY SCHOOLS RAID TRIP STRATEGY MEETING\Athletic Committee squads 1 through 11, preparations complete.\Assigning to Osaka Raid Trip Brigade.\Non-Athletic Committee squads 1 through 18, preparations complete.\Assigning to Kyoto Raid Trip Brigade.\The Disciplinary Committee is more than sufficient for the Kobe Raid Trip Brigade! response:	Being an elite corps is all well and good, but don't fail.
