context: Galactic Calendar, Year 211 response:	Year 0 of the Third Galactic Empire.
context: Galactic Calendar, Year 211\Year 0 of the Third Galactic Empire. response:	At the time, though, it was called Year 71 of the True Calendar.
context: Galactic Calendar, Year 211\Year 0 of the Third Galactic Empire.\At the time, though, it was called Year 71 of the True Calendar. response:	It's way out in the backwaters of the galaxy!
context: Galactic Calendar, Year 211\Year 0 of the Third Galactic Empire.\At the time, though, it was called Year 71 of the True Calendar.\It's way out in the backwaters of the galaxy! response:	I suppose it is.
context: Galactic Calendar, Year 211\Year 0 of the Third Galactic Empire.\At the time, though, it was called Year 71 of the True Calendar.\It's way out in the backwaters of the galaxy!\I suppose it is. response:	Is this the planet called Earth?
context: Galactic Calendar, Year 211\Year 0 of the Third Galactic Empire.\At the time, though, it was called Year 71 of the True Calendar.\It's way out in the backwaters of the galaxy!\I suppose it is.\Is this the planet called Earth? response:	The Empire began from such a tiny world?
context: Galactic Calendar, Year 211\Year 0 of the Third Galactic Empire.\At the time, though, it was called Year 71 of the True Calendar.\It's way out in the backwaters of the galaxy!\I suppose it is.\Is this the planet called Earth?\The Empire began from such a tiny world? response:	Not even from a world.
context: Galactic Calendar, Year 211\Year 0 of the Third Galactic Empire.\At the time, though, it was called Year 71 of the True Calendar.\It's way out in the backwaters of the galaxy!\I suppose it is.\Is this the planet called Earth?\The Empire began from such a tiny world?\Not even from a world. response:	It all began from a single Module.
context: Year 0 of the Third Galactic Empire.\At the time, though, it was called Year 71 of the True Calendar.\It's way out in the backwaters of the galaxy!\I suppose it is.\Is this the planet called Earth?\The Empire began from such a tiny world?\Not even from a world.\It all began from a single Module. response:	Module?
context: At the time, though, it was called Year 71 of the True Calendar.\It's way out in the backwaters of the galaxy!\I suppose it is.\Is this the planet called Earth?\The Empire began from such a tiny world?\Not even from a world.\It all began from a single Module.\Module? response:	I suppose Module is an obsolete word now.
context: It's way out in the backwaters of the galaxy!\I suppose it is.\Is this the planet called Earth?\The Empire began from such a tiny world?\Not even from a world.\It all began from a single Module.\Module?\I suppose Module is an obsolete word now. response:	Our originator, the Founder, lost many classmates in the battle for Module 77, and then...
context: I suppose it is.\Is this the planet called Earth?\The Empire began from such a tiny world?\Not even from a world.\It all began from a single Module.\Module?\I suppose Module is an obsolete word now.\Our originator, the Founder, lost many classmates in the battle for Module 77, and then... response:	he happened across the Magius.
