context: It's the battle part of day four of the Grand Magic Games! response:	Due to the disqualification of Raven Tail,
context: It's the battle part of day four of the Grand Magic Games!\Due to the disqualification of Raven Tail, response:	Fairy Tail's A and B teams have merged and are now in a tag team battle!
context: It's the battle part of day four of the Grand Magic Games!\Due to the disqualification of Raven Tail,\Fairy Tail's A and B teams have merged and are now in a tag team battle! response:	Their opponents are Sabertooth!
context: It's the battle part of day four of the Grand Magic Games!\Due to the disqualification of Raven Tail,\Fairy Tail's A and B teams have merged and are now in a tag team battle!\Their opponents are Sabertooth! response:	It's a dream showdown between four Dragon Slayers!
context: It's the battle part of day four of the Grand Magic Games!\Due to the disqualification of Raven Tail,\Fairy Tail's A and B teams have merged and are now in a tag team battle!\Their opponents are Sabertooth!\It's a dream showdown between four Dragon Slayers! response:	Who will win, Fairy or Tiger?!
context: It's the battle part of day four of the Grand Magic Games!\Due to the disqualification of Raven Tail,\Fairy Tail's A and B teams have merged and are now in a tag team battle!\Their opponents are Sabertooth!\It's a dream showdown between four Dragon Slayers!\Who will win, Fairy or Tiger?! response:	Wh-What's this?!
context: It's the battle part of day four of the Grand Magic Games!\Due to the disqualification of Raven Tail,\Fairy Tail's A and B teams have merged and are now in a tag team battle!\Their opponents are Sabertooth!\It's a dream showdown between four Dragon Slayers!\Who will win, Fairy or Tiger?!\Wh-What's this?! response:	Sting and Rogue...
context: It's the battle part of day four of the Grand Magic Games!\Due to the disqualification of Raven Tail,\Fairy Tail's A and B teams have merged and are now in a tag team battle!\Their opponents are Sabertooth!\It's a dream showdown between four Dragon Slayers!\Who will win, Fairy or Tiger?!\Wh-What's this?!\Sting and Rogue... response:	The Twin Dragons of Fiore's strongest guild are on the ropes!
context: Due to the disqualification of Raven Tail,\Fairy Tail's A and B teams have merged and are now in a tag team battle!\Their opponents are Sabertooth!\It's a dream showdown between four Dragon Slayers!\Who will win, Fairy or Tiger?!\Wh-What's this?!\Sting and Rogue...\The Twin Dragons of Fiore's strongest guild are on the ropes! response:	He really is strong... But I'd be disappointed otherwise.
context: Fairy Tail's A and B teams have merged and are now in a tag team battle!\Their opponents are Sabertooth!\It's a dream showdown between four Dragon Slayers!\Who will win, Fairy or Tiger?!\Wh-What's this?!\Sting and Rogue...\The Twin Dragons of Fiore's strongest guild are on the ropes!\He really is strong... But I'd be disappointed otherwise. response:	Gajeel...
context: Their opponents are Sabertooth!\It's a dream showdown between four Dragon Slayers!\Who will win, Fairy or Tiger?!\Wh-What's this?!\Sting and Rogue...\The Twin Dragons of Fiore's strongest guild are on the ropes!\He really is strong... But I'd be disappointed otherwise.\Gajeel... response:	Did you two really defeat dragons with power like that?
context: It's a dream showdown between four Dragon Slayers!\Who will win, Fairy or Tiger?!\Wh-What's this?!\Sting and Rogue...\The Twin Dragons of Fiore's strongest guild are on the ropes!\He really is strong... But I'd be disappointed otherwise.\Gajeel...\Did you two really defeat dragons with power like that? response:	Not defeat...
context: Who will win, Fairy or Tiger?!\Wh-What's this?!\Sting and Rogue...\The Twin Dragons of Fiore's strongest guild are on the ropes!\He really is strong... But I'd be disappointed otherwise.\Gajeel...\Did you two really defeat dragons with power like that?\Not defeat... response:	I killed a dragon with this very hand.
context: Wh-What's this?!\Sting and Rogue...\The Twin Dragons of Fiore's strongest guild are on the ropes!\He really is strong... But I'd be disappointed otherwise.\Gajeel...\Did you two really defeat dragons with power like that?\Not defeat...\I killed a dragon with this very hand. response:	Wasn't it your parent?
context: Sting and Rogue...\The Twin Dragons of Fiore's strongest guild are on the ropes!\He really is strong... But I'd be disappointed otherwise.\Gajeel...\Did you two really defeat dragons with power like that?\Not defeat...\I killed a dragon with this very hand.\Wasn't it your parent? response:	It's got nothin' to do with you.
context: The Twin Dragons of Fiore's strongest guild are on the ropes!\He really is strong... But I'd be disappointed otherwise.\Gajeel...\Did you two really defeat dragons with power like that?\Not defeat...\I killed a dragon with this very hand.\Wasn't it your parent?\It's got nothin' to do with you. response:	From now, I'm gonna show you the power that killed a dragon!
context: He really is strong... But I'd be disappointed otherwise.\Gajeel...\Did you two really defeat dragons with power like that?\Not defeat...\I killed a dragon with this very hand.\Wasn't it your parent?\It's got nothin' to do with you.\From now, I'm gonna show you the power that killed a dragon! response:	White Drive...
context: Gajeel...\Did you two really defeat dragons with power like that?\Not defeat...\I killed a dragon with this very hand.\Wasn't it your parent?\It's got nothin' to do with you.\From now, I'm gonna show you the power that killed a dragon!\White Drive... response:	Shadow Drive.
context: Did you two really defeat dragons with power like that?\Not defeat...\I killed a dragon with this very hand.\Wasn't it your parent?\It's got nothin' to do with you.\From now, I'm gonna show you the power that killed a dragon!\White Drive...\Shadow Drive. response:	Sting and Rogue, the Twin Dragons of Sabertooth...
context: Not defeat...\I killed a dragon with this very hand.\Wasn't it your parent?\It's got nothin' to do with you.\From now, I'm gonna show you the power that killed a dragon!\White Drive...\Shadow Drive.\Sting and Rogue, the Twin Dragons of Sabertooth... response:	Dragon Slayers, like Natsu and Gajeel...
context: I killed a dragon with this very hand.\Wasn't it your parent?\It's got nothin' to do with you.\From now, I'm gonna show you the power that killed a dragon!\White Drive...\Shadow Drive.\Sting and Rogue, the Twin Dragons of Sabertooth...\Dragon Slayers, like Natsu and Gajeel... response:	But their magic is still an unknown...
context: Wasn't it your parent?\It's got nothin' to do with you.\From now, I'm gonna show you the power that killed a dragon!\White Drive...\Shadow Drive.\Sting and Rogue, the Twin Dragons of Sabertooth...\Dragon Slayers, like Natsu and Gajeel...\But their magic is still an unknown... response:	Well, let's see what happens...
context: It's got nothin' to do with you.\From now, I'm gonna show you the power that killed a dragon!\White Drive...\Shadow Drive.\Sting and Rogue, the Twin Dragons of Sabertooth...\Dragon Slayers, like Natsu and Gajeel...\But their magic is still an unknown...\Well, let's see what happens... response:	I think they're done testing each other.
context: From now, I'm gonna show you the power that killed a dragon!\White Drive...\Shadow Drive.\Sting and Rogue, the Twin Dragons of Sabertooth...\Dragon Slayers, like Natsu and Gajeel...\But their magic is still an unknown...\Well, let's see what happens...\I think they're done testing each other. response:	From here on in, they're going to get serious, so let's really cheer them on!
context: White Drive...\Shadow Drive.\Sting and Rogue, the Twin Dragons of Sabertooth...\Dragon Slayers, like Natsu and Gajeel...\But their magic is still an unknown...\Well, let's see what happens...\I think they're done testing each other.\From here on in, they're going to get serious, so let's really cheer them on! response:	It's over, garbage guild.
context: Shadow Drive.\Sting and Rogue, the Twin Dragons of Sabertooth...\Dragon Slayers, like Natsu and Gajeel...\But their magic is still an unknown...\Well, let's see what happens...\I think they're done testing each other.\From here on in, they're going to get serious, so let's really cheer them on!\It's over, garbage guild. response:	Sting...
context: Sting and Rogue, the Twin Dragons of Sabertooth...\Dragon Slayers, like Natsu and Gajeel...\But their magic is still an unknown...\Well, let's see what happens...\I think they're done testing each other.\From here on in, they're going to get serious, so let's really cheer them on!\It's over, garbage guild.\Sting... response:	Yeah...
