context: May, Five years ago response:	Karasuno Sports Park Gymnasium
context: May, Five years ago\Karasuno Sports Park Gymnasium response:	I'll see you at this year's national tournament.
context: May, Five years ago\Karasuno Sports Park Gymnasium\I'll see you at this year's national tournament. response:	But you say that every year.
context: May, Five years ago\Karasuno Sports Park Gymnasium\I'll see you at this year's national tournament.\But you say that every year. response:	Shut up. This year for sure.
context: May, Five years ago\Karasuno Sports Park Gymnasium\I'll see you at this year's national tournament.\But you say that every year.\Shut up. This year for sure. response:	We're looking forward to the battle at the garbage dump
context: May, Five years ago\Karasuno Sports Park Gymnasium\I'll see you at this year's national tournament.\But you say that every year.\Shut up. This year for sure.\We're looking forward to the battle at the garbage dump response:	at this year's nationals!
context: May, Five years ago\Karasuno Sports Park Gymnasium\I'll see you at this year's national tournament.\But you say that every year.\Shut up. This year for sure.\We're looking forward to the battle at the garbage dump\at this year's nationals! response:	Unfortunately, both schools were eliminated
context: May, Five years ago\Karasuno Sports Park Gymnasium\I'll see you at this year's national tournament.\But you say that every year.\Shut up. This year for sure.\We're looking forward to the battle at the garbage dump\at this year's nationals!\Unfortunately, both schools were eliminated response:	at the Inter-High preliminaries in June.
context: Karasuno Sports Park Gymnasium\I'll see you at this year's national tournament.\But you say that every year.\Shut up. This year for sure.\We're looking forward to the battle at the garbage dump\at this year's nationals!\Unfortunately, both schools were eliminated\at the Inter-High preliminaries in June. response:	In March of the following year,
context: I'll see you at this year's national tournament.\But you say that every year.\Shut up. This year for sure.\We're looking forward to the battle at the garbage dump\at this year's nationals!\Unfortunately, both schools were eliminated\at the Inter-High preliminaries in June.\In March of the following year, response:	Karasuno High School of Miyagi
context: But you say that every year.\Shut up. This year for sure.\We're looking forward to the battle at the garbage dump\at this year's nationals!\Unfortunately, both schools were eliminated\at the Inter-High preliminaries in June.\In March of the following year,\Karasuno High School of Miyagi response:	and Nekoma High School as second to represent Tokyo
context: Shut up. This year for sure.\We're looking forward to the battle at the garbage dump\at this year's nationals!\Unfortunately, both schools were eliminated\at the Inter-High preliminaries in June.\In March of the following year,\Karasuno High School of Miyagi\and Nekoma High School as second to represent Tokyo response:	attended the spring high-school volleyball nationals, but...
context: We're looking forward to the battle at the garbage dump\at this year's nationals!\Unfortunately, both schools were eliminated\at the Inter-High preliminaries in June.\In March of the following year,\Karasuno High School of Miyagi\and Nekoma High School as second to represent Tokyo\attended the spring high-school volleyball nationals, but... response:	Karasuno was defeated in the third round,
context: at this year's nationals!\Unfortunately, both schools were eliminated\at the Inter-High preliminaries in June.\In March of the following year,\Karasuno High School of Miyagi\and Nekoma High School as second to represent Tokyo\attended the spring high-school volleyball nationals, but...\Karasuno was defeated in the third round, response:	and Nekoma was eliminated in the quarterfinals.
context: Unfortunately, both schools were eliminated\at the Inter-High preliminaries in June.\In March of the following year,\Karasuno High School of Miyagi\and Nekoma High School as second to represent Tokyo\attended the spring high-school volleyball nationals, but...\Karasuno was defeated in the third round,\and Nekoma was eliminated in the quarterfinals. response:	Though both teams repeatedly played each other in practice matches,
