context: Hunt them to extinction! response:	Those in Lutiel's fleet are now under my command.
context: Hunt them to extinction!\Those in Lutiel's fleet are now under my command. response:	Charge the vanguard!
context: Hunt them to extinction!\Those in Lutiel's fleet are now under my command.\Charge the vanguard! response:	I am less than amused by their assault on the gate.
context: Hunt them to extinction!\Those in Lutiel's fleet are now under my command.\Charge the vanguard!\I am less than amused by their assault on the gate. response:	Alea Iacta Est
context: Hunt them to extinction!\Those in Lutiel's fleet are now under my command.\Charge the vanguard!\I am less than amused by their assault on the gate.\Alea Iacta Est response:	It will take six hours for the Straggle Laser to fully recharge.
context: Hunt them to extinction!\Those in Lutiel's fleet are now under my command.\Charge the vanguard!\I am less than amused by their assault on the gate.\Alea Iacta Est\It will take six hours for the Straggle Laser to fully recharge. response:	We'll need to devise a plan to tide us over.
context: Hunt them to extinction!\Those in Lutiel's fleet are now under my command.\Charge the vanguard!\I am less than amused by their assault on the gate.\Alea Iacta Est\It will take six hours for the Straggle Laser to fully recharge.\We'll need to devise a plan to tide us over. response:	But none of our attacks have been
context: Hunt them to extinction!\Those in Lutiel's fleet are now under my command.\Charge the vanguard!\I am less than amused by their assault on the gate.\Alea Iacta Est\It will take six hours for the Straggle Laser to fully recharge.\We'll need to devise a plan to tide us over.\But none of our attacks have been response:	effective against them in the past.
context: Those in Lutiel's fleet are now under my command.\Charge the vanguard!\I am less than amused by their assault on the gate.\Alea Iacta Est\It will take six hours for the Straggle Laser to fully recharge.\We'll need to devise a plan to tide us over.\But none of our attacks have been\effective against them in the past. response:	Maximize the rate of convergence to increase penetration.
context: Charge the vanguard!\I am less than amused by their assault on the gate.\Alea Iacta Est\It will take six hours for the Straggle Laser to fully recharge.\We'll need to devise a plan to tide us over.\But none of our attacks have been\effective against them in the past.\Maximize the rate of convergence to increase penetration. response:	Blue 1's attack has already proven
context: I am less than amused by their assault on the gate.\Alea Iacta Est\It will take six hours for the Straggle Laser to fully recharge.\We'll need to devise a plan to tide us over.\But none of our attacks have been\effective against them in the past.\Maximize the rate of convergence to increase penetration.\Blue 1's attack has already proven response:	that physical rounds should be capable of penetrating
context: Alea Iacta Est\It will take six hours for the Straggle Laser to fully recharge.\We'll need to devise a plan to tide us over.\But none of our attacks have been\effective against them in the past.\Maximize the rate of convergence to increase penetration.\Blue 1's attack has already proven\that physical rounds should be capable of penetrating response:	the high-energy barrier.
context: It will take six hours for the Straggle Laser to fully recharge.\We'll need to devise a plan to tide us over.\But none of our attacks have been\effective against them in the past.\Maximize the rate of convergence to increase penetration.\Blue 1's attack has already proven\that physical rounds should be capable of penetrating\the high-energy barrier. response:	I suggest we take the initiative
context: We'll need to devise a plan to tide us over.\But none of our attacks have been\effective against them in the past.\Maximize the rate of convergence to increase penetration.\Blue 1's attack has already proven\that physical rounds should be capable of penetrating\the high-energy barrier.\I suggest we take the initiative response:	and hit them with a saturation attack
context: But none of our attacks have been\effective against them in the past.\Maximize the rate of convergence to increase penetration.\Blue 1's attack has already proven\that physical rounds should be capable of penetrating\the high-energy barrier.\I suggest we take the initiative\and hit them with a saturation attack response:	to cripple their defense network and
context: effective against them in the past.\Maximize the rate of convergence to increase penetration.\Blue 1's attack has already proven\that physical rounds should be capable of penetrating\the high-energy barrier.\I suggest we take the initiative\and hit them with a saturation attack\to cripple their defense network and response:	destroy the gate's control system.
context: Maximize the rate of convergence to increase penetration.\Blue 1's attack has already proven\that physical rounds should be capable of penetrating\the high-energy barrier.\I suggest we take the initiative\and hit them with a saturation attack\to cripple their defense network and\destroy the gate's control system. response:	Permission granted!
context: Blue 1's attack has already proven\that physical rounds should be capable of penetrating\the high-energy barrier.\I suggest we take the initiative\and hit them with a saturation attack\to cripple their defense network and\destroy the gate's control system.\Permission granted! response:	The Star Rose and the fleet ships
context: that physical rounds should be capable of penetrating\the high-energy barrier.\I suggest we take the initiative\and hit them with a saturation attack\to cripple their defense network and\destroy the gate's control system.\Permission granted!\The Star Rose and the fleet ships response:	will launch a controlled artillery attack.
context: the high-energy barrier.\I suggest we take the initiative\and hit them with a saturation attack\to cripple their defense network and\destroy the gate's control system.\Permission granted!\The Star Rose and the fleet ships\will launch a controlled artillery attack. response:	Roger. I will link all of our fleet's sublight-speed guided missiles.
context: I suggest we take the initiative\and hit them with a saturation attack\to cripple their defense network and\destroy the gate's control system.\Permission granted!\The Star Rose and the fleet ships\will launch a controlled artillery attack.\Roger. I will link all of our fleet's sublight-speed guided missiles. response:	Link established!
context: and hit them with a saturation attack\to cripple their defense network and\destroy the gate's control system.\Permission granted!\The Star Rose and the fleet ships\will launch a controlled artillery attack.\Roger. I will link all of our fleet's sublight-speed guided missiles.\Link established! response:	Excellent.
context: to cripple their defense network and\destroy the gate's control system.\Permission granted!\The Star Rose and the fleet ships\will launch a controlled artillery attack.\Roger. I will link all of our fleet's sublight-speed guided missiles.\Link established!\Excellent. response:	Fire all of our sublight-speed guided missiles!
context: destroy the gate's control system.\Permission granted!\The Star Rose and the fleet ships\will launch a controlled artillery attack.\Roger. I will link all of our fleet's sublight-speed guided missiles.\Link established!\Excellent.\Fire all of our sublight-speed guided missiles! response:	The sublight-speed guided missiles have
context: Permission granted!\The Star Rose and the fleet ships\will launch a controlled artillery attack.\Roger. I will link all of our fleet's sublight-speed guided missiles.\Link established!\Excellent.\Fire all of our sublight-speed guided missiles!\The sublight-speed guided missiles have response:	entered their second stage acceleration.
context: The Star Rose and the fleet ships\will launch a controlled artillery attack.\Roger. I will link all of our fleet's sublight-speed guided missiles.\Link established!\Excellent.\Fire all of our sublight-speed guided missiles!\The sublight-speed guided missiles have\entered their second stage acceleration. response:	Missile impact in 30 seconds!
context: will launch a controlled artillery attack.\Roger. I will link all of our fleet's sublight-speed guided missiles.\Link established!\Excellent.\Fire all of our sublight-speed guided missiles!\The sublight-speed guided missiles have\entered their second stage acceleration.\Missile impact in 30 seconds! response:	All of the sublight-speed guided missiles have been destroyed!
context: Roger. I will link all of our fleet's sublight-speed guided missiles.\Link established!\Excellent.\Fire all of our sublight-speed guided missiles!\The sublight-speed guided missiles have\entered their second stage acceleration.\Missile impact in 30 seconds!\All of the sublight-speed guided missiles have been destroyed! response:	That is Lumes' unit.
context: Link established!\Excellent.\Fire all of our sublight-speed guided missiles!\The sublight-speed guided missiles have\entered their second stage acceleration.\Missile impact in 30 seconds!\All of the sublight-speed guided missiles have been destroyed!\That is Lumes' unit. response:	They have the tightest defenses amongst the Wulgaru.
context: Excellent.\Fire all of our sublight-speed guided missiles!\The sublight-speed guided missiles have\entered their second stage acceleration.\Missile impact in 30 seconds!\All of the sublight-speed guided missiles have been destroyed!\That is Lumes' unit.\They have the tightest defenses amongst the Wulgaru. response:	They destroyed all of those guided missiles in a split second...
context: Fire all of our sublight-speed guided missiles!\The sublight-speed guided missiles have\entered their second stage acceleration.\Missile impact in 30 seconds!\All of the sublight-speed guided missiles have been destroyed!\That is Lumes' unit.\They have the tightest defenses amongst the Wulgaru.\They destroyed all of those guided missiles in a split second... response:	So a long-range battle has been rendered impossible?
context: The sublight-speed guided missiles have\entered their second stage acceleration.\Missile impact in 30 seconds!\All of the sublight-speed guided missiles have been destroyed!\That is Lumes' unit.\They have the tightest defenses amongst the Wulgaru.\They destroyed all of those guided missiles in a split second...\So a long-range battle has been rendered impossible? response:	Yes.
context: entered their second stage acceleration.\Missile impact in 30 seconds!\All of the sublight-speed guided missiles have been destroyed!\That is Lumes' unit.\They have the tightest defenses amongst the Wulgaru.\They destroyed all of those guided missiles in a split second...\So a long-range battle has been rendered impossible?\Yes. response:	The 1st and 2nd Area Fleets' rate of attrition is at 45!
context: Missile impact in 30 seconds!\All of the sublight-speed guided missiles have been destroyed!\That is Lumes' unit.\They have the tightest defenses amongst the Wulgaru.\They destroyed all of those guided missiles in a split second...\So a long-range battle has been rendered impossible?\Yes.\The 1st and 2nd Area Fleets' rate of attrition is at 45! response:	The Bela-Russian and the Great Chinese Alliance's
context: All of the sublight-speed guided missiles have been destroyed!\That is Lumes' unit.\They have the tightest defenses amongst the Wulgaru.\They destroyed all of those guided missiles in a split second...\So a long-range battle has been rendered impossible?\Yes.\The 1st and 2nd Area Fleets' rate of attrition is at 45!\The Bela-Russian and the Great Chinese Alliance's response:	fleets have begun to pull back.
context: That is Lumes' unit.\They have the tightest defenses amongst the Wulgaru.\They destroyed all of those guided missiles in a split second...\So a long-range battle has been rendered impossible?\Yes.\The 1st and 2nd Area Fleets' rate of attrition is at 45!\The Bela-Russian and the Great Chinese Alliance's\fleets have begun to pull back. response:	All fleets, tighten your formation!
context: They have the tightest defenses amongst the Wulgaru.\They destroyed all of those guided missiles in a split second...\So a long-range battle has been rendered impossible?\Yes.\The 1st and 2nd Area Fleets' rate of attrition is at 45!\The Bela-Russian and the Great Chinese Alliance's\fleets have begun to pull back.\All fleets, tighten your formation! response:	Anyone who pulls away from the main fleet will get picked off!
context: They destroyed all of those guided missiles in a split second...\So a long-range battle has been rendered impossible?\Yes.\The 1st and 2nd Area Fleets' rate of attrition is at 45!\The Bela-Russian and the Great Chinese Alliance's\fleets have begun to pull back.\All fleets, tighten your formation!\Anyone who pulls away from the main fleet will get picked off! response:	But the Straggle Laser and our
