context: It hurts! response:	Mommy!
context: It hurts!\Mommy! response:	What are you doing, Rin?!
context: It hurts!\Mommy!\What are you doing, Rin?! response:	The Vatican headquarters? High Inspector?
context: It hurts!\Mommy!\What are you doing, Rin?!\The Vatican headquarters? High Inspector? response:	Here's my license and my level certificate.
context: It hurts!\Mommy!\What are you doing, Rin?!\The Vatican headquarters? High Inspector?\Here's my license and my level certificate. response:	Oh my, you really are who you say you are.
context: It hurts!\Mommy!\What are you doing, Rin?!\The Vatican headquarters? High Inspector?\Here's my license and my level certificate.\Oh my, you really are who you say you are. response:	I'm Middle Class Exorcist Kaoru Tsubaki.
context: It hurts!\Mommy!\What are you doing, Rin?!\The Vatican headquarters? High Inspector?\Here's my license and my level certificate.\Oh my, you really are who you say you are.\I'm Middle Class Exorcist Kaoru Tsubaki. response:	Ah whatever... I hate formalities.
context: It hurts!\Mommy!\What are you doing, Rin?!\The Vatican headquarters? High Inspector?\Here's my license and my level certificate.\Oh my, you really are who you say you are.\I'm Middle Class Exorcist Kaoru Tsubaki.\Ah whatever... I hate formalities. response:	Anyway, I'm taking this kid to the Japanese Branch Office.
context: Mommy!\What are you doing, Rin?!\The Vatican headquarters? High Inspector?\Here's my license and my level certificate.\Oh my, you really are who you say you are.\I'm Middle Class Exorcist Kaoru Tsubaki.\Ah whatever... I hate formalities.\Anyway, I'm taking this kid to the Japanese Branch Office. response:	And I wanna talk to the head of the branch, Mephisto,
context: What are you doing, Rin?!\The Vatican headquarters? High Inspector?\Here's my license and my level certificate.\Oh my, you really are who you say you are.\I'm Middle Class Exorcist Kaoru Tsubaki.\Ah whatever... I hate formalities.\Anyway, I'm taking this kid to the Japanese Branch Office.\And I wanna talk to the head of the branch, Mephisto, response:	so bring him along even if you've gotta use force.
context: The Vatican headquarters? High Inspector?\Here's my license and my level certificate.\Oh my, you really are who you say you are.\I'm Middle Class Exorcist Kaoru Tsubaki.\Ah whatever... I hate formalities.\Anyway, I'm taking this kid to the Japanese Branch Office.\And I wanna talk to the head of the branch, Mephisto,\so bring him along even if you've gotta use force. response:	Understood.
context: Here's my license and my level certificate.\Oh my, you really are who you say you are.\I'm Middle Class Exorcist Kaoru Tsubaki.\Ah whatever... I hate formalities.\Anyway, I'm taking this kid to the Japanese Branch Office.\And I wanna talk to the head of the branch, Mephisto,\so bring him along even if you've gotta use force.\Understood. response:	Get up already. I have a shitload of stuff I wanna ask you.
context: Oh my, you really are who you say you are.\I'm Middle Class Exorcist Kaoru Tsubaki.\Ah whatever... I hate formalities.\Anyway, I'm taking this kid to the Japanese Branch Office.\And I wanna talk to the head of the branch, Mephisto,\so bring him along even if you've gotta use force.\Understood.\Get up already. I have a shitload of stuff I wanna ask you. response:	Rin is injured. Could you wait until we give him first aid?
context: I'm Middle Class Exorcist Kaoru Tsubaki.\Ah whatever... I hate formalities.\Anyway, I'm taking this kid to the Japanese Branch Office.\And I wanna talk to the head of the branch, Mephisto,\so bring him along even if you've gotta use force.\Understood.\Get up already. I have a shitload of stuff I wanna ask you.\Rin is injured. Could you wait until we give him first aid? response:	He'll be fine. And kids who still smell of milk should stay out of trouble.
context: Ah whatever... I hate formalities.\Anyway, I'm taking this kid to the Japanese Branch Office.\And I wanna talk to the head of the branch, Mephisto,\so bring him along even if you've gotta use force.\Understood.\Get up already. I have a shitload of stuff I wanna ask you.\Rin is injured. Could you wait until we give him first aid?\He'll be fine. And kids who still smell of milk should stay out of trouble. response:	Smell of milk?
context: Anyway, I'm taking this kid to the Japanese Branch Office.\And I wanna talk to the head of the branch, Mephisto,\so bring him along even if you've gotta use force.\Understood.\Get up already. I have a shitload of stuff I wanna ask you.\Rin is injured. Could you wait until we give him first aid?\He'll be fine. And kids who still smell of milk should stay out of trouble.\Smell of milk? response:	Professor!
context: And I wanna talk to the head of the branch, Mephisto,\so bring him along even if you've gotta use force.\Understood.\Get up already. I have a shitload of stuff I wanna ask you.\Rin is injured. Could you wait until we give him first aid?\He'll be fine. And kids who still smell of milk should stay out of trouble.\Smell of milk?\Professor! response:	What's going on?
context: so bring him along even if you've gotta use force.\Understood.\Get up already. I have a shitload of stuff I wanna ask you.\Rin is injured. Could you wait until we give him first aid?\He'll be fine. And kids who still smell of milk should stay out of trouble.\Smell of milk?\Professor!\What's going on? response:	Today's mission is over. Please head back to your dormitories right away.
context: Understood.\Get up already. I have a shitload of stuff I wanna ask you.\Rin is injured. Could you wait until we give him first aid?\He'll be fine. And kids who still smell of milk should stay out of trouble.\Smell of milk?\Professor!\What's going on?\Today's mission is over. Please head back to your dormitories right away. response:	Let me go, I can't breathe!
context: Get up already. I have a shitload of stuff I wanna ask you.\Rin is injured. Could you wait until we give him first aid?\He'll be fine. And kids who still smell of milk should stay out of trouble.\Smell of milk?\Professor!\What's going on?\Today's mission is over. Please head back to your dormitories right away.\Let me go, I can't breathe! response:	Oh damn, I'm so jealous...
context: Rin is injured. Could you wait until we give him first aid?\He'll be fine. And kids who still smell of milk should stay out of trouble.\Smell of milk?\Professor!\What's going on?\Today's mission is over. Please head back to your dormitories right away.\Let me go, I can't breathe!\Oh damn, I'm so jealous... response:	Shima...
context: He'll be fine. And kids who still smell of milk should stay out of trouble.\Smell of milk?\Professor!\What's going on?\Today's mission is over. Please head back to your dormitories right away.\Let me go, I can't breathe!\Oh damn, I'm so jealous...\Shima... response:	By the way, who's that babe?
context: Smell of milk?\Professor!\What's going on?\Today's mission is over. Please head back to your dormitories right away.\Let me go, I can't breathe!\Oh damn, I'm so jealous...\Shima...\By the way, who's that babe? response:	She's Yamada, isn't she? She's wearing male uniform trousers.
context: Professor!\What's going on?\Today's mission is over. Please head back to your dormitories right away.\Let me go, I can't breathe!\Oh damn, I'm so jealous...\Shima...\By the way, who's that babe?\She's Yamada, isn't she? She's wearing male uniform trousers. response:	You're kidding me!
context: What's going on?\Today's mission is over. Please head back to your dormitories right away.\Let me go, I can't breathe!\Oh damn, I'm so jealous...\Shima...\By the way, who's that babe?\She's Yamada, isn't she? She's wearing male uniform trousers.\You're kidding me! response:	That Okumura, did he get into trouble again?
context: Today's mission is over. Please head back to your dormitories right away.\Let me go, I can't breathe!\Oh damn, I'm so jealous...\Shima...\By the way, who's that babe?\She's Yamada, isn't she? She's wearing male uniform trousers.\You're kidding me!\That Okumura, did he get into trouble again? response:	Hey, you!
context: Let me go, I can't breathe!\Oh damn, I'm so jealous...\Shima...\By the way, who's that babe?\She's Yamada, isn't she? She's wearing male uniform trousers.\You're kidding me!\That Okumura, did he get into trouble again?\Hey, you! response:	What's going on?
context: Oh damn, I'm so jealous...\Shima...\By the way, who's that babe?\She's Yamada, isn't she? She's wearing male uniform trousers.\You're kidding me!\That Okumura, did he get into trouble again?\Hey, you!\What's going on? response:	I don't know but it's not Rin's fault!
context: Shima...\By the way, who's that babe?\She's Yamada, isn't she? She's wearing male uniform trousers.\You're kidding me!\That Okumura, did he get into trouble again?\Hey, you!\What's going on?\I don't know but it's not Rin's fault! response:	Huh?
context: By the way, who's that babe?\She's Yamada, isn't she? She's wearing male uniform trousers.\You're kidding me!\That Okumura, did he get into trouble again?\Hey, you!\What's going on?\I don't know but it's not Rin's fault!\Huh? response:	Rin...
context: She's Yamada, isn't she? She's wearing male uniform trousers.\You're kidding me!\That Okumura, did he get into trouble again?\Hey, you!\What's going on?\I don't know but it's not Rin's fault!\Huh?\Rin... response:	Where are you taking me?
context: You're kidding me!\That Okumura, did he get into trouble again?\Hey, you!\What's going on?\I don't know but it's not Rin's fault!\Huh?\Rin...\Where are you taking me? response:	I see... You've never been to the base, have you?
context: That Okumura, did he get into trouble again?\Hey, you!\What's going on?\I don't know but it's not Rin's fault!\Huh?\Rin...\Where are you taking me?\I see... You've never been to the base, have you? response:	Base?
context: Hey, you!\What's going on?\I don't know but it's not Rin's fault!\Huh?\Rin...\Where are you taking me?\I see... You've never been to the base, have you?\Base? response:	Where are we?
context: What's going on?\I don't know but it's not Rin's fault!\Huh?\Rin...\Where are you taking me?\I see... You've never been to the base, have you?\Base?\Where are we? response:	The center of the Japanese Branch of the Order of True Cross.
context: I don't know but it's not Rin's fault!\Huh?\Rin...\Where are you taking me?\I see... You've never been to the base, have you?\Base?\Where are we?\The center of the Japanese Branch of the Order of True Cross. response:	The headquarters are under St. Peter's Basilica in Rome,
context: Huh?\Rin...\Where are you taking me?\I see... You've never been to the base, have you?\Base?\Where are we?\The center of the Japanese Branch of the Order of True Cross.\The headquarters are under St. Peter's Basilica in Rome, response:	and it coordinates the actions of the branches around the world.
context: Rin...\Where are you taking me?\I see... You've never been to the base, have you?\Base?\Where are we?\The center of the Japanese Branch of the Order of True Cross.\The headquarters are under St. Peter's Basilica in Rome,\and it coordinates the actions of the branches around the world. response:	The Order's history in exorcism spans over two millennia.
context: Where are you taking me?\I see... You've never been to the base, have you?\Base?\Where are we?\The center of the Japanese Branch of the Order of True Cross.\The headquarters are under St. Peter's Basilica in Rome,\and it coordinates the actions of the branches around the world.\The Order's history in exorcism spans over two millennia. response:	Exactly.
context: I see... You've never been to the base, have you?\Base?\Where are we?\The center of the Japanese Branch of the Order of True Cross.\The headquarters are under St. Peter's Basilica in Rome,\and it coordinates the actions of the branches around the world.\The Order's history in exorcism spans over two millennia.\Exactly. response:	Long time no see, Shura.
context: Base?\Where are we?\The center of the Japanese Branch of the Order of True Cross.\The headquarters are under St. Peter's Basilica in Rome,\and it coordinates the actions of the branches around the world.\The Order's history in exorcism spans over two millennia.\Exactly.\Long time no see, Shura. response:	I didn't think that a High Inspector would infiltrate the cram school.
context: Where are we?\The center of the Japanese Branch of the Order of True Cross.\The headquarters are under St. Peter's Basilica in Rome,\and it coordinates the actions of the branches around the world.\The Order's history in exorcism spans over two millennia.\Exactly.\Long time no see, Shura.\I didn't think that a High Inspector would infiltrate the cram school. response:	I had no clue.
context: The center of the Japanese Branch of the Order of True Cross.\The headquarters are under St. Peter's Basilica in Rome,\and it coordinates the actions of the branches around the world.\The Order's history in exorcism spans over two millennia.\Exactly.\Long time no see, Shura.\I didn't think that a High Inspector would infiltrate the cram school.\I had no clue. response:	Mephisto, gimme a straight answer.
context: The headquarters are under St. Peter's Basilica in Rome,\and it coordinates the actions of the branches around the world.\The Order's history in exorcism spans over two millennia.\Exactly.\Long time no see, Shura.\I didn't think that a High Inspector would infiltrate the cram school.\I had no clue.\Mephisto, gimme a straight answer. response:	Why did you hide the son of Satan?
context: and it coordinates the actions of the branches around the world.\The Order's history in exorcism spans over two millennia.\Exactly.\Long time no see, Shura.\I didn't think that a High Inspector would infiltrate the cram school.\I had no clue.\Mephisto, gimme a straight answer.\Why did you hide the son of Satan? response:	I didn't hide him. It was all for the sake of the Order.
context: The Order's history in exorcism spans over two millennia.\Exactly.\Long time no see, Shura.\I didn't think that a High Inspector would infiltrate the cram school.\I had no clue.\Mephisto, gimme a straight answer.\Why did you hide the son of Satan?\I didn't hide him. It was all for the sake of the Order. response:	For the sake of the Order?
context: Exactly.\Long time no see, Shura.\I didn't think that a High Inspector would infiltrate the cram school.\I had no clue.\Mephisto, gimme a straight answer.\Why did you hide the son of Satan?\I didn't hide him. It was all for the sake of the Order.\For the sake of the Order? response:	Tame the son of Satan to become a weapon for the Order.
context: Long time no see, Shura.\I didn't think that a High Inspector would infiltrate the cram school.\I had no clue.\Mephisto, gimme a straight answer.\Why did you hide the son of Satan?\I didn't hide him. It was all for the sake of the Order.\For the sake of the Order?\Tame the son of Satan to become a weapon for the Order. response:	We Exorcists have been on the defensive for 2000 years,
context: I didn't think that a High Inspector would infiltrate the cram school.\I had no clue.\Mephisto, gimme a straight answer.\Why did you hide the son of Satan?\I didn't hide him. It was all for the sake of the Order.\For the sake of the Order?\Tame the son of Satan to become a weapon for the Order.\We Exorcists have been on the defensive for 2000 years, response:	now is our chance to take the offensive.
context: I had no clue.\Mephisto, gimme a straight answer.\Why did you hide the son of Satan?\I didn't hide him. It was all for the sake of the Order.\For the sake of the Order?\Tame the son of Satan to become a weapon for the Order.\We Exorcists have been on the defensive for 2000 years,\now is our chance to take the offensive. response:	That's no answer.
context: Mephisto, gimme a straight answer.\Why did you hide the son of Satan?\I didn't hide him. It was all for the sake of the Order.\For the sake of the Order?\Tame the son of Satan to become a weapon for the Order.\We Exorcists have been on the defensive for 2000 years,\now is our chance to take the offensive.\That's no answer. response:	I was asking why you didn't report to the Vatican.
context: Why did you hide the son of Satan?\I didn't hide him. It was all for the sake of the Order.\For the sake of the Order?\Tame the son of Satan to become a weapon for the Order.\We Exorcists have been on the defensive for 2000 years,\now is our chance to take the offensive.\That's no answer.\I was asking why you didn't report to the Vatican. response:	As you can see, his powers are still incomplete.
context: I didn't hide him. It was all for the sake of the Order.\For the sake of the Order?\Tame the son of Satan to become a weapon for the Order.\We Exorcists have been on the defensive for 2000 years,\now is our chance to take the offensive.\That's no answer.\I was asking why you didn't report to the Vatican.\As you can see, his powers are still incomplete. response:	Gregori wouldn't be satisfied with something incomplete, would he?
context: For the sake of the Order?\Tame the son of Satan to become a weapon for the Order.\We Exorcists have been on the defensive for 2000 years,\now is our chance to take the offensive.\That's no answer.\I was asking why you didn't report to the Vatican.\As you can see, his powers are still incomplete.\Gregori wouldn't be satisfied with something incomplete, would he? response:	Then I'm gonna ask you again.
context: Tame the son of Satan to become a weapon for the Order.\We Exorcists have been on the defensive for 2000 years,\now is our chance to take the offensive.\That's no answer.\I was asking why you didn't report to the Vatican.\As you can see, his powers are still incomplete.\Gregori wouldn't be satisfied with something incomplete, would he?\Then I'm gonna ask you again. response:	Did Shiro Fujimoto have anything to do with this case?
